Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:cleft,acl:crel,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:emph,amod,amod:att,appos,appos:trans,case:loc,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:obl,ccomp:pmod,ccomp:rel,ccomp:relcl,ccomp:reported,clf,compound,compound:coord,compound:lvc,compound:name,compound:nn,compound:prt,compound:redup,conj:expl,csubj,csubj:cleft,csubj:cop,csubj:pass,csubj:relcl,csubj:reported,dep,discourse,discourse:filler,dislocated,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:frac,flat:gov,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,iobj:agent,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:attlvc,nmod:bahuv,nmod:cau,nmod:flat,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:poss,nmod:subj,nmod:tmod,nsubj,nsubj:caus,nsubj:cop,nsubj:lvc,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:agent,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:cmpr,obl:dat,obl:depict,obl:goal,obl:grad,obl:lmod,obl:manner,obl:mcl,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:rep,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:pred,xcomp:result
tr_kenet-ud-test,1643,0,3531,,58.0,,,,,,53.0,,,,,,,,,,,,,,,78.0,,1.0,,,,31.0,,,,,,,,3.0,902.0,,,,,,,,7.0,,,,,,,14.0,,,,,,,17.0,,,,,,,,,,,35.0,543.0,,,,,,,,,,,,,,,714.0,,,,,,8.0,,,546.0,,292.0,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,1.0,83.0,23.0,86.0,,,
tr_kenet-ud-train,15398,0,28037,,260.0,,,,,,311.0,,,,,,,,,,,,,,,822.0,,40.0,,,,169.0,,,,,,,,3.0,2770.0,,,,,,,,254.0,,,,,,7.0,45.0,,13.0,,,,10.0,161.0,,,,,,,,,24.0,,95.0,6714.0,,,,,,,,,,,,,,,7084.0,,,,,,54.0,,,4069.0,,1901.0,,,,,,,,,,,,,,,,,,3.0,217.0,,,,,,,,4.0,2473.0,108.0,426.0,,,
sms_giellagas-ud-test,230,0,160,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,10.0,,,,,,,7.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,2.0,6.0,6.0,1.0,,,
sms_giellagas-ud-train,20,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
sk_snk-ud-dev,1060,0,778,,,,,,,,1.0,,,,,,,,,,,,,,,,,24.0,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,520.0,,,,,33.0,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,,13.0,,,
sk_snk-ud-test,1061,0,699,,,,,,,,1.0,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,424.0,,,,,25.0,,,,10.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,,24.0,,,
sk_snk-ud-train,8483,0,3847,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,61.0,,,,70.0,,,,,,,,,,,,,,,,,1.0,,,,,,109.0,,,,,,,,,,,,,,,,,1.0,,,149.0,,,,,,,,,,,,,,,2718.0,,,,,112.0,,,,17.0,,11.0,,,,,,,,,,,,,,,,,,9.0,3.0,,,,,,,,,548.0,,32.0,,,
lt_hse-ud-train,153,0,166,,,,,,,1.0,3.0,,,,,,,,,,,,,,,2.0,,9.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,102.0,,,,1.0,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,18.0,,,,,
lt_hse-ud-test,55,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,31.0,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,6.0,,,,,
lt_hse-ud-dev,55,0,59,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,36.0,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,9.0,,,,,
ky_tuecl-ud-test,145,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,34,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,25.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,
sa_ufal-ud-test,230,0,156,,1.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,74.0,,13.0,,,21.0,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,15.0,1.0,7.0,,,
be_hse-ud-train,22853,0,15641,13.0,18.0,,,,,9.0,40.0,,,,,,,,,,,,,,,,,1084.0,,,,49.0,,,,,,,,,218.0,,,,,,,,6.0,,,,,,1.0,3.0,,4.0,,,,12.0,11.0,,,,1.0,,,,,1.0,,196.0,95.0,,,,,,,,,,,,,,,8818.0,,,,5.0,606.0,2.0,,6.0,14.0,,117.0,,,,,,,,,,,,,,,,,,2.0,531.0,,,,,,,,,3663.0,101.0,15.0,,,
be_hse-ud-dev,1301,0,967,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,72.0,,,,5.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,9.0,4.0,,,,,,,,,,,,,,,531.0,,,,,44.0,,,,,,9.0,,,,,,,,,,,,,,,,,,1.0,31.0,,,,,,,,,243.0,,,,,
be_hse-ud-test,1077,0,833,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,,,,,,,,,,,,,,,457.0,,,,,61.0,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,197.0,8.0,,,,
et_ewt-ud-train,5444,0,3996,,17.0,,,,,10.0,101.0,,,,,,,,,,,,,,,1.0,,32.0,,,,44.0,,,,,,,,,1.0,,,,,,,,3.0,,2.0,,,,5.0,5.0,,,,,,,17.0,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,1356.0,,1029.0,,,,,,,394.0,,107.0,,,,,,,,,,,,,,,,,,2.0,86.0,,,,,,,,1.0,677.0,28.0,1.0,,,
et_ewt-ud-test,913,0,705,,5.0,,,,,2.0,9.0,,,,,,,,,,,,,,,,,13.0,,,,14.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,242.0,,177.0,,,,,,,83.0,,20.0,,,,,,,,,,,,,,,,,,1.0,28.0,,,,,,,,,95.0,3.0,,,,
et_ewt-ud-dev,833,0,546,,5.0,,,,,1.0,4.0,,,,,,,,,,,,,,,1.0,,11.0,,,,5.0,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,188.0,,140.0,,,,,,,35.0,,10.0,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,104.0,4.0,2.0,,,
cs_pud-ud-test,1000,0,930,,4.0,,,,,3.0,8.0,,,,,,,,,,,,,,,,,32.0,,,,6.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,12.0,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,649.0,,,,,101.0,,,,5.0,,3.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,35.0,,11.0,,,
orv_ruthenian-ud-test,390,0,267,,1.0,,,,,1.0,5.0,,,,,,,,,,,,,,,,,53.0,,,,2.0,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,142.0,,,,,9.0,,,,9.0,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,24.0,9.0,2.0,,,
orv_ruthenian-ud-train,2789,0,2700,,6.0,,,,,32.0,16.0,,,,,,,,,,,,,,,,,640.0,,,,20.0,,,,,,,,,17.0,,,,,,,,,,,,,,3.0,,,13.0,,,,,1.0,,,,21.0,,,,,1.0,,2.0,130.0,,,,,,,,,,,,,,,1444.0,,,,,67.0,1.0,,10.0,15.0,,13.0,,,,,,,,,,,,,,,,,,1.0,13.0,,,,,,,,3.0,196.0,33.0,2.0,,,
orv_ruthenian-ud-dev,344,0,176,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,33.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,105.0,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,18.0,5.0,,,,
ml_ufal-ud-test,218,0,289,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,101.0,,,,,,,,,17.0,,10.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,33.0,,1.0,,,
apu_ufpa-ud-test,161,0,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,30.0,,7.0,,,,,,,32.0,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,7.0,1.0,,,,
de_pud-ud-test,1000,0,1082,,4.0,,,,,7.0,10.0,,,,,,,,,,,,,,,,,76.0,,,,14.0,,,,,,,,,39.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,662.0,,,,,129.0,,,,,,11.0,,,,,,,,,,,,,,,,,14.0,2.0,7.0,,,,,,,,,68.0,1.0,26.0,,,
ro_simonero-ud-test,491,0,1794,,,,,,,,1.0,,,,,,,,,,,,,,,5.0,,57.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,483.0,,,,,,,,,,,,,,4.0,390.0,,,,,114.0,,,,223.0,,344.0,31.0,,,,,,,,,,,,30.0,,,,,,11.0,,,,,,,,,23.0,,16.0,,,
ro_simonero-ud-train,3747,0,14361,,23.0,,,,,,29.0,,,,,,,,,,,,,,,43.0,,425.0,,,,19.0,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,528.0,3.0,,,,,,,,,2.0,,,3909.0,,,,,,,,,,,,,,39.0,3004.0,,,,,796.0,1.0,,,1771.0,,2814.0,241.0,,,,,,,,,,,,313.0,,,,,,49.0,,,,,,,,,237.0,,110.0,,,
ro_simonero-ud-dev,443,0,1827,,3.0,,,,,,2.0,,,,,,,,,,,,,,,10.0,,43.0,,,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,63.0,,,,,,,,,,1.0,,,554.0,,,,,,,,,,,,,,2.0,381.0,,,,,75.0,,,,204.0,,377.0,35.0,,,,,,,,,,,,33.0,,,,,1.0,6.0,,,,,,,,,22.0,,11.0,,,
sq_tsa-ud-test,60,0,70,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,53.0,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
mr_ufal-ud-dev,46,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,,,,,
mr_ufal-ud-test,47,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,
mr_ufal-ud-train,373,0,225,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,20.0,,,,,,,,,,,,,4.0,,3.0,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,137.0,,,,,3.0,,,,1.0,,6.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,30.0,9.0,,,,
si_stb-ud-test,100,0,133,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,17.0,,4.0,,,,,,1.0,,,,,,2.0,,,,,,,,7.0,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,38.0,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,21.0,,,,,
ro_tuecl-ud-test,210,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ar_padt-ud-dev,909,0,1129,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,4.0,,,,,,,,,,,,,,4.0,,,114.0,,,,,,,,,,,,,,,794.0,,,,,39.0,,,,17.0,,6.0,,4.0,,,,,,,,,,,,,,,,2.0,7.0,,,,,,,,,90.0,,6.0,,,
ar_padt-ud-train,6075,0,8296,,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,29.0,,,,,,,,,,,,,,7.0,,,846.0,,,,,,,,,,,,,,,6010.0,,,,,175.0,,,,142.0,,87.0,,34.0,,,,,,,,,,,,,,,,33.0,56.0,,,,,,,,,591.0,,25.0,,,
ar_padt-ud-test,680,0,1027,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,1.0,,,,,,,,,,,,,,1.0,,,125.0,,,,,,,,,,,,,,,765.0,,,,,27.0,,,,9.0,,9.0,,6.0,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,47.0,,1.0,,,
lt_alksnis-ud-test,684,0,565,,,,,,,1.0,,,,,,,,,,,,,,,,,,27.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,384.0,,,,,24.0,,,,1.0,,15.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,66.0,,4.0,,,
lt_alksnis-ud-dev,617,0,631,,,,,,,,3.0,,,,,,,,,,,,,,,,,11.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,14.0,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,414.0,,,,,75.0,,,,1.0,,6.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,62.0,,5.0,,,
lt_alksnis-ud-train,2341,0,2477,,6.0,,,,,8.0,15.0,,,,,,,,,,,,,,,1.0,,60.0,,,,17.0,,,,,,,,,,,,,,,,,2.0,,,,,,16.0,,,,,,,,73.0,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,1517.0,,,,,315.0,,,,9.0,,31.0,,1.0,,,,,,,,,,,,,,,,,16.0,,,,,,,,,291.0,,7.0,,,
cu_proiel-ud-train,18327,0,7285,,72.0,,,,,,92.0,,,66.0,,,,,,,,,,,,,,317.0,,,,67.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,35.0,,,,2.0,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,5207.0,,,,6.0,168.0,,,,20.0,,5.0,,1.0,,,,,,,,,,,,,,,,9.0,18.0,,,,,,,,,990.0,104.0,94.0,,,
cu_proiel-ud-test,2096,0,795,,8.0,,,,,,7.0,,,14.0,,,,,,,,,,,,,,30.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.0,,,,3.0,20.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,102.0,11.0,7.0,,,
cu_proiel-ud-dev,2205,0,844,,8.0,,,,,,15.0,,,4.0,,,,,,,,,,,,,,34.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,639.0,,,,2.0,19.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,82.0,16.0,8.0,,,
olo_kkpp-ud-test,106,0,108,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,1.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,63.0,,13.0,,,,,,,11.0,,2.0,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,4.0,,,,,
olo_kkpp-ud-train,19,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,2401,,5.0,,,,,12.0,6.0,,,,,,,,,,,1.0,,,,4.0,,70.0,,,,11.0,,,,,,,,,9.0,,115.0,,,,12.0,,1.0,,,,,,35.0,4.0,,5.0,,,,3.0,4.0,,,,9.0,4.0,,,,1.0,,22.0,242.0,,,,,,,,,,12.0,,5.0,,,650.0,1.0,,,,92.0,,,,562.0,,207.0,,,,,,,,,,,,,,,,,,15.0,39.0,,,,,,,,,188.0,3.0,52.0,,,
hy_bsut-ud-test,595,0,1096,,2.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,,16.0,,,,6.0,,,,,,,,,7.0,,64.0,,,,,,1.0,,,1.0,,,10.0,4.0,,3.0,,,,3.0,,,,,2.0,,,,,,,1.0,76.0,,,,,,,,,,6.0,,5.0,,,312.0,,,,,19.0,,,,325.0,,94.0,,,,,,,,,,,,,,,,,,8.0,6.0,,,,,,,,,68.0,7.0,43.0,,,
hy_bsut-ud-dev,479,0,1158,,4.0,,,,,1.0,4.0,,,,,,,,,,,2.0,,,,1.0,,12.0,,,,6.0,,,,,,,,,7.0,,58.0,,,,2.0,,1.0,,,,,,15.0,1.0,,1.0,,,,1.0,,,,,18.0,2.0,,,,1.0,,3.0,66.0,,,,,,,,,,21.0,,3.0,,,328.0,,,,,53.0,,,,343.0,,91.0,,,,,,,,,,,,,,,,,,2.0,11.0,,,,,,,,,72.0,1.0,27.0,,,
mdf_jr-ud-test,454,0,437,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,2.0,,,,,,,,,3.0,,,,2.0,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,3.0,32.0,,,,,2.0,,,,,,,2.0,,,222.0,,47.0,,,2.0,,,,66.0,,6.0,,,,,,,,,,10.0,,,,,,,5.0,,,,,,,,,,,14.0,8.0,2.0,,,
mdf_jr-ud-train,20,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,
vep_vwt-ud-test,103,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,13.0,,,,,,,7.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,9.0,,,,,
la_llct-ud-dev,850,0,625,,,,,,,8.0,,,,,,,,,,,,,,,,,,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,30.0,,,,,,,,,,,,,,,62.0,,,,,27.0,,,,25.0,,48.0,,5.0,,,,,,,,,,,,,,,,,14.0,,,,,,,,,89.0,,3.0,,,
la_llct-ud-test,884,0,607,,,,,,,22.0,,,,,,,,,,,,,,,,,,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,80.0,,,,,10.0,,,,17.0,,49.0,,5.0,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,71.0,,2.0,,,
la_llct-ud-train,7289,0,5936,,3.0,,,,,49.0,4.0,,,9.0,,,,,,,,,,,,,,3481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,19.0,,,13.0,,,,,,,,,9.0,,,161.0,,,,,,,,,,,,,,,544.0,,,,,190.0,,,,172.0,,198.0,,14.0,,,,,,,,,,,,,,,,1.0,41.0,,,,,,,,1.0,907.0,,108.0,,,
hsb_ufal-ud-test,623,0,717,,11.0,,,,,,4.0,,,,,,,,,,,,,,,1.0,,49.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,2.0,40.0,,,,,,,,,,,,,,,467.0,,,,,2.0,,,,15.0,,9.0,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,86.0,,10.0,,,
hsb_ufal-ud-train,23,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
fi_tdt-ud-train,12217,0,11046,,,,,,,55.0,117.0,,,,,,,,,,,,,,,8.0,,246.0,,,,68.0,,,,,,,,,1.0,,,,736.0,,,,2.0,,3.0,,,,,2.0,,5.0,,,,2.0,4.0,2.0,,,14.0,,,,,,,,257.0,,,,,,,,8.0,4.0,,,54.0,,,4191.0,,2076.0,,11.0,,,,,1671.0,,149.0,,,,,,,,,,,,,,,,,,10.0,37.0,,,,,,,,,1236.0,70.0,6.0,1.0,,
fi_tdt-ud-test,1555,0,1361,,,,,,,7.0,16.0,,,,,,,,,,,,,,,,,22.0,,,,7.0,,,,,,,,,2.0,,,,70.0,,,,,,,,,,,,,,,,,,3.0,,,,5.0,,,,,,,,38.0,,,,,,,,1.0,,,,5.0,,,517.0,,274.0,,3.0,,,,,202.0,,15.0,,,,,,,,,,,,,,,,,,9.0,3.0,,,,,,,,,153.0,8.0,1.0,,,
fi_tdt-ud-dev,1364,0,1225,,,,,,,9.0,22.0,,,,,,,,,,,,,,,,,24.0,,,,5.0,,,,,,,,,,,,,85.0,,,,,,,,,,,,,1.0,,,,,2.0,1.0,,,5.0,,,,,,,,16.0,,,,,,,,1.0,,,,4.0,,,431.0,,241.0,,1.0,,,,,209.0,,22.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,132.0,11.0,1.0,,,
sr_set-ud-test,520,0,647,,8.0,,,,,,6.0,,,,,,,,,,,,,,,7.0,,25.0,,,,11.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,15.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,498.0,,,,,,,,,9.0,,10.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,28.0,,8.0,,,
sr_set-ud-train,3328,0,4059,,43.0,,,,,,16.0,,,,,,,,,,,,,,,25.0,,152.0,,,,60.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,56.0,,,,,,,,,,,3.0,52.0,,,,,,,,,,,,,,,3120.0,,,,,,,,,53.0,,71.0,,,,,,,,,,,,,,,,,,1.0,59.0,,,,,,,,,276.0,,66.0,,,
sr_set-ud-dev,536,0,731,,9.0,,,,,,7.0,,,,,,,,,,,,,,,,,19.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,558.0,,,,,,,,,17.0,,16.0,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,42.0,,8.0,,,
ar_pud-ud-test,1000,0,824,,3.0,,,,,,11.0,,,,,,,,,,,,,,,,,20.0,,,,13.0,,,,,,,,,2.0,,,,,,,,2.0,,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,637.0,,,,,78.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,37.0,,7.0,,,
myv_jr-ud-test,921,0,1040,,2.0,,,,,1.0,4.0,,,,,,,,,,,,,,,5.0,,24.0,,,,1.0,,,,,,,,,122.0,,,,3.0,,,,,,,,,,,,,4.0,,,,11.0,2.0,,,,1.0,,,,,,,,63.0,,,,,,,,,,,,,,,520.0,,8.0,,,,1.0,,,133.0,,31.0,,,,,,,,,,,,,,,,,1.0,3.0,6.0,,,,,,,,,70.0,23.0,1.0,,,
myv_jr-ud-train,1217,0,1001,,1.0,,,,,,4.0,,,,,,,,,,,,,,,5.0,,20.0,,,,2.0,,,,,,,,,38.0,,,,1.0,,,,,,,,,,,10.0,,3.0,,,,1.0,1.0,,,,1.0,,,,,,,,120.0,,,,,,,,,,,,1.0,,,497.0,,39.0,,,,,,,137.0,,35.0,,,,,,,,,,3.0,,,,,,,8.0,3.0,1.0,,,,,,,,,51.0,16.0,3.0,,,
