Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,appos,appos:trans,cc,ccomp,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:coord,compound:lvc,compound:prt,compound:redup,conj:expl,csubj,csubj:pass,csubj:relcl,dep,discourse,dislocated,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:abs,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:obj,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obj:lvc,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:dat,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:path,obl:pmod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
mr_ufal-ud-train,373,0,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
si_stb-ud-test,100,0,87,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,1.0,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,24.0,,,,,,29.0,,5.0,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,10.0,,,,
ro_tuecl-ud-test,210,0,438,,2.0,,,,,5.0,,,,,,,,,,,2.0,9.0,,,6.0,,,,,,,,,,1.0,,,,2.0,,,,,,11.0,,,,,,,,,,,39.0,,,,,,,,121.0,,,6.0,,,94.0,,92.0,3.0,,,,,,,,,,,,1.0,,,1.0,2.0,,11.0,,,,,,16.0,6.0,8.0,,
ar_padt-ud-dev,909,0,1409,,1.0,,,,2.0,2.0,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,2.0,,8.0,,,,,2.0,,,,,,,,,3.0,,269.0,,,,,,,,278.0,,,19.0,,,456.0,,314.0,,1.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,,1.0,,43.0,,
ar_padt-ud-train,6075,0,9899,,11.0,,,,4.0,21.0,,,,,,,,,,,,41.0,,,45.0,,,,,,,,,,7.0,,,28.0,,97.0,,,,,6.0,,,,,,,,,26.0,,1738.0,,,,,,,,2139.0,,,100.0,,,3658.0,,1697.0,,25.0,,,,,,,,,,,,,,,7.0,,14.0,,,,,,18.0,,217.0,,
ar_padt-ud-test,680,0,1311,,2.0,,,,2.0,4.0,,,,,,,,,,,,6.0,,,5.0,,,,,,,,,,1.0,,,9.0,,6.0,,,,,2.0,,,,,,,,,4.0,,227.0,,,,,,,,297.0,,,10.0,,,509.0,,189.0,,5.0,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,29.0,,
lt_alksnis-ud-test,684,0,499,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,7.0,,,,,,,,,,,,,,288.0,,92.0,,105.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
lt_alksnis-ud-dev,617,0,528,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,6.0,,,,,,,,,,,,,,336.0,,50.0,,126.0,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,
lt_alksnis-ud-train,2341,0,2132,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,36.0,,,,,,,,6.0,,,,,,1468.0,,198.0,,387.0,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
cu_proiel-ud-train,18327,0,8261,,15.0,,,,,13.0,,32.0,,,,,,,,,,115.0,,,9.0,,,,,,,,,,,,,1.0,,8.0,,,,,1.0,,,,,,,,,,,76.0,,,,,,,,5.0,,,2.0,,,5110.0,,2500.0,,14.0,,,,,,,,,,,,,,,123.0,,2.0,,,,,,137.0,2.0,96.0,,
cu_proiel-ud-test,2096,0,1040,,3.0,,,,,,,3.0,,,,,,,,,,10.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,9.0,,,,,,,,3.0,,,,,,638.0,,342.0,,1.0,,,,,,,,,,,,,,,12.0,,,,,,,,11.0,,5.0,,
cu_proiel-ud-dev,2205,0,1040,,1.0,,,,,2.0,,4.0,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,1.0,,,,,,641.0,,324.0,,1.0,,,,,,,,,,,,,,,10.0,,,,,,,,16.0,,10.0,,
olo_kkpp-ud-test,106,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,4.0,1.0,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
olo_kkpp-ud-train,19,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,
la_llct-ud-dev,850,0,1608,,,,,,16.0,,,3.0,,,,,,,,,,223.0,,,,,,,,,,,,,,,,,,1.0,,14.0,78.0,1.0,,,,,,,,,,,,172.0,,,,,,,,16.0,,,39.0,,,494.0,,519.0,,10.0,,,,,,,,,,,,,,,,,6.0,,,,,,10.0,,6.0,,
la_llct-ud-test,884,0,1552,,,,,,14.0,,,6.0,,,,,,,,,,229.0,,,,,,,,,,,,,,,,,,2.0,,9.0,82.0,,,,,,,,,,,,,183.0,,,,,,,,11.0,,,27.0,,,537.0,,435.0,,5.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,10.0,,
la_llct-ud-train,7289,0,11573,,1.0,,,,75.0,5.0,,75.0,,,,,1.0,,,,,1927.0,,,2.0,,1.0,,,,,,,2.0,1.0,,,,,27.0,,28.0,447.0,,,6.0,,,,,,,,,,1180.0,,,,,,,,122.0,,,254.0,,,3404.0,,3781.0,1.0,96.0,,,,,,,,,,,,,,1.0,2.0,1.0,51.0,,,,,4.0,25.0,,53.0,,
hsb_ufal-ud-test,623,0,418,,5.0,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,68.0,,,,,,,,6.0,,,,,,243.0,,62.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
hsb_ufal-ud-train,23,0,24,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,12.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,557,,,,,,,,,,,,,,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,88.0,,,,,,,,4.0,,,,,,309.0,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,3605,,1.0,,,,,1.0,,,,,,,,,,,5.0,22.0,,,2.0,,,,,,,,,,,,,,10.0,,,,,,,12.0,,,,,,,,,,602.0,,,,,,,,35.0,,,,,,1974.0,,926.0,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,3.0,,4.0,,
sr_set-ud-dev,536,0,570,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,92.0,,,,,,,,5.0,,,,,,289.0,,178.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
ar_pud-ud-test,1000,0,688,,8.0,,,,1.0,44.0,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,6.0,,9.0,,,,,,,,94.0,,,6.0,,,417.0,,47.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,16.0,1.0,31.0,,
tr_framenet-ud-test,205,0,72,,,,,,,,,,,,,,,,,,,,,,3.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,910,,,,,,,,,,,,,,,,,,,1.0,,,72.0,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,29.0,,,,1.0,,622.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,76,,,,,,,,,,,,,,,,,,,,,,4.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,57.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bho_bhtb-ud-test,357,0,663,,2.0,,,,,,,,,,,,,,,,12.0,,,,1.0,,,,66.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,7.0,,381.0,,,,,,,,25.0,,,,,,2.0,,158.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,
ky_ktmu-ud-train,80,0,66,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,3.0,,22.0,,,,,,11.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
ky_ktmu-ud-test,701,0,522,,1.0,,,,,,,,,,,,,,,,6.0,,,,1.0,,,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,170.0,,,,,,5.0,,161.0,,,,,,87.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
la_proiel-ud-test,1260,0,801,,2.0,,,,,,,3.0,,,,,,,,,,19.0,,,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,,,,,,,,41.0,,,17.0,,,464.0,,204.0,,2.0,,,,,,,,,,,,,,,4.0,,,,,,,,17.0,,16.0,,
la_proiel-ud-dev,1233,0,821,,2.0,,,,,1.0,,2.0,,,,,,,,,,19.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,52.0,,,13.0,,,468.0,,216.0,,2.0,,,,,,,,,,,,,,,7.0,,1.0,,,,,,5.0,,19.0,,
la_proiel-ud-train,16196,0,10076,,25.0,,,,,23.0,,56.0,,,,,,,,,,249.0,,,47.0,,,,,,,,,,1.0,2.0,,7.0,,11.0,,,,,,,,,,,,,,,,162.0,,,,,,,,428.0,,2.0,212.0,,,5560.0,,2874.0,4.0,40.0,,,,,,,,,,,,,,,112.0,,2.0,,,,,,89.0,13.0,157.0,,
kpv_ikdp-ud-test,214,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,138,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,17.0,,,1.0,,,,,,113.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-train,20,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
tr_gb-ud-test,2880,0,533,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,513.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,1.0,,,,
grc_proiel-ud-test,1047,0,724,,2.0,,,,,3.0,,1.0,,,,,,,,,,20.0,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,21.0,,1.0,2.0,,,459.0,,179.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,7.0,,14.0,,
grc_proiel-ud-train,15016,0,9940,,16.0,,,,,41.0,,50.0,,,,,,,,,,274.0,,,46.0,,,,,,,,,,1.0,1.0,,,,18.0,,,,,,,,,,,,,,,,178.0,,,,,,,,358.0,,1.0,79.0,,,5688.0,,2733.0,,20.0,,,,,,,,,,,,,,,104.0,,4.0,,,,,,69.0,,259.0,,
grc_proiel-ud-dev,1019,0,714,,1.0,,,,,1.0,,2.0,,,,,,,,,,18.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,15.0,,,5.0,,,445.0,,188.0,,2.0,,,,,,,,,,,,,,,9.0,,,,,,,,2.0,,12.0,,
nds_lsdc-ud-train,500,0,708,,,,,,,4.0,,,,,,,,,,,2.0,,,,9.0,,,,,,,,,,,,,,,2.0,,,,,,4.0,,,,,,,,7.0,2.0,61.0,,,,,,3.0,,7.0,,,,,,246.0,,329.0,,4.0,,,,,,,,,,,,,,,9.0,,7.0,,,,,,10.0,,2.0,,
nds_lsdc-ud-test,500,0,794,,,,,,1.0,4.0,,,,,,,,,,,,5.0,,,2.0,,,,1.0,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,,,8.0,,97.0,,,,,,2.0,,4.0,,,,,,279.0,,370.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,3.0,,,,,,8.0,,3.0,,
fo_oft-ud-test,1208,0,261,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,28.0,,,,,,4.0,,7.0,,,,2.0,,94.0,,102.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,12.0,,2.0,,
ru_taiga-ud-train,16045,0,6935,,3.0,,,,1.0,4.0,,,,,,,,,,,,45.0,,,6.0,,,,5.0,,,,,,3.0,,,1.0,,,,,,,105.0,,,,,,,,,,,540.0,,,,,,,,3.0,,,1.0,1.0,2.0,3943.0,,2085.0,,,,,,,,,,,,,,,,1.0,27.0,,70.0,,,,,,84.0,,5.0,,
ru_taiga-ud-dev,946,0,401,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,30.0,,,,,,,,1.0,,,,,1.0,221.0,,123.0,,,,,,,,,,,,,,,,,4.0,,5.0,,,,,1.0,8.0,,,,
ru_taiga-ud-test,881,0,413,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,26.0,,,,,,,,,,,,,,259.0,,106.0,,,,,,,,,,,,,,,,,4.0,,3.0,,,,,,6.0,,,,
cs_cltt-ud-dev,316,0,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,12.0,,,,,,,,,,,87.0,,,,,,,,18.0,,,6.0,,,184.0,,46.0,,27.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,
cs_cltt-ud-train,467,0,490,,,,,,,7.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,114.0,,,,,,,,11.0,,,6.0,,,243.0,,51.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,4.0,,
cs_cltt-ud-test,338,0,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,72.0,,,,,,,,15.0,,,15.0,,,253.0,,81.0,,46.0,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,4.0,,
is_gc-ud-test,540,0,572,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,1.0,,,,,,,,1.0,,7.0,,,,,,215.0,,321.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
is_gc-ud-train,3960,0,4345,,,,,,1.0,22.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,3.0,89.0,,,,,,,,18.0,,,,,,,,4.0,,74.0,,,,,,1807.0,,2302.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,8.0,,
is_gc-ud-dev,500,0,606,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,17.0,,,,,,,,3.0,,,,,,,,,,12.0,,,,,,251.0,,313.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,
ota_boun-ud-train,114,0,83,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,9.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
ota_boun-ud-test,400,0,318,,4.0,,,,,2.0,,,,,,,,,,,14.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,23.0,,22.0,,,,,,234.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
ru_syntagrus-ud-train,69630,0,49562,,49.0,,,,3.0,121.0,,,,,,,,,,2.0,,230.0,,,4.0,,,,2.0,,,,,,9.0,,,,,,,,,,1273.0,6.0,,6.0,,,,,,,,3967.0,,,,,,,,14.0,,,1.0,2.0,72.0,29209.0,,13288.0,,,,,,,,,,,,,,,,315.0,118.0,,580.0,,,,,,285.0,,6.0,,
ru_syntagrus-ud-dev,8906,0,6048,,11.0,,,,1.0,25.0,,,,,,,,,,,,35.0,,,4.0,,,,1.0,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,437.0,,,,,,,,2.0,,,,,8.0,3641.0,,1577.0,,,,,,,,,,,,,,,,29.0,16.0,,80.0,,,,,,41.0,,,,
ru_syntagrus-ud-test,8800,0,6386,,8.0,,,,,9.0,,,,,,,,,,,,38.0,,,,,,,,,,,,,1.0,,,,,,,,,,172.0,,,,,,,,,,,430.0,,,,,,,,2.0,,,,,9.0,3795.0,,1770.0,,,,,,,,,,,,,,,,41.0,15.0,,61.0,,,,,,34.0,,1.0,,
grc_ptnk-ud-train,727,0,829,,,,,,3.0,5.0,,,,,,,,,,,,34.0,,,8.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,15.0,,,,,,,,25.0,,,1.0,,,474.0,,214.0,,,,,,,,,,,,,,,,,7.0,,2.0,,,,,,16.0,,19.0,,
grc_ptnk-ud-dev,439,0,516,,,,,,,,,,,,,,,,,,1.0,27.0,,,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,22.0,,,,,,,,6.0,,,3.0,,,294.0,,117.0,,,,,,,,,,,,,,,,,7.0,,6.0,,,,,,8.0,,16.0,,
grc_ptnk-ud-test,410,0,535,,,,,,5.0,1.0,,,,,,,,,,,,49.0,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,11.0,,,,,,,,9.0,,,5.0,,,307.0,,109.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,5.0,,24.0,,
sjo_xdt-ud-test,810,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akk_riao-ud-test,1874,0,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,86.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,201,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,5.0,,,,,2.0,,13.0,,,,,,,,3.0,,,,,1.0,115.0,,29.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,22.0,,,,
orv_birchbark-ud-dev,1062,0,360,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,3.0,,5.0,,,,,,,,,1.0,,,,,5.0,,14.0,,,,,,,,8.0,,,,,2.0,219.0,,66.0,,,,,,,,,,,,,,,,,7.0,,2.0,,,,,,21.0,,2.0,,
orv_birchbark-ud-test,1007,0,364,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,3.0,,14.0,,,,,,,,7.0,,,,,1.0,249.0,,59.0,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,19.0,,,,
is_icepahc-ud-dev,4865,0,5404,,12.0,,,,4.0,47.0,,,,,,,,,,,32.0,71.0,,,30.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,11.0,,,,,,,,27.0,,190.0,,,,1.0,,2230.0,,2684.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,39.0,7.0,12.0,,
is_icepahc-ud-train,34007,0,31140,,95.0,,,,33.0,213.0,,,,,,,,,,,101.0,610.0,,,227.0,,,,,,,,,,,,,22.0,3.0,,,,,,,,,,,,,,,112.0,,1.0,,,,,,133.0,,1323.0,,,,,,13174.0,,14683.0,,,,,,,,,,,,,,,,,,,11.0,,,,,,243.0,36.0,120.0,,
is_icepahc-ud-test,5157,0,5682,,23.0,,,,7.0,53.0,,,,,,,,,,,24.0,95.0,,,37.0,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,10.0,,,,,,,,42.0,,259.0,,,,,,2362.0,,2672.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,60.0,6.0,22.0,,
de_lit-ud-test,1920,0,1245,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,,,,,,,,2.0,,,,,,927.0,,194.0,,,,,,,,,,,,,,,,,6.0,,2.0,,,,,,5.0,,,,
ltg_cairo-ud-test,20,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
ru_poetry-ud-test,728,0,392,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,249.0,,109.0,,,,,,,,,,,,,,,,9.0,,,1.0,,,,,,4.0,1.0,,,
ru_poetry-ud-dev,789,0,392,,1.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,1.0,,,,,,236.0,,120.0,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,6.0,,,,
ru_poetry-ud-train,3569,0,1853,,1.0,,,,,,,,,,,,,,,,1.0,12.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,31.0,,,,,,,,,,,,,1.0,1070.0,,654.0,,,,,,,,,,,,,,,,36.0,12.0,,5.0,,,,,,27.0,1.0,,,
fo_farpahc-ud-test,301,0,387,,3.0,,,,1.0,1.0,,,,,,,,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,9.0,,,,,,192.0,,169.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
fo_farpahc-ud-train,1020,0,821,,,,,,1.0,,,,,,,,,,,,2.0,7.0,,,8.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,21.0,,,,,,467.0,,306.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
fo_farpahc-ud-dev,300,0,370,,4.0,,,,,,,,,,,,,,,,,8.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,178.0,,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
is_modern-ud-dev,394,0,393,,,,,,1.0,2.0,,,,,,,,,,,8.0,8.0,,,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,6.0,,,,,,149.0,,197.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,3.0,,
is_modern-ud-train,2703,0,3072,,6.0,,,,8.0,29.0,,,,,,,,,,,19.0,27.0,,,37.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,22.0,,,,,,,,27.0,,68.0,,,,,,1241.0,,1541.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,25.0,,13.0,,
is_modern-ud-test,438,0,522,,,,,,1.0,4.0,,,,,,,,,,,,16.0,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,3.0,,,,,,196.0,,287.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,1.0,,
koi_uh-ud-train,34,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,701,,,,,,,3.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,,31.0,,,,,,,,1.0,,,,,,459.0,,118.0,,57.0,,,,,,,,,,,,,,,4.0,,,,,,,,10.0,,2.0,,
cs_fictree-ud-train,10160,0,5627,,,,,,,9.0,,,,,,,,,,3.0,,63.0,,,2.0,,,,,,,,,,,,,34.0,,,,,,,4.0,,,,,,,,,23.0,,175.0,,,,,,,,,,,,,,3696.0,,1111.0,,387.0,,,,,,,,,,,,,,,30.0,,,,,,,,66.0,,24.0,,
cs_fictree-ud-test,1291,0,683,,,,,,,2.0,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,,19.0,,,,,,,,,,,,,,448.0,,130.0,,59.0,,,,,,,,,,,,,,,3.0,,,,,,,,7.0,,3.0,,
la_udante-ud-train,926,0,1366,,1.0,,,,11.0,12.0,,26.0,,,,,2.0,,,,,4.0,,,13.0,,,1.0,,,,,,12.0,28.0,3.0,,,,,,,,,,4.0,,,,,,,,,,14.0,,,,,,,,93.0,,,25.0,,,609.0,,384.0,2.0,51.0,,1.0,,,,,,10.0,,,,,,,33.0,,,,,,,,5.0,1.0,21.0,,
la_udante-ud-test,419,0,513,,,,,,1.0,6.0,,7.0,,,,,,,,,,,,,9.0,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,,,,40.0,,,13.0,,,234.0,,112.0,,36.0,,,,,,,,2.0,,,,,,,23.0,,,,,,,,,,19.0,,
la_udante-ud-dev,376,0,548,,,,,,1.0,3.0,,8.0,,,,,,1.0,,,,4.0,,,1.0,,,1.0,,,,,,4.0,2.0,,,,,,,,,,,3.0,,,,,,,,,,8.0,,,,,,,,14.0,,,13.0,,,279.0,,163.0,2.0,27.0,,,,,,,,1.0,,,,,,1.0,6.0,,,,,,,,,,6.0,,
