Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,amod,appos,ccomp,ccomp:cleft,ccomp:obj,compound,compound:lvc,compound:redup,csubj,csubj:pass,dep,discourse,dislocated,fixed,flat,flat:abs,flat:foreign,flat:name,flat:sibl,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:gobj,nmod:npmod,nmod:obl,nmod:poss,nmod:pred,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:inst,obl:instr,obl:lmod,obl:lvc,obl:manner,obl:path,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:rel,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:pred
ru_poetry-ud-train,3569,0,1124,,2.0,,,1.0,,,,,,,,,,,,,11.0,1.0,,,,,,2.0,,,,,,,,,,,430.0,,,76.0,,,,,,,,,,,,,4.0,383.0,92.0,,,,,,,,,,,,,,39.0,9.0,6.0,,,,,,42.0,1.0,25.0,,
myu_tudet-ud-test,158,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbp_ufal-ud-test,55,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,230,,3.0,,,2.0,5.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,137.0,,32.0,,,,,,,,,,,,,,1.0,,,,,,,11.0,,2.0,,
cs_fictree-ud-train,10160,0,1907,,2.0,,,10.0,18.0,,,,,,,,,,,,14.0,16.0,,,,,,5.0,,14.0,,,1.0,,,,,,,,,268.0,,,,,,,,,,,,,,1048.0,,408.0,,,,,,,,,,,,,,8.0,2.0,,,,,,79.0,,14.0,,
cs_fictree-ud-test,1291,0,228,,2.0,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,117.0,,52.0,,,,,,,,,,,,,,1.0,,,,,,,11.0,,2.0,,
hyw_armtdp-ud-test,680,0,163,,2.0,,,,,,,,,,,,,,,,1.0,,,,3.0,,1.0,,,,,,,,,,,,,,,7.0,,,,,2.0,,,,,,,,,137.0,,,,,,,,,,,,,,,,1.0,6.0,,,,,1.0,2.0,,,,
hyw_armtdp-ud-dev,694,0,160,,2.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,13.0,,,,,2.0,,,,,,,,,129.0,,,,,,,,,,,,,,,,,4.0,,,,,,5.0,,,,
hyw_armtdp-ud-train,5282,0,1190,,1.0,,,,1.0,,,,,,,,,,,,5.0,,,,3.0,2.0,1.0,,,3.0,,3.0,,,,,,,,,,108.0,,,,,39.0,,,,,,,,,951.0,3.0,,,,,,,,,,,,,,,4.0,37.0,,,,,,28.0,1.0,,,
sl_sst-ud-train,4558,0,325,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,213.0,,,,,,,,,,,,,,,,5.0,7.0,,,,,2.0,11.0,,,,
sl_sst-ud-test,1041,0,61,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,3.0,1.0,,,,,,3.0,,,,
sl_sst-ud-dev,505,0,94,,,,,,1.0,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,
ka_glc-ud-test,151,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,65,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,1.0,,,,,,,52.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
kk_ktb-ud-train,31,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,3139,5.0,21.0,,,53.0,30.0,,,,,,,,,,,,26.0,54.0,,,,,,6.0,1.0,41.0,,,14.0,,,,,,,,,675.0,,,,,,,,,,,,,,1152.0,,645.0,,,,,,,,,,,,,,12.0,5.0,,,,,,360.0,,39.0,,
cs_pdt-ud-dev,9270,0,2706,4.0,20.0,,,48.0,15.0,,,,,,,,,,,,26.0,39.0,,,,,,7.0,1.0,41.0,,,5.0,2.0,,,,,,,,594.0,,,,,,,,,,,,,,931.0,,573.0,,,,,,,,,,,,,,12.0,4.0,,,,,,341.0,,43.0,,
cs_pdt-ud-train,68491,0,20105,42.0,123.0,,,348.0,145.0,,,,,,,,,,,,215.0,293.0,,,,,,46.0,9.0,246.0,,,105.0,3.0,,1.0,,,,,,4427.0,,,,,,,,,4.0,1.0,,,,7065.0,,4282.0,,,,,,,,,,,,,,114.0,29.0,,,,,,2330.0,,277.0,,
ta_mwtt-ud-test,534,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-train,400,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,413,,2.0,,,1.0,2.0,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,6.0,,,,,,50.0,,,76.0,,,,,,,,,,,,,21.0,131.0,10.0,,,,,,,,,,,,,,,2.0,6.0,,,,,,16.0,,85.0,,
qtd_sagt-ud-test,805,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
qtd_sagt-ud-dev,801,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,24.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,
qtd_sagt-ud-train,578,0,20,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
krl_kkpp-ud-test,228,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,342,,,,,5.0,2.0,,,,,,,,,,,,1.0,,,6.0,,,,,,,,,6.0,,,,,,69.0,,,32.0,,22.0,1.0,,,,,2.0,,,,,,55.0,,67.0,1.0,,,,,,,,,,,,,,,,3.0,2.0,,,47.0,,2.0,,19.0
orv_torot-ud-test,2955,0,431,,2.0,,,,1.0,,,,,,,,,,,,9.0,,,,,,,,,,,2.0,,,,,,,,,,36.0,,,,,,,,,1.0,,,,2.0,298.0,16.0,39.0,,,,,,,,,,,,,,9.0,,,,,,,5.0,,11.0,,
orv_torot-ud-dev,3061,0,508,,,,,,3.0,,,1.0,,,,,,,,,9.0,,,,,,,,,,,1.0,,,,,,,,,,36.0,,,,,,,,,,,,,,389.0,15.0,28.0,,,,,,,,,,,,,,13.0,,,,,,,6.0,,7.0,,
orv_torot-ud-train,20480,0,3221,,13.0,,,,14.0,,,12.0,,,,,,,,,84.0,2.0,,,,,,,,,,3.0,,,,,,,,,,316.0,,,,,,,,,3.0,,,,,2268.0,130.0,227.0,,,,,,,,,,,,,,67.0,3.0,,,,,,31.0,1.0,47.0,,
cs_cac-ud-dev,603,0,219,,2.0,,,4.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,,,3.0,,,,,,,,,59.0,,,,,,,,,,,,,,105.0,,28.0,,,,,,,,,,,,,,,,,,,,,13.0,,1.0,,
cs_cac-ud-train,23478,0,9715,,55.0,,,156.0,66.0,,,,,,,,,,,,127.0,77.0,,,,,,21.0,5.0,60.0,,,93.0,4.0,,1.0,,,,,,2154.0,,,,,,,,,1.0,,,,,3631.0,,1983.0,,,,,,,,,,,,,,95.0,14.0,,,,,,1030.0,,142.0,,
cs_cac-ud-test,628,0,274,,1.0,,,6.0,3.0,,,,,,,,,,,,4.0,2.0,,,,,,,1.0,3.0,,,2.0,,,,,,,,,41.0,,,,,,,,,,,,,,121.0,,56.0,,,,,,,,,,,,,,4.0,,,,,,,24.0,,6.0,,
eu_bdt-ud-train,5396,0,331,,,,,,4.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,303.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
eu_bdt-ud-test,1799,0,100,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,128,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,1.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
fi_ftb-ud-train,14981,0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,
fi_ftb-ud-test,1867,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
pl_lfg-ud-test,1727,0,188,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,1.0,142.0,,,,,,,,,,,,,,,,,,,,,,,17.0,,6.0,,
pl_lfg-ud-train,13774,0,1705,,,,,2.0,7.0,,,,,,,,,,,,8.0,7.0,,2.0,,,,2.0,,,,,,1.0,,,,,,,,183.0,,,,,,,,,,,,,7.0,1222.0,,,,,,,,,,,,,,,,,,,,,,,181.0,,83.0,,
pl_lfg-ud-dev,1745,0,207,,,,,,1.0,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,1.0,153.0,,,,,,,,,,,,,,,,,,,,,,,16.0,,9.0,,
tr_tourism-ud-train,15473,0,300,,,,,,9.0,,,,,,,,,,,5.0,,2.0,,,4.0,,,,,1.0,2.0,,1.0,,,,,,,,,54.0,,,,,,,,,96.0,,,,15.0,107.0,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,1.0,,
tr_tourism-ud-dev,2166,0,46,,,,,,5.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,21.0,,,,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
tr_tourism-ud-test,2191,0,34,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,14.0,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab_abnc-ud-test,263,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,147,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,15.0,,,,,,,,,,,,1.0,,106.0,6.0,9.0,,,,,,,,,,,,,,3.0,1.0,,,,,,3.0,,,,
ru_gsd-ud-test,601,0,212,,,,,2.0,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,6.0,,,,,,22.0,,,42.0,,,,,,,,,,,,,12.0,56.0,8.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,5.0,,52.0,,
ru_gsd-ud-dev,579,0,215,,,,,2.0,1.0,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,24.0,,,49.0,,,,,,,,,,,,,31.0,39.0,28.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,3.0,,31.0,,
ru_gsd-ud-train,3850,0,1452,,14.0,,,9.0,3.0,,,,,,,,,,,,26.0,2.0,,,,,,,,,,,3.0,,,,,,131.0,,,393.0,,,,,,,,,,,1.0,,179.0,302.0,147.0,,,,,,,,,,,,,,,6.0,7.0,,,,,,46.0,,183.0,,
tr_imst-ud-train,3435,0,286,,1.0,,,,1.0,,,,,,,,,,,8.0,1.0,,,,4.0,,,,,,1.0,,,1.0,,,,,,,,61.0,,,,,,,1.0,,7.0,,,,15.0,182.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
tr_imst-ud-dev,1100,0,107,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,27.0,,,,,,,1.0,,,,,,7.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-test,1100,0,81,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,14.0,,,,,,,7.0,,4.0,,,,2.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,123,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,6.0,,,,,,,2.0,,2.0,,,,8.0,99.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,
tr_boun-ud-test,979,0,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,,,,2.0,,1.0,,,,10.0,79.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
tr_boun-ud-train,7803,0,905,,,,,,1.0,,,,,,,,,,,5.0,1.0,1.0,,,2.0,,3.0,,,,1.0,,,2.0,,,,,4.0,,,45.0,,,,,,,15.0,,10.0,,,,80.0,724.0,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
tr_penn-ud-dev,622,0,42,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,34,,,,,,4.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-train,14850,0,813,,,,,,11.0,,,,,,,,,,,8.0,4.0,4.0,,,7.0,,,,,,5.0,,3.0,,,,,,,5.0,,219.0,,,,,,,,,1.0,,,,56.0,479.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,4.0,,
