Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,appos,case:loc,ccomp,ccomp:obj,clf,compound,compound:lvc,compound:redup,csubj,csubj:cop,csubj:outer,csubj:pass,dep,discourse,dislocated,fixed,flat,flat:foreign,flat:name,flat:range,flat:sibl,iobj,list,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:lmod,nmod:npmod,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:soc,obl:source,obl:subj,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,parataxis:trans,reparandum,root,vocative,vocative:cl,xcomp,xcomp:pred,xcomp:result
ru_syntagrus-ud-train,69630,0,28956,,53.0,,,,,53.0,108.0,,,,,,,,,,,,,123.0,,58.0,,,,,,2.0,,,,,,,1337.0,3.0,3.0,,,,,,7431.0,,,,,,,,,6.0,,1.0,,16.0,1.0,18424.0,,,,,,,,,,,,,,,1.0,65.0,512.0,,,,,,,754.0,,,5.0,,
ru_syntagrus-ud-dev,8906,0,3638,,8.0,,,,,6.0,18.0,,,,,,,,,,,,,25.0,,7.0,,,1.0,,,1.0,,,,,,,154.0,,2.0,,,,,,918.0,,,,,,,,,1.0,,,,2.0,,2328.0,,,,,,,,,,,,,,,,14.0,66.0,,,,,,,87.0,,,,,
ru_syntagrus-ud-test,8800,0,3830,,14.0,,,,,6.0,13.0,,,,,,,,,,,,,8.0,,7.0,,,1.0,,,,,,,,,,151.0,,,,,,,,952.0,,,,,,,,,2.0,,,,1.0,,2488.0,,,,,,,,,,,,,,,,25.0,79.0,,,,,,,82.0,,,1.0,,
sjo_xdt-ud-test,810,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,57,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,2.0,,,,,5.0,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
orv_birchbark-ud-dev,1062,0,72,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,1.0,,,,,,36.0,,,,,,,,,,,,,,,,1.0,,,,,,,,16.0,,,,,
orv_birchbark-ud-test,1007,0,85,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,1.0,41.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,19.0,,,,,
ltg_cairo-ud-test,20,0,3,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,190,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,30.0,,,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,20.0,,,,,
ru_poetry-ud-dev,789,0,188,,1.0,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,28.0,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,
ru_poetry-ud-train,3569,0,968,,2.0,,,,,1.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,122.0,,,,,,,,,,,,,,,747.0,,,,,2.0,,,,,,,,,,,2.0,11.0,,,,,,,74.0,,,,,
wbp_ufal-ud-test,55,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,334,,,,,,,2.0,2.0,,,,,,,,,,,,,8.0,,2.0,,,,,,,,,,11.0,,,1.0,,,,,,,,52.0,,,,,,,,,,,,,,,230.0,,16.0,,,,,,,,,,,,,,1.0,,,,,,,,9.0,,,,,
cs_fictree-ud-train,10160,0,2417,,1.0,,,,,5.0,15.0,,,,,,,,,,,,,16.0,,25.0,,,,,,1.0,,,,79.0,,,9.0,,,,,,,,429.0,,,,,,,,,,,,,,,1616.0,,116.0,,,,,,,,,,,,,,4.0,2.0,,,,,,,91.0,,,8.0,,
cs_fictree-ud-test,1291,0,299,,,,,,,2.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,10.0,,,2.0,,,,,,,,48.0,,,,,,,,,,,,,,,212.0,,10.0,,,,,,,,,,,,,,1.0,,,,,,,,10.0,,,1.0,,
hyw_armtdp-ud-test,680,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,429,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,403.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
sme_giella-ud-test,865,0,362,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,337.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
sl_sst-ud-train,4558,0,1143,,,,,,,,2.0,,,,,,,,,,,,,26.0,,,,,,,,1.0,,,,,13.0,,6.0,,,,,,,,154.0,,,,,,,,,,,,,,1.0,838.0,,,,,,,,,,,,,,,,44.0,10.0,,,,1.0,,11.0,36.0,,,,,
sl_sst-ud-test,1041,0,189,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,7.0,,,,,,,,,,26.0,,,,,,,,,,,,,,1.0,136.0,,,,,,,,,,,,,,,,5.0,3.0,,,,,,1.0,7.0,,,,,
sl_sst-ud-dev,505,0,322,,1.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,4.0,,2.0,,,,,,,,44.0,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,5.0,2.0,,,,,,1.0,8.0,,,,,
kk_ktb-ud-test,1047,0,275,,1.0,,,,,,2.0,,,,,,,,,,,,42.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,16.0,,,,,,,1.0,,,,,,,,187.0,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,17.0,,,,,
kk_ktb-ud-train,31,0,17,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,4903,2.0,10.0,,,,,21.0,11.0,,,,,,,,,,,,,33.0,,10.0,,,,,,1.0,,,,67.0,,,193.0,,,,,,,,1336.0,,,,,,,,,,,,,,,2786.0,,308.0,,,,,,,,,,,,,,23.0,2.0,,,,,,,93.0,,,7.0,,
cs_pdt-ud-dev,9270,0,4461,4.0,10.0,,,,,10.0,13.0,,,,,,,,,,,,,23.0,,9.0,,,,,,,,,,76.0,,,165.0,,,,,,,,1254.0,,,,,,,,,2.0,,,,,,2469.0,,298.0,,,,,,,,,,,,,,22.0,2.0,,,,,,,102.0,,,2.0,,
cs_pdt-ud-train,68491,0,32994,33.0,53.0,,,,,80.0,87.0,,,,,,,,,,,,,223.0,,110.0,,,,,,23.0,,,7.0,580.0,,,1292.0,1.0,,,,,,,9081.0,,,,,,,,,3.0,,,,,,18513.0,,1994.0,,,,,,,,,,,,,,150.0,10.0,,,,,,,702.0,,,52.0,,
gn_oldtudet-ud-test,59,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_mwtt-ud-test,534,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,18.0,,,,,,,,,15.0,,,,,,3.0,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,160,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,2.0,,1.0,,,,,,1.0,,4.0,,,,,,,,19.0,,,,,,,,13.0,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-dev,900,0,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,22.0,,,,,,,,10.0,,,,,,1.0,114.0,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,
ug_udt-ud-train,1656,0,290,,,,,,,,1.0,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,5.0,,,,,,,238.0,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,,,,
lzh_kyoto-ud-dev,6102,0,1625,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,3.0,93.0,,,,,,,,,,,34.0,,,,,1.0,2.0,413.0,,,,,,,,,344.0,3.0,,,,501.0,23.0,,,,,,,,,156.0,,,,,,,,4.0,,,,,,,46.0,,,,,
lzh_kyoto-ud-train,74609,0,19993,,14.0,,,,,,9.0,,,,,,,,,,,,27.0,,,12.0,,31.0,1135.0,,6.0,7.0,,,,,,6.0,,424.0,,,,,35.0,16.0,5603.0,,,,,,,,,3043.0,50.0,,,,5885.0,257.0,,,,,,,,,2948.0,,,,,,6.0,,23.0,,,,,,,455.0,,,1.0,,
lzh_kyoto-ud-test,5528,0,1131,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,146.0,,3.0,,,,,,,3.0,,31.0,,,,,3.0,2.0,210.0,,,,,,,,,162.0,4.0,,,,345.0,10.0,,,,,,,,,176.0,,,,,,,,4.0,,,,,,,29.0,,,,,
lv_lvtb-ud-test,2412,0,1291,,7.0,,,,,,1.0,,,,,,,,,,,,,8.0,,4.0,,,,,,,,,,8.0,2.0,,,,,,,,3.0,,175.0,,,,,,,,,1.0,,,,,,1052.0,,,,,,,,,,,,,,,,19.0,2.0,,,,,,,9.0,,,,,
lv_lvtb-ud-train,14358,0,8919,,40.0,,,,,,2.0,,,,,,,,,,,,,65.0,,16.0,,,1.0,,,2.0,,,1.0,49.0,55.0,,1.0,,,,,,21.0,,1207.0,,,,,,,,,,,,,,,7285.0,,,,,,,,,,,,,,,,93.0,22.0,,,,,,,57.0,,,2.0,,
lv_lvtb-ud-dev,2080,0,1207,,10.0,,,,,,2.0,,,,,,,,,,,,,20.0,,,,,,,,,,,,5.0,10.0,,,1.0,,,,,,,178.0,,,,,,,,,,,,,,,946.0,,,,,,,,,,,,,,,,24.0,3.0,,,,,,,8.0,,,,,
ta_ttb-ud-train,400,0,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,14.0,,,,,,,,,,,,,,1.0,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xum_ikuvina-ud-test,133,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,624,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,33.0,,,,,,,,144.0,,,,,,,,,,,,,,,430.0,,,,,,,,,,,,,,,,5.0,2.0,,,,,,,6.0,,,,,
qtd_sagt-ud-test,805,0,125,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,10.0,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,3.0,1.0,,,,2.0,1.0,5.0,,,,,
qtd_sagt-ud-dev,801,0,107,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,2.0,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,
qtd_sagt-ud-train,578,0,95,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,83.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,2.0,,
pl_pud-ud-test,1000,0,602,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,104.0,,24.0,4.0,,,,,,,,,,,,313.0,,74.0,,7.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,
orv_torot-ud-test,2955,0,419,,6.0,,,,,,8.0,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,2.0,,,,,,,,,25.0,,,,,,,,,1.0,,,,,2.0,311.0,,,,,,,,,,,,,,,,12.0,,,,,,,,21.0,,,6.0,,
orv_torot-ud-dev,3061,0,440,,3.0,,,,,,3.0,,,1.0,,,,,,,,,,28.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,25.0,,,,,,,,,1.0,,,,,1.0,324.0,,,,,,,,,,,,,,,,20.0,,,,,,,,23.0,,,9.0,,
orv_torot-ud-train,20480,0,3132,,37.0,,,,,,52.0,,,10.0,,,,,,,,,,183.0,,8.0,,,,,,1.0,,,,,,13.0,1.0,,,,,,,,211.0,,,,,,,,,4.0,,,,,9.0,2268.0,,7.0,,,,,,,,,,,,,,111.0,,,,,,,,166.0,,,51.0,,
cs_cac-ud-dev,603,0,346,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,4.0,,,27.0,,,,,,,,129.0,,,,,,,,,,,,,,,161.0,,11.0,,,,,,,,,,,,,,2.0,,,,,,,,5.0,,,2.0,,
cs_cac-ud-train,23478,0,15092,1.0,14.0,,,,,41.0,46.0,,,,,,,,,,,,,128.0,,23.0,,,,,,12.0,,,,161.0,,,882.0,,4.0,,,,,,4350.0,,,,,,,,,1.0,,,,,,8304.0,,716.0,,,,,,,,,,,,,,99.0,4.0,,,,,,,267.0,,,39.0,,
cs_cac-ud-test,628,0,340,,,,,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,5.0,,,15.0,,,,,,,,76.0,,,,,,,,,,,,,,,212.0,,16.0,,,,,,,,,,,,,,3.0,1.0,,,,,,,3.0,,,3.0,,
eu_bdt-ud-train,5396,0,968,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,7.0,,,,,,,894.0,,,,,,,,,8.0,,,,,4.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,,
eu_bdt-ud-test,1799,0,311,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,2.0,,,,,,,293.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,
eu_bdt-ud-dev,1798,0,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,272.0,,,,,,,,,2.0,,,,,2.0,12.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
eme_tudet-ud-test,913,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,
pl_lfg-ud-test,1727,0,280,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,239.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
pl_lfg-ud-train,13774,0,2532,,,,,,,,2.0,,,,,,,,,,,,,8.0,,3.0,,,,,,,,,,,,,,,,,,,,,349.0,,,,,,,,,,,,,,,2126.0,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,1.0,,
pl_lfg-ud-dev,1745,0,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,247.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,1.0,,
tr_tourism-ud-train,15473,0,591,,2.0,,,,,,27.0,,,,,,,,,,,,16.0,,,,,,4.0,,,,,,,2.0,3.0,,,3.0,,,,,,,220.0,,,,,,,,,4.0,,,,,9.0,263.0,,,,,,,,,,,,,,,,,7.0,,,,,,,28.0,,,3.0,,
tr_tourism-ud-dev,2166,0,97,,,,,,,,6.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
tr_tourism-ud-test,2191,0,97,,1.0,,,,,,3.0,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,1.0,,3.0,50.0,,,,,,,,,,,,,,,,,3.0,,,,,,,6.0,,,,,
ab_abnc-ud-test,263,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,161,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,134.0,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
ru_gsd-ud-test,601,0,415,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,13.0,,,,,,,,75.0,,,,,,,,,,,,,,,307.0,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,6.0,,,,,
ru_gsd-ud-dev,579,0,389,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,7.0,,,,,,,1.0,90.0,,,,,,,,,,,,,,,285.0,,,,,,,,,,,,,,,,,1.0,,,,,,,4.0,,,,,
ru_gsd-ud-train,3850,0,2653,,,,,,,1.0,,,,,,,,,,,,,2.0,30.0,,,,,,,,,,,,,,,31.0,,,,,,,6.0,666.0,,,,,,,,,1.0,,1.0,,,,1870.0,,,,,,,,,,,,,,,,18.0,15.0,,,,,,,12.0,,,,,
aqz_tudet-ud-test,343,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,764,,5.0,,,,,,8.0,,,,,,,,,,,,3.0,1.0,,2.0,,,16.0,,1.0,,,,,,,,,15.0,,,,,,,113.0,,,,,,,,,2.0,,,,,1.0,573.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,
tr_imst-ud-dev,1100,0,202,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,,,,8.0,,,,,,,32.0,,,,,,,1.0,,1.0,,,,,1.0,145.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
tr_imst-ud-test,1100,0,159,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,4.0,,,,,,,,,,,3.0,,,,,,,23.0,,,,,,,1.0,,,,,,,1.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
lv_cairo-ud-test,20,0,2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,338,,2.0,,,,,,2.0,,,,,,,,,,,,12.0,1.0,,2.0,,,6.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,2.0,289.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,15.0,,,1.0,,
tr_boun-ud-test,979,0,402,,3.0,,,,,,2.0,,,,,,,,,,,,29.0,,,2.0,,,6.0,,,,,,,,1.0,,,2.0,,,,,,,4.0,,,,,,,2.0,,,,,,,2.0,327.0,,,,,,,,,,,,,,,2.0,,,,,,,,,20.0,,,,,
tr_boun-ud-train,7803,0,2789,,15.0,,,,,,16.0,,,,,,,,,,,,42.0,2.0,,8.0,,,26.0,,5.0,4.0,,,,,15.0,,,7.0,,,,,,,38.0,,,,,,,7.0,,2.0,,,,,12.0,2388.0,,,,,,,,,,,,,,,93.0,1.0,3.0,,,,,,,103.0,,,2.0,,
tr_penn-ud-dev,622,0,189,,,,,,,,6.0,,,,,,,,,,,,2.0,,,,,,8.0,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,135.0,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,1.0,,
tr_penn-ud-test,924,0,266,,,,,,,,19.0,,,,,,,,,,,,7.0,,,,,,11.0,,,,,,,,3.0,,,1.0,,,,,,,66.0,,,,,,,,,,,,2.0,,,146.0,,,,,,,,,,,,,,,,,1.0,,,,,,,10.0,,,,,
tr_penn-ud-train,14850,0,4556,,3.0,,,,,,110.0,,,,,,,,,,,,154.0,3.0,,10.0,,1.0,217.0,,,,,,,,36.0,,17.0,23.0,,,,,,2.0,1139.0,,,,,,,,1.0,8.0,,,16.0,,43.0,2585.0,,,,,,,,,,,,,,,,,9.0,,,,,,,156.0,,,23.0,,
