Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,amod,appos,appos:trans,ccomp,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:coord,compound:lvc,compound:name,compound:nn,compound:prt,compound:redup,conj:expl,csubj,csubj:cop,csubj:pass,csubj:relcl,dep,discourse,dislocated,dislocated:csubj,dislocated:obj,fixed,flat,flat:abs,flat:foreign,flat:gov,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,iobj:appl,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:part,nmod:poss,nmod:pre,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:appl,obj:caus,obl,obl:agent,obl:appl,obl:arg,obl:benef,obl:cau,obl:cmp,obl:cmpr,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:smod,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:pred
wo_wtb-ud-test,470,0,327,,,,,,,2.0,,,,,,,,,,,,13.0,,6.0,,,,5.0,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,11.0,,,49.0,,,,,,,,,,,,46.0,,,,,,,62.0,2.0,4.0,77.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,13.0,,3.0,,
wo_wtb-ud-train,1188,0,636,,4.0,,,,,3.0,4.0,,,,,,,,,,,16.0,,3.0,,,,3.0,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,16.0,1.0,,75.0,,,,,,,,,,,,72.0,,,,,,,153.0,,9.0,185.0,,7.0,,,,,,,,,,,,,,,1.0,8.0,,,,,,29.0,,1.0,,
cs_pud-ud-test,1000,0,1167,,2.0,,,,,,2.0,,,,,,,,,,,16.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,822.0,,,,,,,,,,,,27.0,,,5.0,,,,31.0,,,210.0,,,37.0,,,,,,,,,,,,,,2.0,,,,,,,7.0,,,,
orv_ruthenian-ud-test,390,0,362,,,,,,,,1.0,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,7.0,,,,,,,79.0,,,115.0,,,,,,,,,,,,,,,,2.0,7.0,1.0,,,,,,3.0,,,,
orv_ruthenian-ud-train,2789,0,4011,,4.0,,,,,26.0,5.0,,,,,,,,,,,497.0,,3.0,,,,2.0,,,,,,,,1.0,,,,,,3.0,,,1.0,,,,,10.0,,,,,2.0,,,1686.0,,,,,,,,,,,,88.0,,,7.0,4.0,,8.0,601.0,,,869.0,1.0,,,,,,,,,,,,,,,44.0,74.0,6.0,,,,,4.0,59.0,,6.0,,
orv_ruthenian-ud-dev,344,0,237,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,12.0,,,,,,,76.0,,,28.0,,,,,,,,,,,,,,,,,10.0,,,,,,,10.0,,,,
ml_ufal-ud-test,218,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,37.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,87,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,61.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
de_pud-ud-test,1000,0,450,,,,,,,,,,,,,,,,,,,2.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.0,,,,,,,,,9.0,,,,,,,,,,3.0,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-test,491,0,724,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,658.0,,,,,,,,,,,,,,,,,,,1.0,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-train,3747,0,5627,,,,,,,,1.0,,,,,,,,,,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,,,5126.0,,,,,,,,,,,1.0,2.0,,,,,,,1.0,,,246.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
ro_simonero-ud-dev,443,0,765,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,700.0,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq_tsa-ud-test,60,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,43.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar_padt-ud-dev,909,0,6015,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,14.0,,,,,85.0,,,,,,,,,,,,,4091.0,,,,,,,,,,,,25.0,,,,,,,,,,1023.0,,,677.0,,,,,,,,,,,,,,3.0,3.0,,,,,,8.0,,12.0,,
ar_padt-ud-train,6075,0,47759,,3.0,,,,,2.0,3.0,,,,,,,,,,1.0,269.0,,5.0,,,,,,,,,,,,,,,,65.0,,2.0,,,844.0,,,,,,,,,,,,,33160.0,,,,,,,,,,,,116.0,,,1.0,,,,,,,7117.0,,,5960.0,,,,,,,,,,,,,,45.0,18.0,,,,,,45.0,,103.0,,
ar_padt-ud-test,680,0,6196,,,,,,,,,,,,,,,,,,,27.0,,2.0,,,,,,,,,,,,,,,,11.0,,,,,101.0,,,,,,,,,,,,,4262.0,,,,,,,,,,,,18.0,,,,,,,,,,901.0,,,848.0,,,,,,,,,,,,,,3.0,,,,,,,7.0,,16.0,,
lt_alksnis-ud-test,684,0,970,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,634.0,,,,,,,,,,,,2.0,,,,,,,,,,83.0,,,244.0,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,
lt_alksnis-ud-dev,617,0,1423,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,1060.0,,,,,,,,,,,,3.0,,,,,,,,,,32.0,,,303.0,,,,,,,,,,,,,,,1.0,,,,,,9.0,,,,
lt_alksnis-ud-train,2341,0,6400,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,43.0,,,,,,,,,,,,4794.0,,,,,,,,,,,,18.0,,,6.0,,,,,,,165.0,,,1332.0,,,,,,,,,,,,,,,18.0,,,,,,13.0,,1.0,,
cu_proiel-ud-train,18327,0,6377,,33.0,,,,,,25.0,,19.0,,,,,,,,,240.0,,7.0,,,,,,,,,,,,,,,,96.0,,13.0,,,6.0,,,,,,,,,,,,,2155.0,,,,,,,,,,,,74.0,,,2.0,,,,1217.0,,,1562.0,72.0,,601.0,,,,,,,,,,,,,,60.0,15.0,,,,,,91.0,12.0,77.0,,
cu_proiel-ud-test,2096,0,853,,5.0,,,,,,1.0,,4.0,,,,,,,,,24.0,,1.0,,,,,,,,,,,,,,,,10.0,,2.0,,,1.0,,,,,,,,,,,,,292.0,,,,,,,,,,,,21.0,,,,,,,161.0,,,209.0,32.0,,69.0,,,,,,,,,,,,,,3.0,,,,,,,7.0,1.0,10.0,,
cu_proiel-ud-dev,2205,0,751,,2.0,,,,,,1.0,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,4.0,,3.0,,,1.0,,,,,,,,,,,,,272.0,,,,,,,,,,,,6.0,,,,,,,141.0,,,201.0,5.0,,57.0,,,,,,,,,,,,,,5.0,,,,,,,2.0,,13.0,,
olo_kkpp-ud-test,106,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,45.0,,,,,,,,,,5.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,18,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,273,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,96.0,,,,,1.0,,,,25.0,,,1.0,,,,,,,85.0,,,13.0,,,,,4.0,3.0,,,,,27.0,,,,,12.0,,,,,,,,1.0,,,,
mdf_jr-ud-train,20,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
vep_vwt-ud-test,103,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,3.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,444,,1.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,417.0,,,,,,,,,,,,3.0,,,1.0,,,,,,,3.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,524,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,513.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
la_llct-ud-train,7289,0,5331,,,,,,,33.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,5225.0,,,,,,,,,,,,2.0,,,2.0,,,,1.0,,,13.0,,,42.0,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,3.0,,3.0,,
hsb_ufal-ud-test,623,0,542,,,,,,,,,,,,,,,,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,387.0,,,,,,,,,,,,25.0,,,,,,,24.0,,,88.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,3.0,,1.0,,
hsb_ufal-ud-train,23,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,10741,,,,,,,,9.0,,,,,,,,,,4.0,49.0,,5.0,,,,1.0,,,,11.0,2.0,,,,,,,,,,,,,8.0,,1.0,,10.0,,,,,,,,188.0,,,,,1069.0,326.0,,,5767.0,,,585.0,79.0,1.0,,,,,1482.0,,,1072.0,,,,,,,,,,,,,,,,,27.0,2.0,,,,,,40.0,,1.0,2.0,
fi_tdt-ud-test,1555,0,1405,,,,,,,,1.0,,,,,,,,,,1.0,7.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,24.0,,,,,192.0,45.0,,,734.0,,,74.0,13.0,,,,,,200.0,,,100.0,,,,,,,,,,,,,,,,,2.0,,,,,,,5.0,,,,
fi_tdt-ud-dev,1364,0,1194,,,,,,,,2.0,,,,,,,,,,2.0,3.0,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,30.0,,,,,140.0,34.0,,,599.0,,,56.0,8.0,,,,,,195.0,,,110.0,,,,,,,,,,,,,,,,,,1.0,,,,,,7.0,,,,
sr_set-ud-test,520,0,919,,,,,,,,1.0,,,,,,,,,,2.0,15.0,,3.0,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,549.0,,,,,,,,,,,,21.0,,,,,,,24.0,,,264.0,,,,,,,,,,,,,,,,,,11.0,,,,,,7.0,,,,
sr_set-ud-train,3328,0,5827,,4.0,,,,,,2.0,,,,,,,,,,6.0,66.0,,7.0,,,,,,,,,,,,,,,,1.0,1.0,,,,3.0,141.0,,,,,,,,,,,3.0,3320.0,,,,,,,,,,,,195.0,,,,,,,181.0,,,1743.0,,,,,,,,,,,,,,,,,4.0,110.0,,,,,,34.0,,6.0,,
sr_set-ud-dev,536,0,896,,1.0,,,,,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,1.0,19.0,,,,,,,,,,,,513.0,,,,,,,,,,,,35.0,,,,,,,27.0,,,273.0,,,,,,,,,,,,,,,,,,15.0,,,,,,3.0,,,,
ar_pud-ud-test,1000,0,3629,,11.0,,,,,1.0,3.0,,,,,,,,,,,31.0,,,,,,3.0,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,2.0,,,1926.0,,,,,,,,,,,,69.0,,,2.0,1.0,,,94.0,,,1437.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,8.0,,1.0,,
myv_jr-ud-test,921,0,702,,,,,,,,,,,,,,,,,,,7.0,,,,,,10.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,290.0,,,,,9.0,5.0,,,8.0,,,4.0,,,,,,,274.0,,,85.0,,,,,,1.0,,,,,3.0,,,,,2.0,1.0,,,,,,,2.0,,,,
myv_jr-ud-train,1217,0,578,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,2.0,,,,,3.0,,,,,,,,215.0,,,,,18.0,3.0,,,20.0,,,7.0,2.0,,,,,,214.0,,,69.0,,,,,,,,,,,3.0,,2.0,,,2.0,3.0,,,,,,,5.0,6.0,,,
tr_framenet-ud-test,205,0,30,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,368,,,,,,,,,,,,,,,,,,,,,3.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0,,,,,,,,,,,,38.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,28,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,294,,5.0,,,,,,,,,,,,,,,,3.0,,,4.0,,,,3.0,,,,,,,,2.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,154.0,,,,,,,,,31.0,,,33.0,,,,,,,32.0,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
la_proiel-ud-test,1260,0,418,,,,,,,,1.0,,,,,,,,,,,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,,,,,,,,,,,,7.0,,,,,,,1.0,,,9.0,,,6.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,
la_proiel-ud-dev,1233,0,358,,2.0,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,320.0,,,,,,,,,,,,7.0,,,,,,,1.0,,,6.0,,,5.0,,,,,,,,,,,,,,,1.0,,,,,,8.0,,1.0,,
la_proiel-ud-train,16196,0,4796,,35.0,,,,,,10.0,,,,,,,,,,,63.0,,19.0,,,,,,,,,,,,1.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,4370.0,,,,,,,,,,,,71.0,,,7.0,,,,19.0,,,60.0,,,60.0,,,,,,,,,,,,,,5.0,1.0,,,,,,47.0,4.0,20.0,,
kpv_ikdp-ud-test,214,0,19,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,1.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
kpv_lattice-ud-test,643,0,39,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,16.0,,,,,,,,,10.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
tt_nmctt-ud-test,148,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpu_tudet-ud-test,37,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
tr_gb-ud-test,2880,0,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,,,,,,,,18.0,,,,67.0,,,,,,,,,,12.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
sv_lines-ud-dev,1032,0,82,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,76.0,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv_lines-ud-train,3176,0,280,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,262.0,,,1.0,,,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
sv_lines-ud-test,1035,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,68.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
grc_proiel-ud-test,1047,0,490,,5.0,,,,,,1.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,247.0,,,,,,,,,,,,18.0,,,4.0,,,,5.0,,,142.0,9.0,,40.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,9.0,,
grc_proiel-ud-train,15016,0,7356,,29.0,,,,,,46.0,,9.0,,,,,,,,,204.0,,13.0,,,,,,,,,,,,,,,,1.0,,13.0,,,,,,,,,,,,,,,,3878.0,,,,,,,,,,,,220.0,,,49.0,,,,67.0,,,1978.0,148.0,,481.0,,,,,,,,,,,,,,70.0,7.0,,,,,,93.0,,50.0,,
grc_proiel-ud-dev,1019,0,513,,1.0,,,,,,2.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,,,,,,,,,,,,24.0,,,5.0,,,,7.0,,,136.0,16.0,,35.0,,,,,,,,,,,,,,4.0,,,,,,,3.0,,9.0,,
nds_lsdc-ud-train,500,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
nds_lsdc-ud-test,500,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,3.0,,,,,,,,,,1.0,,,9.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,
fo_oft-ud-test,1208,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,14.0,,,2.0,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,1.0,,
ru_taiga-ud-train,16045,0,8587,,5.0,,,,,1.0,5.0,,,,,,,,,,,58.0,,10.0,,,,1.0,,,,,,,,2.0,,,,1.0,,,,,45.0,63.0,,,,1.0,,,,,,,2.0,4953.0,,,,,,,,,,,,677.0,,,26.0,15.0,,2.0,436.0,,,1881.0,,,,,,,,,,,,,,,,,20.0,115.0,,,,,,262.0,1.0,5.0,,
ru_taiga-ud-dev,946,0,432,,,,,,,1.0,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,,,,,,,,,,216.0,,,,,,,,,,,,25.0,,,,1.0,,,39.0,,,111.0,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,16.0,1.0,,,
ru_taiga-ud-test,881,0,553,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,8.0,,,,,,,,,2.0,,,332.0,,,,,,,,,,,,28.0,,,1.0,1.0,,,27.0,,,108.0,,,,,,,,,,,,,,,,,5.0,14.0,,,,,,21.0,,2.0,,
fi_pud-ud-test,1000,0,1018,,,,,,,2.0,1.0,,,,,,,,,,1.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,26.0,,,,,89.0,42.0,,,504.0,,,26.0,5.0,,,,,,194.0,,,117.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,
ga_idt-ud-train,4005,0,4903,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,113.0,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,4208.0,,,,,,,,,,,,4.0,,,,,,,126.0,,,366.0,,,,,,,,,,,,,,,,52.0,,3.0,,,,,,2.0,,4.0,,17.0
ga_idt-ud-test,454,0,402,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,321.0,,,,,,,,,,,,,,,,,,,17.0,,,31.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,1.0,,3.0
ga_idt-ud-dev,451,0,415,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,,,,,,,,,,,,,,,,,,,15.0,,,32.0,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,3.0
cs_cltt-ud-dev,316,0,1237,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,7.0,,,,,,,,,,,,,1000.0,,,,,,,,,,,,4.0,,,2.0,,,,,,,193.0,,,22.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
cs_cltt-ud-train,467,0,1366,,1.0,,,,,1.0,4.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,21.0,,,,,,,,,,,,,1120.0,,,,,,,,,,,,1.0,,,2.0,,,,1.0,,,173.0,,,23.0,,,,,,,,,,,,,,1.0,,,,,,,8.0,,,,
cs_cltt-ud-test,338,0,1050,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,6.0,,,,,6.0,,,,,,,,,,,,,844.0,,,,,,,,,,,,6.0,,,2.0,,,,1.0,,,139.0,,,43.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-dev,249,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,7,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_gc-ud-test,540,0,309,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,209.0,,,1.0,,,,,,,12.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
is_gc-ud-train,3960,0,2350,,,,,,,2.0,10.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,29.0,,,,,,,,,6.0,,,,,,,,,,,,1556.0,,,27.0,,,,,,,73.0,,,623.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,17.0,,
is_gc-ud-dev,500,0,352,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,238.0,,,3.0,,,,,,,6.0,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
ota_boun-ud-train,114,0,74,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,18.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,236,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,6.0,,,,,,,,,175.0,,,43.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
et_edt-ud-dev,3128,0,2611,,6.0,,,,,2.0,11.0,,,,,,,,,,,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1764.0,,,,,,,,,,,,2.0,4.0,,,,,,267.0,,,500.0,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,26.0,,2.0,,
