Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,amod,appos,aux,case,cc,ccomp,clf,compound,conj,cop,csubj,dep,det,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
orv_birchbark-ud-train,1045,0,342,,,,2.0,,21.0,,,,,,,,,,8.0,,,,,,7.0,136.0,,,53.0,2.0,3.0,1.0,25.0,11.0,,,73.0,,
orv_birchbark-ud-dev,1062,0,426,,,,2.0,,33.0,,,,,,,,,,4.0,,,1.0,,,7.0,185.0,,,61.0,9.0,4.0,3.0,49.0,7.0,,1.0,60.0,,
orv_birchbark-ud-test,1007,0,526,,,,,,45.0,,,,,,,,,,,,,1.0,,,18.0,224.0,,,82.0,,10.0,2.0,52.0,15.0,,1.0,75.0,1.0,
nl_lassysmall-ud-train,13817,0,3,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,
is_icepahc-ud-dev,4865,0,10277,,76.0,118.0,64.0,,93.0,33.0,,1.0,71.0,,,,2.0,,41.0,,,,,2.0,37.0,915.0,,1.0,873.0,829.0,23.0,1023.0,5899.0,,6.0,,146.0,3.0,21.0
is_icepahc-ud-train,34007,0,55606,,423.0,601.0,268.0,,788.0,150.0,,4.0,368.0,,,,34.0,,213.0,,,,,,316.0,4470.0,,4.0,4225.0,4186.0,231.0,5443.0,32628.0,,41.0,,1064.0,40.0,109.0
is_icepahc-ud-test,5157,0,10920,,100.0,150.0,51.0,,126.0,28.0,,,76.0,,,,5.0,,52.0,,,,,,32.0,811.0,,,741.0,879.0,58.0,886.0,6663.0,,8.0,,229.0,2.0,23.0
de_lit-ud-test,1920,0,1117,,2.0,4.0,3.0,,3.0,,,,3.0,,,,,1.0,,6.0,,,,,,,,,306.0,1.0,,4.0,746.0,11.0,9.0,,7.0,,11.0
ltg_cairo-ud-test,20,0,6,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,,,
ru_poetry-ud-test,728,0,193,,,,,,4.0,,,,,,,,,,,,,,,4.0,7.0,99.0,,,10.0,,,,57.0,2.0,2.0,,8.0,,
ru_poetry-ud-dev,789,0,226,,5.0,,,,1.0,,,,,,,,,1.0,,,,,,2.0,2.0,126.0,,,19.0,,,,52.0,4.0,3.0,,11.0,,
ru_poetry-ud-train,3569,0,821,,11.0,,,,8.0,,,,,,,,,1.0,,,,,,3.0,13.0,464.0,,,37.0,,2.0,1.0,243.0,6.0,4.0,,26.0,1.0,1.0
fo_farpahc-ud-test,301,0,676,,6.0,3.0,1.0,,11.0,,,,4.0,,,,,,12.0,,,,,,2.0,60.0,,,33.0,10.0,6.0,26.0,495.0,,,,5.0,,2.0
fo_farpahc-ud-train,1020,0,1379,,7.0,2.0,,,7.0,,,,5.0,,,,,,6.0,,,,,,3.0,197.0,,,83.0,15.0,6.0,84.0,940.0,,,,23.0,,1.0
fo_farpahc-ud-dev,300,0,710,,8.0,1.0,,,11.0,,,,1.0,,,,,,8.0,,,,,,,54.0,,,56.0,17.0,6.0,21.0,523.0,,,,3.0,,1.0
is_modern-ud-dev,394,0,663,,4.0,5.0,,,4.0,,,,8.0,,,,,,11.0,,,,,,9.0,12.0,,,24.0,38.0,6.0,62.0,459.0,,1.0,,18.0,,2.0
is_modern-ud-train,2703,0,4702,,45.0,37.0,25.0,,20.0,,,,53.0,,,,,,35.0,,,,,,29.0,125.0,,,168.0,228.0,48.0,444.0,3274.0,,8.0,,157.0,,6.0
is_modern-ud-test,438,0,804,,6.0,1.0,2.0,,4.0,,,,3.0,,,,,,4.0,,,,,,4.0,26.0,,,38.0,25.0,11.0,62.0,595.0,,2.0,,21.0,,
wbp_ufal-ud-test,55,0,18,,,1.0,,,,,,,,,,,,,,,,,,,,8.0,,,,3.0,,5.0,,,,,,,1.0
koi_uh-ud-train,34,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
koi_uh-ud-test,94,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,
cs_fictree-ud-dev,1309,0,450,,1.0,1.0,,,,,,,4.0,,,,,,4.0,,12.0,,80.0,1.0,,,,,7.0,,2.0,,332.0,,,,6.0,,
cs_fictree-ud-train,10160,0,3823,,1.0,13.0,,,15.0,,,,9.0,,,,,2.0,10.0,3.0,89.0,,564.0,13.0,18.0,,,,74.0,1.0,14.0,,2939.0,5.0,,,49.0,,4.0
cs_fictree-ud-test,1291,0,509,,,1.0,,,,,,,,,,,,,4.0,,9.0,,69.0,2.0,,,,,7.0,,,,412.0,,,,5.0,,
la_udante-ud-train,926,0,402,,10.0,7.0,,,1.0,,,,,,,,,4.0,,,,,,,2.0,,,,16.0,3.0,1.0,2.0,339.0,17.0,,,,,
la_udante-ud-test,419,0,129,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,109.0,7.0,,,1.0,,
la_udante-ud-dev,376,0,181,,7.0,8.0,,,7.0,,,,,,,2.0,,,,,,,,,10.0,,,,,,,,141.0,5.0,,,,,1.0
hyw_armtdp-ud-test,680,0,1401,,5.0,17.0,,,11.0,1.0,,,2.0,,21.0,,,,20.0,1.0,1.0,1.0,,4.0,29.0,38.0,,,641.0,11.0,,107.0,453.0,5.0,11.0,,9.0,,13.0
hyw_armtdp-ud-dev,694,0,1402,,3.0,17.0,,,12.0,1.0,2.0,,,,13.0,,,1.0,23.0,1.0,,2.0,,1.0,13.0,49.0,,,670.0,12.0,,93.0,455.0,3.0,3.0,,6.0,1.0,21.0
hyw_armtdp-ud-train,5282,0,10267,,30.0,96.0,,,88.0,4.0,4.0,,8.0,,124.0,,,1.0,244.0,7.0,5.0,6.0,1.0,25.0,260.0,306.0,,,4886.0,71.0,,781.0,3036.0,12.0,58.0,,67.0,,147.0
ro_rrt-ud-test,729,0,714,,,,,,1.0,,,,,,,,,,,,,,54.0,4.0,6.0,105.0,,,488.0,1.0,,1.0,54.0,,,,,,
ro_rrt-ud-train,8043,0,8167,,3.0,3.0,,,11.0,,,,3.0,,,,,1.0,1.0,,,,693.0,29.0,40.0,1095.0,,,5654.0,9.0,43.0,32.0,531.0,2.0,1.0,,11.0,4.0,1.0
ro_rrt-ud-dev,752,0,797,,,,,,1.0,,,,,,,,,,,,,,65.0,3.0,8.0,121.0,,,540.0,1.0,2.0,1.0,54.0,,,,1.0,,
el_gdt-ud-test,456,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,
el_gdt-ud-train,1662,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,10.0,,,,1.0,,
el_gdt-ud-dev,403,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,
ha_southernautogramm-ud-test,1918,0,117,,,,,,,,,,,,,,,,7.0,,,,,1.0,,108.0,,,,,,,1.0,,,,,,
ca_ancora-ud-dev,1709,0,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,32.0,,,,,,
ca_ancora-ud-test,1846,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,14.0,,,,,,
ca_ancora-ud-train,13123,0,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,179.0,,,,,,
gd_arcosg-ud-test,545,0,524,,,,,,,,,,2.0,,,,,,,,,,,4.0,4.0,,,,124.0,2.0,,5.0,314.0,,1.0,1.0,1.0,,66.0
gd_arcosg-ud-train,3541,0,3613,,4.0,3.0,,,2.0,,,,9.0,,,,,,2.0,,,,,10.0,,,,,729.0,10.0,,19.0,2239.0,2.0,5.0,6.0,34.0,,539.0
gd_arcosg-ud-dev,655,0,590,,,,,,,,,,,,,,,,,,,,,,1.0,,,,138.0,3.0,,7.0,355.0,,2.0,,6.0,,78.0
got_proiel-ud-dev,985,0,1113,,6.0,33.0,2.0,,26.0,,,,1.0,,,,,,,,,3.0,3.0,,7.0,,,,57.0,19.0,6.0,1.0,856.0,24.0,,,16.0,,53.0
got_proiel-ud-train,3387,0,3794,,25.0,105.0,39.0,,97.0,,,,2.0,,,,,,1.0,,,12.0,7.0,,35.0,,,,216.0,58.0,28.0,14.0,2860.0,100.0,3.0,,34.0,,158.0
got_proiel-ud-test,1029,0,1043,,9.0,29.0,3.0,,10.0,,,,1.0,,,,,,,,,2.0,2.0,,8.0,,,,40.0,18.0,4.0,5.0,854.0,21.0,,,8.0,,29.0
sl_sst-ud-train,4558,0,735,,,1.0,1.0,,5.0,,,,1.0,,,,,1.0,,,,,64.0,6.0,1.0,174.0,,3.0,22.0,3.0,4.0,375.0,38.0,11.0,4.0,11.0,10.0,,
sl_sst-ud-test,1041,0,125,,,,,,1.0,,,,,,,,,,,,,1.0,9.0,,1.0,31.0,,,7.0,,,58.0,12.0,2.0,,1.0,2.0,,
sl_sst-ud-dev,505,0,142,,,,,,,,,,,,,,,,,,,,20.0,1.0,,30.0,,1.0,15.0,,1.0,61.0,8.0,4.0,1.0,,,,
de_gsd-ud-train,13814,0,24875,,16.0,3.0,9.0,,1557.0,,,1.0,1.0,,332.0,,,1.0,18.0,647.0,,,4.0,,2133.0,,,,8271.0,97.0,17.0,141.0,11421.0,4.0,,,86.0,1.0,115.0
de_gsd-ud-dev,799,0,871,,,,1.0,,8.0,,,,1.0,,43.0,,,,3.0,30.0,,,,2.0,27.0,,,,239.0,3.0,3.0,4.0,505.0,,,,2.0,,
de_gsd-ud-test,977,0,1267,,,,2.0,,10.0,,,,,,39.0,,,,9.0,44.0,,,,1.0,44.0,,,,417.0,1.0,1.0,6.0,686.0,,,,7.0,,
ka_glc-ud-test,151,0,161,,,,,,,,,,,,,,,,,11.0,,,,,1.0,22.0,,,22.0,17.0,4.0,79.0,5.0,,,,,,
arr_tudet-ud-test,674,0,18,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,7.0,9.0,,,,,,
aln_gps-ud-test,966,0,630,,2.0,1.0,,,1.0,,,,1.0,,,,,,,,,,157.0,,,234.0,,,46.0,16.0,,137.0,26.0,1.0,,7.0,,,1.0
kk_ktb-ud-test,1047,0,419,,2.0,45.0,,,,4.0,,,14.0,,,,4.0,1.0,,,,,,,,3.0,,,92.0,1.0,1.0,15.0,227.0,5.0,,,2.0,,3.0
kk_ktb-ud-train,31,0,19,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,15.0,,,,,,
ha_northernautogramm-ud-test,400,0,28,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,2787,64.0,3.0,7.0,,,18.0,,,,2.0,,2.0,,,1.0,19.0,6.0,14.0,,182.0,53.0,62.0,,,,280.0,15.0,13.0,,2001.0,7.0,1.0,,33.0,,4.0
cs_pdt-ud-dev,9270,0,2648,57.0,3.0,5.0,,,13.0,,,,4.0,,1.0,,,1.0,33.0,4.0,13.0,,190.0,38.0,38.0,,,2.0,289.0,11.0,12.0,,1897.0,10.0,,,24.0,,3.0
cs_pdt-ud-train,68491,0,18911,450.0,27.0,37.0,,,108.0,,,,20.0,,9.0,,,2.0,166.0,18.0,118.0,,1409.0,262.0,400.0,,,4.0,2208.0,105.0,107.0,,13188.0,69.0,3.0,,180.0,,21.0
gl_pud-ud-test,1000,0,46,,,,,,,,,,,,,,,,,,,,13.0,,,33.0,,,,,,,,,,,,,
gn_oldtudet-ud-test,59,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
ta_mwtt-ud-test,534,0,146,,,,6.0,,,,,,,,,,,,,,,,,,,20.0,,,1.0,51.0,,,65.0,,,,3.0,,
ota_dudu-ud-test,85,0,46,,,,,,,,,,1.0,,,,,,,,,,,,1.0,2.0,,,5.0,,,,33.0,,,,2.0,,2.0
ug_udt-ud-test,900,0,240,,1.0,5.0,,,,1.0,,,1.0,,6.0,,,1.0,,,,,,,,,,,31.0,,,,187.0,2.0,1.0,,1.0,,3.0
ug_udt-ud-dev,900,0,253,,,3.0,1.0,,,,,,,,11.0,,,,,,,,,,,,,,28.0,4.0,,4.0,199.0,1.0,,,,,2.0
ug_udt-ud-train,1656,0,469,,,2.0,,,1.0,,,,,,11.0,,,,,,,,,,,1.0,,,59.0,,,2.0,388.0,,,,1.0,,4.0
lv_lvtb-ud-test,2412,0,1349,,7.0,1.0,,,7.0,,,,3.0,,8.0,,,3.0,6.0,,24.0,,,,15.0,485.0,,,176.0,68.0,20.0,,479.0,8.0,1.0,1.0,25.0,,12.0
lv_lvtb-ud-train,14358,0,9030,,34.0,4.0,,,36.0,,,,19.0,,30.0,,,4.0,37.0,,203.0,,,,59.0,3208.0,,,1292.0,584.0,182.0,,3157.0,32.0,15.0,1.0,66.0,,67.0
lv_lvtb-ud-dev,2080,0,1234,,6.0,4.0,,,6.0,,,,2.0,,12.0,,,,5.0,,28.0,,,,11.0,425.0,,,172.0,69.0,24.0,,437.0,11.0,1.0,,9.0,,12.0
ta_ttb-ud-train,400,0,120,,1.0,11.0,,,,2.0,,,,,,,,,,,,,,,,,,,5.0,6.0,,,95.0,,,,,,
ta_ttb-ud-dev,80,0,19,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,16.0,,,,,,
ta_ttb-ud-test,120,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,31.0,,,,,,
sga_dipwbg-ud-test,34,0,13,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,9.0,,,,1.0,,
xum_ikuvina-ud-test,133,0,12,,,,,,,,,,1.0,,,,,,,,,,,,,8.0,,,,,,,2.0,,,,1.0,,
ru_pud-ud-test,1000,0,355,,9.0,,,,5.0,,,,,,,,,,,,,,,24.0,12.0,114.0,,,85.0,,3.0,,89.0,,14.0,,,,
la_ittb-ud-dev,2101,0,349,,7.0,10.0,,,,,,,9.0,,,,,,,,,,,,,,,,42.0,,,,275.0,3.0,,,3.0,,
la_ittb-ud-test,2101,0,320,,11.0,10.0,,,,,,,8.0,,,,,,,,,,,,1.0,,,,26.0,,,,261.0,1.0,,,2.0,,
la_ittb-ud-train,22775,0,5000,,167.0,142.0,,,2.0,,,,109.0,,,15.0,,1.0,,,,,,,9.0,,,,587.0,1.0,8.0,,3863.0,61.0,1.0,,34.0,,
nl_alpino-ud-train,12289,0,4,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
qtd_sagt-ud-test,805,0,463,,1.0,7.0,,,4.0,,,,4.0,,4.0,,,,,,,2.0,14.0,3.0,,17.0,,,36.0,,,4.0,323.0,2.0,11.0,11.0,10.0,1.0,9.0
qtd_sagt-ud-dev,801,0,453,,1.0,6.0,,,2.0,,,,8.0,,17.0,,,,,,,5.0,18.0,,4.0,15.0,,1.0,53.0,,,10.0,282.0,3.0,5.0,12.0,7.0,,4.0
qtd_sagt-ud-train,578,0,344,,,5.0,,,,,,,5.0,,6.0,,,,,,,,15.0,,1.0,29.0,,,35.0,,,10.0,222.0,,3.0,6.0,2.0,,5.0
ga_cadhan-ud-test,193,0,79,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,23.0,,,,41.0,,2.0,,1.0,,9.0
pl_pud-ud-test,1000,0,169,,13.0,,,2.0,5.0,,,,,,,,,,,2.0,,,9.0,,8.0,104.0,,,7.0,,1.0,,17.0,,,,1.0,,
orv_torot-ud-test,2955,0,1307,,15.0,94.0,4.0,,58.0,,,,,,,,11.0,,,,,8.0,5.0,4.0,7.0,,,,87.0,196.0,7.0,3.0,732.0,38.0,,,30.0,1.0,7.0
orv_torot-ud-dev,3061,0,1520,,12.0,96.0,3.0,,69.0,,,,5.0,,,,16.0,,,,,2.0,3.0,3.0,17.0,,,,120.0,186.0,4.0,2.0,890.0,50.0,1.0,,38.0,,3.0
orv_torot-ud-train,20480,0,8992,,108.0,520.0,47.0,,397.0,,,,18.0,,,,127.0,3.0,,,,23.0,35.0,30.0,128.0,,,,640.0,1094.0,27.0,27.0,5292.0,280.0,5.0,,152.0,1.0,38.0
cs_cac-ud-dev,603,0,179,,,,,,7.0,,,,,,,,,,,,,,13.0,3.0,,,,,35.0,,1.0,,120.0,,,,,,
cs_cac-ud-train,23478,0,7171,,11.0,15.0,,,53.0,,,,5.0,,1.0,,,,55.0,8.0,20.0,,491.0,167.0,48.0,,,1.0,1083.0,53.0,24.0,,5042.0,23.0,2.0,,49.0,,20.0
cs_cac-ud-test,628,0,168,,,,,,1.0,,,,,,,,,,,,,,16.0,2.0,1.0,,,,22.0,3.0,2.0,,119.0,1.0,,,1.0,,
yrl_complin-ud-test,1470,0,3,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,618,,,16.0,4.0,,6.0,4.0,,,,,,,2.0,,1.0,,,,,,25.0,479.0,,,22.0,2.0,,,57.0,,,,,,
eu_bdt-ud-test,1799,0,193,,,5.0,2.0,,2.0,,,,,,,,,,,,,,,,8.0,150.0,,,10.0,,,,15.0,1.0,,,,,
eu_bdt-ud-dev,1798,0,200,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,4.0,158.0,,,10.0,,,,16.0,,,,,,1.0
eme_tudet-ud-test,913,0,40,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,32.0,,,,5.0,,
pl_lfg-ud-test,1727,0,176,,2.0,,,,,,,,,,,,,,,,,,,,10.0,154.0,,,1.0,,,,9.0,,,,,,
pl_lfg-ud-train,13774,0,1184,,11.0,,,,2.0,,,,,,,,,,,,,,,,26.0,1025.0,,,9.0,,5.0,,106.0,,,,,,
pl_lfg-ud-dev,1745,0,158,,,,,,,,,,,,,,,,,,,,,,2.0,145.0,,,2.0,,,,9.0,,,,,,
tr_tourism-ud-train,15473,0,1276,,4.0,71.0,,,,,,,10.0,,68.0,,,,,,,,,2.0,4.0,,,,405.0,13.0,,226.0,434.0,,3.0,,33.0,,3.0
tr_tourism-ud-dev,2166,0,169,,2.0,47.0,,,,,,,,,8.0,,,,,,,,,,,,,,11.0,2.0,,33.0,61.0,,1.0,,3.0,,1.0
tr_tourism-ud-test,2191,0,194,,1.0,42.0,,,,,,,,,2.0,,,,,,,,,2.0,,,,,11.0,2.0,,48.0,79.0,,,,7.0,,
cs_poetry-ud-test,297,0,155,,,2.0,,,2.0,,,,,,,,,,,,,,6.0,,,,,,8.0,,,,137.0,,,,,,
ru_gsd-ud-test,601,0,183,,2.0,,,,7.0,,,,,,,,,,1.0,,,,,4.0,7.0,47.0,,,27.0,,,3.0,77.0,2.0,5.0,,1.0,,
ru_gsd-ud-dev,579,0,159,,3.0,,,,1.0,,,,,,,,,,,,,,,,1.0,43.0,,,41.0,2.0,1.0,1.0,64.0,2.0,,,,,
ru_gsd-ud-train,3850,0,1272,,36.0,,,,43.0,,,,,,1.0,,,,,,,,,4.0,24.0,340.0,,,304.0,5.0,31.0,15.0,448.0,5.0,8.0,,8.0,,
aqz_tudet-ud-test,343,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,4.0,,,,1.0,,
tr_imst-ud-train,3435,0,1536,,31.0,22.0,7.0,,1.0,,,,7.0,,110.0,,,2.0,,,,,,,25.0,202.0,,,197.0,10.0,2.0,146.0,703.0,,2.0,,67.0,,2.0
tr_imst-ud-dev,1100,0,478,,6.0,6.0,,,,,,,2.0,,40.0,,,,,,,,,,13.0,47.0,,,69.0,1.0,1.0,43.0,236.0,,,,13.0,,1.0
tr_imst-ud-test,1100,0,456,,6.0,5.0,2.0,,,,,,5.0,,22.0,,,1.0,,,,,,,6.0,62.0,,,52.0,1.0,,32.0,236.0,,1.0,,25.0,,
lv_cairo-ud-test,20,0,6,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,,,
bg_btb-ud-train,8907,0,654,,,,,,,,,,,,,,,,,,1.0,,280.0,,,368.0,,,2.0,,,,3.0,,,,,,
bg_btb-ud-test,1116,0,84,,,,,,,,,,,,,,,,,,,,33.0,,,51.0,,,,,,,,,,,,,
bg_btb-ud-dev,1115,0,98,,,,,,,,,,,,,,,,,,,,44.0,,,54.0,,,,,,,,,,,,,
gu_gujtb-ud-test,187,0,5,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,1.0,,,,,,,
bxr_bdt-ud-train,19,0,3,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
bxr_bdt-ud-test,908,0,488,,1.0,23.0,,,,3.0,,,2.0,,5.0,,1.0,2.0,,,,,,4.0,9.0,18.0,,,328.0,7.0,,41.0,4.0,,6.0,,34.0,,
bej_nsc-ud-test,380,0,2,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
es_coser-ud-test,539,0,119,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,43.0,62.0,,1.0,2.0,,,
tr_boun-ud-dev,979,0,528,,5.0,8.0,1.0,,1.0,,,,30.0,,21.0,,,1.0,1.0,,,,,,10.0,17.0,,,24.0,2.0,,40.0,346.0,,,,20.0,,1.0
tr_boun-ud-test,979,0,506,,10.0,14.0,,,,,,,30.0,,24.0,,,3.0,,,1.0,,,,9.0,23.0,,,22.0,,,41.0,306.0,1.0,,,22.0,,
tr_boun-ud-train,7803,0,4174,,57.0,91.0,,,4.0,3.0,,,217.0,,149.0,,6.0,14.0,,,2.0,,,,66.0,169.0,,,142.0,13.0,2.0,433.0,2627.0,4.0,5.0,,149.0,1.0,20.0
tr_penn-ud-dev,622,0,194,,1.0,4.0,,,,,,,3.0,,29.0,,,,,,,,,,3.0,,,,25.0,,,17.0,112.0,,,,,,
tr_penn-ud-test,924,0,286,,1.0,4.0,,,,,,,9.0,,44.0,,,,,,,,,,4.0,1.0,,,43.0,4.0,2.0,25.0,148.0,,,,1.0,,
tr_penn-ud-train,14850,0,5134,,20.0,75.0,,,5.0,,,,277.0,2.0,715.0,,,4.0,,,8.0,,,5.0,54.0,22.0,2.0,,569.0,40.0,27.0,825.0,2398.0,,,,15.0,,71.0
