Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,amod,appos,aux,case,cc,ccomp,clf,compound,cop,csubj,dep,det,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
cs_cac-ud-dev,603,0,393,,,,,,5.0,,,,,,,,,4.0,1.0,,,,27.0,,,,,153.0,,4.0,,187.0,2.0,,,8.0,,2.0
cs_cac-ud-train,23478,0,17634,2.0,69.0,48.0,,,151.0,,,,27.0,,,,14.0,218.0,69.0,,,,924.0,25.0,,,4.0,5142.0,1.0,233.0,,10197.0,114.0,5.0,,342.0,,49.0
cs_cac-ud-test,628,0,387,,,3.0,,,3.0,,,,,,,,,7.0,2.0,,,,15.0,2.0,,,,87.0,,2.0,,254.0,4.0,1.0,,3.0,,4.0
eu_bdt-ud-train,5396,0,2826,,2.0,674.0,7.0,,,5.0,,,,,2.0,11.0,,28.0,,,,,5.0,71.0,,,,1945.0,13.0,,8.0,45.0,,,,6.0,,4.0
eu_bdt-ud-test,1799,0,906,,3.0,237.0,2.0,,,,,,,,,4.0,,8.0,,,,,3.0,19.0,,,,611.0,,,,15.0,1.0,,,2.0,,1.0
eu_bdt-ud-dev,1798,0,883,,1.0,183.0,2.0,,,2.0,,,,,,2.0,,8.0,,,,,1.0,20.0,,,,637.0,3.0,,3.0,20.0,1.0,,,,,
am_att-ud-test,1074,0,7,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,
eme_tudet-ud-test,913,0,66,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,3.0,,,,57.0,,1.0,,3.0,,
pl_lfg-ud-test,1727,0,386,,6.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,63.0,,5.0,,303.0,,,,7.0,,
pl_lfg-ud-train,13774,0,3318,,55.0,2.0,,,8.0,,,,6.0,,,,1.0,,,,,,,18.0,,,,509.0,,42.0,,2610.0,,,,64.0,,3.0
pl_lfg-ud-dev,1745,0,374,,4.0,,,,,,,,,,,,,,,,,,,,,,,50.0,,3.0,,307.0,,,,9.0,,1.0
tr_tourism-ud-train,15473,0,578,,2.0,27.0,,,,,,,,,4.0,,,2.0,,3.0,,,,3.0,,,,220.0,4.0,,9.0,266.0,,7.0,,28.0,,3.0
tr_tourism-ud-dev,2166,0,95,,,6.0,,,,,,,,,1.0,,,,,,,,,,,,,14.0,,,,70.0,,,,4.0,,
tr_tourism-ud-test,2191,0,93,,1.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,25.0,,1.0,3.0,50.0,,3.0,,6.0,,
ab_abnc-ud-test,263,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
cs_poetry-ud-test,297,0,193,,,,,,5.0,,,,,,,,,,,,,,,1.0,,,,17.0,,1.0,,164.0,4.0,,,1.0,,
ru_gsd-ud-test,601,0,525,,7.0,,,,7.0,,,,,,,,,,,,,,16.0,3.0,,,,102.0,,11.0,,364.0,4.0,5.0,,6.0,,
ru_gsd-ud-dev,579,0,511,,3.0,,,,4.0,,,,,,,,,,,,,,9.0,2.0,,1.0,,127.0,,10.0,,346.0,4.0,1.0,,4.0,,
ru_gsd-ud-train,3850,0,3472,,44.0,,,,70.0,,,,,,1.0,,,,,,,,52.0,23.0,,8.0,,907.0,2.0,71.0,,2236.0,27.0,16.0,,15.0,,
aqz_tudet-ud-test,343,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
tr_imst-ud-train,3435,0,1054,,17.0,27.0,8.0,,1.0,,,,4.0,,41.0,,,,,1.0,,,,24.0,3.0,,,170.0,8.0,23.0,11.0,680.0,,,,36.0,,
tr_imst-ud-dev,1100,0,282,,3.0,3.0,2.0,,,,,,2.0,,10.0,,,,,,,,,10.0,,,,48.0,2.0,3.0,3.0,181.0,,,,15.0,,
tr_imst-ud-test,1100,0,226,,5.0,3.0,1.0,,,,,,4.0,,10.0,,,,,,,,,4.0,,,,35.0,1.0,1.0,2.0,153.0,,,,7.0,,
lv_cairo-ud-test,20,0,3,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
gu_gujtb-ud-test,187,0,4,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,
bej_nsc-ud-test,380,0,57,,,,,,,,,,,,,,,7.0,,1.0,5.0,,,,,,,,,,,43.0,,,1.0,,,
tr_boun-ud-dev,979,0,445,,6.0,21.0,1.0,,1.0,,,,2.0,,10.0,,,,,,,,,7.0,,,,5.0,1.0,3.0,2.0,365.0,,1.0,,19.0,,1.0
tr_boun-ud-test,979,0,488,,7.0,12.0,,,1.0,,,,2.0,,8.0,,,,,1.0,,,,10.0,,,,11.0,,9.0,3.0,401.0,,,,23.0,,
tr_boun-ud-train,7803,0,3595,,20.0,112.0,,,2.0,,,,14.0,,58.0,2.0,5.0,,,15.0,,,,52.0,,9.0,,59.0,4.0,37.0,23.0,3036.0,2.0,3.0,,140.0,,2.0
tr_penn-ud-dev,622,0,204,,,6.0,,,,,,,,,8.0,,,,,,,,,1.0,,2.0,,38.0,,,,145.0,,1.0,,2.0,,1.0
tr_penn-ud-test,924,0,286,,,19.0,,,,,,,,,11.0,,,,,3.0,,,,9.0,,,,70.0,,2.0,,161.0,,1.0,,10.0,,
tr_penn-ud-train,14850,0,4818,,3.0,110.0,,,4.0,,,,10.0,1.0,217.0,,,,,37.0,,,17.0,69.0,,10.0,,1216.0,9.0,16.0,45.0,2853.0,,10.0,,168.0,,23.0
