Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,ccomp,compound,conj,csubj,dep,discourse,dislocated,fixed,flat,iobj,list,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
is_modern-ud-train,2703,0,1158,,4.0,7.0,13.0,4.0,,,,2.0,,,,,1.0,,697.0,4.0,,40.0,374.0,,3.0,,6.0,,3.0
is_modern-ud-test,438,0,181,,1.0,1.0,3.0,,,,,1.0,,,,,,,102.0,2.0,,6.0,62.0,,,,3.0,,
wbp_ufal-ud-test,55,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
da_ddt-ud-train,4383,0,586,,,,1.0,,,,,,,,20.0,6.0,,,497.0,11.0,3.0,12.0,33.0,,,,3.0,,
da_ddt-ud-test,565,0,76,,,,,,,,,,,,4.0,3.0,,,62.0,1.0,1.0,,5.0,,,,,,
da_ddt-ud-dev,564,0,73,,,,1.0,,,,,,,,1.0,2.0,,,61.0,1.0,,2.0,5.0,,,,,,
cs_fictree-ud-dev,1309,0,510,,2.0,2.0,6.0,,,,,4.0,,,,,,,227.0,9.0,,15.0,236.0,2.0,,,7.0,,
cs_fictree-ud-train,10160,0,4117,,1.0,9.0,25.0,4.0,,,,51.0,,,2.0,3.0,1.0,,1927.0,89.0,,115.0,1843.0,8.0,,,38.0,,1.0
cs_fictree-ud-test,1291,0,505,,1.0,,9.0,,,,,4.0,,,,,,,232.0,15.0,,17.0,218.0,1.0,,,7.0,,1.0
la_udante-ud-train,926,0,952,,3.0,5.0,2.0,2.0,,3.0,,,,,,2.0,,,906.0,5.0,1.0,,19.0,2.0,,,2.0,,
la_udante-ud-test,419,0,308,,8.0,2.0,2.0,,,,1.0,,,1.0,,2.0,,,272.0,3.0,,1.0,11.0,2.0,,,1.0,,2.0
la_udante-ud-dev,376,0,450,,,,2.0,2.0,,1.0,1.0,,,,,3.0,,,430.0,2.0,,,6.0,,,,3.0,,
hyw_armtdp-ud-test,680,0,18,,,,1.0,,,,,,,,,,,,11.0,,,2.0,3.0,,,,1.0,,
hyw_armtdp-ud-dev,694,0,16,,,,,,,,,,,,3.0,,1.0,,10.0,1.0,,1.0,,,,,,,
hyw_armtdp-ud-train,5282,0,149,,,,,,2.0,,,,,,18.0,1.0,1.0,,106.0,3.0,,3.0,14.0,,,,1.0,,
pcm_nsc-ud-train,7279,0,4,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,
pcm_nsc-ud-test,972,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
el_gdt-ud-test,456,0,510,,,,1.0,,,,,,,,,,,,493.0,,,,16.0,,,,,,
el_gdt-ud-train,1662,0,2144,,3.0,2.0,8.0,4.0,,,,,,,,,,,2013.0,,,4.0,104.0,,1.0,,4.0,,1.0
el_gdt-ud-dev,403,0,559,,,1.0,2.0,,,,,,,,,,,,526.0,,,1.0,29.0,,,,,,
sme_giella-ud-train,2257,0,669,,,1.0,2.0,,6.0,,,,,,,,,,286.0,37.0,,24.0,308.0,,1.0,,3.0,,1.0
sme_giella-ud-test,865,0,548,,,2.0,,,4.0,,,,,,,,,,283.0,21.0,,9.0,225.0,,2.0,,2.0,,
gd_arcosg-ud-test,545,0,275,,,,,,,,,,,,,,,,196.0,3.0,,50.0,23.0,,,,,,3.0
gd_arcosg-ud-train,3541,0,1918,,,,,,1.0,,,4.0,,,,,,,1360.0,10.0,,302.0,212.0,,2.0,1.0,5.0,,21.0
gd_arcosg-ud-dev,655,0,278,,,,,1.0,,,,,,,,,,,210.0,1.0,,30.0,33.0,,,,,,3.0
got_proiel-ud-dev,985,0,262,,1.0,1.0,6.0,,,,,,,,,,,,228.0,,,,19.0,,,,1.0,,6.0
got_proiel-ud-train,3387,0,1147,,2.0,4.0,94.0,,,,,1.0,,,,,,,885.0,3.0,,16.0,123.0,4.0,,,4.0,,11.0
got_proiel-ud-test,1029,0,292,,,,2.0,,,,,,,,,,,,251.0,2.0,,1.0,30.0,,,,2.0,,4.0
sl_sst-ud-train,4558,0,1580,,,,41.0,5.0,,,,,,3.0,1.0,2.0,,,746.0,123.0,,233.0,320.0,20.0,29.0,10.0,47.0,,
sl_sst-ud-test,1041,0,280,,2.0,2.0,2.0,1.0,,,,,,1.0,,,,,127.0,19.0,,44.0,61.0,3.0,5.0,1.0,11.0,,1.0
sl_sst-ud-dev,505,0,373,,2.0,,12.0,2.0,,,,,,,,1.0,,,214.0,23.0,,41.0,61.0,5.0,4.0,1.0,7.0,,
de_gsd-ud-train,13814,0,5059,,2.0,2.0,44.0,,87.0,,,6.0,,,,160.0,,,4377.0,35.0,,19.0,305.0,,1.0,,16.0,,5.0
de_gsd-ud-dev,799,0,170,,,,,,4.0,,,,,,,1.0,,,141.0,1.0,,3.0,18.0,,,,2.0,,
de_gsd-ud-test,977,0,305,,,1.0,2.0,,15.0,,,,,,,1.0,,,269.0,3.0,,,14.0,,,,,,
ka_glc-ud-test,151,0,194,,,,,,,,,,,,,,,,191.0,,,,3.0,,,,,,
aln_gps-ud-test,966,0,14,,,,,,,,,,,,,,,,9.0,,,1.0,4.0,,,,,,
kk_ktb-ud-test,1047,0,271,,,,,,,,,,,,,1.0,,,248.0,20.0,,,,1.0,,,1.0,,
kk_ktb-ud-train,31,0,15,,,,,,,,,,,,,1.0,,,13.0,1.0,,,,,,,,,
cs_pdt-ud-test,10146,0,12063,26.0,6.0,11.0,80.0,2.0,,,,75.0,,,24.0,4.0,1.0,,9113.0,179.0,,153.0,2287.0,31.0,1.0,,57.0,,13.0
cs_pdt-ud-dev,9270,0,11351,31.0,3.0,5.0,77.0,4.0,,,,58.0,,,32.0,1.0,3.0,,8465.0,182.0,,136.0,2206.0,46.0,,,80.0,,22.0
cs_pdt-ud-train,68491,0,84263,173.0,30.0,62.0,617.0,24.0,,,9.0,408.0,,,228.0,19.0,13.0,,62639.0,1349.0,,1053.0,16630.0,285.0,11.0,,631.0,,82.0
ta_mwtt-ud-test,534,0,3,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,
ota_dudu-ud-test,85,0,30,,,,,,,,,,,,,,,,24.0,4.0,,,2.0,,,,,,
ug_udt-ud-test,900,0,160,,,,,,,,,,,,2.0,,,,146.0,10.0,,,2.0,,,,,,
ug_udt-ud-dev,900,0,149,,,,,,,,,,,,,,,,131.0,16.0,,,2.0,,,,,,
ug_udt-ud-train,1656,0,303,,,,2.0,,,,,,,,,1.0,,,289.0,11.0,,,,,,,,,
lv_lvtb-ud-test,2412,0,2893,,8.0,2.0,5.0,,1.0,,,1.0,2.0,,,,40.0,,2467.0,70.0,,,280.0,5.0,6.0,,5.0,,1.0
lv_lvtb-ud-train,14358,0,20142,,20.0,10.0,36.0,1.0,7.0,,,8.0,23.0,,,,379.0,,17166.0,449.0,,1.0,1957.0,24.0,25.0,,33.0,,3.0
lv_lvtb-ud-dev,2080,0,2679,,4.0,,8.0,,,,,,4.0,,,,54.0,,2288.0,54.0,,,246.0,7.0,7.0,,5.0,,2.0
ta_ttb-ud-train,400,0,78,,,,,,,,,,,,,,,,72.0,,,,6.0,,,,,,
ta_ttb-ud-dev,80,0,11,,,,,,,,,,,,,,1.0,,10.0,,,,,,,,,,
ta_ttb-ud-test,120,0,12,,,,,,,,,,,,,,,,11.0,,,,1.0,,,,,,
sga_dipwbg-ud-test,34,0,12,,,,,,,,,,,,,,,,12.0,,,,,,,,,,
ko_pud-ud-test,1000,0,383,,,,,,,,,1.0,,,,4.0,,,377.0,,,,1.0,,,,,,
xum_ikuvina-ud-test,133,0,11,,,,,,,,,,,,,,,,11.0,,,,,,,,,,
ru_pud-ud-test,1000,0,1619,,1.0,3.0,17.0,,3.0,,,,,,9.0,,2.0,,1108.0,55.0,17.0,65.0,321.0,3.0,9.0,,6.0,,
la_ittb-ud-dev,2101,0,760,,7.0,4.0,,5.0,,2.0,2.0,,,,,,,,720.0,3.0,,,4.0,1.0,,,9.0,,3.0
la_ittb-ud-test,2101,0,758,,3.0,17.0,,,,1.0,,,,,,,,,711.0,,,,4.0,1.0,1.0,,20.0,,
la_ittb-ud-train,22775,0,14254,,81.0,153.0,2.0,22.0,,49.0,56.0,,,,,1.0,,,13630.0,9.0,,,41.0,27.0,2.0,,150.0,,31.0
qtd_sagt-ud-test,805,0,55,,,,1.0,1.0,,,,,1.0,,,,,,28.0,8.0,,,9.0,,,6.0,,,1.0
qtd_sagt-ud-dev,801,0,39,,,,1.0,,,,,,5.0,1.0,,,,,21.0,2.0,,,6.0,,,1.0,2.0,,
qtd_sagt-ud-train,578,0,39,,,,1.0,,,,,,,,,,,,29.0,3.0,,,3.0,,,2.0,1.0,,
ga_cadhan-ud-test,193,0,169,,,,3.0,,,,,,,,,3.0,,,119.0,2.0,,21.0,16.0,,2.0,,1.0,1.0,1.0
krl_kkpp-ud-test,228,0,186,,,1.0,,,7.0,,,,,,,7.0,,,128.0,,,20.0,22.0,,,,1.0,,
pl_pud-ud-test,1000,0,1529,,,,9.0,1.0,,,,1.0,,,13.0,11.0,44.0,,820.0,36.0,,230.0,349.0,1.0,10.0,,3.0,,1.0
orv_torot-ud-test,2955,0,1242,,10.0,5.0,80.0,,,,,8.0,,2.0,,,,,398.0,30.0,,242.0,436.0,9.0,,,11.0,,11.0
orv_torot-ud-dev,3061,0,1124,,1.0,5.0,53.0,2.0,,,,6.0,,3.0,2.0,,,,303.0,32.0,,233.0,451.0,16.0,,,13.0,,4.0
orv_torot-ud-train,20480,0,8179,,23.0,40.0,680.0,7.0,,,,68.0,,27.0,4.0,,,,2908.0,154.0,,1339.0,2642.0,152.0,4.0,,69.0,2.0,60.0
cs_cac-ud-dev,603,0,968,,,,4.0,,,,,3.0,,,5.0,1.0,,,838.0,8.0,,3.0,95.0,1.0,1.0,,3.0,,6.0
cs_cac-ud-train,23478,0,41548,2.0,10.0,44.0,319.0,9.0,,,6.0,158.0,,,244.0,13.0,1.0,,32590.0,542.0,,311.0,6845.0,145.0,2.0,,167.0,,140.0
cs_cac-ud-test,628,0,864,,,,4.0,,,,,6.0,,,3.0,,,,658.0,12.0,,5.0,169.0,2.0,,,3.0,,2.0
eu_bdt-ud-train,5396,0,1136,,1.0,,,1.0,,,,6.0,,,,3.0,,,862.0,6.0,,9.0,247.0,,,,,,1.0
eu_bdt-ud-test,1799,0,400,,,,,,,,,4.0,,,,1.0,,,301.0,2.0,,2.0,89.0,,,,1.0,,
eu_bdt-ud-dev,1798,0,391,,,1.0,1.0,,,,,1.0,,,,2.0,,,294.0,1.0,,2.0,88.0,,,,,,1.0
fi_ftb-ud-dev,1875,0,696,,,,,,1.0,,,,,,3.0,1.0,,,489.0,50.0,,142.0,,,,,10.0,,
fi_ftb-ud-train,14981,0,5701,,1.0,14.0,,1.0,20.0,,,,,,9.0,4.0,,,4142.0,353.0,,1106.0,,,,,42.0,,9.0
fi_ftb-ud-test,1867,0,731,,1.0,1.0,,,,,,,,,1.0,2.0,,,532.0,46.0,,143.0,,,,,4.0,,1.0
pl_lfg-ud-test,1727,0,600,,,,3.0,,,,,,,,,,,,215.0,18.0,,68.0,294.0,,,,2.0,,
pl_lfg-ud-train,13774,0,4666,,,,26.0,,,,,,,,,6.0,,,1800.0,218.0,,573.0,2041.0,,,,2.0,,
pl_lfg-ud-dev,1745,0,549,,,,5.0,,,,,,,,,,,,217.0,20.0,,63.0,243.0,,,,1.0,,
tr_tourism-ud-train,15473,0,715,,,,,2.0,3.0,,1.0,,,,,,,,619.0,62.0,1.0,6.0,2.0,,,,19.0,,
tr_tourism-ud-dev,2166,0,86,,,,1.0,,,,,,,,,,,,79.0,5.0,,1.0,,,,,,,
tr_tourism-ud-test,2191,0,130,,,,,,,,,,,,,,,,123.0,4.0,,,,,,,3.0,,
cs_poetry-ud-test,297,0,295,,1.0,,1.0,,,,,1.0,,,,,,,203.0,4.0,,4.0,79.0,2.0,,,,,
ru_gsd-ud-test,601,0,1077,,,,14.0,1.0,,,,,,,1.0,50.0,,,797.0,31.0,3.0,28.0,147.0,1.0,2.0,,2.0,,
ru_gsd-ud-dev,579,0,1117,,,,27.0,1.0,,,,,,,1.0,47.0,,,847.0,18.0,4.0,32.0,126.0,2.0,5.0,,7.0,,
ru_gsd-ud-train,3850,0,7150,,2.0,,138.0,1.0,1.0,,,,,,2.0,277.0,7.0,,5344.0,108.0,32.0,215.0,914.0,20.0,24.0,,65.0,,
tr_imst-ud-train,3435,0,954,,,,2.0,,14.0,,,,,,,12.0,,,649.0,268.0,,6.0,3.0,,,,,,
tr_imst-ud-dev,1100,0,273,,,,,,1.0,,,,,,,8.0,1.0,,184.0,70.0,,5.0,3.0,,,,1.0,,
tr_imst-ud-test,1100,0,203,,1.0,,,,2.0,,,,,,,4.0,,,143.0,50.0,,1.0,2.0,,,,,,
lv_cairo-ud-test,20,0,2,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,
bxr_bdt-ud-test,908,0,509,,,,2.0,,13.0,,,,,,,37.0,1.0,,417.0,19.0,,8.0,1.0,,1.0,,10.0,,
tr_boun-ud-dev,979,0,303,,1.0,,,,1.0,,,,2.0,,,,,,203.0,84.0,,5.0,3.0,,,,4.0,,
tr_boun-ud-test,979,0,317,,,1.0,,,1.0,,,,,,,3.0,,,226.0,85.0,,,1.0,,,,,,
tr_boun-ud-train,7803,0,2454,,3.0,,4.0,3.0,8.0,,2.0,,3.0,,,4.0,,,1655.0,744.0,,5.0,7.0,,,,16.0,,
tr_penn-ud-dev,622,0,167,,,2.0,,,,,2.0,,,,,,,,144.0,18.0,,,1.0,,,,,,
tr_penn-ud-test,924,0,287,,,2.0,,,,,,,,,,1.0,,,233.0,42.0,7.0,2.0,,,,,,,
tr_penn-ud-train,14850,0,4094,,1.0,3.0,2.0,10.0,14.0,,17.0,,2.0,,,18.0,,,2789.0,1164.0,12.0,43.0,16.0,,,,3.0,,
