Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,case,ccomp,clf,compound,conj,csubj,dep,discourse,dislocated,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
ta_ttb-ud-train,400,0,71,,,,,,,,,,,,,,,,,,,1.0,3.0,,,67.0,,,,,,
ta_ttb-ud-dev,80,0,14,,,,,,,,,,,,,,,,,,,1.0,1.0,,,12.0,,,,,,
ta_ttb-ud-test,120,0,24,,,,,,,,,,,,,,,,,,,3.0,1.0,,,20.0,,,,,,
sga_dipwbg-ud-test,34,0,12,,1.0,,,,,,,,,,,,,,,,,2.0,,,,9.0,,,,,,
xum_ikuvina-ud-test,133,0,5,,,,,,1.0,,,,,,,,,,1.0,,,,,,,2.0,,,,1.0,,
ru_pud-ud-test,1000,0,249,,,,4.0,,,,,,,,,,17.0,,57.0,,,77.0,,,,81.0,,13.0,,,,
la_ittb-ud-dev,2101,0,171,,,5.0,,,,,,,,,,,,,,,,21.0,,,,141.0,3.0,,,1.0,,
la_ittb-ud-test,2101,0,157,,,5.0,,,,,,,,,,,,1.0,,,,12.0,,,,138.0,1.0,,,,,
la_ittb-ud-train,22775,0,2733,,1.0,62.0,1.0,,,,,8.0,1.0,,,,,7.0,,,,354.0,1.0,,,2232.0,52.0,1.0,,13.0,,
qtd_sagt-ud-test,805,0,294,,1.0,4.0,3.0,,2.0,,4.0,,,,,1.0,3.0,,2.0,,,12.0,,,,237.0,2.0,8.0,8.0,6.0,,1.0
qtd_sagt-ud-dev,801,0,253,,1.0,1.0,1.0,,3.0,,16.0,,,,,1.0,,,4.0,,,31.0,,,2.0,174.0,2.0,5.0,5.0,6.0,,1.0
qtd_sagt-ud-train,578,0,181,,,1.0,,,1.0,,5.0,,,,,,,,5.0,,,19.0,,,1.0,139.0,,3.0,4.0,2.0,,1.0
ga_cadhan-ud-test,193,0,66,,1.0,,,,,,,,,,,,2.0,,,,,19.0,,,,35.0,,2.0,,1.0,,6.0
pl_pud-ud-test,1000,0,70,,,,1.0,,,,,,,,,,,,56.0,,,3.0,,,,9.0,,,,1.0,,
orv_torot-ud-test,2955,0,510,,4.0,3.0,36.0,,,,,,,,,2.0,1.0,,,,,65.0,70.0,,2.0,303.0,14.0,,,6.0,1.0,3.0
orv_torot-ud-dev,3061,0,542,,1.0,4.0,34.0,,,,,,,,,2.0,,,,,,78.0,75.0,,2.0,326.0,12.0,,,7.0,,1.0
orv_torot-ud-train,20480,0,3315,,18.0,30.0,186.0,,3.0,,,,2.0,,,9.0,1.0,,,,,450.0,458.0,,12.0,2019.0,89.0,,,27.0,1.0,10.0
cs_cac-ud-dev,603,0,117,,,,7.0,,,,,,,,,,,,,,,32.0,,,,78.0,,,,,,
cs_cac-ud-train,23478,0,4282,,6.0,8.0,45.0,,1.0,,,,,21.0,,,,2.0,,,,990.0,,,,3147.0,22.0,2.0,,27.0,,11.0
cs_cac-ud-test,628,0,104,,,,1.0,,,,,,,,,,,,,,,22.0,,,,79.0,1.0,,,1.0,,
eu_bdt-ud-train,5396,0,379,,,,1.0,,,,,,,1.0,,,,1.0,316.0,,,13.0,2.0,,,45.0,,,,,,
eu_bdt-ud-test,1799,0,135,,,1.0,2.0,,,,,,,,,,,,110.0,,,6.0,,,,15.0,1.0,,,,,
eu_bdt-ud-dev,1798,0,132,,,1.0,,,,,,,,,,,,,110.0,,,7.0,,,,13.0,,,,,,1.0
eme_tudet-ud-test,913,0,24,,,,,,,,,,,,,,,,,,,2.0,,,,19.0,,,,3.0,,
pl_lfg-ud-test,1727,0,52,,,,,,,,,,,,,,,7.0,43.0,,,1.0,,,,1.0,,,,,,
pl_lfg-ud-train,13774,0,307,,,,2.0,,,,,,,,,,,7.0,260.0,,,5.0,,,,33.0,,,,,,
pl_lfg-ud-dev,1745,0,34,,,,,,,,,,,,,,,1.0,31.0,,,1.0,,,,1.0,,,,,,
tr_tourism-ud-train,15473,0,1272,,4.0,71.0,,,10.0,,68.0,,,,,,2.0,4.0,,,,402.0,13.0,,225.0,434.0,,3.0,,33.0,,3.0
tr_tourism-ud-dev,2166,0,168,,2.0,47.0,,,,,8.0,,,,,,,,,,,11.0,2.0,,32.0,61.0,,1.0,,3.0,,1.0
tr_tourism-ud-test,2191,0,194,,1.0,42.0,,,,,2.0,,,,,,2.0,,,,,11.0,2.0,,48.0,79.0,,,,7.0,,
cs_poetry-ud-test,297,0,62,,,1.0,2.0,,,,,,,,,,,,,,,7.0,,,,52.0,,,,,,
ru_gsd-ud-test,601,0,129,,,,3.0,,,,,,,1.0,,,3.0,,22.0,,,21.0,,,3.0,69.0,2.0,4.0,,1.0,,
ru_gsd-ud-dev,579,0,125,,,,,,,,,,,,,,,,25.0,,,38.0,1.0,,1.0,59.0,1.0,,,,,
ru_gsd-ud-train,3850,0,946,,,,17.0,,,,,,,,,,4.0,2.0,214.0,,,277.0,4.0,1.0,13.0,395.0,5.0,7.0,,7.0,,
tr_imst-ud-train,3435,0,916,,18.0,8.0,,,3.0,,53.0,,1.0,,,,,16.0,105.0,,,88.0,5.0,,70.0,499.0,,2.0,,46.0,,2.0
tr_imst-ud-dev,1100,0,287,,4.0,1.0,,,,,18.0,,,,,,,8.0,25.0,,,34.0,,,20.0,168.0,,,,9.0,,
tr_imst-ud-test,1100,0,261,,5.0,2.0,,,3.0,,8.0,,1.0,,,,,2.0,22.0,,,26.0,,,9.0,159.0,,1.0,,23.0,,
lv_cairo-ud-test,20,0,2,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
gu_gujtb-ud-test,187,0,2,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
bxr_bdt-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
bxr_bdt-ud-test,908,0,379,,,,,,,,4.0,,,,,,1.0,5.0,14.0,,,299.0,6.0,,38.0,4.0,,2.0,,6.0,,
tr_boun-ud-dev,979,0,330,,4.0,5.0,,,4.0,,6.0,,,1.0,,,,2.0,14.0,,,12.0,1.0,,24.0,239.0,,,,18.0,,
tr_boun-ud-test,979,0,349,,8.0,7.0,,,3.0,,12.0,,2.0,,1.0,,,2.0,20.0,,,15.0,,,34.0,228.0,,,,17.0,,
tr_boun-ud-train,7803,0,2737,,36.0,38.0,4.0,,14.0,,77.0,,11.0,,1.0,,,12.0,118.0,,,71.0,10.0,,337.0,1880.0,2.0,4.0,,120.0,1.0,1.0
tr_penn-ud-dev,622,0,187,,1.0,4.0,,,3.0,,29.0,,,,,,,2.0,,,,23.0,,,17.0,108.0,,,,,,
tr_penn-ud-test,924,0,267,,,4.0,,,9.0,,44.0,,,,,,,1.0,1.0,,,43.0,4.0,2.0,25.0,133.0,,,,1.0,,
tr_penn-ud-train,14850,0,4903,,20.0,69.0,3.0,,277.0,2.0,714.0,,4.0,,8.0,,5.0,19.0,20.0,1.0,,551.0,30.0,27.0,811.0,2256.0,,,,15.0,,71.0
