Treebank,Number of Sentences,Failures,Total,_,acl,acl:cleft,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:pred,advcl:relcl,advmod,advmod:emph,amod,amod:att,amod:flat,appos,aux,aux:caus,aux:pass,case,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:obl,ccomp:pred,ccomp:relcl,ccomp:reported,compound,compound:lvc,compound:nn,compound:prt,compound:redup,compound:smixut,compound:svc,conj,conj:expl,cop,cop:locat,cop:own,csubj,csubj:caus,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,det,discourse,dislocated,dislocated:ccomp,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:name,flat:redup,flat:sibl,iobj,list,mark,nmod,nmod:arg,nmod:att,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:lmod,obl:mod,obl:pronmod,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:reporting,punct,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:ds,xcomp:obj,xcomp:pred,xcomp:subj
cu_proiel-ud-train,18327,0,35864,,1778.0,,,6035.0,,,25.0,,,,,,2.0,,,11.0,619.0,,4.0,,,880.0,,,,,,,,,,,,,,4751.0,,3363.0,,,96.0,,,,,18.0,,,19.0,,,250.0,,,,,,37.0,,,,,,,,,27.0,,,,,,,590.0,,2.0,30.0,,352.0,97.0,4.0,7.0,,,,,,,115.0,,306.0,,,,,,,14752.0,17.0,1677.0,,,,,
cu_proiel-ud-test,2096,0,4577,,242.0,,,862.0,,,1.0,,,,,,,,,,65.0,,1.0,,,99.0,,,,,,,,,,,,,,685.0,,412.0,,,11.0,,,,,2.0,,,1.0,,,20.0,,,,,,12.0,,,,,,,,,11.0,,,,,,,82.0,,,8.0,,43.0,7.0,,,,,,,,,18.0,,14.0,,,,,,,1739.0,2.0,240.0,,,,,
cu_proiel-ud-dev,2205,0,4397,,222.0,,,826.0,,,1.0,,,,,,1.0,,,1.0,65.0,,,,,128.0,,,,,,,,,,,,,,509.0,,383.0,,,4.0,,,,,3.0,,,2.0,,,22.0,,,,,,9.0,,,,,,,,,3.0,,,,,,,60.0,,,,,34.0,12.0,,1.0,,,,,,,16.0,,17.0,,,,,,,1887.0,3.0,188.0,,,,,
olo_kkpp-ud-test,106,0,210,,,,8.0,8.0,,,,,,,,,,,,,10.0,,,,,3.0,,,,,,,,,,,,,,50.0,,27.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,29.0,,,,,,,69.0,,1.0,,,,,
olo_kkpp-ud-train,19,0,27,,,,2.0,,,,,,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,2.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,1.0,,,,,
it_old-ud-train,1748,0,4944,,39.0,,785.0,1011.0,,,101.0,,5.0,39.0,,,,,,,311.0,,,,,179.0,,,,,6.0,236.0,,,,,,,,577.0,,1.0,,,72.0,,,,,2.0,16.0,,,,,,,,,,,,,,,3.0,,,,,2.0,,,,,,,25.0,,,2.0,,15.0,17.0,4.0,3.0,,,3.0,,,,5.0,,472.0,,,,,,,885.0,,128.0,,,,,
it_old-ud-dev,316,0,1114,,9.0,,179.0,259.0,,,32.0,,2.0,6.0,,,,,,,71.0,,,,,29.0,,,,,,37.0,,,,,,,,128.0,,,,,16.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,4.0,8.0,,,,,3.0,,,,1.0,,98.0,,,,,,,177.0,,45.0,,,,,
it_old-ud-test,338,0,1019,,6.0,,151.0,232.0,,,20.0,,,6.0,,,,,,,66.0,,,,,23.0,,,,,1.0,45.0,,,,,,,,108.0,,,,,21.0,,,,,,4.0,,,,,,,,,,,,,,,3.0,,,,,2.0,,,,,,,4.0,,,,,1.0,3.0,,1.0,,,,,,1.0,1.0,,101.0,,,,,,,190.0,,29.0,,,,,
hy_bsut-ud-train,1226,0,1261,,119.0,,45.0,96.0,,,,,,8.0,,,,,,9.0,,,,,,57.0,,,,,,,,,,,,,3.0,242.0,,,,,43.0,,,,,5.0,,,,,20.0,,,,,,,,,,,,,,,,4.0,,,,,,35.0,,,,,,2.0,26.0,,,,,,,,,2.0,,28.0,,,,,,,420.0,,97.0,,,,,
hy_bsut-ud-test,595,0,718,,45.0,,27.0,51.0,,,,,,7.0,,,,,,1.0,,,,,,20.0,,,,,,,,,,,,,3.0,174.0,,,,,20.0,,,,,1.0,,,,,7.0,,,,,,,,,,,,,,,,2.0,,,,,,11.0,,,,,,2.0,15.0,,,,,,,,,1.0,,25.0,,,,,,,244.0,,62.0,,,,,
hy_bsut-ud-dev,479,0,689,,60.0,,30.0,55.0,,,,,,6.0,,,,,,3.0,,,,,,25.0,,,,,,,1.0,,,,,,1.0,134.0,,,,,28.0,,,,,4.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,2.0,27.0,1.0,,,,,3.0,19.0,,,,,,,,,1.0,,29.0,,,,,,,190.0,,64.0,,,,,
vep_vwt-ud-test,103,0,190,,1.0,,7.0,5.0,,,,,,,,,,,,,26.0,,,,,5.0,,,,,,,,,,,,,,29.0,,41.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,66.0,,6.0,,,,,
la_llct-ud-dev,850,0,1838,,87.0,,223.0,145.0,46.0,,11.0,,,6.0,,,,,,,1.0,,,,,90.0,,,,,13.0,,,,,,,,,365.0,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,607.0,,231.0,,,,,
la_llct-ud-test,884,0,1746,,103.0,,178.0,143.0,19.0,,9.0,,,2.0,,,,,,,1.0,,,,,75.0,,,,,5.0,,,,,,,,,331.0,,,,,4.0,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,656.0,,213.0,,,,,
la_llct-ud-train,7289,0,14934,,585.0,,1723.0,1082.0,53.0,,159.0,,,42.0,,,,,,,12.0,,,,,748.0,,,,,141.0,,,,,,,,,3061.0,,,,,157.0,,,,,17.0,17.0,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,43.0,,,,,,,5075.0,,2012.0,,,,,
hsb_ufal-ud-test,623,0,73,,8.0,,,12.0,,,,,,,,,23.0,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,
hsb_ufal-ud-train,23,0,4,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
fi_tdt-ud-train,12217,0,26365,152.0,1988.0,,1001.0,1687.0,,,,,,,1.0,,,,,20.0,4242.0,,545.0,,,826.0,,,,,,,,,9.0,,,,,2448.0,,3780.0,,237.0,29.0,,,124.0,,,,,,,2.0,2.0,,,,,,3.0,,,,,,,,,8.0,,,1.0,,,9.0,16.0,8.0,,,,10.0,13.0,,,,,,,,,4.0,,475.0,,,,,,,6722.0,,1337.0,,666.0,,,
fi_tdt-ud-test,1555,0,3511,17.0,255.0,,118.0,208.0,,,,,,,,,,,,1.0,580.0,,88.0,,,126.0,,,,,,,,,3.0,,,,,326.0,,548.0,,35.0,2.0,,,18.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,2.0,2.0,,,,,,,,,2.0,,60.0,,,,,,,847.0,,175.0,,92.0,,,
fi_tdt-ud-dev,1364,0,2955,16.0,226.0,,111.0,166.0,,,,,,,,,,,,6.0,487.0,,68.0,,,109.0,,,,,,,,,1.0,,,,,256.0,,464.0,,22.0,7.0,,,16.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,1.0,,51.0,,,,,,,723.0,,149.0,,68.0,,,
id_gsd-ud-train,4482,0,5716,,462.0,,790.0,543.0,,,,,,,,,115.0,,,43.0,,,,,,201.0,,,,,,,6.0,,,,,,,610.0,,,,,9.0,,,,,5.0,,,167.0,,,,,,,,,27.0,12.0,,,,,1.0,,,1.0,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,121.0,,,,,,,1816.0,,783.0,,,,,
id_gsd-ud-test,557,0,713,,52.0,,101.0,84.0,,,,,,,,,,,,4.0,,,,,,28.0,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,23.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,235.0,,92.0,,,,,
id_gsd-ud-dev,559,0,757,,60.0,,121.0,85.0,,,,,,,,,16.0,,,3.0,,,,,,28.0,,,,,,,,,,,,,,74.0,,,,,2.0,,,,,,,,20.0,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,233.0,,87.0,,,,,
sr_set-ud-test,520,0,457,,57.0,,,33.0,,,,,,,,,,,,,5.0,,,,,22.0,,,,,,,,,,,,,,34.0,,27.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,210.0,,,,,,,
sr_set-ud-train,3328,0,2707,,352.0,,,215.0,,,,,,,,,,,,2.0,25.0,,,,,135.0,,,,,,,,,,,,,,219.0,,163.0,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,344.0,,,,,,,1234.0,,,,,,,
sr_set-ud-dev,536,0,492,,74.0,,,35.0,,,,,,,,,,,,,6.0,,,,,17.0,,,,,,,,,,,,,,38.0,,35.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,210.0,,,,,,,
ar_pud-ud-test,1000,0,1920,,22.0,,263.0,199.0,,,,,,,,,,,,2.0,91.0,,,,,204.0,,,,,,,1.0,,,,,,,167.0,,93.0,,,50.0,,,,,2.0,,,1.0,,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,16.0,,,,,,,733.0,,66.0,,,,,
fa_perdt-ud-test,1455,0,2552,,393.0,,,133.0,,,,,,,,,,,,1.0,9.0,,,,,266.0,,,,,,,,,,,,,,459.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,2.0,,,,,1.0,4.0,,,,,,,,,,,3.0,,,,,,,1255.0,,2.0,,,,,
fa_perdt-ud-train,26196,0,46061,,6786.0,,,2853.0,,,,,,,,,,,,4.0,133.0,,,8.0,,5197.0,,,,,,,,3.0,,,,,,8462.0,,,,,335.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,71.0,,,,,,,17.0,,,,,5.0,82.0,,6.0,,,,,,,,,70.0,,,,,,,21981.0,,46.0,,,,,
fa_perdt-ud-dev,1456,0,2508,,377.0,,,169.0,,,,,,,,,,,,,7.0,,,1.0,,280.0,,,,,,,,,,,,,,451.0,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,1.0,,,,,1.0,3.0,,,,,,,,,,,5.0,,,,,,,1185.0,,6.0,,,,,
id_pud-ud-test,1000,0,1820,,190.0,,216.0,262.0,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,199.0,,,,,15.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,63.0,,,,,,,649.0,,163.0,,,,,
bho_bhtb-ud-test,357,0,333,,30.0,,,15.0,,,,,,,,,4.0,,,,29.0,,,,2.0,12.0,,,,,,,16.0,,,,,,,8.0,,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,9.0,,,,,9.0,19.0,,,,,,,,,,,,,,,,,,131.0,,7.0,,,,,
it_pud-ud-test,1000,0,2060,,80.0,,156.0,158.0,,,,,,,,,1.0,,,,430.0,,12.0,,,75.0,,,,,,,,,,,,,,143.0,,271.0,,,25.0,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,39.0,,,,,,,542.0,,120.0,,,,,
la_proiel-ud-test,1260,0,2611,,198.0,,,365.0,,,3.0,,,,,,,,,,48.0,,109.0,,,146.0,,,,,,,,,,,,,,347.0,,327.0,,,11.0,,,,,7.0,,,,,,11.0,,,,,,5.0,,,,,,,,,,,,,,,,32.0,,,2.0,,15.0,3.0,,2.0,,,,,,,12.0,,16.0,,,,,,,825.0,,127.0,,,,,
la_proiel-ud-dev,1233,0,2721,,210.0,,,388.0,,,6.0,,,,,,,,,,44.0,,117.0,,,163.0,,,,,,,,,,,,,,341.0,,339.0,,,13.0,,,,,6.0,,,,,,17.0,,,,,,,,,,,,,,,3.0,,,,,,,28.0,,,3.0,,16.0,4.0,,1.0,,,,,,,7.0,,15.0,,,,,,,871.0,,129.0,,,,,
la_proiel-ud-train,16196,0,33563,,2359.0,,,5145.0,,,31.0,,,,,,2.0,,,,686.0,,1575.0,,,1984.0,,,,,,,,,,,,,,3808.0,,4066.0,,,152.0,,,,,98.0,,,3.0,2.0,,169.0,,,,,,12.0,,1.0,,,,,,,19.0,,,,,,,358.0,,,56.0,,236.0,22.0,3.0,8.0,,,,,,,131.0,,248.0,,,,,,,11026.0,3.0,1360.0,,,,,
kpv_ikdp-ud-test,214,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_gsd-ud-test,416,0,106,,9.0,,10.0,8.0,,3.0,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,,,,59.0,,,,,,,
fr_gsd-ud-train,14450,0,3053,,394.0,,382.0,210.0,,23.0,,,,,,,,,,1.0,,,,,,103.0,,,,,,,,,,,,,,326.0,,,,,13.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,44.0,,86.0,,,,,1414.0,,53.0,,,,,
fr_gsd-ud-dev,1476,0,308,,32.0,,35.0,24.0,,2.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,9.0,,,,,156.0,,4.0,,,,,
sv_lines-ud-dev,1032,0,2830,,93.0,7.0,188.0,262.0,,,,,,,,,5.0,,,20.0,489.0,,33.0,,,118.0,,,,,,,,,,3.0,,,,356.0,,285.0,,,32.0,,,,,1.0,,,,,,11.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,48.0,,,,,,,739.0,,136.0,,,,,
sv_lines-ud-train,3176,0,8559,,259.0,44.0,591.0,738.0,,,,,,,,,17.0,,,33.0,1390.0,,75.0,,,400.0,,,,,,,,,,1.0,,,,1145.0,,888.0,,,112.0,,,,1.0,5.0,,,,,3.0,4.0,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,10.0,,,,,,,,,,,,165.0,,,,,,1.0,2252.0,,422.0,,,,,
sv_lines-ud-test,1035,0,2621,,69.0,9.0,161.0,204.0,,,,,,,,,3.0,,,2.0,446.0,,27.0,,,126.0,,,,,,,,,,3.0,,,,306.0,,252.0,,,33.0,,,,,2.0,,,,,1.0,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,74.0,,,,,,,753.0,,144.0,,,,,
grc_proiel-ud-test,1047,0,1966,,106.0,,,378.0,,,4.0,,,,,,,,,15.0,1.0,,1.0,,,85.0,,,,,,,,,,,,,,282.0,,200.0,,,4.0,,,,,2.0,,,,,,10.0,,,,,,,,,,,,,,,23.0,,,,,,,28.0,,,2.0,,27.0,14.0,,7.0,,,,,,,13.0,,14.0,,,,,,,648.0,2.0,100.0,,,,,
grc_proiel-ud-train,15016,0,26415,,1340.0,,,5635.0,,,47.0,,,,,,,,,94.0,25.0,,42.0,,,1122.0,,,,,,,,,,,,,,3367.0,,2735.0,,,89.0,,,,,52.0,,,,,,128.0,,,,,,,,,,,,,,,226.0,,,,,,,368.0,,,55.0,,310.0,153.0,6.0,83.0,,,,,,,129.0,,132.0,,,,,,,9039.0,27.0,1211.0,,,,,
grc_proiel-ud-dev,1019,0,2089,,114.0,,,456.0,,,1.0,,,,,,,,,6.0,1.0,,1.0,,,87.0,,,,,,,,,,,,,,315.0,,205.0,,,4.0,,,,,2.0,,,,,,15.0,,,,,,,,,,,,,,,20.0,,,,,,,37.0,,,6.0,,32.0,8.0,,6.0,,,,,,,9.0,,13.0,,,,,,,652.0,2.0,97.0,,,,,
ru_taiga-ud-train,16045,0,17555,,530.0,,390.0,1017.0,,,,,,,,,124.0,,,20.0,160.0,,151.0,5.0,,526.0,,,,,,,,,,,,,,3506.0,,707.0,,,1019.0,,,,,1.0,,,4.0,,1.0,1.0,,,,,,33.0,8.0,,,,,4.0,5.0,1.0,12.0,,,,,,,6.0,,,,,6.0,5.0,,,,,,,,,4.0,,1387.0,,,,,,1.0,6359.0,6.0,1556.0,,,,,
ru_taiga-ud-dev,946,0,1093,,29.0,,19.0,63.0,,,,,,,,,4.0,,,1.0,16.0,,1.0,2.0,,14.0,,,,,,,,,,,,,,243.0,,45.0,,,28.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,,,166.0,,,,,,,394.0,,60.0,,,,,
ru_taiga-ud-test,881,0,938,,24.0,,24.0,57.0,,,,,,,,,4.0,,,,10.0,,2.0,1.0,,34.0,,,,,,,,,,,,,,158.0,,45.0,,,37.0,,,,2.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,,,99.0,,,,,,,364.0,,68.0,,,,,
fi_pud-ud-test,1000,0,2433,2.0,157.0,,143.0,186.0,,,,,,,,,,,,,348.0,,35.0,,,95.0,,,,,,,,,,,,,,195.0,,346.0,,44.0,2.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,72.0,,,,,,,631.0,,113.0,,45.0,,,
ceb_gja-ud-test,188,0,69,,4.0,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,48.0,,,,,,,
cs_cltt-ud-dev,316,0,695,4.0,10.0,,110.0,20.0,,,,,,,,,97.0,,,,3.0,,27.0,,,3.0,,,,,,,,,,,,,,62.0,,148.0,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,188.0,,,,,,,
cs_cltt-ud-train,467,0,806,3.0,13.0,,101.0,26.0,,,,,,,,,76.0,,,1.0,6.0,,35.0,,,1.0,,,,,,,,,,,,,,85.0,,144.0,,,1.0,,,,,,,,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,297.0,,,,,,,
cs_cltt-ud-test,338,0,850,3.0,10.0,,142.0,55.0,,,,,,,,,96.0,,,,3.0,,35.0,,,5.0,,,,,,,,,,,,,,99.0,,133.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,240.0,,,,,,,
tl_trg-ud-test,128,0,59,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,43.0,,4.0,,,,,
hy_armtdp-ud-train,1974,0,2778,,208.0,,90.0,263.0,,,,,,,,,1.0,,,9.0,,,,,,108.0,,,,,,,,3.0,,,,,16.0,730.0,,,,,86.0,,,,,7.0,,,,,3.0,,,,,,,1.0,1.0,,,,,,,,7.0,,,,,5.0,34.0,5.0,,,,,3.0,60.0,,,,,,,,,,,150.0,,,,,,,792.0,,196.0,,,,,
hy_armtdp-ud-dev,249,0,338,,19.0,,11.0,31.0,,,,,,,,,,,,1.0,,,,,,9.0,,,,,,,,,,,,,,81.0,,,,,10.0,,,,,2.0,,,,,2.0,,,,,,,1.0,,,,,,,,,1.0,,,,,2.0,7.0,2.0,,,,,1.0,10.0,,,,,,,,,1.0,,26.0,,,,,,,97.0,,24.0,,,,,
hy_armtdp-ud-test,277,0,340,,26.0,,5.0,33.0,,,,,,,,,,,,1.0,,,,,,15.0,,,,,,,,,,,,,3.0,113.0,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,3.0,,,,,1.0,2.0,,,,,,,,,1.0,,20.0,,,,,,,91.0,,18.0,,,,,
mk_mtb-ud-test,155,0,292,,4.0,,9.0,19.0,,,,,,,,,,,,,4.0,,7.0,,,17.0,,,,,,,,,,,,,,57.0,,22.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,126.0,,22.0,,,,,
is_gc-ud-test,540,0,1430,,1.0,,113.0,68.0,,,,,,,1.0,,,,,,195.0,,,,,93.0,,,,,,,,,,,,,,153.0,,242.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,74.0,,,,,,,,,,,,,,,,,,359.0,,117.0,,,,,
is_gc-ud-train,3960,0,11510,,,,903.0,556.0,,,,,,,4.0,,,,,,1303.0,,,1.0,,544.0,,,,,,,,,,,,,,1186.0,,1945.0,,,3.0,,,,,,,,100.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,101.0,,,,,221.0,604.0,,,,,,,,,,,1.0,,,,,,,2504.0,,1522.0,,,,,
is_gc-ud-dev,500,0,1614,,,,108.0,83.0,,,,,,,1.0,,,,,,184.0,,,1.0,,102.0,,,,,,,,,,,,,,210.0,,274.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,39.0,76.0,,,,,,,,,,,,,,,,,,303.0,,204.0,,,,,
et_edt-ud-dev,3128,0,5925,47.0,537.0,,264.0,292.0,,,,,,,,,7.0,,,2.0,751.0,,,,,226.0,,,,,,,1.0,,,,,,,619.0,,1060.0,,,30.0,,,13.0,,,,,,,2.0,,,,,,,,,,,,,,,,5.0,,,,,,,8.0,2.0,,,,8.0,13.0,,,,,,,,,,,85.0,,,,,,,1792.0,,161.0,,,,,
et_edt-ud-train,24615,0,46540,312.0,4213.0,,1761.0,2184.0,,,,,,,,,157.0,,,8.0,6163.0,,,,,1896.0,,,,,,,10.0,,,,,,,4679.0,,7996.0,,,150.0,,,93.0,,,,,1.0,,6.0,,,,,,,,,,,,,,,,16.0,,,,,,,16.0,7.0,,,,30.0,46.0,,,,,,,,,5.0,,676.0,,,,,,,14719.0,,1396.0,,,,,
et_edt-ud-test,3214,0,6525,29.0,735.0,,217.0,334.0,,,,,,,,,8.0,,,2.0,890.0,,,,,273.0,,,,,,,3.0,,,,,,,678.0,,1164.0,,,19.0,,,23.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,2.0,,,,4.0,7.0,,,,,,,,,1.0,,127.0,,,,,,,1815.0,,189.0,,,,,
id_csui-ud-test,374,0,760,,54.0,,121.0,144.0,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,55.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,238.0,,51.0,,,,,
id_csui-ud-train,656,0,1357,,61.0,,244.0,259.0,,,,,,,,,,,,,,,,,,158.0,,,,,,,,,,,,,,76.0,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,77.0,,,,,,,439.0,,36.0,,,,,
ru_syntagrus-ud-train,69630,0,104992,,5628.0,,4460.0,7798.0,,,,,,,1.0,,1233.0,,,155.0,1013.0,,2603.0,,,3406.0,,,,,,,,,,,,,,14923.0,,5555.0,,,5647.0,,,,,148.0,,,,,,2.0,,,,,,598.0,11.0,17.0,4.0,,,7.0,,,83.0,,,,,,,110.0,,,7.0,,19.0,1025.0,,,,,,,,,57.0,,7311.0,,,,,,,33945.0,,9226.0,,,,,
ru_syntagrus-ud-dev,8906,0,12777,,697.0,,501.0,929.0,,,,,,,1.0,,166.0,,,19.0,59.0,,326.0,,,419.0,,,,,,,,,,,,,,1967.0,,805.0,,,633.0,,,,,15.0,,,,,,,,,,,,67.0,2.0,5.0,,,,2.0,,,9.0,,,,,,,15.0,,,,,,123.0,,,,,,,,,7.0,,740.0,,,,,,,4200.0,,1070.0,,,,,
ru_syntagrus-ud-test,8800,0,13748,,677.0,,593.0,1170.0,,,,,,,,,159.0,,,22.0,106.0,,476.0,,,430.0,,,,,,,,,,,,,,2154.0,,729.0,,,745.0,,,,,31.0,,,1.0,,,,,,,,,93.0,,,,,,,,,8.0,,,,,,,5.0,,,2.0,,2.0,119.0,,,,,,,,,8.0,,917.0,,,,,,,4190.0,,1111.0,,,,,
grc_ptnk-ud-train,727,0,2151,,1.0,,105.0,318.0,,,,,,,,,,,,2.0,9.0,,,,,190.0,,,,,,,,,,,,,,610.0,,184.0,,,7.0,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,9.0,,,,,,,3.0,,,,,2.0,45.0,,,,,,,,,1.0,,101.0,,,,,,,493.0,,67.0,,,,,
grc_ptnk-ud-dev,439,0,1052,,,,74.0,94.0,,,,,,,,,,,,3.0,6.0,,,,,76.0,,,,,,,,,,,,,,298.0,,87.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,8.0,,,,,,,1.0,,,,,2.0,32.0,,,,,,,,,,,41.0,,,,,,,291.0,,38.0,,,,,
grc_ptnk-ud-test,410,0,1306,,,,60.0,192.0,,,,,,,,,,,,1.0,1.0,,,,,109.0,,,,,,,,,,,,,,389.0,,116.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,1.0,31.0,,,,,,,,,,,64.0,,,,,,,304.0,,32.0,,,,,
