Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advmod,amod,appos,aux,case,ccomp,clf,compound,compound:lvc,compound:prt,compound:redup,conj,conj:expl,csubj,csubj:pass,dep,det,det:poss,discourse,dislocated,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:name,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:att,nmod:cau,nmod:npmod,nmod:obl,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:goal,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred
ky_ktmu-ud-train,80,0,28,,1.0,,,,,,2.0,,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,12.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,2.0,,,,2.0,7.0,,,,,,,,,,,,,,,,,,,
la_proiel-ud-test,1260,0,244,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,24.0,4.0,208.0,,,,,,,,,4.0,,,,,,,,
la_proiel-ud-dev,1233,0,245,,1.0,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,24.0,4.0,205.0,,,,,,,,,2.0,,,,,2.0,,,
la_proiel-ud-train,16196,0,3167,,9.0,,5.0,,6.0,,,,6.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,6.0,,,,,,,,,1.0,,,,,328.0,69.0,2667.0,,,,,,,,,58.0,1.0,,,,7.0,,,
kpv_ikdp-ud-test,214,0,6,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,22.0,4.0,,,,,,,,,,,,,,,1.0,,,
kpv_lattice-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,180,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,9.0,,,,,,,,,3.0,,,,,161.0,2.0,,,,,,,,,,,,,,,2.0,,,
grc_proiel-ud-test,1047,0,267,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,53.0,6.0,191.0,,,,,,,,,2.0,,,,,1.0,,1.0,
grc_proiel-ud-train,15016,0,4058,,30.0,,112.0,,8.0,,,2.0,8.0,,,5.0,,,,,,,,,1.0,1.0,,,,5.0,,,,,,7.0,,,,,,,,30.0,,,,,,,,,8.0,,,,20.0,966.0,46.0,2703.0,,,,,,,,,74.0,,,,,18.0,,14.0,
grc_proiel-ud-dev,1019,0,264,,2.0,,8.0,,1.0,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,42.0,8.0,190.0,,,,,,,,,4.0,,,,,,,,
nds_lsdc-ud-train,500,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,1.0,,,,5.0,10.0,,3.0,,,,,,,,,,,,,,,,,
nds_lsdc-ud-test,500,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,
fo_oft-ud-test,1208,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,4.0,7.0,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-train,16045,0,1382,,,1.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,10.0,,,,1186.0,,,,23.0,,,,,,,,,1.0,,,,2.0,130.0,,,,,,,,,,,12.0,4.0,,,,8.0,,1.0,
ru_taiga-ud-dev,946,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,53.0,,,,1.0,,,,,,,,,,,,,1.0,10.0,,,,,,,,,,,2.0,,,,,,,,
ru_taiga-ud-test,881,0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,60.0,,,,5.0,,,,,,,,,,,,,,14.0,,,,,,,,,,,1.0,1.0,,,,,,,
tpn_tudet-ud-test,581,0,26,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,1.0,
ga_idt-ud-train,4005,0,246,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,59.0,,,,,,,3.0,91.0,,,,,,,,,,,,,,75.0,,,,,,,,,,8.0,,,,,,1.0,,,2.0
ga_idt-ud-test,454,0,13,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,
ga_idt-ud-dev,451,0,26,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,6.0,,,,,,,,8.0,,,,,,,,,,,,,,9.0,,,,,,,,,,1.0,,,,,,,,1.0,
ro_art-ud-test,50,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceb_gja-ud-test,188,0,58,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,9.0,,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,9.0,,,,,,,,,,,,,,,,,
tl_trg-ud-test,128,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,340,,,,,,,,,,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,4.0,2.0,,,47.0,4.0,,,1.0,,,,,7.0,,4.0,,,,,,178.0,81.0,1.0,,,,,,,,,,1.0,3.0,,,,1.0,,,
hy_armtdp-ud-dev,249,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,4.0,,,,,,,,34.0,15.0,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,23,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,13.0,3.0,,,,,,,,,,,1.0,,,,,,,,
mk_mtb-ud-test,155,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,1.0,,,,,24.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
is_gc-ud-test,540,0,170,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,17.0,,,,66.0,,,,,,,,,8.0,,,,24.0,51.0,,,,,,,,,,,,,,,,,,,
is_gc-ud-train,3960,0,1421,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,12.0,,,,115.0,,,,596.0,,,,,,,3.0,,81.0,,,,152.0,448.0,,,,,,,,,,,,,,,,5.0,,1.0,
is_gc-ud-dev,500,0,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,16.0,,,,99.0,,,,,,,,,17.0,,,,16.0,59.0,,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,19,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,2.0,10.0,,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-train,69630,0,5352,,1.0,,,,,,16.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,40.0,1.0,,,3989.0,,,,226.0,,,,,,,,,2.0,,,,,986.0,,,,,,,,,,,28.0,28.0,,,,32.0,,,
ru_syntagrus-ud-dev,8906,0,761,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,595.0,,,,36.0,,,,,,,,,,,,,,112.0,,,,,,,,,,,2.0,1.0,,,,6.0,,,
ru_syntagrus-ud-test,8800,0,815,,,,,,,,6.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,617.0,,,,26.0,,,,,,,,,,,,,,152.0,,,,,,,,,,,1.0,1.0,,,,5.0,,,
grc_ptnk-ud-train,727,0,371,,,5.0,3.0,,,,,,,,,6.0,,,,,,,,,,,,,,2.0,,,,,,,,,,294.0,,,,7.0,,,,,,,,,,,,,8.0,39.0,,,,,,,,,,,,3.0,,,,4.0,,,
grc_ptnk-ud-dev,439,0,112,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,83.0,,,,7.0,,,,,,,,,,,,,5.0,9.0,,,,,,,,,,,,,,,,,,,
grc_ptnk-ud-test,410,0,234,,,6.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,8.0,,,,,,,,,,181.0,,,,5.0,,,,,,,,,1.0,,,,10.0,18.0,,,,,,,,,,,,1.0,,,,1.0,,,
sjo_xdt-ud-test,810,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-dev,1172,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-test,1167,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-train,7018,0,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,177.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,94,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,70.0,,,,1.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,3.0,,,,,5.0,,,
orv_birchbark-ud-dev,1062,0,143,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,113.0,,,,2.0,,,,,,,,,,,,,2.0,20.0,,,,,,,,,,,4.0,,,,,1.0,,,
orv_birchbark-ud-test,1007,0,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,,,,1.0,,,,,,,,,,,,,,23.0,,,,,,,,,,,6.0,,,,,,,,
nl_lassysmall-ud-train,13817,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
is_icepahc-ud-dev,4865,0,4239,,2.0,12.0,25.0,,,,,6.0,15.0,,,16.0,,,,,,,,,,2.0,,,,,,,,,,,,,,754.0,,,1.0,92.0,,,,,,,669.0,,576.0,,,,421.0,1609.0,,,,,,,,,,,,1.0,,,,33.0,3.0,2.0,
is_icepahc-ud-train,34007,0,20522,,25.0,66.0,102.0,,,,,27.0,77.0,,,73.0,,,,,,,,,,6.0,,,,,,,,,,,,,,3368.0,,,,465.0,,,,,,,3193.0,,2802.0,,,,2044.0,8011.0,,,,,,,,,,,,4.0,,,,234.0,2.0,23.0,
is_icepahc-ud-test,5157,0,4118,,2.0,13.0,30.0,,,,,10.0,21.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,617.0,,,,115.0,,,,,,,518.0,,601.0,,,,328.0,1790.0,,,,,,,,,,,,,,,,54.0,1.0,6.0,
de_lit-ud-test,1920,0,185,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,1.0,,,,4.0,70.0,1.0,92.0,,,,,,,,,,,,,,,,,
ltg_cairo-ud-test,20,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,67.0,,,,1.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-dev,789,0,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,82.0,,,,3.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,3.0,1.0,,,,1.0,,,
ru_poetry-ud-train,3569,0,348,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,301.0,,,,9.0,,,,,,,,,,,,,1.0,31.0,,,,,,,,,,,,,1.0,,,1.0,,,
fo_farpahc-ud-test,301,0,234,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,46.0,,,,7.0,,,,,,,22.0,,6.0,,,,13.0,134.0,,,,,,,,,,,,,,,,1.0,,,
fo_farpahc-ud-train,1020,0,719,,,3.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,181.0,,,,21.0,,,,,,,55.0,,14.0,,,,62.0,372.0,,,,,,,,,,,,,,,,6.0,,1.0,
fo_farpahc-ud-dev,300,0,244,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,2.0,,,,,,,37.0,,15.0,,,,13.0,127.0,,,,,,,,,,,,,,,,,,,
is_modern-ud-dev,394,0,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,6.0,,,,,,,15.0,,20.0,,,,21.0,95.0,,,,,,,,,,,,1.0,,,,4.0,,,
is_modern-ud-train,2703,0,1124,,2.0,3.0,7.0,,,,,3.0,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,27.0,,,,,,,112.0,,152.0,,,,123.0,583.0,,,,,,,,,,,,,,,,31.0,,1.0,
is_modern-ud-test,438,0,192,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,3.0,,,,,,,31.0,,18.0,,,,24.0,93.0,,,,,,,,,,,,,,,,5.0,,,
wbp_ufal-ud-test,55,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-train,34,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,343,,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,12.0,,,,,,80.0,,,,,,,,,1.0,,,,,,,,,,,,,,91.0,,151.0,,,,,,,,,,,,,,3.0,,,
cs_fictree-ud-train,10160,0,2728,,,,8.0,,,,,,2.0,,,7.0,,,,,,,,2.0,,1.0,,,89.0,,,,,,564.0,,,,,,,,,8.0,,,,,,,,,,,,,,747.0,,1267.0,,,,,,,,,3.0,,,,,28.0,,2.0,
cs_fictree-ud-test,1291,0,370,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,9.0,,,,,,69.0,,,,,,,,,2.0,,,,,,,,,,,,,,106.0,,179.0,,,,,,,,,,,,,,3.0,,,
la_udante-ud-train,926,0,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,1.0,62.0,,,,,,,,,2.0,,,,,,,,
la_udante-ud-test,419,0,31,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,18.0,,,,,,,,,,,,,,1.0,,,
la_udante-ud-dev,376,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,26.0,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,88,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,9.0,,,,,,,,,1.0,,24.0,,2.0,,,,17.0,28.0,,,,,,,,,,,,1.0,,,,,,,
hyw_armtdp-ud-dev,694,0,108,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,20.0,,,,1.0,,,,,4.0,,20.0,,2.0,,,,21.0,34.0,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,713,,1.0,1.0,,,,,,,5.0,,,,,1.0,1.0,,1.0,,,,,,,7.0,1.0,,1.0,,,,,15.0,,,,81.0,4.0,,,1.0,,,,,21.0,,120.0,,12.0,,2.0,,140.0,284.0,3.0,,,,,,,,,,3.0,4.0,,,,4.0,,,
ro_rrt-ud-test,729,0,133,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,11.0,,,38.0,5.0,,,,,52.0,,,,22.0,,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,
ro_rrt-ud-train,8043,0,1445,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,117.0,,3.0,520.0,52.0,1.0,,,,509.0,,,,145.0,,,,,,,,,2.0,,,,31.0,37.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,
ro_rrt-ud-dev,752,0,145,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,14.0,,,45.0,6.0,,,,,54.0,,,,20.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
el_gdt-ud-test,456,0,5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
el_gdt-ud-train,1662,0,32,,,,,,,,,4.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,1.0,,,
el_gdt-ud-dev,403,0,6,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
ha_southernautogramm-ud-test,1918,0,117,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,1.0,,,,108.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-dev,1709,0,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,32.0,,,,,,,,,,,,,,,,,
ca_ancora-ud-test,1846,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,14.0,,,,,,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,1.0,,178.0,,,,,,,,,,,,,,,,,
gd_arcosg-ud-test,545,0,583,,,,,,,,,39.0,,,,2.0,,,,,,20.0,,,,,,,,,,,,,,4.0,,,4.0,,,,,124.0,,,,,,,,,2.0,,,,5.0,312.0,,,,,,,1.0,,,1.0,,1.0,,,1.0,1.0,,,66.0
gd_arcosg-ud-train,3541,0,4147,,,4.0,3.0,,,,,319.0,2.0,,2.0,9.0,,,,,,213.0,,,,2.0,,,,,,,,,,10.0,,,,,,,,729.0,,,,,,,,,10.0,,,,19.0,2238.0,,,,,,,1.0,,,,2.0,5.0,,,6.0,34.0,,1.0,538.0
gd_arcosg-ud-dev,655,0,663,,,,,,,,,44.0,,,,,,,,,,29.0,,,,,,,,,,,,,,,1.0,,,,,,,138.0,,,,,,,,,3.0,,,,7.0,355.0,,,,,,,,,,,,2.0,,,,6.0,,,78.0
got_proiel-ud-dev,985,0,453,,,,6.0,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,7.0,,,,,,,,,10.0,,,,1.0,185.0,4.0,211.0,,,,,,,,,8.0,,,,,4.0,,9.0,
got_proiel-ud-train,3387,0,1403,,4.0,,29.0,,3.0,,,,3.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,7.0,,,,,,,,,26.0,,,,,,,,,19.0,,1.0,,8.0,661.0,14.0,543.0,,,,,,,,,23.0,,,,,10.0,,50.0,
got_proiel-ud-test,1029,0,439,,,,8.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,9.0,,,,,,,,,15.0,,,,2.0,201.0,2.0,180.0,,,,,,,,,8.0,,,,,1.0,,9.0,
sl_sst-ud-train,4558,0,539,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,64.0,,,,,,,,,146.0,,,,3.0,,,,,,,,,3.0,,,,299.0,5.0,,,,,,,,,,,8.0,1.0,,,5.0,3.0,,,
sl_sst-ud-test,1041,0,92,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,,,,,,,,,28.0,,,,,,,,,,,,,,,,,48.0,3.0,,,,,,,,,,,2.0,,,,,1.0,,,
sl_sst-ud-dev,505,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,18.0,,,,2.0,,,,,,,,,,,,,47.0,,,,,,,,,,,,1.0,,,,,,,,
de_gsd-ud-train,13814,0,900,,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,124.0,,,,,,,,,5.0,,,,31.0,348.0,8.0,375.0,,,,,,,,,,,,,,,,,
de_gsd-ud-dev,799,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,,,2.0,14.0,1.0,40.0,,,,,,,,,,,,,,,,,
de_gsd-ud-test,977,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,4.0,14.0,,39.0,,,,,,,,,,,,,,,,,
ka_glc-ud-test,151,0,56,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,6.0,,,,18.0,,,,,,,,,8.0,,,,12.0,1.0,,,,,,,,,,,,,,,,,,,
arr_tudet-ud-test,674,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
aln_gps-ud-test,966,0,511,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,157.0,,,,,,,,,206.0,,,,14.0,,,,,,,,,15.0,,,,103.0,8.0,,,,,,,,,,,1.0,,,,4.0,,,1.0,
kk_ktb-ud-test,1047,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,1.0,,,,2.0,19.0,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-train,31,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
ha_northernautogramm-ud-test,400,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,939,60.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,14.0,,,,1.0,,181.0,,,,,,,,,4.0,,,,,,,,,,,,,,227.0,,447.0,,,,,,,,,,,,,,1.0,,,
cs_pdt-ud-dev,9270,0,882,56.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,13.0,,,,1.0,,189.0,,,,,,,,,5.0,,,,,,,,,1.0,,,,,186.0,,426.0,,,,,,,,,,,,,,2.0,,,
cs_pdt-ud-train,68491,0,6011,428.0,2.0,,6.0,,,,,,1.0,,,7.0,,,,,,,,,,9.0,,,117.0,,,,12.0,,1397.0,,,,,,,,,69.0,,,,,,,,,,,,,,1283.0,,2654.0,,,,,,,,,3.0,1.0,,,,22.0,,,
gl_pud-ud-test,1000,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gn_oldtudet-ud-test,59,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
ta_mwtt-ud-test,534,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,34,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,29.0,,,,,,,,,,,,1.0,,,,,,,
ug_udt-ud-dev,900,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,3.0,,,,,3.0,,,,,28.0,,,,,,,,,,,,,,,,,,,
ug_udt-ud-train,1656,0,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,4.0,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-test,2412,0,375,,1.0,,,,,,,1.0,,,,,,8.0,,,,,,,,2.0,,,2.0,,,,,,,,1.0,,,132.0,,,,6.0,,,,,,,,,31.0,,,,,182.0,,,,,,,,,,,5.0,,,,1.0,3.0,,,
lv_lvtb-ud-train,14358,0,2182,,1.0,,1.0,,,,,,,,,5.0,,18.0,,,,,,,,11.0,,,5.0,,,,,,,,,,,698.0,,,,81.0,,,,,,,,,228.0,,1.0,,,1114.0,,,,,,,,,,,5.0,1.0,,,,9.0,,4.0,
