Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:tcl,advmod,advmod:tmod,amod,appos,appos:trans,aux,case,case:loc,ccomp,ccomp:obj,ccomp:obl,ccomp:relcl,clf,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,cop,csubj,csubj:cop,csubj:outer,csubj:relcl,dep,dep:comp,dep:der,dep:infl,dep:repeat,det,det:poss,discourse,dislocated,expl,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:att,nmod:cau,nmod:comp,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:lo,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:inst,obl:lmod,obl:subj,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:lo
tr_tourism-ud-dev,2166,0,608,,,20.0,,,,9.0,,,,12.0,,11.0,,,,,2.0,,,,,23.0,,3.0,,,,,,,,,,,,,,,2.0,,,,,18.0,,,,,,,,,,,,342.0,,,,,105.0,,15.0,,,,,,,,,,2.0,,43.0,,1.0,,
tr_tourism-ud-test,2191,0,451,,,18.0,,,,9.0,,,,2.0,,5.0,,,,,3.0,,,,,10.0,,12.0,,,,,,,,,,,,,,,1.0,,,,,15.0,,,,,,,,,,,,185.0,,,,1.0,64.0,,33.0,,,,,,,,,,5.0,,88.0,,,,
ab_abnc-ud-test,263,0,85,,1.0,,,1.0,,,,,,31.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,15.0,,,,,9.0,3.0,7.0,,,,,,,,,,,,12.0,,,,1.0
aqz_tudet-ud-test,343,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
tr_imst-ud-train,3435,0,4157,234.0,,71.0,,20.0,,139.0,6.0,,,16.0,,86.0,,,,,198.0,44.0,,,9.0,249.0,,14.0,,,,,,,,,1.0,,4.0,2.0,,,106.0,,61.0,,,318.0,,,,,,,,,,310.0,,671.0,,1.0,,1.0,774.0,,676.0,,,,,,,,,1.0,8.0,,136.0,,1.0,,
tr_imst-ud-dev,1100,0,1290,81.0,,12.0,,4.0,,58.0,1.0,,,6.0,,25.0,,,,,78.0,21.0,,,2.0,84.0,,4.0,,,,,,,,,,,,1.0,,,44.0,,12.0,,,107.0,,,,,,,,,,115.0,,179.0,,,,,203.0,,218.0,,,,,,,,,,,,35.0,,,,
tr_imst-ud-test,1100,0,993,41.0,,9.0,,1.0,,42.0,1.0,,,2.0,,25.0,,,,,43.0,17.0,,,4.0,66.0,,5.0,,,,,,,,,,,1.0,,,,19.0,,19.0,,,66.0,,,,,,,,,,74.0,,135.0,,,,,194.0,,186.0,,,,,,,,,,1.0,,42.0,,,,
bxr_bdt-ud-train,19,0,2,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-test,908,0,106,,,4.0,,4.0,,1.0,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,33.0,,,,,,,,,,,,18.0,,,1.0,,14.0,,9.0,,,,,,,,,,2.0,,10.0,,2.0,,
tr_boun-ud-dev,979,0,1511,56.0,,48.0,,3.0,,37.0,1.0,,,1.0,,54.0,,,,,26.0,22.0,,,5.0,115.0,2.0,21.0,,,,,,2.0,,,,,,,,,7.0,,8.0,,,24.0,,,,,,,,,,145.0,,214.0,,,,,257.0,,402.0,,,,,,,,4.0,2.0,5.0,,50.0,,,,
tr_boun-ud-test,979,0,1530,66.0,,39.0,,,,41.0,3.0,,,1.0,,64.0,,,,,29.0,17.0,,,7.0,94.0,,31.0,,,,,,,,,,,,,,,4.0,,7.0,,,22.0,,,,,,,,,,131.0,,231.0,,,,,271.0,,403.0,,,,,,,,,,3.0,,66.0,,,,
tr_boun-ud-train,7803,0,12430,608.0,,268.0,,,,201.0,19.0,,14.0,21.0,,450.0,,,,,238.0,144.0,,,46.0,934.0,46.0,226.0,,1.0,,,,,,,1.0,,6.0,3.0,,,55.0,,69.0,4.0,,340.0,,,,,,,,,46.0,1103.0,,1634.0,,6.0,,1.0,2209.0,,3156.0,,,,,,,,63.0,10.0,17.0,,475.0,1.0,15.0,,
tr_penn-ud-dev,622,0,758,2.0,,18.0,,,,4.0,4.0,,,7.0,,54.0,,,,,8.0,,,,,29.0,,5.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,174.0,,,,,,,,,,,,168.0,,,,,122.0,,126.0,,,,,,,,,1.0,1.0,,30.0,,2.0,,
tr_penn-ud-test,924,0,1133,3.0,,29.0,,,,9.0,,,,8.0,,61.0,,,,,17.0,,,,,32.0,,13.0,,,,,,,,,,,6.0,,,,20.0,,1.0,,,291.0,,,,,,,,,,,,183.0,,,,4.0,224.0,,177.0,,,,,,,,,,4.0,,46.0,,5.0,,
tr_penn-ud-train,14850,0,19198,76.0,,215.0,,,,281.0,94.0,,,193.0,,1748.0,,,,1.0,393.0,,,,,663.0,,176.0,,,,,,,,,,,16.0,,,9.0,156.0,,6.0,32.0,,3796.0,,,,,,,,,,,,3854.0,,1.0,,37.0,3585.0,,3014.0,,,,,,,,,,39.0,,772.0,,41.0,,
