Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:fin,advcl:manner,advcl:relcl,amod,appos,appos:trans,case,case:loc,ccomp,clf,compound,compound:lvc,compound:redup,conj,conj:expl,csubj,csubj:pass,dep,discourse,dislocated,dislocated:nsubj,fixed,flat,flat:foreign,flat:name,flat:range,flat:repeat,flat:title,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:cau,nmod:flat,nmod:npmod,nmod:obl,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:depict,obl:goal,obl:instr,obl:lmod,obl:manner,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
grc_proiel-ud-test,1047,0,319,,,,,,4.0,,,2.0,,,,,4.0,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,158.0,,78.0,,,,,,,,,,,,,2.0,,,,,3.0,,7.0,,
grc_proiel-ud-train,15016,0,4632,,12.0,,,,24.0,,,20.0,,,,,128.0,,,,12.0,,,,,432.0,,,2.0,,,6.0,,,,,,,,,,,,,212.0,,,,,,,,,10.0,,,4.0,,,2.0,2551.0,21.0,981.0,,,,,,,,,,,,,102.0,3.0,,,,60.0,,50.0,,
grc_proiel-ud-dev,1019,0,328,,3.0,,,,3.0,,,3.0,,,,,8.0,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,3.0,,,,,,1.0,170.0,,78.0,,,,,,,,,,,,,5.0,,,,,6.0,,3.0,,
nds_lsdc-ud-train,500,0,145,,,,,,1.0,,,,,,,,4.0,,,,,,,,,8.0,,,,,,,,,,,,,,,7.0,,,,17.0,,,,,,,1.0,,1.0,,,,,,7.0,96.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,
nds_lsdc-ud-test,500,0,84,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,2.0,,,,4.0,,,,,,,3.0,,2.0,,,,,,6.0,60.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,
fo_oft-ud-test,1208,0,667,,,,,,3.0,,,,,,,,1.0,,,,1.0,,7.0,,,36.0,,,,2.0,,,,,6.0,,,,,,1.0,,,,181.0,,,,,,,12.0,,3.0,,,,1.0,,15.0,274.0,,,,,,,,,,,,,,,1.0,,,,,122.0,,1.0,,
ru_taiga-ud-train,16045,0,1751,,1.0,,,2.0,,,,,,,,,25.0,,,,1.0,,,,,100.0,,,,,,,,46.0,,,,,,,446.0,,,,261.0,,,,,,,,,2.0,,,1.0,,,11.0,702.0,,,,,,,,,,,,,,,19.0,105.0,,,,28.0,,1.0,,
ru_taiga-ud-dev,946,0,87,,,,,,,,,,,,,,2.0,,,,,,,,,6.0,,,,,,,,,,,,,,,20.0,,,,15.0,,,,,,,,,,,,,,,3.0,31.0,,,,,,,,,,,,,,,2.0,8.0,,,,,,,,
ru_taiga-ud-test,881,0,87,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,,,,,,,,1.0,,,,,,,20.0,,,,14.0,,,,,,,,,,,,,,,3.0,30.0,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,
tpn_tudet-ud-test,581,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
ga_idt-ud-train,4005,0,189,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,59.0,,,,,,,,,,3.0,66.0,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,8.0,,,,,,,,,2.0,
ga_idt-ud-test,454,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
ga_idt-ud-dev,451,0,26,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
cs_cltt-ud-dev,316,0,105,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,35.0,,25.0,,,,,,,,,,,,,,,,,,1.0,,,,
cs_cltt-ud-train,467,0,155,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,1.0,,,,46.0,,24.0,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,197,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,29.0,,,,6.0,,,,,,,,,,,,,,,41.0,,,,,,,,,1.0,,,,,,,66.0,,51.0,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,3896,,4.0,,,1.0,3.0,,,,,,,2.0,41.0,,,,1.0,,10.0,37.0,13.0,355.0,,,,13.0,1.0,2.0,,4.0,20.0,,,,,,68.0,1.0,,,26.0,,,,,114.0,,2032.0,,,,,1.0,,,305.0,752.0,22.0,,,,,,,,,,,,,,6.0,27.0,,,,29.0,,6.0,,
hy_armtdp-ud-dev,249,0,637,,,,,,,,,,,,,,2.0,,,,,,,2.0,,41.0,,,,1.0,,,,,4.0,,,,,,9.0,2.0,,,8.0,,,,,13.0,,378.0,,,,,,,,38.0,125.0,1.0,,,,,,,,,,,,,,1.0,6.0,,,,5.0,,1.0,,
hy_armtdp-ud-test,277,0,484,,,,,,,,,,,,,,2.0,,,,,,9.0,5.0,1.0,30.0,,,,,,,,,2.0,,,,,,6.0,1.0,,,4.0,,,,,6.0,,275.0,,,,,,,,22.0,111.0,1.0,,,,,,,,,,,,,,2.0,3.0,,,,4.0,,,,
is_gc-ud-test,540,0,615,,,,,,2.0,,,,,,,,,,,,1.0,,,,,27.0,,,,,,,,,7.0,,,,,,10.0,,,,,,,,,,,,,16.0,,,,,,62.0,489.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
is_gc-ud-train,3960,0,4740,,,,,8.0,19.0,,,,,,,,,,2.0,,2.0,,,,,197.0,,,,1.0,,,,,76.0,,,,,,92.0,,,,,,,,,,,2.0,,115.0,,,,,,454.0,3737.0,,,,,,,,,,,,,,,,,,,,22.0,,13.0,,
is_gc-ud-dev,500,0,685,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,49.0,,,,,,,,,4.0,,,,,,7.0,,,,,,,,,,,,,22.0,,,,,,61.0,532.0,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,
ota_boun-ud-train,114,0,56,,,,,,,,,,,,,2.0,,,,,1.0,,,,,5.0,,,,,,,,,1.0,,,,,,5.0,,,,,,,,,,,4.0,,,,,,,,10.0,27.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
ota_boun-ud-test,400,0,228,,4.0,,,,2.0,,,,,,,7.0,,,,,8.0,,3.0,,2.0,15.0,,,,,,,,,,,,,,,6.0,,,,2.0,,,,,,,11.0,,2.0,,,1.0,,,42.0,121.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
ru_syntagrus-ud-train,69630,0,15563,,17.0,,,2.0,15.0,,,,,,,,95.0,,,,3.0,,,,,1112.0,,1.0,,,,,,424.0,1.0,3.0,4.0,,,,4144.0,,,,3068.0,,,,,,,,,13.0,,,1.0,,12.0,,5039.0,,,,,,,,,,,,,,,50.0,1451.0,,,,108.0,,,,
ru_syntagrus-ud-dev,8906,0,1898,,3.0,,,,3.0,,,,,,,,17.0,,,,,,,,,179.0,,,,,,,,47.0,,,1.0,,,,466.0,,,,399.0,,,,,,,,,2.0,,,,,1.0,,635.0,,,,,,,,,,,,,,,9.0,128.0,,,,8.0,,,,
ru_syntagrus-ud-test,8800,0,1990,,1.0,,,,3.0,,,,,,,,13.0,,,,,,,,,147.0,,1.0,,,,,,51.0,1.0,,1.0,,,,518.0,,,,323.0,,,,,,,,,,,,,1.0,1.0,,755.0,,,,,,,,,,,,,,,9.0,159.0,,,,6.0,,,,
grc_ptnk-ud-train,727,0,402,,,,,28.0,3.0,,,,,,,,16.0,,,,4.0,,,,,25.0,,,,,,3.0,,,,,,,,,81.0,,,,32.0,,,,,,,,,,,,,,,5.0,194.0,,,,,,,,,,,,,,,4.0,3.0,,,,4.0,,,,
grc_ptnk-ud-dev,439,0,182,,,,,6.0,1.0,,,,,,,,6.0,,,,3.0,,,,,26.0,,,,,,,,,,,,,,,30.0,,,,14.0,,,,,,,,,,,,,,,4.0,86.0,,,,,,,,,,,,,,,1.0,3.0,,,,2.0,,,,
grc_ptnk-ud-test,410,0,187,,,,,5.0,,,,,,,,,11.0,,,,3.0,,,,,13.0,,,,,,,,,,,,,,,57.0,,,,14.0,,,,,,,,,,,,,,,6.0,77.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
sjo_xdt-ud-test,810,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,7.0,,,,,,,,,,
orv_birchbark-ud-train,1045,0,78,,,,,,,,,,,,,,6.0,,,,,,,,,7.0,,,,1.0,,,,,,,,,,,28.0,,,,13.0,,,,,,,,,2.0,,,,,1.0,1.0,9.0,,,,,,,,,,,,,,,3.0,,,,,7.0,,,,
orv_birchbark-ud-dev,1062,0,119,,,,,,,,,,,,,1.0,13.0,,,,,,,,,13.0,,,,1.0,,,,,,,,,,,33.0,,,,25.0,,,,,,,,,8.0,,,,,,1.0,12.0,,,,,,,,,,,,,,,,,,,,12.0,,,,
orv_birchbark-ud-test,1007,0,130,,,,,,,,,,,,,,13.0,,,,,,,,,19.0,,,,,,1.0,,,,,,,,,33.0,,,,31.0,,,,,,,,,,,,,,,2.0,12.0,,,,,,,,,,,,,,,7.0,,,,,11.0,1.0,,,
is_icepahc-ud-dev,4865,0,5110,,5.0,,,32.0,59.0,,,,,,,59.0,50.0,,,,24.0,,,,,580.0,,,,9.0,,,,,,,,,,,97.0,,,,,,,,,,,69.0,,131.0,,,,2.0,,486.0,3430.0,,,,,,,,,,,,,,,,5.0,,,,62.0,,10.0,,
is_icepahc-ud-train,34007,0,28938,,16.0,,,163.0,309.0,,,,,,,297.0,527.0,,,,191.0,,,,,2534.0,,,,18.0,,,,,,,,,,,665.0,,,,,,,,,,,343.0,,911.0,,,,1.0,,2855.0,19466.0,,,,,,,,,,,,,,,,32.0,,,,542.0,26.0,42.0,,
is_icepahc-ud-test,5157,0,5891,,2.0,,,49.0,81.0,,,,,,,62.0,73.0,,,,32.0,,,,,574.0,,,,3.0,,,,,,,,,,,128.0,,,,,,,,,,,74.0,,180.0,,,,,,470.0,4028.0,,,,,,,,,,,,,,,,6.0,,,,121.0,,8.0,,
de_lit-ud-test,1920,0,869,,1.0,,,,1.0,,,,,,,,2.0,,,,1.0,,,,,45.0,,,,,,,,,,,,,,,,,,,264.0,,,,,,,,,,,,,,,,445.0,1.0,79.0,,,,,,,,,,,,,10.0,8.0,,,,5.0,,7.0,,
ltg_cairo-ud-test,20,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,96,,,,,,,,,,,,,,3.0,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,26.0,,,,7.0,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,1.0,2.0,,1.0,,,6.0,,,,
ru_poetry-ud-dev,789,0,106,,1.0,,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,,,,36.0,,,,13.0,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,1.0,,2.0,,,9.0,,,,
ru_poetry-ud-train,3569,0,424,,,,,,,,,,,,,,7.0,,,,,,,,,36.0,,,,,,,,,,,,,,,132.0,,,,25.0,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,6.0,1.0,2.0,,,15.0,,,,
fo_farpahc-ud-test,301,0,325,,,,,4.0,1.0,,,,,,,6.0,6.0,,,,3.0,,,,,25.0,,,,1.0,,,,,,,,,,,10.0,,,,,,,,,,,3.0,,2.0,,,,,,10.0,253.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
fo_farpahc-ud-train,1020,0,500,,,,,3.0,,,,,,,,6.0,5.0,,,,3.0,,,,,13.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,7.0,,1.0,,,,,,17.0,425.0,,,,,,,,,,,,,,,,,,,,11.0,,,,
fo_farpahc-ud-dev,300,0,369,,1.0,,,6.0,1.0,,,,,,,8.0,6.0,,,,,,,,,21.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,12.0,,2.0,,,,,,3.0,302.0,,,,,,,,,,,,,,,,,,,,2.0,,,,
is_modern-ud-dev,394,0,403,,,,,4.0,1.0,,,,,,,2.0,2.0,,,,6.0,,,,,21.0,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,3.0,,12.0,,,,,,35.0,298.0,,,,,,,,,,,,,,,,,,,,11.0,,2.0,,
is_modern-ud-train,2703,0,3145,,2.0,,,34.0,24.0,,,,,,,22.0,16.0,,,,44.0,,,,,171.0,,,,4.0,,,,,,,,,,,48.0,,,,,,,,,,,22.0,,62.0,,,,,,277.0,2299.0,,,,,,,,,,,,,,,,8.0,,,,107.0,,5.0,,
is_modern-ud-test,438,0,494,,1.0,,,4.0,1.0,,,,,,,5.0,1.0,,,,3.0,,,,,19.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,1.0,,7.0,,,,,,34.0,394.0,,,,,,,,,,,,,,,,2.0,,,,14.0,,,,
wbp_ufal-ud-test,55,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-train,34,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,92,,,,,,1.0,,,,,,,,,,,,,,,,,6.0,,,,3.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,39.0,,36.0,,,,,,,,,,,,,,,,,,1.0,,,,
cs_fictree-ud-train,10160,0,861,,,,,,4.0,,,,,,,,10.0,,,,2.0,,,,,33.0,,,,5.0,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,353.0,,376.0,,,,,,,,,,,,,1.0,,,,,15.0,,2.0,,
cs_fictree-ud-test,1291,0,112,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,1.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,40.0,,55.0,,,,,,,,,,,,,,,,,,2.0,,,,
la_udante-ud-train,926,0,177,,1.0,,,1.0,2.0,,,1.0,,,,,1.0,,,,,,,,,12.0,,3.0,,,,,,,1.0,,,,,,,,,,9.0,,,,,,,,,,,,1.0,,,1.0,47.0,,91.0,,,,,,,1.0,,,,,,5.0,,,,,,,,,
la_udante-ud-test,419,0,54,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,1.0,40.0,,,,,,,1.0,,,,,,3.0,,,,,,,,,
la_udante-ud-dev,376,0,94,,,,,,2.0,,,2.0,,,,,7.0,,,,,,,,,11.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,1.0,40.0,,,,,,,,,,,,,4.0,,,,,,,1.0,,
hyw_armtdp-ud-test,680,0,1151,,1.0,,,1.0,1.0,,,,,,,,8.0,,,,2.0,,4.0,13.0,3.0,89.0,,,,20.0,,1.0,,,7.0,,1.0,,,,27.0,,,,,,,,,33.0,,468.0,,8.0,,,,,,86.0,347.0,6.0,,,,,,,,,,,,,,5.0,10.0,,,,8.0,,2.0,,
hyw_armtdp-ud-dev,694,0,1123,,,,,,,,,,,,1.0,,8.0,,,,,,2.0,10.0,1.0,75.0,,1.0,,23.0,,,,,3.0,,3.0,,,,27.0,,,,5.0,,,,,28.0,,492.0,,2.0,,,,,,69.0,355.0,3.0,,,,,,,,,,,,,,3.0,2.0,,,,4.0,,6.0,,
hyw_armtdp-ud-train,5282,0,8285,,8.0,,,5.0,4.0,,,,,,2.0,1.0,71.0,,,1.0,4.0,,32.0,70.0,13.0,623.0,,1.0,,244.0,4.0,5.0,,10.0,17.0,,36.0,,,,201.0,3.0,,,10.0,,,,,234.0,,3557.0,,47.0,,,4.0,,,594.0,2294.0,52.0,,,,,,,,,,,,,,8.0,47.0,,,,57.0,,26.0,,
el_gdt-ud-test,456,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-train,1662,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
el_gdt-ud-dev,403,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
gd_arcosg-ud-test,545,0,521,,,,,,,,,,,,,,,,,,2.0,,,,,18.0,,,,,,,,2.0,,,,,,,,,,,120.0,,,,,,,,,2.0,,,,,,5.0,303.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,1.0,,,64.0,
gd_arcosg-ud-train,3541,0,3700,,,,,3.0,3.0,,,,,,,,2.0,,2.0,,8.0,,,,,201.0,,,,2.0,,,,6.0,,,,,,,,,,,709.0,,,,,,,,,10.0,,,,,,18.0,2170.0,,,,,,,,,,,1.0,,,,2.0,4.0,,,6.0,29.0,,1.0,523.0,
gd_arcosg-ud-dev,655,0,607,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,1.0,,,,,,,,,,136.0,,,,,,,,,3.0,,,,,,7.0,349.0,,,,,,,,,,,,,,,,2.0,,,,6.0,,,75.0,
got_proiel-ud-dev,985,0,566,,,,,,,,,4.0,,,,,15.0,,,,,,,,,48.0,,,,,,1.0,,,,,,,,,,,,,42.0,,,,,,,,,6.0,,,2.0,,,,294.0,8.0,87.0,,,,,,,,,,,,,12.0,,,,,9.0,,38.0,,
got_proiel-ud-train,3387,0,2014,,,,,,3.0,,,13.0,,,,,70.0,,,,2.0,,,,,199.0,,,,,,3.0,,,,,,,,,,,,,130.0,,,,,,,,,22.0,,,3.0,,,6.0,1147.0,23.0,218.0,,,,,,,,,,,,,62.0,3.0,,,,21.0,,89.0,,
got_proiel-ud-test,1029,0,495,,,,,,,,,2.0,,,,,7.0,,,,1.0,,,,,39.0,,,,,,1.0,,,,,,,,,,,,,26.0,,,,,,,,,1.0,,,1.0,,,3.0,315.0,3.0,67.0,,,,,,,,,,,,,9.0,,,,,5.0,,15.0,,
sl_sst-ud-train,4558,0,127,,,,,,,,,,,,,,2.0,,,,,,,,,11.0,,1.0,,,,,,3.0,,,,,,,23.0,,,,11.0,,,,,,,,,,,,,,,48.0,19.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,5.0,,,,
sl_sst-ud-test,1041,0,23,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,5.0,,,,,,,,,,,,,,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
sl_sst-ud-dev,505,0,59,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,11.0,,,,12.0,,,,,,,,,,,,,,,11.0,7.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
de_gsd-ud-train,13814,0,15431,,8.0,,,1.0,2.0,,,,,,,9.0,209.0,,1.0,,1.0,,285.0,,,1349.0,,,1.0,8.0,,,,,244.0,,,,,,,,,,4963.0,,,,,,,,,33.0,,,22.0,,,81.0,7215.0,280.0,533.0,,,,,,,,,,,,11.0,3.0,,,,,77.0,1.0,94.0,,
de_gsd-ud-dev,799,0,600,,,,,,,,,,,,,,,,,,1.0,,32.0,,,38.0,,,,1.0,,,,,2.0,,,,,,,,,,163.0,,,,,,,,,2.0,,,,,,2.0,322.0,11.0,24.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,
de_gsd-ud-test,977,0,932,,,,,,,,,,,,,,4.0,,,,,,24.0,,,79.0,,,,8.0,,,,,7.0,,,,,,,,,,293.0,,,,,,,,,,,,,,,2.0,459.0,10.0,39.0,,,,,,,,,,,,1.0,,,,,,6.0,,,,
ka_glc-ud-test,151,0,100,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,16.0,,,,3.0,,,,,,,,,7.0,,,,,,66.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
aln_gps-ud-test,966,0,116,,2.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,28.0,,,,32.0,,,,,,,,,1.0,,,,,,33.0,17.0,,,,,,,,,,,,,,,,,,,1.0,,,,,
kk_ktb-ud-test,1047,0,297,,,,,,,,,,,,,1.0,,,,,,,,,,19.0,,,,,,,,,,,,,,,3.0,,,,70.0,,,,,,,,,,,,,,,12.0,189.0,,,,,,,,,,,,,,,3.0,,,,,,,,,
kk_ktb-ud-train,31,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,1545,3.0,,,,1.0,5.0,,,,,,,,14.0,,,,2.0,,,,,110.0,,1.0,,8.0,,,,,,,,,,,,,,,252.0,,,,,,,,,,,,,,,,394.0,,721.0,,,,,,,,,,,,,6.0,1.0,,,,26.0,,1.0,,
cs_pdt-ud-dev,9270,0,1516,1.0,,,,2.0,3.0,,,,,,,,13.0,,,,3.0,,,,,105.0,,1.0,,20.0,,,,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,,396.0,,688.0,,,,,,,,,,,,,10.0,,,,,16.0,,3.0,,
cs_pdt-ud-train,68491,0,10777,17.0,6.0,,,9.0,26.0,,,,,,,,94.0,,,,10.0,,,,,732.0,,2.0,,84.0,,,,1.0,4.0,,,,,,,,,,1946.0,,,,,,,,,,,,,,,,2707.0,,4967.0,,,,,,,,,,,,,47.0,,,,,112.0,,13.0,,
ta_mwtt-ud-test,534,0,80,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,1.0,2.0,,,,,,42.0,,,,,1.0,,,,,,,,,16.0,,,,,,2.0,,,,
ota_dudu-ud-test,85,0,38,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,2.0,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,190,,1.0,,,,3.0,,,,,,,,,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,14.0,,,11.0,,,,,,,,,,,,,151.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,
ug_udt-ud-dev,900,0,192,,,,,,1.0,,,,,,,,,,,,,,10.0,1.0,,9.0,,,,,,,,,,,,,,,,,,,11.0,,,5.0,,,,,,1.0,,,,,,3.0,150.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
ug_udt-ud-train,1656,0,354,,,,,,,,,,,,,,1.0,,,,,,9.0,,,10.0,,,,,,,,,,,,,,,1.0,,,,31.0,,,9.0,,,,,,,,,,,,2.0,291.0,,,,,,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-test,2412,0,942,,4.0,,,,1.0,,,,,,,,6.0,,,,3.0,,,,,96.0,,1.0,,4.0,22.0,,,,1.0,,,,,,322.0,,,,162.0,,,,,,,,,29.0,,,1.0,,,,265.0,,,,,,,,,,,,,,,3.0,1.0,,,,18.0,,3.0,,
lv_lvtb-ud-train,14358,0,6660,,18.0,,,,3.0,,,,,,,1.0,35.0,,,,5.0,,3.0,,,613.0,,2.0,,20.0,194.0,,,,1.0,,,,,,2304.0,,,,1179.0,,,,,,,,,314.0,,,3.0,2.0,,,1859.0,,,,,,,,,,,,,,,22.0,8.0,,,1.0,39.0,,34.0,,
lv_lvtb-ud-dev,2080,0,901,,4.0,,,,2.0,,,,,,,,4.0,,,,1.0,,,,,86.0,,,,1.0,28.0,,,,,,,,,,297.0,,,,150.0,,,,,,,,,33.0,,,2.0,,,,272.0,,,,,,,,,,,,,,,9.0,1.0,,,,7.0,,4.0,,
ta_ttb-ud-train,400,0,72,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,38.0,,29.0,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,7.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,25,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,16.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
sga_dipwbg-ud-test,34,0,12,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,
xum_ikuvina-ud-test,133,0,5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
ru_pud-ud-test,1000,0,264,,,,,,,,,,,,,,4.0,,,,,,,,,15.0,,,,,,,,17.0,,,,,,,57.0,,,,77.0,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,13.0,,,,,,,,
la_ittb-ud-dev,2101,0,180,,,,,,5.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,4.0,,137.0,,,,,,,,,,,,,3.0,,,,,1.0,,,,
la_ittb-ud-test,2101,0,160,,,,,,3.0,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,12.0,,,,,,,,,,,,,,,,11.0,,127.0,,,,,,,,,,,,,1.0,,,,,,,,,
la_ittb-ud-train,22775,0,2896,,,,,1.0,24.0,,,38.0,,,,,1.0,,,,,,,,,163.0,8.0,1.0,,,,,,,7.0,,,,,,,,,,354.0,,,,,,,,,,,,1.0,,,,118.0,,2114.0,,,,,,,,,,,,,52.0,1.0,,,,13.0,,,,
qtd_sagt-ud-test,805,0,301,,1.0,,,,4.0,,,,,,,,3.0,,,,2.0,,4.0,,,7.0,,,,,,1.0,,3.0,,,,,,,2.0,,,,12.0,,,,,,,,,,,,,,,,237.0,,,,,,,,,,,,,,,2.0,8.0,,,8.0,6.0,,1.0,,
