Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cond,advcl:tcl,advmod,advmod:lmod,advmod:tmod,amod,appos,aux,aux:neg,case,case:loc,ccomp,clf,compound,compound:lvc,compound:redup,conj,cop,csubj,dep,dep:comp,dep:conj,dep:infl,det,discourse,dislocated,expl,expl:pass,fixed,flat,flat:abs,flat:foreign,flat:name,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:lmod,nmod:npmod,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:goal,obl:instr,obl:lmod,obl:own,obl:tmod,orphan,parataxis,parataxis:insert,parataxis:obj,parataxis:restart,reparandum,root,vocative,xcomp,xcomp:ds
ru_poetry-ud-train,3569,0,77,,,,,,,,,,,,,,,,,,1.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,52.0,,,,,,,,,,1.0,1.0,,,,,7.0,,,
wbp_ufal-ud-test,55,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,,,,,,,,,
cs_fictree-ud-dev,1309,0,24,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,12.0,,9.0,,,,,,,,,,,,,,1.0,,,
cs_fictree-ud-train,10160,0,221,,2.0,,,,,,,,,,,,,,,,2.0,,,,,10.0,,,1.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,114.0,,75.0,,,,,,,,,1.0,,,,,6.0,,1.0,
cs_fictree-ud-test,1291,0,30,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,20.0,,6.0,,,,,,,,,,,,,,,,,
la_udante-ud-dev,376,0,4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,4,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,151,,,,,,,,,,,,17.0,1.0,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,121.0,,,,,,,,,,,,,,,,,,,
sme_giella-ud-test,865,0,88,,,,,,,,,,,,21.0,,,,,,,,,,,1.0,,,,,,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-dev,1709,0,130,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,29.0,,,,,,,,,,,,,,,,1.0,,,
ca_ancora-ud-test,1846,0,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,95.0,45.0,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,1046,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,803.0,228.0,,11.0,,,,,,,,,,,,,,1.0,,,
sl_sst-ud-train,4558,0,47,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,38.0,,,,,,,,,,2.0,,,,1.0,,1.0,,,
sl_sst-ud-test,1041,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,2.0,,,
sl_sst-ud-dev,505,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,
arr_tudet-ud-test,674,0,21,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,19,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,5.0,,,,,,,,1.0,,,
kk_ktb-ud-train,31,0,20,,,1.0,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,197,,2.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,121.0,,47.0,,,,,,,,,1.0,,,,,7.0,,1.0,
cs_pdt-ud-dev,9270,0,155,1.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,98.0,,34.0,,,,,,,,,,,,,,7.0,,,
cs_pdt-ud-train,68491,0,1089,,17.0,2.0,,,,,,,,,,,,,,,9.0,,,,,23.0,,,2.0,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,703.0,,237.0,,,,,,,,,,,,,,16.0,,2.0,
gn_oldtudet-ud-test,59,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ta_mwtt-ud-test,534,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ug_udt-ud-dev,900,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
ug_udt-ud-train,1656,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
lzh_kyoto-ud-dev,6102,0,2753,,,,,,,,,,,,4.0,,,,,,1.0,3.0,178.0,,,157.0,,,,,,,,,,,,,38.0,,,,3.0,2.0,,797.0,,,,,,,475.0,5.0,,,779.0,32.0,,,,,,,224.0,,,,5.0,,,,,50.0,,,
lzh_kyoto-ud-train,74609,0,37529,23.0,,18.0,,,,,,,,,81.0,,,,,,24.0,32.0,2756.0,,6.0,2316.0,,8.0,,,,,,,8.0,,,,460.0,,,,66.0,16.0,,10121.0,,,,,,,5814.0,84.0,1.0,,10439.0,410.0,,,,,,,4240.0,,6.0,,32.0,,,,,566.0,,2.0,
lzh_kyoto-ud-test,5528,0,2479,4.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,230.0,,3.0,117.0,,,,,,,,,3.0,,,,31.0,,,,6.0,2.0,,624.0,,,,,,,379.0,5.0,,,711.0,24.0,,,,,,,297.0,,,,4.0,,,,,35.0,,1.0,
lv_lvtb-ud-test,2412,0,59,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,50.0,,,,,,,,,,,1.0,,,,,1.0,,,
lv_lvtb-ud-train,14358,0,410,,,,,,,,,,,,,,,,,,,,22.0,,,11.0,,,1.0,,,,2.0,1.0,,,,,,,,,7.0,,,7.0,,,,,,,,,,,,359.0,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-dev,2080,0,56,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,52.0,,,,,,,,,,1.0,,,,,,,,,
ta_ttb-ud-train,400,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,48,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
xum_ikuvina-ud-test,133,0,21,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,14.0,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,37,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,6,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
la_ittb-ud-test,2101,0,6,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
la_ittb-ud-train,22775,0,163,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,
qtd_sagt-ud-test,805,0,35,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,1.0,,,,1.0,2.0,,,
qtd_sagt-ud-dev,801,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,1.0,1.0,,,
qtd_sagt-ud-train,578,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,1.0,,,,
pl_pud-ud-test,1000,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,1.0,,,,,,,,,,11.0,,6.0,,,,,,,,,,,,,,,,,
orv_torot-ud-test,2955,0,120,4.0,,5.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,3.0,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,92.0,,,,,,,,,,4.0,1.0,,,,,4.0,,,
orv_torot-ud-dev,3061,0,92,1.0,,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,4.0,,,,,,1.0,,,
orv_torot-ud-train,20480,0,840,23.0,,20.0,,,,,,,,,,2.0,,,,,3.0,,,,,12.0,,,,,,,16.0,,,,,39.0,,,,,,,,16.0,,,,,,,1.0,,,,4.0,635.0,,5.0,,,,,,,,32.0,1.0,,,,,22.0,,9.0,
cs_cac-ud-dev,603,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,696,1.0,8.0,,,,,,,,,,,,,,,,2.0,,,,,12.0,,1.0,,,,,,,,,,,,,2.0,,,,,157.0,,,,,,,,,,,,421.0,,73.0,,,,,,,,,1.0,,,,,15.0,,3.0,
cs_cac-ud-test,628,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,12.0,,2.0,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-test,1799,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,977,1.0,,183.0,,,,,,2.0,,,15.0,,2.0,,47.0,,,,,,,18.0,2.0,,8.0,,,,14.0,,,,,1.0,20.0,,,,,,,637.0,,,,,,,3.0,,,,3.0,20.0,,,,,,,,,,1.0,,,,,,,,,
am_att-ud-test,1074,0,15,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eme_tudet-ud-test,913,0,66,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,57.0,,,,,,,,,,,1.0,,,,,3.0,,,
pl_lfg-ud-test,1727,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,206,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,194.0,,,,,,,,,,,,,,,,5.0,,2.0,
pl_lfg-ud-dev,1745,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,2.0,,,
tr_tourism-ud-train,15473,0,609,2.0,,27.0,,,,,,,,,16.0,,,,4.0,,,,4.0,,,11.0,,,2.0,,,,,3.0,,,,,3.0,,,,,,,220.0,,,,,,,4.0,,,,9.0,266.0,,,,,,,,,,,7.0,,,,,28.0,,3.0,
tr_tourism-ud-dev,2166,0,106,,,6.0,,,,,,,,,2.0,,,,4.0,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,4.0,,,
tr_tourism-ud-test,2191,0,101,1.0,,3.0,,,,,,,,,4.0,,,,1.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,1.0,3.0,50.0,,,,,,,,,,,3.0,,,,,6.0,,,
ab_abnc-ud-test,263,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,3.0,,,,,,,,,,,,,,,,,
ru_gsd-ud-test,601,0,19,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,
ru_gsd-ud-dev,579,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,
ru_gsd-ud-train,3850,0,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,23.0,,,,,,,,,,,,101.0,,,,,,,,,,,1.0,,,,,2.0,,,
aqz_tudet-ud-test,343,0,3,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,14,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,
tr_imst-ud-dev,1100,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,,,
tr_imst-ud-test,1100,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,
lv_cairo-ud-test,20,0,4,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
gu_gujtb-ud-test,187,0,4,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
bej_nsc-ud-test,380,0,66,,,,,,,,,,,,,,,,9.0,,,,,,,,,,3.0,3.0,1.0,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,1.0,,,,
tr_boun-ud-dev,979,0,16,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,
tr_boun-ud-test,979,0,19,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,
tr_boun-ud-train,7803,0,120,,,1.0,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,1.0,,,,2.0,104.0,,,,,,,,,,,,,,,,4.0,,,
tr_penn-ud-dev,622,0,218,,,6.0,,,,,,,,,2.0,,,,6.0,,,,8.0,,,6.0,,,,,,,,,,,,,1.0,,,,,2.0,,38.0,,,,,,,,,,,,145.0,,,,,,,,,,,1.0,,,,,2.0,,1.0,
tr_penn-ud-test,924,0,304,,,19.0,,,,,,,,,8.0,,,,4.0,,,,11.0,,,6.0,,,,,,,,3.0,,,,,9.0,,,,,,,70.0,,,,,,,,,,2.0,,161.0,,,,,,,,,,,1.0,,,,,10.0,,,
tr_penn-ud-train,14850,0,5148,3.0,,110.0,,,,,,,,,157.0,4.0,,,94.0,,10.0,1.0,217.0,,,79.0,,,,,,,,37.0,,,,17.0,69.0,,,,,10.0,,1215.0,,,,,,1.0,9.0,,,16.0,45.0,2853.0,,,,,,,,,,,10.0,,,,,168.0,,23.0,
