Acc,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:det,advmod:emph,advmod:mode,advmod:tmod,amod,amod:flat,appos,appos:trans,aux,aux:pass,case,case:acc,cc,ccomp,ccomp:obj,ccomp:pmod,ccomp:relcl,ccomp:reported,clf,compound,compound:coord,compound:lvc,compound:name,compound:preverb,compound:prt,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:cop,csubj:pass,csubj:relcl,dep,dep:comp,det,det:numgov,det:nummod,det:poss,discourse,discourse:filler,dislocated,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:npmod,nmod:obj,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:appl,obj:caus,obj:lvc,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:dat,obl:depict,obl:float,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:mod,obl:npmod,obl:path,obl:pmod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:conj,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:parenth,parataxis:rep,parataxis:trans,punct,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loc,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:concess,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:det,advmod:lmod,advmod:tmod,amod,amod:flat,appos,aux,aux:neg,case,case:loc,cc,ccomp,ccomp:obj,clf,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:cop,csubj:outer,csubj:pass,dep,dep:comp,dep:conj,dep:infl,det,det:numgov,det:nummod,det:poss,discourse,dislocated,expl,expl:pass,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:lmod,nmod:npmod,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:soc,obl:source,obl:subj,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,parataxis:trans,reparandum,root,vocative,vocative:cl,xcomp,xcomp:ds,xcomp:pred,xcomp:result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,-0.000,0.006,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.012,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.112,-0.000,0.005,-0.000,-0.000,0.011,-0.000,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.049,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.034,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.002,0.002,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.119,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.005,-0.000,-0.000,0.000,0.609,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.002,0.002,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.027,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.001,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.022,0.000,0.071,0.001,0.010,0.000,0.000,0.093,0.000,0.000,0.003,0.000,0.000,0.005,0.003,0.000,0.000,0.034,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.003,0.024,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.009,0.007,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.002,0.092,0.000,0.000,0.000,0.004,0.003,0.000,0.002,0.003,0.005,0.000,0.000,0.004,0.000,0.000,0.025,0.423,0.001,0.007,0.000,0.000,0.000,0.001,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000,0.000,0.000,0.001,0.040,0.000,0.000,0.012,0.001,0.000,8.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ins,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:concess,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:det,advmod:emph,advmod:lmod,advmod:mmod,advmod:mode,advmod:tmod,amod,amod:flat,appos,aux,aux:caus,case,case:loc,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:pred,compound,compound:lvc,compound:name,compound:redup,conj,cop,csubj,csubj:pass,dep,det,det:nummod,det:poss,discourse,dislocated,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obl,nmod:poss,nmod:pred,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:depict,obl:float,obl:goal,obl:grad,obl:inst,obl:instr,obl:lmod,obl:lvc,obl:manner,obl:path,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:rel,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:pred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,-0.000,0.007,-0.000,-0.000,-0.000,-0.000,0.008,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.146,-0.000,0.007,-0.000,-0.000,0.011,-0.000,-0.000,0.002,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.086,-0.000,-0.000,-0.000,-0.000,0.039,-0.000,-0.000,-0.000,-0.000,0.002,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.117,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.005,-0.000,0.008,0.528,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.004,0.003,-0.000,-0.000,-0.000,-0.000,-0.000,0.021,-0.000,0.005,-0.000,-0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein,0.000,0.007,0.000,0.000,0.000,0.002,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.086,0.000,0.006,0.001,0.000,0.077,0.000,0.000,0.002,0.000,0.000,0.000,0.003,0.001,0.000,0.000,0.062,0.001,0.001,0.000,0.002,0.028,0.000,0.000,0.000,0.000,0.005,0.006,0.000,0.000,0.003,0.000,0.000,0.000,0.025,0.000,0.010,0.101,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.002,0.000,0.016,0.000,0.006,0.000,0.019,0.390,0.009,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.005,0.001,0.000,0.000,0.000,0.001,0.000,0.004,0.005,0.004,0.000,0.000,0.000,0.000,0.001,0.018,0.000,0.010,0.000,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abl,acl,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:fin,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:cmp,advmod:deg,advmod:lmod,advmod:tmod,amod,appos,aux,case,case:loc,ccomp,ccomp:relcl,ccomp:reported,clf,compound,compound:lvc,compound:nn,compound:prt,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:cleft,csubj:pass,csubj:relcl,csubj:reported,dep,dep:comp,dep:infl,det,discourse,dislocated,dislocated:advcl,dislocated:nsubj,dislocated:obj,expl,fixed,flat,flat:foreign,flat:name,flat:redup,iobj,list,mark,nmod,nmod:appos,nmod:comp,nmod:npmod,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cau,obl:cmp,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:mod,obl:path,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,reparandum,root,vocative,xcomp,xcomp:result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,-0.000,0.008,-0.000,-0.000,0.030,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.032,0.001,-0.000,0.003,-0.000,0.003,-0.000,-0.000,-0.000,0.004,-0.000,-0.000,-0.000,-0.000,-0.000,0.059,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.048,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.005,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.127,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.002,-0.000,-0.000,0.006,0.656,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,0.014,-0.000,0.001,-0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein,0.000,0.005,0.000,0.001,0.021,0.004,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.031,0.003,0.001,0.054,0.002,0.006,0.000,0.000,0.000,0.012,0.001,0.000,0.000,0.000,0.000,0.042,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.008,0.027,0.001,0.002,0.000,0.000,0.000,0.001,0.005,0.009,0.000,0.004,0.000,0.000,0.000,0.000,0.121,0.000,0.001,0.010,0.001,0.002,0.007,0.001,0.007,0.003,0.002,0.025,0.499,0.004,0.012,0.000,0.000,0.009,0.000,0.001,0.000,0.002,0.000,0.001,0.000,0.000,0.008,0.004,0.006,0.000,0.002,0.000,0.000,0.013,0.000,0.006,4.370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
