Treebank,Number of Sentences,Failures,iobj,case,obl,obj,expl,amod,det,conj,nmod,orphan,appos,root,flat:name,Total,advcl,parataxis,dislocated,mark,fixed,nummod,list,nsubj,ccomp,acl,compound:redup,csubj,xcomp,nmod:obl,nmod:att,compound:lvc,flat,compound,nmod:poss,cop,obl:arg,dep,expl:pv,reparandum,nsubj:pass,csubj:pass,obl:agent,det:poss,nmod:arg,amod:flat,det:nummod,parataxis:obj,obl:cmpr,acl:relcl,flat:foreign,flat:title,flat:abs,flat:repeat,advcl:ccomp,advcl:fin,obl:benef,acl:ptcp,acl:attr,nmod:appos,obl:goal,compound:name,advcl:caus,advcl:manner,obl:source,obl:tmod,acl:dpct,obl:soc,obl:manner,obl:lmod,obl:instr,xcomp:result,advcl:cond,discourse,nummod:gov,det:numgov,obl:float,aux:pass,obl:depict,advcl:abs,advcl:pred,obl:cmp,advcl:cmp,advmod,compound:prt,aux,vocative,nmod:tmod,clf,_,expl:poss,obl:pmod,expl:impers,expl:pass,nsubj:outer,nmod:npmod,case:loc,flat:range,advcl:tcl,orphan:missing,dislocated:obl,dislocated:nsubj,nmod:comp,xcomp:pred,iobj:agent,compound:svc,cc,parataxis:discourse,conj:expl,advcl:relcl,aux:caus,obl:smod,nsubj:nc,nmod:cau,ccomp:relcl,appos:trans,nmod:flat,nummod:entity
apu_ufpa-ud-test,161,0,,,7.0,,,,,,1.0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,,87.0,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_pud-ud-test,1000,0,,,913.0,,,333.0,873.0,147.0,496.0,2.0,18.0,2.0,44.0,3075,,1.0,,,,,,,,,,,,,,,1.0,66.0,,,91.0,,,,,,29.0,57.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gl_treegal-ud-train,600,0,45.0,,,5.0,26.0,,,,,,,,,80,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gl_treegal-ud-test,400,0,17.0,,,1.0,20.0,,,,,,,,,39,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-test,1052,0,438.0,1.0,23.0,5.0,40.0,12.0,171.0,37.0,315.0,1.0,7.0,6.0,,1115,4.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,1.0,20.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-dev,1052,0,475.0,,13.0,8.0,44.0,3.0,123.0,24.0,285.0,,4.0,4.0,,1024,1.0,3.0,,,,,,2.0,1.0,,,,1.0,,,,2.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-train,24121,0,10123.0,35.0,498.0,389.0,644.0,229.0,3587.0,616.0,6616.0,5.0,122.0,65.0,,24538,16.0,11.0,,1.0,,28.0,,150.0,12.0,30.0,,4.0,31.0,,,,4.0,12.0,,,,,1143.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,34.0,,,69.0,55.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-test,491,0,1.0,17.0,,,1.0,,1.0,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-train,3747,0,20.0,96.0,,7.0,29.0,1.0,2.0,,5.0,,,,,198,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-dev,443,0,,6.0,,,,,,,1.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq_tsa-ud-test,60,0,2.0,,1.0,2.0,3.0,,,1.0,1.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-train,7170,0,10.0,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-test,1039,0,1.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-dev,737,0,1.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,2.0,,2.0,1.0,,,,,,,,,,9,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,1.0,,,5.0,,,,,,,,,,11,,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,23.0,,11.0,33.0,,,,3.0,,,,2.0,,111,1.0,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_gsd-ud-dev,1204,0,1.0,,,1.0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_gsd-ud-test,1200,0,3.0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_gsd-ud-train,9616,0,8.0,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,,1.0,2.0,1.0,,,,,,,,1.0,,19,,,,,,,,9.0,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_tuecl-ud-test,210,0,46.0,,1.0,2.0,1.0,3.0,11.0,3.0,21.0,,,,,103,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-test,684,0,,,26.0,,,12.0,4.0,8.0,7.0,,,1.0,,221,,6.0,,,,2.0,,1.0,1.0,4.0,,,,,,,1.0,,,,146.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,,,5.0,,,52.0,9.0,56.0,10.0,,1.0,,,407,,7.0,,,,4.0,,3.0,,12.0,,,1.0,,,,9.0,,,,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,,,25.0,,,81.0,21.0,85.0,19.0,,8.0,3.0,,970,1.0,22.0,,,,3.0,,12.0,2.0,50.0,,,3.0,,,,7.0,,,,625.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,,,1740.0,8.0,,518.0,972.0,493.0,730.0,144.0,168.0,89.0,17.0,10662,708.0,2.0,27.0,,10.0,40.0,,635.0,14.0,233.0,,3.0,30.0,,,,,,,137.0,3795.0,2.0,17.0,,63.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,32.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-test,2096,0,,,217.0,1.0,,53.0,97.0,61.0,87.0,16.0,17.0,7.0,2.0,1332,105.0,1.0,5.0,,7.0,4.0,,102.0,9.0,23.0,,,2.0,,,,,,,30.0,460.0,,2.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-dev,2205,0,,,211.0,,,67.0,102.0,44.0,95.0,14.0,23.0,3.0,2.0,1330,103.0,,,,4.0,6.0,,104.0,2.0,23.0,,,4.0,,,,,,,13.0,497.0,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,56.0,1.0,479.0,212.0,,,,199.0,12.0,10.0,23.0,16.0,71.0,2655,15.0,15.0,3.0,,9.0,,,9.0,,3.0,4.0,1.0,11.0,,,20.0,15.0,5.0,1337.0,,,44.0,,,2.0,,10.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,1.0,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,25.0,,225.0,114.0,,2.0,,132.0,14.0,1.0,9.0,37.0,19.0,1394,10.0,7.0,1.0,,4.0,,,4.0,,1.0,2.0,,6.0,,,14.0,1.0,4.0,692.0,,,28.0,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,47.0,,251.0,91.0,,1.0,,164.0,5.0,3.0,9.0,9.0,24.0,1552,8.0,5.0,,,4.0,,,14.0,,,1.0,,3.0,,,15.0,,1.0,780.0,,,43.0,,,,,9.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,61.0,,1.0,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,,,38.0,,,,,5.0,5.0,,2.0,3.0,1.0,76,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-train,20,0,,,2.0,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,,,,,,2.0,110.0,7.0,6.0,,4.0,,,544,,,,,,,,,,1.0,,,,,,,,,,,413.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,,,1.0,,,,92.0,7.0,8.0,,11.0,,,544,1.0,,,,1.0,,,,,,,,,,,,,,,,423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,,,5.0,,,13.0,1075.0,311.0,54.0,,343.0,,,4693,2.0,,2.0,,11.0,,,8.0,,12.0,,,1.0,,,,41.0,,,,2810.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
es_pud-ud-test,1000,0,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,12.0,,31.0,9.0,,34.0,2.0,8.0,23.0,,1.0,,,123,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,1.0,,1.0,,,2.0,,,1.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,,15.0,77.0,1.0,,33.0,3.0,12.0,21.0,,3.0,,,177,,,,,,,,,,1.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,1.0,52.0,475.0,6.0,,194.0,38.0,52.0,115.0,,13.0,,,984,,1.0,,1.0,1.0,3.0,,1.0,,5.0,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-dev,536,0,,4.0,73.0,,,21.0,4.0,11.0,11.0,,,,,135,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,,6.0,105.0,,,,,6.0,1.0,1.0,1.0,5.0,,148,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-train,1217,0,,2.0,110.0,,,,,1.0,1.0,6.0,2.0,3.0,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-test,205,0,,,37.0,8.0,,,,,3.0,,,,,73,,,,,,,,,1.0,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,1.0,,357.0,69.0,,1.0,,2.0,22.0,,,,,780,19.0,,,,,,,3.0,31.0,,,,,,,,,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,,,25.0,11.0,,,,1.0,,,,,,69,3.0,,,,,,,1.0,7.0,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,,,8.0,,,,,1.0,12.0,,,,,28,,,,,,,,,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,,,140.0,7.0,,,,3.0,84.0,,,,,296,14.0,2.0,,,2.0,1.0,,7.0,3.0,9.0,,1.0,,,,,1.0,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_proiel-ud-test,1260,0,,,37.0,,,17.0,27.0,22.0,3.0,7.0,7.0,2.0,,467,10.0,,1.0,,1.0,3.0,,1.0,,5.0,,1.0,,,,,,,,,310.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_proiel-ud-dev,1233,0,,,43.0,,,18.0,21.0,15.0,8.0,3.0,7.0,2.0,,457,8.0,,1.0,,,,,1.0,2.0,5.0,,,1.0,,,,,,,,314.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_proiel-ud-train,16196,0,,,492.0,2.0,,169.0,312.0,253.0,28.0,131.0,59.0,38.0,25.0,5756,105.0,5.0,6.0,,3.0,10.0,,5.0,11.0,51.0,,,17.0,,,,,,,,3920.0,,,,1.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,,,5.0,2.0,,,,,2.0,,1.0,,1.0,12,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,,,47.0,,,,1.0,,2.0,,,3.0,1.0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-train,20,0,,,4.0,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,,,56.0,,,,,2.0,9.0,,,,,72,,,,,,,,1.0,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,,1.0,605.0,,,,,9.0,22.0,1.0,,9.0,,783,51.0,,,,3.0,2.0,,3.0,1.0,3.0,1.0,,4.0,,,,,19.0,,4.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
grc_proiel-ud-test,1047,0,,,237.0,1.0,,38.0,310.0,51.0,46.0,9.0,12.0,5.0,,1124,26.0,,,,,3.0,,3.0,,12.0,,,11.0,,,,,,,2.0,317.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grc_proiel-ud-train,15016,0,,,3910.0,25.0,,492.0,4053.0,644.0,479.0,243.0,213.0,101.0,55.0,15545,372.0,5.0,18.0,,9.0,51.0,,26.0,22.0,128.0,,,97.0,,,,,,,32.0,4263.0,3.0,,,6.0,3.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,181.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grc_proiel-ud-dev,1019,0,,,240.0,2.0,,30.0,302.0,39.0,50.0,14.0,17.0,6.0,2.0,1079,20.0,,2.0,,,4.0,,3.0,1.0,10.0,,,4.0,,,,,,,2.0,314.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nds_lsdc-ud-train,500,0,17.0,,113.0,12.0,,26.0,134.0,8.0,17.0,,4.0,3.0,,344,1.0,,,,,1.0,,2.0,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nds_lsdc-ud-test,500,0,8.0,,68.0,10.0,,13.0,63.0,5.0,4.0,,,1.0,,183,,,,,,2.0,,2.0,,,,,,,,,1.0,,3.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fo_oft-ud-test,1208,0,1.0,,393.0,19.0,,98.0,20.0,45.0,246.0,1.0,2.0,154.0,,1055,3.0,,,,,28.0,,4.0,1.0,,,,1.0,,,,9.0,7.0,19.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-train,16045,0,1706.0,,875.0,14.0,,265.0,199.0,126.0,313.0,31.0,39.0,42.0,20.0,3859,,112.0,,,67.0,8.0,1.0,3.0,4.0,25.0,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-dev,946,0,77.0,,41.0,4.0,,10.0,10.0,7.0,19.0,4.0,2.0,,,188,,8.0,,,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-test,881,0,87.0,,44.0,3.0,,10.0,16.0,7.0,21.0,8.0,2.0,1.0,,208,,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpn_tudet-ud-test,581,0,,2.0,26.0,,,,,,,,,,,30,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga_idt-ud-train,4005,0,,,75.0,,,,,7.0,91.0,,,1.0,,246,,,,3.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
ga_idt-ud-test,454,0,,,3.0,,,,,,7.0,,,,,13,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga_idt-ud-dev,451,0,,,9.0,,,,,1.0,8.0,,,,,26,,,,,6.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_art-ud-test,50,0,7.0,,,,4.0,,,,2.0,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceb_gja-ud-test,188,0,,49.0,,,,,,,,,,,,58,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,,87.0,48.0,,,54.0,3.0,21.0,24.0,,,1.0,,277,,,,,2.0,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,,114.0,53.0,,,59.0,9.0,29.0,56.0,,,,,351,,,,,3.0,,,,,,,,,,,,,,,,27.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,,172.0,89.0,,,92.0,4.0,30.0,41.0,,1.0,,,506,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,65.0,6.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tl_trg-ud-test,128,0,,29.0,1.0,,,,,,4.0,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,124.0,,941.0,516.0,,2.0,,416.0,33.0,7.0,55.0,33.0,,5007,27.0,31.0,3.0,,9.0,,,,4.0,40.0,13.0,,13.0,,,39.0,117.0,12.0,2376.0,,,13.0,,,2.0,,24.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,148.0,1.0,,,,,,,,5.0,1.0,,,,,,,,,,,,
hy_armtdp-ud-dev,249,0,10.0,,152.0,72.0,,,,47.0,9.0,1.0,2.0,8.0,,788,3.0,6.0,,,1.0,,,,,2.0,,,2.0,,,2.0,7.0,,442.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,
