Treebank,Number of Sentences,Failures,case,amod,obl,conj,nmod,det,appos,orphan,nummod,advcl,parataxis,root,fixed,flat:name,Total,flat,discourse,advmod,list,nsubj,ccomp,dep,iobj,xcomp,cc,acl,csubj,compound:redup,compound,csubj:outer,nmod:poss,compound:lvc,obj,cop,clf,obl:arg,nmod:arg,det:nummod,amod:flat,det:poss,parataxis:insert,parataxis:obj,obl:cmpr,nmod:flat,nummod:gov,ccomp:obj,xcomp:pred,acl:relcl,advcl:cmpr,flat:foreign,advcl:relcl,parataxis:discourse,flat:title,advcl:pred,dislocated,flat:abs,flat:sibl,vocative:cl,mark,flat:range,advmod:det,_,acl:adv,advcl:ccomp,obl:lmod,obl:goal,obl:tmod,advcl:cond,advcl:tcl,obl:soc,obl:benef,obl:manner,acl:ptcp,advcl:manner,nmod:appos,acl:dpct,advcl:fin,acl:attr,advcl:concess,advcl:caus,obl:agent,obl:instr,acl:crel,obl:grad,xcomp:result,obl:source,det:numgov,expl,vocative,advmod:lmod,nmod:tmod,reparandum,dep:infl,obl:subj,advcl:cmp,nsubj:outer,nmod:npmod,case:loc,advmod:tmod,aux:neg,xcomp:ds,compound:svc,nmod:lmod,nmod:part,csubj:cop,nsubj:pass,obl:depict,expl:pass,parataxis:restart,obl:own,aux,csubj:pass,parataxis:trans,nummod:entity,dep:comp,dep:conj
hy_bsut-ud-train,1226,0,1.0,,240.0,11.0,2.0,,3.0,,,2.0,6.0,8.0,11.0,,321,1.0,,,,,,3.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,4.0,,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,2.0,,124.0,9.0,,,3.0,,,2.0,3.0,3.0,4.0,,174,,,,,,1.0,2.0,,,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,,,,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,1.0,,114.0,9.0,,,1.0,,,,2.0,,4.0,,163,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.0,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,4.0,,1.0,,,,1.0,,,,,2.0,,,50,,,,,1.0,,,,27.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,
mdf_jr-ud-train,20,0,,,,,,,,,,,,,,,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,,,1.0,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,,130.0,208.0,37.0,145.0,26.0,3.0,7.0,2.0,2.0,1.0,,2.0,,571,1.0,,,,,,,,,,1.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,,5.0,13.0,3.0,11.0,3.0,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,451.0,81.0,242.0,46.0,158.0,16.0,2.0,,6.0,2.0,5.0,11.0,1.0,,1042,14.0,1.0,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,2837.0,619.0,1553.0,172.0,1017.0,180.0,11.0,5.0,10.0,17.0,43.0,55.0,4.0,,6642,42.0,2.0,,,3.0,16.0,,,1.0,1.0,51.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-dev,536,0,420.0,107.0,251.0,15.0,139.0,26.0,1.0,,1.0,3.0,9.0,2.0,1.0,,993,6.0,,,,,1.0,,,,2.0,6.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,7.0,,4.0,19.0,,,1.0,,,3.0,2.0,23.0,,,134,,,,,,1.0,,,51.0,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,
myv_jr-ud-train,1217,0,4.0,,8.0,25.0,,,1.0,,,1.0,1.0,38.0,,,150,,,,,,7.0,,,52.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
tr_framenet-ud-test,205,0,,,27.0,,6.0,,,,,5.0,,,,,39,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,,,291.0,1.0,51.0,,,1.0,,13.0,3.0,1.0,,,424,,2.0,,,2.0,2.0,,,,,,,,54.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,,,28.0,,3.0,,,,,2.0,,,,,37,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kfm_aha-ud-test,10,0,,,,,,,,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,,,27.0,,3.0,,,,,,,4.0,,,37,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,,6.0,262.0,5.0,32.0,,,,,3.0,,37.0,,,403,,,1.0,,3.0,2.0,,,,,1.0,1.0,,1.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,,,,,,,,,,,,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,,3.0,,,1.0,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,
kpv_lattice-ud-train,20,0,,1.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,,10.0,80.0,1.0,5.0,,4.0,,,3.0,1.0,2.0,,,108,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,1.0,,350.0,3.0,29.0,,,,2.0,26.0,2.0,100.0,2.0,,661,1.0,,,,,6.0,,,1.0,,5.0,1.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,
ru_taiga-ud-train,16045,0,,742.0,2647.0,302.0,855.0,435.0,19.0,14.0,43.0,37.0,98.0,336.0,89.0,1.0,5709,,,,1.0,2.0,22.0,,,4.0,,36.0,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-dev,946,0,,49.0,184.0,31.0,47.0,32.0,,1.0,,1.0,9.0,21.0,6.0,,388,,,,,,2.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-test,881,0,,42.0,145.0,30.0,48.0,19.0,2.0,5.0,1.0,3.0,7.0,14.0,6.0,1.0,330,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpn_tudet-ud-test,581,0,,,45.0,1.0,4.0,,1.0,,,5.0,1.0,3.0,,,63,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,467.0,226.0,193.0,51.0,161.0,19.0,1.0,1.0,1.0,,,,36.0,,1196,,,,,,,5.0,,1.0,,,,,,,,,,,,30.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
cs_cltt-ud-train,467,0,540.0,182.0,213.0,56.0,204.0,12.0,13.0,1.0,,,1.0,1.0,51.0,,1317,,,,,,,7.0,,6.0,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,424.0,152.0,158.0,40.0,133.0,16.0,,,,,,,61.0,,1012,,,,,1.0,,4.0,,1.0,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
hy_armtdp-ud-train,1974,0,,,456.0,37.0,,1.0,9.0,4.0,,,5.0,9.0,11.0,,613,2.0,,,,,5.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-dev,249,0,,,66.0,1.0,,,,1.0,,,1.0,,2.0,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,,,63.0,2.0,,,,,,,2.0,,,,70,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,1.0,1.0,54.0,3.0,,,,,,1.0,,4.0,,,65,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,,20.0,199.0,11.0,,,,,,1.0,,3.0,,,253,3.0,1.0,,,,1.0,,,1.0,,1.0,,,,,9.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-train,69630,0,,9308.0,23876.0,3035.0,9272.0,3467.0,181.0,129.0,248.0,155.0,684.0,1206.0,1430.0,22.0,53796,4.0,,,,13.0,75.0,,,16.0,,570.0,3.0,,1.0,,,,1.0,1.0,,,,,,,,,,,16.0,,,78.0,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
ru_syntagrus-ud-dev,8906,0,,1203.0,2934.0,440.0,1124.0,407.0,39.0,25.0,37.0,26.0,106.0,136.0,166.0,13.0,6766,,,,,2.0,11.0,,,1.0,,81.0,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,9.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-test,8800,0,,1183.0,3215.0,420.0,1196.0,448.0,17.0,36.0,33.0,15.0,109.0,136.0,160.0,6.0,7082,,,,,3.0,9.0,,,1.0,,85.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sjo_xdt-ud-test,810,0,111.0,,2.0,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,,6.0,45.0,18.0,9.0,8.0,4.0,3.0,,1.0,,35.0,,6.0,147,4.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-dev,1062,0,,14.0,90.0,34.0,15.0,10.0,4.0,5.0,3.0,2.0,2.0,26.0,,2.0,220,8.0,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-test,1007,0,,16.0,111.0,41.0,27.0,12.0,3.0,4.0,2.0,,3.0,38.0,,1.0,280,11.0,,,,,,2.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ltg_cairo-ud-test,20,0,,1.0,3.0,,,1.0,1.0,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,,72.0,150.0,31.0,33.0,14.0,1.0,,2.0,,4.0,21.0,1.0,,332,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-dev,789,0,,62.0,178.0,28.0,34.0,13.0,3.0,,1.0,1.0,1.0,19.0,1.0,,345,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-train,3569,0,,388.0,823.0,168.0,134.0,65.0,3.0,3.0,1.0,3.0,12.0,84.0,1.0,,1706,,,,,,1.0,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
wbp_ufal-ud-test,55,0,,,5.0,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,414.0,114.0,261.0,31.0,58.0,45.0,9.0,1.0,5.0,2.0,,11.0,1.0,,1009,,,,,,3.0,12.0,,,,,,,,,,,,,,37.0,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-train,10160,0,3039.0,663.0,1862.0,211.0,472.0,357.0,18.0,7.0,43.0,16.0,3.0,117.0,9.0,,7257,2.0,,,,,32.0,103.0,,10.0,,2.0,1.0,,,,,,,,,268.0,,14.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-test,1291,0,371.0,78.0,242.0,17.0,58.0,46.0,1.0,2.0,3.0,,,13.0,2.0,,879,,,,,,3.0,15.0,,1.0,,,,,,,,,,,,25.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-dev,376,0,,,2.0,1.0,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,,,,,,,,,,,,,1.0,,2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,,,3.0,,,,,,,,,,,,7,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,,32.0,614.0,15.0,31.0,3.0,2.0,,3.0,12.0,,4.0,,,718,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sme_giella-ud-test,865,0,,26.0,467.0,15.0,26.0,5.0,1.0,,2.0,5.0,1.0,,,,549,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-dev,1709,0,,,29.0,,,,,,,1.0,,1.0,,,130,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-test,1846,0,,,45.0,,1.0,,,,,,,,,,141,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,,,228.0,,,,,,,1.0,,1.0,,,1046,,,,,,,,,,,1.0,,,,,,,803.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
sl_sst-ud-train,4558,0,1549.0,365.0,1086.0,100.0,209.0,184.0,31.0,52.0,26.0,3.0,11.0,49.0,9.0,1.0,3767,,13.0,5.0,,1.0,,1.0,,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,2.0,,,,,,,
sl_sst-ud-test,1041,0,253.0,53.0,176.0,9.0,37.0,37.0,6.0,6.0,5.0,,6.0,10.0,1.0,1.0,615,,7.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
sl_sst-ud-dev,505,0,381.0,92.0,287.0,16.0,57.0,54.0,5.0,7.0,10.0,,2.0,8.0,2.0,,938,,4.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
arr_tudet-ud-test,674,0,21.0,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,,49.0,225.0,6.0,18.0,,1.0,2.0,,25.0,,24.0,,2.0,368,,,,,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,,,,,
kk_ktb-ud-train,31,0,,,13.0,1.0,2.0,,2.0,,,1.0,,,,1.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,6420.0,2069.0,3300.0,375.0,1732.0,440.0,45.0,34.0,112.0,13.0,3.0,121.0,198.0,,15511,18.0,,,,,14.0,103.0,,9.0,,11.0,4.0,,,,,,,,,446.0,,13.0,,,,,,,,,,28.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-dev,9270,0,5984.0,1990.0,2949.0,423.0,1650.0,396.0,32.0,38.0,93.0,13.0,2.0,121.0,166.0,,14458,7.0,,,,2.0,12.0,103.0,,4.0,,12.0,1.0,,,,,,,,,422.0,,17.0,,,,,,,,,,15.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
cs_pdt-ud-train,68491,0,43400.0,14236.0,21789.0,2970.0,11929.0,2715.0,275.0,216.0,650.0,99.0,13.0,853.0,1313.0,,104698,66.0,,,,3.0,135.0,792.0,,63.0,,56.0,28.0,,4.0,,,,,,,2797.0,,122.0,,,,,,,,,,121.0,,,,,,,,,,,4.0,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,
gn_oldtudet-ud-test,59,0,,,1.0,,2.0,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_mwtt-ud-test,534,0,,,18.0,,,,,,,,,,,,45,,,,,,,,7.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,,,16.0,,2.0,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,12.0,,128.0,3.0,20.0,,1.0,,,10.0,,,5.0,,204,,1.0,5.0,,,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ug_udt-ud-dev,900,0,12.0,1.0,129.0,2.0,24.0,,,,,11.0,1.0,3.0,2.0,,205,,,6.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ug_udt-ud-train,1656,0,23.0,7.0,266.0,6.0,38.0,,,4.0,,25.0,,7.0,,,385,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
lzh_kyoto-ud-dev,6102,0,,4.0,32.0,157.0,797.0,,,,,,5.0,50.0,,,2753,38.0,,,2.0,475.0,1.0,,3.0,,,,,,178.0,,,,779.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
lzh_kyoto-ud-train,74609,0,,81.0,410.0,2316.0,10121.0,,,,,18.0,32.0,566.0,,,37529,460.0,,,16.0,5814.0,24.0,,66.0,2.0,,23.0,8.0,6.0,2756.0,,,,10439.0,,32.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,4240.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,1.0,,,,,,,,,,
