Treebank,Number of Sentences,Failures,case,amod,obl,nmod,det,conj,nummod,orphan,parataxis,mark,fixed,appos,root,flat:name,discourse,Total,advcl,xcomp,list,cc,obj,compound,csubj,acl,obl:agent,ccomp,nmod:obl,obl:lvc,advmod:mode,ccomp:pred,cop,nmod:poss,compound:lvc,flat,iobj,obl:arg,det:poss,xcomp:pred,nmod:arg,xcomp:cleft,obl:cmpr,acl:relcl,parataxis:obj,parataxis:insert,ccomp:obj,amod:flat,nmod:pred,det:nummod,advmod:emph,nmod:flat,nsubj:pass,ccomp:cleft,advcl:cmpr,csubj:pass,nummod:gov,nsubj,advcl:relcl,parataxis:discourse,parataxis:rel,flat:title,advmod:det,flat:abs,flat:sibl,advcl:pred,_,flat:range,advmod,obl:instr,nmod:appos,obl:manner,obl:soc,advcl:ccomp,acl:attr,obl:path,acl:ptcp,obl:tmod,obl:source,obl:grad,advcl:manner,acl:dpct,advcl:cond,advcl:concess,obl:lmod,advcl:fin,advcl:tcl,advcl:caus,compound:name,vocative,obl:benef,obl:goal,obl:float,obl:depict,dislocated,dep,reparandum,advcl:cmp,case:loc,nmod:npmod,compound:redup,aux,nmod:gobj,nmod:gsubj,advmod:lmod,advmod:mmod,advmod:tmod,flat:foreign,aux:caus,obl:inst
tr_framenet-ud-test,205,0,,,8.0,,,1.0,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,,,101.0,5.0,,4.0,,,,,,,,,,133,4.0,,,,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,,,6.0,1.0,,,,,,,,,,,,8,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,,,,4.0,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,,1.0,2.0,10.0,,,,,,,,,,,,17,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,,1.0,23.0,1.0,,2.0,,,,,,,2.0,,,32,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,2.0,,83.0,1.0,,19.0,,3.0,,,,3.0,3.0,,1.0,183,15.0,18.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,6.0,,,,,,,,,6.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,3.0,4.0,4.0,,,
abq_atb-ud-test,98,0,,,1.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,3.0,,99.0,24.0,,6.0,,,,,,1.0,4.0,,,166,11.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-train,16045,0,,714.0,1398.0,701.0,246.0,405.0,19.0,12.0,45.0,2.0,25.0,30.0,117.0,22.0,,4691,19.0,247.0,,1.0,44.0,,13.0,43.0,71.0,9.0,,,,,,,,,491.0,,,,,,,7.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
ru_taiga-ud-dev,946,0,,46.0,102.0,27.0,14.0,22.0,1.0,7.0,2.0,,2.0,4.0,11.0,,,322,,12.0,,,12.0,,1.0,6.0,,1.0,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-test,881,0,,42.0,60.0,35.0,16.0,29.0,2.0,,2.0,,2.0,2.0,9.0,,,291,1.0,15.0,,,7.0,,3.0,4.0,7.0,2.0,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_pud-ud-test,1000,0,,3.0,6.0,1.0,,2.0,,,,,,,,,,52,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,94.0,149.0,70.0,51.0,7.0,31.0,1.0,,,,18.0,,9.0,,,524,3.0,3.0,,,,,,,,,,,,,,,,,,67.0,,,,,,16.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,168.0,236.0,63.0,109.0,8.0,75.0,2.0,3.0,,,33.0,2.0,20.0,,,863,7.0,,,,,,,,,1.0,,,,,,,,,,98.0,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,77.0,218.0,100.0,49.0,15.0,62.0,1.0,1.0,1.0,,43.0,3.0,1.0,,,692,5.0,,,,,,,1.0,,,,,,,,,,,,89.0,,,,,,11.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,,,381.0,19.0,,75.0,,1.0,40.0,,,5.0,12.0,,1.0,772,166.0,,,,,5.0,,11.0,6.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,14.0,23.0,,,,,,,,,,
hy_armtdp-ud-dev,249,0,,,71.0,2.0,,13.0,,,2.0,,,1.0,,,1.0,120,22.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
hy_armtdp-ud-test,277,0,1.0,,42.0,3.0,,11.0,,6.0,5.0,,,1.0,,,,100,20.0,,,,,3.0,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,
ota_boun-ud-train,114,0,,1.0,17.0,7.0,,1.0,,,,,,,,,,29,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,,,51.0,40.0,,9.0,,,,,,,1.0,,,112,,,,,4.0,,,,,,,,,,,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-train,69630,0,,8503.0,16116.0,5087.0,2022.0,3563.0,233.0,105.0,637.0,7.0,529.0,379.0,898.0,339.0,108.0,43061,126.0,1364.0,,,173.0,3.0,50.0,746.0,467.0,97.0,,,,,,,,6.0,1193.0,,,,,,,63.0,,,,,,,,,,,,1.0,16.0,15.0,,,,,,,,,,,9.0,,,,,,,,,204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
ru_syntagrus-ud-dev,8906,0,,1206.0,2190.0,656.0,296.0,580.0,41.0,20.0,106.0,,63.0,70.0,153.0,75.0,18.0,6039,16.0,137.0,,,16.0,1.0,6.0,102.0,81.0,9.0,,,,,,,,,164.0,,,,,,,16.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
ru_syntagrus-ud-test,8800,0,,1136.0,2133.0,730.0,257.0,498.0,38.0,22.0,76.0,3.0,79.0,64.0,122.0,57.0,15.0,5822,26.0,158.0,,,27.0,,9.0,105.0,56.0,13.0,,,,,,,,,158.0,,,,,,,9.0,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,1.0,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sjo_xdt-ud-test,810,0,12.0,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,,1.0,17.0,20.0,4.0,4.0,1.0,3.0,1.0,,,1.0,11.0,1.0,,96,,,,,1.0,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,
orv_birchbark-ud-dev,1062,0,,4.0,48.0,24.0,8.0,16.0,1.0,4.0,2.0,,1.0,4.0,12.0,2.0,,165,,1.0,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
orv_birchbark-ud-test,1007,0,,9.0,50.0,35.0,11.0,12.0,,4.0,,,,4.0,11.0,4.0,,178,,2.0,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,,98.0,120.0,33.0,10.0,30.0,2.0,4.0,1.0,,1.0,,10.0,,,458,,15.0,,,2.0,,1.0,4.0,16.0,1.0,,,,,,,,,99.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-dev,789,0,,76.0,89.0,19.0,15.0,34.0,,3.0,3.0,,,,11.0,,,384,1.0,12.0,,,3.0,,1.0,1.0,12.0,1.0,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-train,3569,0,,452.0,491.0,100.0,58.0,141.0,4.0,10.0,9.0,,1.0,11.0,56.0,,,2020,,49.0,,,5.0,,4.0,26.0,103.0,2.0,,,,,,,,,454.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
myu_tudet-ud-test,158,0,,,2.0,,,,,,,,,,,,,3,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbp_ufal-ud-test,55,0,,,1.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,,,6.0,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,169.0,96.0,185.0,35.0,43.0,36.0,6.0,2.0,,,1.0,2.0,12.0,,,657,5.0,2.0,,,,1.0,,3.0,,3.0,,,,,,,,,,51.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
cs_fictree-ud-train,10160,0,1400.0,725.0,1390.0,304.0,264.0,206.0,43.0,10.0,2.0,1.0,13.0,16.0,96.0,,,5235,20.0,20.0,,,,,6.0,5.0,,25.0,,,,,,,,22.0,,616.0,,,,,,16.0,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,
cs_fictree-ud-test,1291,0,181.0,74.0,155.0,45.0,42.0,28.0,7.0,3.0,,,1.0,1.0,15.0,,,649,,3.0,,,,,,2.0,,6.0,,,,,,,,2.0,,80.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,1.0,,143.0,7.0,,31.0,,1.0,8.0,,,1.0,4.0,,,253,48.0,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,,,,,,,,
hyw_armtdp-ud-dev,694,0,,,143.0,13.0,,46.0,,,5.0,,,1.0,5.0,,,290,65.0,,,,,1.0,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,,
hyw_armtdp-ud-train,5282,0,,,987.0,108.0,,213.0,,4.0,42.0,,,6.0,33.0,,,1801,329.0,,,,,3.0,,10.0,3.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4.0,3.0,,,,39.0,1.0,10.0,,,,,,,1.0,
sl_sst-ud-train,4558,0,498.0,108.0,313.0,98.0,75.0,51.0,12.0,17.0,7.0,,1.0,16.0,12.0,9.0,,1240,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,20.0,,,,,,,,,,,,,
sl_sst-ud-test,1041,0,104.0,29.0,74.0,13.0,10.0,9.0,2.0,5.0,1.0,1.0,1.0,2.0,6.0,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
sl_sst-ud-dev,505,0,136.0,40.0,72.0,41.0,15.0,20.0,7.0,2.0,4.0,,,6.0,,2.0,,354,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
ka_glc-ud-test,151,0,11.0,19.0,27.0,6.0,,2.0,3.0,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arr_tudet-ud-test,674,0,2.0,,,,,,,,,1.0,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,,,62.0,16.0,,9.0,,,1.0,,,1.0,,1.0,,99,6.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-train,31,0,,,5.0,1.0,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,1951.0,1562.0,1408.0,814.0,224.0,483.0,77.0,13.0,5.0,,96.0,30.0,405.0,,,8344,35.0,44.0,,,,,6.0,22.0,,63.0,,,,,,,,105.0,,789.0,,,,,,64.0,,,,,,11.0,,,,,,1.0,,2.0,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,
cs_pdt-ud-dev,9270,0,1671.0,1398.0,1172.0,701.0,212.0,467.0,80.0,13.0,5.0,,91.0,32.0,379.0,,,7374,17.0,50.0,,,,,7.0,20.0,,41.0,,,,,,,,110.0,,714.0,,,,,,57.0,,,,,,14.0,,,,,,1.0,,2.0,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,
cs_pdt-ud-train,68491,0,12575.0,10322.0,8696.0,5399.0,1407.0,3145.0,490.0,135.0,37.0,,709.0,255.0,2606.0,,1.0,54307,162.0,326.0,,,,1.0,50.0,137.0,,328.0,,,,,,,,786.0,,5302.0,,,,,,438.0,,,,,,101.0,,,1.0,,,10.0,,8.0,,,,,,,,,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,,,,,,,,,,,,1.0,,
ta_mwtt-ud-test,534,0,,,2.0,,,,,,,,,,,,,10,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
ota_dudu-ud-test,85,0,,,7.0,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-train,400,0,,,9.0,,,,,,,1.0,,,,,,16,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
ta_ttb-ud-dev,80,0,,,1.0,,,,,,,1.0,,,,,,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,,,3.0,,,,,,,,,,,,,5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,,191.0,169.0,96.0,27.0,55.0,7.0,2.0,7.0,,7.0,7.0,26.0,28.0,1.0,884,5.0,126.0,,,24.0,,,24.0,12.0,4.0,,,,,,,,,63.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-test,805,0,,,30.0,6.0,,1.0,,,1.0,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
qtd_sagt-ud-dev,801,0,,,31.0,3.0,,2.0,,,,,,,,,,39,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
qtd_sagt-ud-train,578,0,2.0,,23.0,1.0,,,,1.0,,,,1.0,,,,30,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,,,3.0,1.0,1.0,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,,130.0,60.0,43.0,16.0,63.0,5.0,,,,11.0,9.0,56.0,,,690,2.0,2.0,,,,,,18.0,,,,,,,,,,17.0,75.0,90.0,9.0,22.0,31.0,,2.0,6.0,3.0,3.0,7.0,4.0,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_torot-ud-test,2955,0,,79.0,401.0,41.0,74.0,100.0,6.0,12.0,,,3.0,21.0,8.0,6.0,,863,9.0,14.0,,,2.0,,,5.0,22.0,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
orv_torot-ud-dev,3061,0,,132.0,503.0,45.0,98.0,118.0,7.0,21.0,,,3.0,23.0,11.0,2.0,,1056,6.0,8.0,,,,,,6.0,23.0,,,,,,2.0,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
orv_torot-ud-train,20480,0,,775.0,3028.0,367.0,508.0,711.0,52.0,114.0,5.0,,21.0,220.0,65.0,25.0,,6569,38.0,69.0,,,2.0,,,53.0,188.0,5.0,,,,,2.0,,,,,271.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4.0,,,14.0,,,,,,,,,,,,
cs_cac-ud-dev,603,0,114.0,157.0,111.0,64.0,16.0,77.0,,,,,14.0,2.0,13.0,,,612,,1.0,,,,,,2.0,,1.0,,,,,,,,2.0,,32.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,4976.0,5661.0,4394.0,2339.0,689.0,2132.0,170.0,103.0,16.0,1.0,411.0,148.0,1124.0,,,25331,75.0,159.0,,,,2.0,22.0,57.0,,85.0,,,,,,,,101.0,,2322.0,,,,,,186.0,,,,,,40.0,,,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,1.0,,
cs_cac-ud-test,628,0,126.0,152.0,135.0,47.0,13.0,53.0,6.0,4.0,,,7.0,4.0,25.0,,,661,3.0,6.0,,,,,,1.0,,2.0,,,,,,,,2.0,,62.0,,,,,,9.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,29.0,41.0,341.0,20.0,6.0,37.0,,1.0,1.0,,,,2.0,,,633,143.0,,,,,7.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,
eu_bdt-ud-test,1799,0,8.0,11.0,103.0,9.0,1.0,13.0,,,,,,,1.0,,,203,50.0,,,,,3.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,7.0,18.0,133.0,7.0,3.0,17.0,,,,,,,1.0,,,235,42.0,,,,1.0,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,,3.0,,9.0,,5.0,1.0,,,,5.0,,2.0,,,42,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-train,14981,0,,25.0,,88.0,8.0,22.0,5.0,,,,20.0,,26.0,,,316,112.0,,,,,,,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
fi_ftb-ud-test,1867,0,,4.0,,14.0,2.0,2.0,,,,,5.0,,3.0,,,46,14.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
am_att-ud-test,1074,0,1.0,,,,,,,,,5.0,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-test,1727,0,,46.0,178.0,23.0,10.0,7.0,2.0,,,,,1.0,20.0,,,303,1.0,7.0,,,1.0,,1.0,3.0,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,,387.0,1523.0,217.0,136.0,87.0,11.0,,,,,9.0,199.0,,,2773,8.0,92.0,,,10.0,,3.0,50.0,,12.0,,,,,,,,24.0,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-dev,1745,0,,48.0,192.0,22.0,20.0,15.0,1.0,,,,,,18.0,,,348,1.0,13.0,,,1.0,,1.0,5.0,,4.0,,,,,,,,6.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-train,15473,0,2.0,5.0,108.0,54.0,,1.0,,,1.0,,1.0,,2.0,,2.0,304,9.0,1.0,,,15.0,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
tr_tourism-ud-dev,2166,0,1.0,1.0,14.0,1.0,,4.0,,,,,,1.0,1.0,,,51,5.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-test,2191,0,,,16.0,2.0,,,,,,,,,,,,34,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
