Treebank,Number of Sentences,Failures,obl,amod,advcl,obl:agent,nmod,det,orphan,conj,acl,root,ccomp,nummod,iobj,appos,csubj,Total,flat:name,nmod:obl,obj,nmod:poss,case,compound:lvc,compound,flat,xcomp,nsubj,cop,compound:nn,obl:lmod,obl:source,obl:tmod,nmod:appos,obl:goal,obl:manner,advcl:caus,obl:grad,advmod,acl:relcl,dislocated,parataxis,advcl:tcl,advcl:concess,obl:path,advcl:ccomp,advcl:cond,obl:instr,acl:ptcp,obl:benef,advcl:fin,xcomp:result,obl:soc,nsubj:pass,advcl:abs,flat:redup,obl:arg,obl:cmp,advcl:cmp,orphan:missing,nmod:tmod,list,dep,clf,discourse,dep:infl,fixed,nmod:npmod,case:loc,compound:svc,advmod:lmod,obl:cau,reparandum,dislocated:nsubj,dislocated:obj,advcl:relcl,mark,advcl:pred,csubj:pass,ccomp:relcl,_,advmod:tmod,advmod:deg,advmod:cmp,compound:prt,vocative,nmod:part,nmod:comp,aux,conj:expl,ccomp:reported,csubj:reported,flat:foreign,csubj:relcl,compound:redup,dislocated:advcl,csubj:cleft,parataxis:discourse,expl,obl:mod,dep:comp
ta_mwtt-ud-test,534,0,7.0,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,18.0,,1.0,,5.0,,,1.0,,,,,,,,28,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,96.0,1.0,6.0,,24.0,,,1.0,,,,1.0,,,,145,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,2.0,,,,,,2.0,,,,,,
ug_udt-ud-dev,900,0,75.0,4.0,6.0,,16.0,,,5.0,,2.0,,,,,,128,,,,2.0,1.0,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,4.0,,,,,,
ug_udt-ud-train,1656,0,162.0,1.0,8.0,,61.0,,,9.0,2.0,2.0,,,,1.0,,263,,,1.0,,,,10.0,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
xum_ikuvina-ud-test,133,0,41.0,35.0,,,,,,17.0,1.0,,1.0,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,962.0,164.0,56.0,80.0,88.0,269.0,20.0,141.0,46.0,93.0,7.0,4.0,,,16.0,2352,,,,,,,,,25.0,16.0,,,,,1.0,,,,,,,43.0,,,,,,,,,,,,,,35.0,75.0,,165.0,,10.0,,,,,,,,,,,,,,,,,12.0,,,12.0,,,,,,,,,,,5.0,,,,6.0,,1.0,,,,,
la_ittb-ud-test,2101,0,848.0,151.0,64.0,94.0,141.0,211.0,22.0,109.0,26.0,124.0,10.0,,,,21.0,2138,,,,,,,,1.0,29.0,4.0,,,,,,,,,,,,47.0,,,,,,,,,,,,,,20.0,77.0,,107.0,,6.0,,,,,,,,,,,,,,,,,16.0,,,3.0,2.0,,,,,,,,,,2.0,,,,3.0,,,,,,,
la_ittb-ud-train,22775,0,12573.0,2604.0,765.0,1365.0,1279.0,2753.0,296.0,1865.0,784.0,887.0,94.0,41.0,,5.0,170.0,30232,,,,,,,,20.0,136.0,269.0,,,3.0,,,,,,,,,453.0,,3.0,,,,,,,,,,,,255.0,761.0,,2338.0,1.0,132.0,,,,,,,,,,,,,,,,,87.0,,63.0,63.0,13.0,,,,,,,,,,98.0,,,,55.0,,,1.0,,,,
qtd_sagt-ud-test,805,0,76.0,,8.0,,12.0,,,,2.0,1.0,,,,1.0,,103,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
qtd_sagt-ud-dev,801,0,97.0,,8.0,,8.0,,3.0,3.0,,4.0,,,,,,127,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
qtd_sagt-ud-train,578,0,49.0,,4.0,,7.0,,,1.0,,,,,,,,69,,,,,,,,,1.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,5.0,,,,,,,1.0,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,303.0,12.0,21.0,,30.0,27.0,,13.0,,1.0,,,,6.0,,532,,,3.0,,56.0,,8.0,2.0,,1.0,1.0,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
eu_bdt-ud-test,1799,0,100.0,5.0,9.0,,10.0,12.0,,9.0,,,,,,,,187,,,,,18.0,,3.0,3.0,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,89.0,5.0,4.0,,11.0,9.0,,2.0,,,1.0,,,,,163,,,,,21.0,,2.0,5.0,,2.0,1.0,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,,5.0,3.0,,70.0,6.0,,3.0,1.0,2.0,,,,,,94,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
fi_ftb-ud-train,14981,0,,31.0,11.0,,501.0,32.0,,19.0,4.0,4.0,,7.0,,,,640,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,13.0,,
fi_ftb-ud-test,1867,0,,6.0,2.0,,70.0,5.0,,3.0,2.0,4.0,,2.0,,,,101,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
eme_tudet-ud-test,913,0,24.0,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-train,15473,0,276.0,6.0,46.0,,136.0,,,55.0,6.0,100.0,2.0,1.0,,1.0,,1104,,,421.0,,32.0,,9.0,5.0,,5.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-dev,2166,0,11.0,2.0,19.0,,9.0,,,4.0,,15.0,,1.0,,,,181,,,103.0,,13.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-test,2191,0,33.0,,17.0,,3.0,,,9.0,,21.0,,,,,,138,,,52.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqz_tudet-ud-test,343,0,6.0,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,277.0,44.0,35.0,,99.0,,,36.0,8.0,17.0,2.0,2.0,2.0,1.0,1.0,666,,,49.0,32.0,10.0,2.0,31.0,10.0,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-dev,1100,0,88.0,12.0,7.0,,39.0,,,10.0,5.0,6.0,,,,,,206,,,12.0,6.0,2.0,2.0,11.0,2.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-test,1100,0,85.0,10.0,8.0,,28.0,,,10.0,2.0,5.0,1.0,,,,,183,,,14.0,9.0,2.0,,4.0,3.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gu_gujtb-ud-test,187,0,1.0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-train,19,0,,,,,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-test,908,0,2.0,,,,62.0,,,4.0,,2.0,,,1.0,,,82,,,5.0,,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
bej_nsc-ud-test,380,0,,,,,1.0,,,,,,,,,1.0,,41,,,,3.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,26.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0
tr_boun-ud-dev,979,0,137.0,5.0,14.0,,7.0,,,6.0,2.0,2.0,3.0,,,,,211,,,9.0,12.0,1.0,4.0,6.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-test,979,0,160.0,10.0,17.0,,6.0,,,9.0,2.0,3.0,3.0,,,1.0,,248,,,11.0,14.0,1.0,2.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
tr_boun-ud-train,7803,0,1154.0,28.0,118.0,,67.0,,,88.0,16.0,25.0,23.0,1.0,1.0,1.0,1.0,1840,,,85.0,4.0,4.0,12.0,36.0,25.0,,3.0,4.0,,,,19.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,,,,,,,,6.0,,,,,,
tr_penn-ud-dev,622,0,43.0,,5.0,,35.0,,,2.0,,,,,,,,100,,,4.0,,8.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,71.0,,3.0,,24.0,,,2.0,,,1.0,2.0,,,,129,,,1.0,,12.0,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-train,14850,0,1113.0,37.0,43.0,,783.0,,,64.0,2.0,10.0,50.0,15.0,,2.0,,2519,,,161.0,,77.0,,94.0,34.0,11.0,5.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,5.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
