Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:concess,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:det,advmod:lmod,advmod:tmod,amod,amod:flat,appos,aux,aux:neg,case,case:loc,cc,ccomp,ccomp:obj,clf,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:cop,csubj:outer,csubj:pass,dep,dep:comp,dep:conj,dep:infl,det,det:numgov,det:nummod,det:poss,discourse,dislocated,expl,expl:pass,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:lmod,nmod:npmod,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:soc,obl:source,obl:subj,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,parataxis:trans,reparandum,root,vocative,vocative:cl,xcomp,xcomp:ds,xcomp:pred,xcomp:result
hy_bsut-ud-train,1226,0,321,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,3.0,,,1.0,4.0,,,,,1.0,1.0,,,11.0,,,,,,3.0,,,,,,,,,,,,11.0,1.0,,,,,,,,,,2.0,,,,,25.0,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,,6.0,,,,,,,8.0,,,,,,
hy_bsut-ud-test,595,0,174,,2.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,3.0,,,2.0,2.0,,1.0,,,,3.0,,,9.0,,,,,,2.0,,,,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,124.0,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,
hy_bsut-ud-dev,479,0,163,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,2.0,,,9.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,50,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,1.0,,1.0,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,5.0,,,,,,,,,,,,,,,2.0,,,27.0,,,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
la_llct-ud-dev,850,0,37,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,34,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,168,,,,,,,,,,,,,,,,,,,,,,,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,571,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,130.0,,3.0,,,,,,,,,,,,,37.0,,,,,,,,,,26.0,,,,,,,,2.0,1.0,,,,,,,,,,145.0,,,,,,,,,,,,2.0,,,6.0,208.0,,,,,,,,,,,,,,,,7.0,1.0,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,35,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,1042,,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,81.0,,2.0,,,451.0,,,2.0,,,,,,,46.0,,,,,,,,,,16.0,,,,1.0,,,,1.0,14.0,,,,,,,,,,158.0,,,,,,,,,,,,6.0,,,,242.0,,,,,,,,,,,,,,,,,5.0,,,,,,,11.0,,,,,,
sr_set-ud-train,3328,0,6642,,51.0,,,,,,,17.0,,,,,,,,,,,,,,,,619.0,,11.0,,,2837.0,,1.0,16.0,,,,,,,172.0,,,,,,,,,,180.0,1.0,,,2.0,,1.0,,4.0,42.0,,,,,,,,,,1017.0,,,,,,,,,3.0,,,10.0,,1.0,,1553.0,,,,,,,,,,,,,,,,5.0,43.0,,,,,,,55.0,,,1.0,,,
sr_set-ud-dev,536,0,993,,6.0,,,,,,,3.0,,,,,,,,,,,,,,,,107.0,,1.0,,,420.0,,2.0,1.0,,,,,,,15.0,,2.0,,,,,,,,26.0,,,,,,,,1.0,6.0,,,,,,,,,,139.0,,,,,,,,,,,,1.0,,1.0,,251.0,,,,,,,,,,,,,,,,,9.0,,,,,,,2.0,,,,,,
myv_jr-ud-test,921,0,134,,1.0,,,,,,1.0,3.0,,,,,,,,,,,1.0,,,6.0,,,,1.0,,,7.0,,,1.0,,,1.0,,,,19.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,23.0,,,51.0,10.0,,
myv_jr-ud-train,1217,0,150,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,4.0,,,7.0,,,,,,,25.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,38.0,,,52.0,5.0,,
tr_framenet-ud-test,205,0,39,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,1.0,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,424,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,54.0,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,51.0,,,,,,,,,2.0,,,,,,3.0,291.0,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,1.0,,,,,,
tr_framenet-ud-dev,205,0,37,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kfm_aha-ud-test,10,0,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
ky_ktmu-ud-test,701,0,403,,1.0,,,,,,,3.0,,,,,,,,,,,,1.0,,,,6.0,,,,,,,,2.0,,,1.0,,,3.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,46.0,,3.0,,,,,,,262.0,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,
kpv_ikdp-ud-test,214,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
kpv_lattice-ud-test,643,0,30,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,108,,,,,,,,,3.0,,,,,,,,,,,,,,,,10.0,,4.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,
tr_gb-ud-test,2880,0,661,,5.0,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,,,9.0,,,,3.0,,1.0,2.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,29.0,,,,,,1.0,,,,,,2.0,,,,350.0,2.0,,,,,,,,,,,,,,118.0,,2.0,,,,,,,100.0,,,1.0,,,
ru_taiga-ud-train,16045,0,5709,,36.0,,,,,,20.0,37.0,,,,,,,,,,,,,,,,742.0,,19.0,,,,,,22.0,,,2.0,,,,302.0,,2.0,,,,,,,,435.0,,,,,,,,89.0,,,,1.0,,,,,1.0,,855.0,,,,,,,,,2.0,,,43.0,,,1.0,2647.0,,,,,,,,,,,,,,,,14.0,98.0,,,,,,1.0,336.0,,,4.0,,,
ru_taiga-ud-dev,946,0,388,,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,49.0,,,,,,,,2.0,,,,,,,31.0,,,,,,,,,,32.0,,,,,,,,6.0,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,184.0,,,,,,,,,,,,,,,,1.0,9.0,,,,,,,21.0,,,,,,
ru_taiga-ud-test,881,0,330,,2.0,,,,,,4.0,3.0,,,,,,,,,,,,,,,,42.0,,2.0,,,,,,,,,,,,,30.0,,1.0,,,,,,,,19.0,,,,,,,,6.0,,,,1.0,,,,,,,48.0,,,,,,,,,,,,1.0,,,,145.0,,,,,,,,,,,,,,,,5.0,7.0,,,,,,,14.0,,,,,,
tpn_tudet-ud-test,581,0,63,,1.0,,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,
cs_cltt-ud-dev,316,0,1196,,,,,,,,1.0,,,,,,,,,,,,,,,,,226.0,,1.0,,,467.0,,,,,,,,,,51.0,,,,,,5.0,,,,19.0,,,,,,,,36.0,,,,,,,,,,,161.0,,,,,,,,,,,3.0,1.0,,,,193.0,,30.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,
cs_cltt-ud-train,467,0,1317,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,13.0,,,540.0,,,,,,,,,,56.0,,,,,,7.0,,,,12.0,,,,,,,,51.0,,,,,,,,,,,204.0,,,,,,,,,,,,,,,,213.0,,30.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,6.0,,,
cs_cltt-ud-test,338,0,1012,,,,,,,,,,,,,,,,,,,,,,,,,152.0,,,,,424.0,,,,,,,,,,40.0,,,,,,4.0,,,,16.0,,,,,,,,61.0,,,,,,,,,,,133.0,,,,,,,,,1.0,,1.0,,,,,158.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
hy_armtdp-ud-train,1974,0,613,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,5.0,,,,,,,37.0,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,11.0,2.0,,,,,,,,,,,,,,,68.0,,,,,,,,,,,456.0,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,9.0,,,,,,
hy_armtdp-ud-dev,249,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
ota_boun-ud-train,114,0,65,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
ota_boun-ud-test,400,0,253,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,20.0,,,,,,,,1.0,,,,2.0,,,11.0,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,1.0,199.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,
ru_syntagrus-ud-train,69630,0,53796,,570.0,,,,,,78.0,155.0,,,,,,,,,,,,,,,,9308.0,,181.0,,,,,,75.0,,,1.0,,,,3035.0,1.0,3.0,,,,,,,,3467.0,,,,,,,,1430.0,4.0,,3.0,22.0,,,,,,,9272.0,,,,,,,,,13.0,,1.0,248.0,,16.0,1.0,23876.0,,,,,,,,,,,,,,,1.0,129.0,684.0,,,,,,,1206.0,,,16.0,,,
ru_syntagrus-ud-dev,8906,0,6766,,81.0,,,,,,9.0,26.0,,,,,,,,,,,,,,,,1203.0,,39.0,,,,,,11.0,,,1.0,,,,440.0,,1.0,,,,,,,,407.0,,,,,,,,166.0,,,2.0,13.0,,,,,,,1124.0,,,,,,,,,2.0,,,37.0,,2.0,,2934.0,,,,,,,,,,,,,,,,25.0,106.0,,,,,,,136.0,,,1.0,,,
ru_syntagrus-ud-test,8800,0,7082,,85.0,,,,,,8.0,15.0,,,,,,,,,,,,,,,,1183.0,,17.0,,,,,,9.0,,,1.0,,,,420.0,,,,,,,,,,448.0,,,,,,,,160.0,,,,6.0,,,,,,,1196.0,,,,,,,,,3.0,,,33.0,,1.0,,3215.0,,,,,,,,,,,,,,,,36.0,109.0,,,,,,,136.0,,,1.0,,,
sjo_xdt-ud-test,810,0,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,147,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,,4.0,,,,,,,,,,,,,18.0,,,,,,5.0,,,,8.0,,,,,,,,,4.0,,,6.0,,,,,,,9.0,,,,,,,,,,,,,,3.0,,45.0,,,,,,,,,,,,,,,,3.0,,,,,,,,35.0,,,,,,
orv_birchbark-ud-dev,1062,0,220,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,14.0,,4.0,,,,,,,,,,,,,34.0,,,,,,2.0,,,,10.0,,,,,,,,,8.0,,,2.0,,,,,,,15.0,,,,,,,,,1.0,,,3.0,,,1.0,90.0,,,,,,,,,,,,,,,,5.0,2.0,,,,,,,26.0,,,,,,
orv_birchbark-ud-test,1007,0,280,,,,,,,,1.0,,,,,,,,,,,,,,,,,16.0,,3.0,,,,,,,,,1.0,,,,41.0,,,,,,2.0,,,,12.0,,,,,,,,,11.0,,,1.0,,,,,,,27.0,,,,,,,,,,,,2.0,,6.0,1.0,111.0,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,38.0,,,,,,
ltg_cairo-ud-test,20,0,6,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,332,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,1.0,,,,,,2.0,,,,,,,31.0,,,,,,,,,,14.0,,,,,,,,1.0,,,,,,,,,,,33.0,,,,,,,,,,,,2.0,,,,150.0,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,21.0,,,,,,
ru_poetry-ud-dev,789,0,345,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,62.0,,3.0,,,,,,,,,,,,,28.0,,,,,,,,,,13.0,,,,,,,,1.0,,,,,,,,,,,34.0,,,,,,,,,,,,1.0,,,,178.0,,,,,,,,,,,,,,,,,1.0,,,,,,,19.0,,,,,,
ru_poetry-ud-train,3569,0,1706,,16.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,388.0,,3.0,,,,,,1.0,,,,,,,168.0,,,,,,,,,,65.0,,,,,1.0,,,1.0,,,,,,,,,,,134.0,,,,,,,,,,,,1.0,,,,823.0,,,,,2.0,,,,,,,,,,,3.0,12.0,,,,,,,84.0,,,,,,
wbp_ufal-ud-test,55,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,1009,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,114.0,,9.0,,,414.0,,,3.0,,,,,,,31.0,,,,,,12.0,,,,45.0,,3.0,,,,,,1.0,,,,,,,,,,,58.0,,,,,,,,,,,,5.0,,,,261.0,,37.0,,,,,,,,,,,,,,1.0,,,,,,,,11.0,,,,,,
cs_fictree-ud-train,10160,0,7257,,2.0,,,,,,8.0,16.0,,,,,,,,,,,,,,,,663.0,,18.0,,,3039.0,,,32.0,,,,,,,211.0,,1.0,,,,103.0,,,,357.0,,14.0,,,,,,9.0,2.0,,,,,,,,,,472.0,,,,,,,,,,,,43.0,,,,1862.0,,268.0,,,,,,,,,,,,,,7.0,3.0,,,,,,,117.0,,,10.0,,,
cs_fictree-ud-test,1291,0,879,,,,,,,,2.0,,,,,,,,,,,,,,,,,78.0,,1.0,,,371.0,,,3.0,,,,,,,17.0,,,,,,15.0,,,,46.0,,,,,,,,2.0,,,,,,,,,,,58.0,,,,,,,,,,,,3.0,,,,242.0,,25.0,,,,,,,,,,,,,,2.0,,,,,,,,13.0,,,1.0,,,
la_udante-ud-dev,376,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,718,,,,,,,,,12.0,,,,,,,,,,,,,,,,32.0,,2.0,,,,,,,,,,,,,15.0,,,,,,,,,,3.0,,,,,,,,,2.0,,,,,,,,,,31.0,,,,,,,,,,,,3.0,,,,614.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
sme_giella-ud-test,865,0,549,,,,,,,,,5.0,,,,,,,,,,,,,,,,26.0,,1.0,,,,,,,,,,,,,15.0,,,,,,,,,,5.0,,,,,,,,,1.0,,,,,,,,,,26.0,,,,,,,,,,,,2.0,,,,467.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
ca_ancora-ud-dev,1709,0,130,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
ca_ancora-ud-test,1846,0,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,95.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,1046,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,803.0,228.0,,11.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
sl_sst-ud-train,4558,0,3767,,1.0,,,,,,,3.0,,,,,,,,,,,,5.0,,,,365.0,,31.0,,,1549.0,,,,,,,,,,100.0,,1.0,,,,1.0,,,,184.0,,,,13.0,1.0,,,9.0,,,,1.0,,,,,,3.0,209.0,,,,,,,,,1.0,,,26.0,,,2.0,1086.0,,,,,,,,,,,,,,,,52.0,11.0,,,,2.0,,62.0,49.0,,,,,,
sl_sst-ud-test,1041,0,615,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,6.0,,,253.0,,,,,,,,,,9.0,,,,,,,,,,37.0,,,,7.0,,,,1.0,,,,1.0,,,,,,,37.0,,,,,,,,,,,,5.0,,,1.0,176.0,,,,,,,,,,,,,,,,6.0,6.0,,,,,,7.0,10.0,,,,,,
sl_sst-ud-dev,505,0,938,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,92.0,,5.0,,,381.0,,,,,,,,,,16.0,,,,,,,,,,54.0,,,,4.0,,,,2.0,,,,,,,,,,,57.0,,,,,,,,,,,,10.0,,,,287.0,,,,,,,,,,,,,,,,7.0,2.0,,,,,,10.0,8.0,,,,,,
arr_tudet-ud-test,674,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,368,,1.0,,,,,,,25.0,,,,,,,,,,,,,,,,49.0,,1.0,2.0,,,,,1.0,,,1.0,,,,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,18.0,,,,,,,1.0,,,,,,,,,225.0,,,,,,,,,,,7.0,,,,,2.0,,,,,,,,24.0,,,,,,
kk_ktb-ud-train,31,0,20,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,15511,3.0,11.0,,,,,,28.0,13.0,,,,,,,,,,,,,,,,2069.0,,45.0,,,6420.0,,,14.0,,,,,,,375.0,,4.0,,,,103.0,,,,440.0,,13.0,,,,,,198.0,18.0,,,,,,,,,,1732.0,,,,,,,,,,,,112.0,,,,3300.0,,446.0,,,,,,,,,,,,,,34.0,3.0,,,,,,,121.0,,,9.0,,,
cs_pdt-ud-dev,9270,0,14458,5.0,12.0,,,,,,15.0,13.0,,,,,,,,,,,,,,,,1990.0,,32.0,,,5984.0,,,12.0,,,,,,,423.0,,1.0,,,1.0,103.0,,,,396.0,,17.0,,,,,,166.0,7.0,,,,,,,,,,1650.0,,,,,,,,,2.0,,,93.0,,,,2949.0,,422.0,,,,,,,,,,,,,,38.0,2.0,,,,,,,121.0,,,4.0,,,
cs_pdt-ud-train,68491,0,104698,41.0,56.0,,,,,,121.0,99.0,,,,,,,,,,,,,,,,14236.0,,275.0,,,43400.0,,,135.0,,,4.0,,,,2970.0,,28.0,,,8.0,792.0,,,,2715.0,,122.0,,,,,,1313.0,66.0,,,,,,,,,4.0,11929.0,,,,,,,,,3.0,,,650.0,,,,21789.0,,2797.0,,,,,,,,,,,,,,216.0,13.0,,,,,,,853.0,,,63.0,,,
gn_oldtudet-ud-test,59,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_mwtt-ud-test,534,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,1.0,18.0,,,,,,,,,16.0,,,,,,3.0,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,204,,,,,,,,,10.0,,,,,,1.0,,,,,,5.0,,,,,,1.0,1.0,,12.0,,,1.0,,,2.0,,1.0,,3.0,,,,,,,,,,,,,,1.0,,,,5.0,,,,,,,,,,,20.0,,,,,,,,13.0,,,,,,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-dev,900,0,205,,,,,,,,,11.0,,,,,,,,,,,,6.0,,,,1.0,,,1.0,,12.0,,,,,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,24.0,,,,,,,,10.0,,,,,,,1.0,129.0,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,
ug_udt-ud-train,1656,0,385,,,,,,,,,25.0,,,,,,,,,,,,2.0,,,,7.0,,,1.0,,23.0,,,1.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,5.0,,,,,,,,266.0,,,,,,,,,,,,,,,,4.0,,,,,,,,7.0,,,,,,
lzh_kyoto-ud-dev,6102,0,2753,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,3.0,178.0,,,,157.0,,,,,,,,,,,,,,,,,,,38.0,,,,,,,3.0,2.0,,797.0,,,,,,,,,475.0,5.0,,,,,779.0,32.0,,,,,,,,,224.0,,,,,,,,5.0,,,,,,,50.0,,,,,,
lzh_kyoto-ud-train,74609,0,37529,,23.0,,,,,,,18.0,,,,,,,,,,,,,,,,81.0,,,,,,,,24.0,,32.0,2756.0,,6.0,,2316.0,,8.0,,,,,,,,,,,,,8.0,,,,460.0,,,,,,,66.0,16.0,,10121.0,,,,,,,,,5814.0,84.0,1.0,,,,10439.0,410.0,,,,,,,,,4240.0,,,,,,6.0,,32.0,,,,,,,566.0,,,2.0,,,
