Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,amod:flat,appos,appos:trans,aux,aux:caus,aux:pass,case,case:loc,cc,ccomp,ccomp:relcl,clf,compound,compound:lvc,compound:name,compound:prt,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:pass,dep,det,det:numgov,det:nummod,det:poss,discourse,dislocated,dislocated:nsubj,dislocated:obl,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:repeat,flat:title,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:att,nmod:cau,nmod:comp,nmod:flat,nmod:npmod,nmod:obl,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:depict,obl:float,obl:goal,obl:instr,obl:lmod,obl:manner,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
apu_ufpa-ud-test,161,0,12,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,87,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_pud-ud-test,1000,0,3075,,,,,,,,,,,,,,,,,,,333.0,,18.0,,,,,,,,,,,66.0,,,,,,147.0,,,,,,873.0,,,57.0,,,,,,,,,,,1.0,,,44.0,,,,,,,,496.0,,,,,,,,,,,,,,,,,,,913.0,29.0,91.0,,,,,,,,,,,,,,2.0,2.0,,1.0,,,,2.0,,,,
gl_treegal-ud-train,600,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,1.0,,,,,,,,45.0,,,,,,,,,,,,,,,3.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gl_treegal-ud-test,400,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-test,1052,0,1115,,1.0,,,,,4.0,,,,,,,,,,,,12.0,,7.0,,,,,1.0,,,,,,20.0,,,,,,37.0,,,,,,171.0,,,,,,,,40.0,,,21.0,9.0,,1.0,,,,,,,438.0,,,,315.0,,,,,,,,,,,,,,,1.0,,,5.0,23.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,6.0,,1.0,,
ro_nonstandard-ud-dev,1052,0,1024,,,,,,,1.0,,,,,,,,,,,,3.0,,4.0,,,,,,,,1.0,,,,,,,,,24.0,,,,,,123.0,,,,,,,,44.0,,,19.0,9.0,,2.0,,,,,,,475.0,,,,285.0,,,,,,,,,,,2.0,,,,,,,8.0,13.0,,,,,,,,,,,,3.0,,,,,,,3.0,,,,4.0,,1.0,,
ro_nonstandard-ud-train,24121,0,24538,,30.0,,,,,16.0,,,,,,,,,,,,229.0,,122.0,,,,,35.0,,,12.0,,,12.0,,,,,,616.0,,,4.0,,,3587.0,,,,,,,,644.0,1.0,,69.0,1143.0,,4.0,,,,,,,10123.0,,,1.0,6616.0,,,,,,,,,,34.0,150.0,,,1.0,28.0,,,389.0,498.0,,,,,,,,,,,,55.0,,,,,5.0,,11.0,,,,65.0,7.0,31.0,,
ro_simonero-ud-test,491,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-train,3747,0,198,,,,,,,,,,,,,,,,,,,1.0,,,,,,,96.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,29.0,,3.0,33.0,2.0,,,,,,,,,20.0,,,,5.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-dev,443,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq_tsa-ud-test,60,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-train,7170,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-test,1039,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-dev,737,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,111,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,38.0,,,,,,,33.0,11.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
pt_gsd-ud-dev,1204,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_gsd-ud-test,1200,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_gsd-ud-train,9616,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,
ro_tuecl-ud-test,210,0,103,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,11.0,,,,,,,,1.0,,,13.0,,,,,,,,,,46.0,,,,21.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
lt_alksnis-ud-test,684,0,221,,4.0,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,1.0,,,,,,,,,8.0,,,,,2.0,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,7.0,,,,,,,,,,,1.0,,,,2.0,,,,26.0,,146.0,,,,,,,,,,,,,,,,,6.0,,,,1.0,,,,
lt_alksnis-ud-dev,617,0,407,,12.0,,,,,,,,,,,,,,,,,52.0,,1.0,,,,,,,,,,,,,,,,,56.0,,,,,,9.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,10.0,,,,,,,,,,,3.0,,,,4.0,,,,5.0,,238.0,,,,,,,,,,,,,,,,,7.0,,,,,,1.0,,
lt_alksnis-ud-train,2341,0,970,,50.0,,,,,1.0,,,,,,,,,,,,81.0,,8.0,,,,,,,,2.0,,,,,,,,,85.0,,,,,2.0,21.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,19.0,,,,,,,,,,,12.0,,,1.0,3.0,,,,25.0,,625.0,,,,,,,,,,,,,,,,,22.0,,,,3.0,,3.0,,
cu_proiel-ud-train,18327,0,10662,,233.0,,,,,708.0,,,,29.0,,,,,,,32.0,518.0,,168.0,,,,,,,,14.0,,,,,,,,,493.0,,137.0,3.0,,2.0,972.0,,,,,27.0,,,,,,,17.0,10.0,,,,17.0,,,,,,,,730.0,,,,,,,,,,,635.0,,1.0,63.0,40.0,,,8.0,1740.0,3.0,3795.0,,,,,,,,,,,,,,,144.0,,2.0,,,,89.0,2.0,30.0,,
cu_proiel-ud-test,2096,0,1332,,23.0,,,,,105.0,,,,6.0,,,,,,,8.0,53.0,,17.0,,,,,,,,9.0,,,,,,,,,61.0,,30.0,,,,97.0,,,,,5.0,,,,,,,2.0,7.0,,,,2.0,,,,,,,,87.0,,,,,,,,,,,102.0,,,10.0,4.0,,,1.0,217.0,,460.0,,,,,,,,,,,,,,,16.0,,1.0,,,,7.0,,2.0,,
cu_proiel-ud-dev,2205,0,1330,,23.0,,,,,103.0,,,,2.0,,,,,,,5.0,67.0,,23.0,,,,,,,,2.0,,,,,,,,,44.0,,13.0,,,,102.0,,,,,,,,,,,,,4.0,,,,2.0,,,,,,,,95.0,,,,,,,,,,,104.0,,,5.0,6.0,,,,211.0,1.0,497.0,,,,,,,,,,,,,,,14.0,,,,,,3.0,,4.0,,
hy_bsut-ud-train,1226,0,2655,,3.0,,,,1.0,15.0,,,,,,,,,,,,,,23.0,,,,,1.0,1.0,,,,,5.0,20.0,,,4.0,,199.0,,,1.0,,44.0,,,,,,3.0,,,,,,,,9.0,15.0,,,71.0,,,,56.0,,,,12.0,,,,,,,71.0,,1337.0,,9.0,,,2.0,,,,212.0,479.0,10.0,,,,,,,,,,,,,,,,10.0,,15.0,,,,16.0,,11.0,,
hy_bsut-ud-test,595,0,1394,,1.0,,,,1.0,10.0,,,,,,,,,,,,2.0,,9.0,,,,,,,,,,,4.0,14.0,,,2.0,,132.0,,,,,28.0,,,,,,1.0,,,,,,,,4.0,1.0,,,19.0,,,,25.0,,,,14.0,,,,,,,37.0,,692.0,,4.0,,,2.0,,,,114.0,225.0,2.0,,,,,,,,,,,,,,,,1.0,,7.0,,,,37.0,,6.0,,
hy_bsut-ud-dev,479,0,1552,,,,,,1.0,8.0,,,,,,,,,,,,1.0,,9.0,,,,,,,,,,,1.0,15.0,,,1.0,,164.0,,,,,43.0,,,,1.0,1.0,,,,,,,,,4.0,,,,24.0,1.0,,,47.0,,,,5.0,,,,,,,61.0,,780.0,,14.0,,,,,,,91.0,251.0,9.0,,,,,,,,,,,,,,,,3.0,,5.0,,,,9.0,,3.0,,
mdf_jr-ud-test,454,0,76,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,38.0,9.0,,,,,,,,,8.0,,,,,,,,,,,,,3.0,,4.0,,
mdf_jr-ud-train,20,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,544,,1.0,,,,,,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,7.0,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,1.0,,,,,,,413.0,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,544,,,,,,,1.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,7.0,,,,,,92.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,1.0,,423.0,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,4693,,12.0,,,,2.0,2.0,,,,,,,,,,,,13.0,,343.0,,,,,,,,,,,,,,,,,311.0,,,,,,1075.0,,,,,2.0,1.0,1.0,,,,,,11.0,41.0,,,,,,,,,,,54.0,,,,,,,,,,,8.0,,,,,,,,5.0,,2810.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,
es_pud-ud-test,1000,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,123,,,,,,,,,,,,,,,,,,,34.0,,1.0,,,,,,,,,,,,,,,,,8.0,,,,,,2.0,,,,,,,,,,,,2.0,,1.0,,,,,,,12.0,,,,23.0,,,,,,,,,,,,,,,,,,9.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,5,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,177,,1.0,,,,,,,,,,,,,,,,,33.0,,3.0,,,,,15.0,,,,,,,,,,,,12.0,,,,,,3.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,1.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,984,,5.0,,,,,,,,,,,,,,,,,194.0,,13.0,,,,,52.0,,,,,,,,,,,,52.0,,,,,,38.0,,,,1.0,,,,,,,,,1.0,25.0,,,,,,,1.0,,,1.0,115.0,,,,,,,,,,,1.0,,,,3.0,,,6.0,475.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
sr_set-ud-dev,536,0,135,,,,,,,,,,,,,,,,,,,21.0,,,,,,,4.0,,,,,,,,,,,,11.0,,,,,,4.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,148,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,105.0,15.0,,,,,,,,,5.0,,,,,,,1.0,,,,,,5.0,,,,
myv_jr-ud-train,1217,0,148,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,110.0,18.0,,,,,,,,,5.0,,,,,,,6.0,,,,,,3.0,,,,
tr_framenet-ud-test,205,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,8.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,780,,,,,,,19.0,,,,,,,,,,,,1.0,,,,,,,,,,31.0,,,275.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,22.0,,,,,,,,,,,3.0,,,,,,,69.0,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,69,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,21.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,28,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,296,,9.0,,,,,14.0,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,13.0,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,84.0,,,,,,,,,6.0,,7.0,,,,1.0,,,7.0,140.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
la_proiel-ud-test,1260,0,467,,5.0,,,,,10.0,,,,2.0,,,,,,,6.0,17.0,,7.0,,,,,,,,,,,,,,,,,22.0,,,1.0,,,27.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,3.0,,,,37.0,5.0,310.0,,,,,,,,,,,,,,,7.0,,,,,,2.0,,,,
la_proiel-ud-dev,1233,0,457,,5.0,,,,,8.0,,,,,,,,,,,1.0,18.0,,7.0,,,,,,,,2.0,,,,,,,,,15.0,,,,,,21.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,1.0,,,,,,,,43.0,7.0,314.0,,,,,,,,,,,,,,,3.0,,,,,,2.0,,1.0,,
la_proiel-ud-train,16196,0,5756,,51.0,,,,,105.0,,,,18.0,,,,,,,17.0,169.0,,59.0,,,,,,,,11.0,,,,,,,,,253.0,,,,,,312.0,,,,,6.0,,,,,,,,3.0,,,,25.0,,,,,,,,28.0,,,,,,,,,,,5.0,,,1.0,10.0,,,2.0,492.0,78.0,3920.0,,,,,,,,,,,,,,,131.0,,5.0,,,,38.0,,17.0,,
kpv_ikdp-ud-test,214,0,12,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,47.0,4.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
kpv_lattice-ud-train,20,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,9.0,,,,,,,,,,,1.0,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,783,,3.0,,,,,51.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,1.0,,,19.0,,,,1.0,,9.0,,4.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,22.0,,,,,1.0,,,,,,3.0,,,,2.0,,,,605.0,12.0,,,,,,,,,,,,,,,30.0,1.0,,,,,,9.0,,4.0,,
grc_proiel-ud-test,1047,0,1124,,12.0,,,,,26.0,,,,3.0,,,,,,,32.0,38.0,,12.0,,,,,,,,,,,,,,,,,51.0,,2.0,,,,310.0,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,3.0,,,,3.0,,,1.0,237.0,6.0,317.0,,,,,,,,,,,,,,,9.0,,,,,,5.0,,11.0,,
grc_proiel-ud-train,15016,0,15545,,128.0,,,,,372.0,,,,36.0,,,,,,,181.0,492.0,,213.0,,,,,,,,22.0,,,,,,,,,644.0,,32.0,,3.0,3.0,4053.0,,,,,18.0,,,,,,,,9.0,,,,55.0,,,,,,,,479.0,,,,,,,,,,,26.0,,,6.0,51.0,,,25.0,3910.0,77.0,4263.0,,,,,,,,,,,,,,,243.0,,5.0,,,,101.0,1.0,97.0,,
grc_proiel-ud-dev,1019,0,1079,,10.0,,,,,20.0,,,,4.0,,,,,,,4.0,30.0,,17.0,,,,,,,,1.0,,,,,,,,,39.0,,2.0,,,,302.0,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,50.0,,,,,,,,,,,3.0,,,,4.0,,,2.0,240.0,9.0,314.0,,,,,,,,,,,,,,,14.0,,,,,,6.0,,4.0,,
nds_lsdc-ud-train,500,0,344,,,,,,,1.0,,,,,,,,,,,,26.0,,4.0,,,,,,,,,,,,,,,,,8.0,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,17.0,,,,17.0,,,,,,,,,1.0,,2.0,,,,1.0,,,12.0,113.0,,5.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,
nds_lsdc-ud-test,500,0,183,,,,,,,,,,,,,,,,,,1.0,13.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,63.0,,,1.0,,,,,,,,,,,1.0,,,,,,,8.0,,,,4.0,,,,,,,,,3.0,,2.0,,,,2.0,,,10.0,68.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
fo_oft-ud-test,1208,0,1055,,,,,,,3.0,,,,,,,,,,,,98.0,,2.0,,,,,,,,1.0,,,7.0,,,,,,45.0,,,,,4.0,20.0,,,,,,,,,,,,,,9.0,,,,,,,1.0,,,,246.0,,,,,,,,,19.0,,4.0,,,,28.0,,,19.0,393.0,,,,,,,,,,,,,,,,,1.0,,,,,,154.0,,1.0,,
ru_taiga-ud-train,16045,0,3859,,25.0,,,,3.0,,,,,,,,,,,,2.0,265.0,,39.0,,,,,,,,4.0,,,,,,,,,126.0,,,,,,199.0,,,,,,,,,,,,,67.0,,,,20.0,,,,1706.0,,1.0,,313.0,,,,,,,,,,,3.0,,,1.0,8.0,,,14.0,875.0,,,,,,,,,,,,,,,,,31.0,,112.0,,,,42.0,,3.0,,
ru_taiga-ud-dev,946,0,188,,2.0,,,,,,,,,,,,,,,,,10.0,,2.0,,,,,,,,,,,,,,,,,7.0,,,,,,10.0,,,,,,,,,,,,,2.0,,,,,,,,77.0,,,,19.0,,,,,,,,,,,,,,,2.0,,,4.0,41.0,,,,,,,,,,,,,,,,,4.0,,8.0,,,,,,,,
ru_taiga-ud-test,881,0,208,,,,,,,,,,,,,,,,,,,10.0,,2.0,,,,,,,,,,,,,,,,,7.0,,,,,,16.0,,,,,,,,,,,,,2.0,,,,,,,,87.0,,,,21.0,,,,,,,,,,,,,,,,,,3.0,44.0,,,,,,,,,,,,,,,,,8.0,,7.0,,,,1.0,,,,
tpn_tudet-ud-test,581,0,30,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
ga_idt-ud-train,4005,0,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,3.0,91.0,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,8.0,,,,,,,1.0,,,2.0,
ga_idt-ud-test,454,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
ga_idt-ud-dev,451,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,
ro_art-ud-test,50,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,7.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceb_gja-ud-test,188,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,277,,,,,,,,,,,,,,,,,,,54.0,,,,,,,87.0,,,,,,,,,,,,21.0,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,48.0,,37.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
cs_cltt-ud-train,467,0,351,,,,,,,,,,,,,,,,,,,59.0,,,,,,,114.0,,,,,,,,,,,,29.0,,,,,,9.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,56.0,,,,,,,,,,,,,,1.0,,,,,53.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,506,,,,,,2.0,1.0,,,,,,,,,,,,92.0,,1.0,,,,,172.0,,,,,,,,,,,,30.0,,,,,6.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,41.0,,,,,,,,,,,1.0,,,,1.0,,,,89.0,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,
tl_trg-ud-test,128,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,5007,,40.0,,,,1.0,27.0,,,,,,,,,,,,2.0,,55.0,,,,,,1.0,,4.0,,,12.0,39.0,,,13.0,1.0,416.0,,,,,13.0,,,,,1.0,3.0,,,,,,,,9.0,117.0,,,,,,,124.0,5.0,,,33.0,,,,,,,148.0,,2376.0,,,,,2.0,,,,516.0,941.0,24.0,,,,,,,,,,,,,,,,7.0,,31.0,,,,33.0,,13.0,,
hy_armtdp-ud-dev,249,0,788,,2.0,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,2.0,,,,,47.0,,,,,1.0,,,,,,,,,,,,,,1.0,7.0,,,,,,,10.0,2.0,,,9.0,,,,,,,17.0,,442.0,,,,,,,,,72.0,152.0,1.0,,,,,,,,,,,,,,,,1.0,,6.0,,,,8.0,,2.0,,
