Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:ccomp,advmod,amod,appos,aux,case,cc,ccomp,ccomp:cleft,ccomp:pred,compound,compound:lvc,conj,cop,csubj,dep,det,det:poss,discourse,dislocated,fixed,flat,flat:name,flat:sibl,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:obl,nmod:poss,nmod:pred,nsubj,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:float,obl:grad,obl:inst,obl:instr,obl:manner,obl:path,obl:soc,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,xcomp,xcomp:pred
orv_torot-ud-train,20480,0,839,,12.0,,19.0,,,,3.0,,,,2.0,,,,,28.0,,,,19.0,,,,16.0,,,,,,,10.0,,,,,,,,1.0,585.0,29.0,37.0,,,,,,,,,,,37.0,2.0,,,,30.0,9.0,
cs_cac-ud-dev,603,0,7,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,551,,,12.0,2.0,,,,,,,,,,,,,15.0,,,5.0,,,,,,,,,,,,75.0,,,,,,1.0,,,297.0,,133.0,,,,,,,,,,,,,,,,7.0,4.0,
cs_cac-ud-test,628,0,14,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,633,,,,143.0,,,41.0,,1.0,29.0,,,,,7.0,,37.0,2.0,,1.0,6.0,,,,,1.0,,,,,,20.0,,,,,,,,,341.0,,,,,,,,,,,,,1.0,1.0,,,,2.0,,
eu_bdt-ud-test,1799,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,42,,,,17.0,,,3.0,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,,9.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,
fi_ftb-ud-train,14981,0,2,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-test,1867,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
am_att-ud-test,1074,0,6,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-test,1727,0,30,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,3.0,,
pl_lfg-ud-train,13774,0,249,,,,,,,,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,17.0,,,,,,,,1.0,214.0,,,,,,,,,,,,,,,,,,11.0,1.0,
pl_lfg-ud-dev,1745,0,34,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,1.0,1.0,
tr_tourism-ud-train,15473,0,304,,,,9.0,,,5.0,,,2.0,,2.0,,,4.0,,1.0,,,1.0,,,2.0,,1.0,,,,,,,54.0,,,,,,96.0,,15.0,108.0,,,,,,,,,,,,,,1.0,,,,2.0,1.0,
tr_tourism-ud-dev,2166,0,51,,,,5.0,,,1.0,1.0,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,21.0,,2.0,14.0,,,,,,,,,,,,,,,,,,1.0,,
tr_tourism-ud-test,2191,0,34,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,14.0,,,16.0,,,,,,,,,,,,,,,,,,,,
ab_abnc-ud-test,263,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,15.0,,2.0,,,,,,,,,,,1.0,,,,,,,
ru_gsd-ud-test,601,0,16,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,1.0,7.0,1.0,,,,,,,,,,,,,1.0,,,,,,
ru_gsd-ud-dev,579,0,20,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,,,2.0,,,,,,,,1.0,7.0,2.0,,,,,,,,,,,,,,,,,,,
ru_gsd-ud-train,3850,0,151,,,,,,15.0,,,,,,1.0,,,,,,,,,2.0,,,,,,,,29.0,,,19.0,,,,,,,,7.0,59.0,18.0,,,,,,,,,,,,,,,,,1.0,,
tr_imst-ud-train,3435,0,35,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,1.0,,1.0,,7.0,21.0,,,,,,,,,,,,,,,,,,1.0,,
tr_imst-ud-dev,1100,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-test,1100,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-test,979,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-train,7803,0,56,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,13.0,39.0,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-dev,622,0,47,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,,15.0,,,,,,,,1.0,25.0,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,38,,,,4.0,,,2.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,17.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-train,14850,0,859,,,,11.0,,,9.0,4.0,,15.0,,4.0,,,7.0,,27.0,,,,,,5.0,,3.0,,,,,5.0,,220.0,,,,,,1.0,,56.0,481.0,,,,,,,,,,,,,,,,,,7.0,4.0,
