Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,amod,appos,case,ccomp,ccomp:cleft,ccomp:obj,compound,compound:lvc,compound:redup,conj,csubj,csubj:pass,dep,discourse,dislocated,fixed,flat,flat:abs,flat:foreign,flat:name,flat:sibl,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:gobj,nmod:npmod,nmod:obl,nmod:poss,nmod:pred,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:inst,obl:instr,obl:lmod,obl:lvc,obl:manner,obl:path,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:rel,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:pred
orv_birchbark-ud-test,1007,0,88,,,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,,,,,,,,,,,,23.0,,,25.0,,,,,,,,,1.0,,,,,20.0,,,,,,,,,,,,,,,,4.0,,,,,,,7.0,,2.0,,
ru_poetry-ud-test,728,0,272,,,,,2.0,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,93.0,,,29.0,,,,,,,,,,,,,2.0,87.0,12.0,,,,,,,,,,,,,,8.0,2.0,,,,,,,5.0,,8.0,,
ru_poetry-ud-dev,789,0,231,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,28.0,1.0,,,,,,,,,,,84.0,,,14.0,,,,,,,,,,,,,2.0,69.0,9.0,,,,,,,,,,,,,,7.0,3.0,1.0,,,,,,5.0,,6.0,,
ru_poetry-ud-train,3569,0,1227,,2.0,,,1.0,,,,,,,,,,,,,11.0,,1.0,,,,,,103.0,2.0,,,,,,,,,,,430.0,,,76.0,,,,,,,,,,,,,4.0,383.0,92.0,,,,,,,,,,,,,,39.0,9.0,6.0,,,,,,42.0,1.0,25.0,,
myu_tudet-ud-test,158,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbp_ufal-ud-test,55,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,262,,3.0,,,2.0,5.0,,,,,,,,,,,,1.0,4.0,2.0,,,,,,28.0,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,137.0,,32.0,,,,,,,,,,,,,,1.0,,,,,,,11.0,,2.0,,
cs_fictree-ud-train,10160,0,2100,,2.0,,,10.0,18.0,,,,,,,,,,,,14.0,22.0,16.0,,,,,,171.0,5.0,,14.0,,,1.0,,,,,,,,,268.0,,,,,,,,,,,,,,1048.0,,408.0,,,,,,,,,,,,,,8.0,2.0,,,,,,79.0,,14.0,,
cs_fictree-ud-test,1291,0,252,,2.0,,,,,,,,,,,,,,,,1.0,3.0,3.0,,,,,,21.0,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,117.0,,52.0,,,,,,,,,,,,,,1.0,,,,,,,11.0,,2.0,,
hyw_armtdp-ud-test,680,0,188,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,3.0,,1.0,24.0,,,,,,,,,,,,,,,7.0,,,,,2.0,,,,,,,,,137.0,,,,,,,,,,,,,,,,1.0,6.0,,,,,1.0,2.0,,,,
hyw_armtdp-ud-dev,694,0,174,,2.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,14.0,,,1.0,,1.0,,,,,,,,,,13.0,,,,,2.0,,,,,,,,,129.0,,,,,,,,,,,,,,,,,4.0,,,,,,5.0,,,,
hyw_armtdp-ud-train,5282,0,1351,,1.0,,,,1.0,,,,,,,,,,,,5.0,,,,,3.0,2.0,1.0,161.0,,,3.0,,3.0,,,,,,,,,,108.0,,,,,39.0,,,,,,,,,951.0,3.0,,,,,,,,,,,,,,,4.0,37.0,,,,,,28.0,1.0,,,
sl_sst-ud-train,4558,0,365,,,,,,,,,,,,,,,,,,13.0,,,,,,,,40.0,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,213.0,,,,,,,,,,,,,,,,5.0,7.0,,,,,2.0,11.0,,,,
sl_sst-ud-test,1041,0,67,,,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,3.0,1.0,,,,,,3.0,,,,
sl_sst-ud-dev,505,0,111,,,,,,1.0,,,,,,,,,,,,5.0,,1.0,,,,,,17.0,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,
ka_glc-ud-test,151,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,72,,,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,,,,,,,,,,,,10.0,,,,,,,1.0,,,,,,,52.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
kk_ktb-ud-train,31,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,3580,5.0,21.0,,,53.0,30.0,,,,,,,,,,,,26.0,79.0,54.0,,,,,,362.0,6.0,1.0,41.0,,,14.0,,,,,,,,,675.0,,,,,,,,,,,,,,1152.0,,645.0,,,,,,,,,,,,,,12.0,5.0,,,,,,360.0,,39.0,,
cs_pdt-ud-dev,9270,0,3111,4.0,20.0,,,48.0,15.0,,,,,,,,,,,,26.0,57.0,39.0,,,,,,348.0,7.0,1.0,41.0,,,5.0,2.0,,,,,,,,594.0,,,,,,,,,,,,,,931.0,,573.0,,,,,,,,,,,,,,12.0,4.0,,,,,,341.0,,43.0,,
cs_pdt-ud-train,68491,0,22861,42.0,123.0,,,348.0,145.0,,,,,,,,,,,,215.0,445.0,293.0,,,,,,2311.0,46.0,9.0,246.0,,,105.0,3.0,,1.0,,,,,,4427.0,,,,,,,,,4.0,1.0,,,,7065.0,,4282.0,,,,,,,,,,,,,,114.0,29.0,,,,,,2330.0,,277.0,,
ta_mwtt-ud-test,534,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-train,400,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,449,,2.0,,,1.0,2.0,,,,,,,,,,,,3.0,,2.0,,,,,,36.0,,,,,,6.0,,,,,,50.0,,,76.0,,,,,,,,,,,,,21.0,131.0,10.0,,,,,,,,,,,,,,,2.0,6.0,,,,,,16.0,,85.0,,
qtd_sagt-ud-test,805,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
qtd_sagt-ud-dev,801,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,24.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,
qtd_sagt-ud-train,578,0,20,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
krl_kkpp-ud-test,228,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,378,,,,,5.0,2.0,,,,,,,,,,,,1.0,,,,6.0,,,,36.0,,,,,,6.0,,,,,,69.0,,,32.0,,22.0,1.0,,,,,2.0,,,,,,55.0,,67.0,1.0,,,,,,,,,,,,,,,,3.0,2.0,,,47.0,,2.0,,19.0
orv_torot-ud-test,2955,0,516,,2.0,,,,1.0,,,,,,,,,,,,9.0,,,,,,,,85.0,,,,,2.0,,,,,,,,,,36.0,,,,,,,,,1.0,,,,2.0,298.0,16.0,39.0,,,,,,,,,,,,,,9.0,,,,,,,5.0,,11.0,,
orv_torot-ud-dev,3061,0,607,,,,,,3.0,,,1.0,,,,,,,,,9.0,,,,,,,,99.0,,,,,1.0,,,,,,,,,,36.0,,,,,,,,,,,,,,389.0,15.0,28.0,,,,,,,,,,,,,,13.0,,,,,,,6.0,,7.0,,
orv_torot-ud-train,20480,0,3819,,13.0,,,,14.0,,,12.0,,,,,,,,,84.0,,2.0,,,,,,598.0,,,,,3.0,,,,,,,,,,316.0,,,,,,,,,3.0,,,,,2268.0,130.0,227.0,,,,,,,,,,,,,,67.0,3.0,,,,,,31.0,1.0,47.0,,
cs_cac-ud-dev,603,0,289,,2.0,,,4.0,,,,,,,,,,,,,2.0,8.0,1.0,,,,,,62.0,,,1.0,,,3.0,,,,,,,,,59.0,,,,,,,,,,,,,,105.0,,28.0,,,,,,,,,,,,,,,,,,,,,13.0,,1.0,,
cs_cac-ud-train,23478,0,11616,,55.0,,,156.0,66.0,,,,,,,,,,,,127.0,170.0,77.0,,,,,,1731.0,21.0,5.0,60.0,,,93.0,4.0,,1.0,,,,,,2154.0,,,,,,,,,1.0,,,,,3631.0,,1983.0,,,,,,,,,,,,,,95.0,14.0,,,,,,1030.0,,142.0,,
cs_cac-ud-test,628,0,320,,1.0,,,6.0,3.0,,,,,,,,,,,,4.0,5.0,2.0,,,,,,41.0,,1.0,3.0,,,2.0,,,,,,,,,41.0,,,,,,,,,,,,,,121.0,,56.0,,,,,,,,,,,,,,4.0,,,,,,,24.0,,6.0,,
eu_bdt-ud-train,5396,0,356,,,,,,4.0,,,,,,,,,,,,,,,,,7.0,,,25.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,303.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
eu_bdt-ud-test,1799,0,105,,,,,,,,,,,,,,,,,,,,,,,3.0,,,5.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,137,,,,,,,,,,,,,,,,,,,,,,,3.0,,,9.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,1.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
fi_ftb-ud-train,14981,0,119,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,6.0,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,
fi_ftb-ud-test,1867,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
pl_lfg-ud-test,1727,0,190,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,1.0,142.0,,,,,,,,,,,,,,,,,,,,,,,17.0,,6.0,,
pl_lfg-ud-train,13774,0,1765,,,,,2.0,7.0,,,,,,,,,,,,8.0,,7.0,,2.0,,,,60.0,2.0,,,,,,1.0,,,,,,,,183.0,,,,,,,,,,,,,7.0,1222.0,,,,,,,,,,,,,,,,,,,,,,,181.0,,83.0,,
pl_lfg-ud-dev,1745,0,219,,,,,,1.0,,,,,,,,,,,,,,4.0,,1.0,,,,12.0,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,1.0,153.0,,,,,,,,,,,,,,,,,,,,,,,16.0,,9.0,,
tr_tourism-ud-train,15473,0,303,,,,,,9.0,,,,,,,,,,,5.0,,2.0,2.0,,,4.0,,,1.0,,,1.0,2.0,,1.0,,,,,,,,,54.0,,,,,,,,,96.0,,,,15.0,107.0,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,1.0,,
tr_tourism-ud-dev,2166,0,51,,,,,,5.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,21.0,,,,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
tr_tourism-ud-test,2191,0,34,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,14.0,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab_abnc-ud-test,263,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,170,,,,,,1.0,,,,,,,,,,,,,,,,,,,,23.0,,,1.0,,,,,,1.0,,,,,,15.0,,,,,,,,,,,,1.0,,106.0,6.0,9.0,,,,,,,,,,,,,,3.0,1.0,,,,,,3.0,,,,
ru_gsd-ud-test,601,0,234,,,,,2.0,,,,,,,,,,,,,3.0,,1.0,,,,,,22.0,,,,,,6.0,,,,,,22.0,,,42.0,,,,,,,,,,,,,12.0,56.0,8.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,5.0,,52.0,,
ru_gsd-ud-dev,579,0,248,,,,,2.0,1.0,,,,,,,,,,,,3.0,,2.0,,,,,,33.0,,,,,,,,,,,,24.0,,,49.0,,,,,,,,,,,,,31.0,39.0,28.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,3.0,,31.0,,
ru_gsd-ud-train,3850,0,1642,,14.0,,,9.0,3.0,,,,,,,,,,,,26.0,,2.0,,,,,,190.0,,,,,,3.0,,,,,,131.0,,,393.0,,,,,,,,,,,1.0,,179.0,302.0,147.0,,,,,,,,,,,,,,,6.0,7.0,,,,,,46.0,,183.0,,
tr_imst-ud-train,3435,0,324,,1.0,,,,1.0,,,,,,,,,,,8.0,1.0,,,,,4.0,,,38.0,,,,1.0,,,1.0,,,,,,,,61.0,,,,,,,1.0,,7.0,,,,15.0,182.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
tr_imst-ud-dev,1100,0,113,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,1.0,5.0,,,,,,,,,,,,,,,27.0,,,,,,,1.0,,,,,,7.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-test,1100,0,90,,,,,,,,,,,,,,,,,,,,,,,1.0,,,9.0,,,,,,,1.0,,,,,,,,14.0,,,,,,,7.0,,4.0,,,,2.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,137,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,14.0,,,,1.0,,,,,,,,,,,6.0,,,,,,,2.0,,2.0,,,,8.0,99.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,
tr_boun-ud-test,979,0,113,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,1.0,,,,,,,,4.0,,,,,,,2.0,,1.0,,,,10.0,79.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
tr_boun-ud-train,7803,0,978,,,,,,1.0,,,,,,,,,,,5.0,1.0,2.0,1.0,,,2.0,,3.0,71.0,,,,1.0,,,2.0,,,,,4.0,,,45.0,,,,,,,15.0,,10.0,,,,80.0,724.0,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
tr_penn-ud-dev,622,0,46,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,38,,,,,,4.0,,,,,,,,,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-train,14850,0,853,,,,,,11.0,,,,,,,,,,,8.0,4.0,15.0,4.0,,,7.0,,,25.0,,,,5.0,,3.0,,,,,,,5.0,,219.0,,,,,,,,,1.0,,,,56.0,479.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,4.0,,
