Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:pred,advcl:relcl,advcl:svc,advcl:tcl,advmod,amod,amod:flat,appos,aux,aux:caus,aux:pass,aux:q,case,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:relcl,ccomp:reported,clf,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,conj:svc,cop,cop:emph,cop:outer,cop:own,csubj,csubj:caus,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,dep:comp,dep:conj,det,discourse,discourse:q,dislocated,dislocated:csubj,dislocated:mod,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:arg,nmod:poss,nsubj,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmp,obl:cmpr,obl:depict,obl:lmod,obl:tmod,orphan,parataxis,parataxis:conj,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:rel,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:obj,xcomp:pred,xcomp:relcl,xcomp:subj
ar_padt-ud-test,680,0,1152,,108.0,88.0,99.0,,,,,,,,,,,,2.0,4.0,,,,,,121.0,,,,,,,,,,173.0,,,32.0,,,,10.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.0,,,,,,,,,,109.0,,31.0,,,,,
lt_alksnis-ud-test,684,0,486,,49.0,14.0,63.0,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,108.0,,,33.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,165.0,,,,,,,
lt_alksnis-ud-dev,617,0,360,,49.0,11.0,35.0,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,60.0,,,27.0,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,138.0,,,,,,,
lt_alksnis-ud-train,2341,0,1014,,183.0,38.0,130.0,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,134.0,,,110.0,,,,56.0,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,28.0,,,,,,,,,,285.0,,2.0,,,,,
zh_beginner-ud-test,2295,0,5,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,8871,,335.0,,401.0,,,,,,,,,,,,,107.0,,2.0,,,,192.0,,,,,,,,,,1220.0,,,380.0,,,,,,,,,2.0,,,2.0,,,,,,48.0,,,,,,7.0,,,,,,,,,,,1.0,,,25.0,,4.0,,59.0,,,,,,,,,16.0,112.0,,,,,,,,,,5957.0,,1.0,,,,,
cu_proiel-ud-test,2096,0,1078,,36.0,,40.0,,,,,,,,,,,,,8.0,,1.0,,,,15.0,,,,,,,,,,168.0,,,47.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,5.0,,,,,,,,,3.0,4.0,,,,,,,,,,744.0,,,,,,,
cu_proiel-ud-dev,2205,0,1424,,53.0,,58.0,,,,,,,,,,,,,8.0,,,,,,32.0,,,,,,,,,,186.0,,,37.0,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,10.0,,,,,,,,,2.0,6.0,,,,,,,,,,1025.0,,1.0,,,,,
it_old-ud-train,1748,0,2930,,256.0,334.0,359.0,,,36.0,,44.0,18.0,,,,6.0,,,68.0,,73.0,,,,47.0,,,4.0,58.0,,,,,,315.0,,,177.0,,,,11.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,20.0,,,,10.0,5.0,,5.0,,,,11.0,,2.0,262.0,,,,,,,,,,719.0,4.0,82.0,,,,,
it_old-ud-dev,316,0,648,,43.0,84.0,104.0,,,19.0,,5.0,5.0,,,,,,,14.0,,8.0,,,,4.0,,,,8.0,,,,,,57.0,,,40.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,,5.0,3.0,,3.0,,,,,,1.0,59.0,,,,,,,,,,144.0,,29.0,,,,,
it_old-ud-test,338,0,661,,55.0,67.0,87.0,,,11.0,,9.0,3.0,,,,,,,17.0,,18.0,,,,11.0,,,,10.0,,,,,,68.0,,,33.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,2.0,,,,3.0,3.0,,,,,,2.0,,1.0,60.0,,,,,,,,,,162.0,,32.0,,,,,
hy_bsut-ud-train,1226,0,892,,174.0,33.0,33.0,,,,,,4.0,,,,,,2.0,4.0,,,,,,22.0,,,,,,,,,,181.0,,,,,,,6.0,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,20.0,,,,,,,,,,390.0,,15.0,,,,,
hy_bsut-ud-test,595,0,409,,69.0,11.0,29.0,,,,,,6.0,,,,,,,,,,,,,13.0,,,,,,,,,4.0,90.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,17.0,,,,,,,,,,159.0,,7.0,,,,,
hy_bsut-ud-dev,479,0,373,,118.0,20.0,17.0,,,,,,3.0,,,,,,4.0,4.0,,,,,,18.0,,,,,,,,,1.0,62.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,104.0,,9.0,,,,,
mdf_jr-ud-test,454,0,7,,3.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
la_llct-ud-dev,850,0,1669,,315.0,161.0,200.0,2.0,,20.0,,2.0,7.0,,,,,,,15.0,,59.0,,,,16.0,,,2.0,,,,,,,239.0,,,94.0,,,,,,,,,1.0,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,501.0,,22.0,,,,,
la_llct-ud-test,884,0,1643,,357.0,143.0,197.0,2.0,,11.0,,,2.0,,,,,,,12.0,,88.0,,,,7.0,,,3.0,,,,,,,200.0,,,39.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,551.0,,9.0,,,,,
la_llct-ud-train,7289,0,13289,,2588.0,1310.0,1509.0,66.0,,224.0,,4.0,44.0,,,,,,,63.0,,457.0,,,,110.0,,,56.0,,,,,,,1888.0,,,436.0,,,,73.0,,,,,16.0,12.0,,,,,,,,1.0,1.0,,2.0,,,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,4121.0,,110.0,,,,,
ar_pud-ud-test,1000,0,1041,,6.0,110.0,98.0,,,,,,,,,,,,,85.0,,,,,,24.0,,,,,,1.0,,,,98.0,,,66.0,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,10.0,,,,,,,,,,509.0,,24.0,,,,,
quc_iu-ud-test,1435,0,530,,23.0,,13.0,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,7.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,420.0,,4.0,,,,,
tr_framenet-ud-test,205,0,196,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,162.0,,,,,,,
tr_framenet-ud-train,2288,0,2094,,2.0,,33.0,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,10.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,237.0,,,,,,,,,,1760.0,,,,,,,
tr_framenet-ud-dev,205,0,196,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,21.0,,,,,,,,,,165.0,,,,,,,
bho_bhtb-ud-test,357,0,341,,44.0,,5.0,,,,,,,,,1.0,1.0,,,62.0,,2.0,,,,9.0,,,,,,23.0,,,,7.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,41.0,,,7.0,,,1.0,7.0,17.0,,,,,,,,,,,,,,,,,,,105.0,,7.0,,,,,
it_pud-ud-test,1000,0,405,,,26.0,15.0,,,,,,,,,,,,,1.0,,80.0,,,,5.0,,,,,,,,,,43.0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,202.0,,,,,,,
bm_crb-ud-test,1026,0,934,,15.0,,63.0,,,,,,,,,,5.0,,,450.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,31.0,,,,,270.0,,4.0,,,,,
ky_ktmu-ud-train,80,0,78,,5.0,,2.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,
ky_ktmu-ud-test,701,0,550,,20.0,,8.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,2.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,8.0,,,4.0,,,,3.0,,,,,,,,,,2.0,,,,,,,,,,477.0,,,,,,,
la_proiel-ud-test,1260,0,865,,108.0,,174.0,,,1.0,,,,,,,,,,1.0,,2.0,,,,32.0,,,,,,,,,,145.0,,,24.0,,,,,,,,,1.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,7.0,,3.0,,9.0,1.0,,,,,,,,1.0,5.0,,,,,,,,,,336.0,,10.0,,,,,
la_proiel-ud-dev,1233,0,905,,98.0,,163.0,,,3.0,,,,,,,,,,3.0,,2.0,,,,52.0,,,,,,,,,,137.0,,,14.0,,,,2.0,,,,,1.0,,,,,,,,,9.0,,,,,,2.0,,,,,,,,,,,1.0,,,12.0,,4.0,,10.0,2.0,,,,,,,,4.0,3.0,,,,,,,,,,374.0,,9.0,,,,,
la_proiel-ud-train,16196,0,11692,,1289.0,,2403.0,,,17.0,,,,,,,1.0,,,24.0,,41.0,,,,526.0,,,,,,,,,,1547.0,,,287.0,,,,17.0,,,,,45.0,,,1.0,,,,,,100.0,,,,,,4.0,,,,,,,,,,,7.0,,,132.0,,46.0,,116.0,19.0,,,,,,,,52.0,46.0,,,,,,,,,,4862.0,1.0,109.0,,,,,
tt_nmctt-ud-test,148,0,2,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpu_tudet-ud-test,37,0,13,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,1.0,,2.0,,,,,
tr_gb-ud-test,2880,0,1076,,30.0,,70.0,,,,,,,,,,,,,20.0,,,,,,21.0,,,,,,3.0,,1.0,,28.0,,,48.0,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,824.0,,8.0,,,,,
grc_proiel-ud-test,1047,0,1137,,78.0,,323.0,,,1.0,,,,,,,,,3.0,,,,,,,52.0,,,,,,,,,,193.0,,,,,,,4.0,,,,,2.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,16.0,,,8.0,,3.0,,11.0,6.0,,,,,,,,10.0,10.0,,,,,,,,,,356.0,1.0,53.0,,,,,
grc_proiel-ud-train,15016,0,16563,,973.0,,4798.0,,,29.0,,,,,,,,,41.0,1.0,,,,,,834.0,,,,,,,,,,2222.0,,,,,,,56.0,,,,,49.0,,,,,,,,,121.0,,,,,,,,,,,,,,,,,206.0,,,184.0,2.0,47.0,,196.0,99.0,4.0,51.0,,,,,,83.0,64.0,,,,,,,,,,5688.0,16.0,799.0,,,,,
grc_proiel-ud-dev,1019,0,1357,,71.0,,410.0,,,1.0,,,,,,,,,4.0,,,,,,,77.0,,,,,,,,,,209.0,,,,,,,3.0,,,,,3.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,17.0,,,16.0,,2.0,,22.0,5.0,,4.0,,,,,,8.0,7.0,,,,,,,,,,416.0,1.0,72.0,,,,,
nds_lsdc-ud-test,500,0,49,,9.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,11.0,,1.0,,,,,
zh_gsd-ud-dev,500,0,68,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_gsd-ud-test,500,0,104,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_gsd-ud-train,3997,0,654,,,,,,,,,,,,,,,,,652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
ru_taiga-ud-train,16045,0,8967,,463.0,163.0,535.0,,,,,,,,,,193.0,,8.0,,,,,,,273.0,,,,,,,,,,1815.0,,,,,,,660.0,,,,,1.0,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,1.0,,11.0,,,3.0,,,,6.0,9.0,,,,,,,,2.0,694.0,,,,,,,,,1.0,3104.0,,1020.0,,,,,
ru_taiga-ud-dev,946,0,474,,22.0,2.0,31.0,,,,,,,,,,3.0,,1.0,,,,,,,5.0,,,,,,,,,,96.0,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,177.0,,41.0,,,,,
ru_taiga-ud-test,881,0,479,,25.0,9.0,30.0,,,,,,,,,,16.0,,,,,,,,,9.0,,,,,,,,,,76.0,,,,,,,16.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,1.0,,,,,,,,,57.0,,,,,,,,,,182.0,,49.0,,,,,
ceb_gja-ud-test,188,0,58,,2.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,49.0,,,,,,,
tl_trg-ud-test,128,0,55,,,3.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,6.0,,,,,
hy_armtdp-ud-train,1974,0,1881,,398.0,80.0,109.0,,,,,,,,,,2.0,,4.0,22.0,1.0,,,,,72.0,,,,,,7.0,,,8.0,439.0,,,,,,,24.0,,,,,5.0,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,607.0,,15.0,,,,,
hy_armtdp-ud-dev,249,0,183,,49.0,7.0,8.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,44.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,55.0,,2.0,,,,,
hy_armtdp-ud-test,277,0,215,,41.0,7.0,19.0,,,,,,,,,,,,1.0,2.0,,,,,,4.0,,,,,,,,,4.0,52.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,,,,,,,,,72.0,,1.0,,,,,
mk_mtb-ud-test,155,0,145,,1.0,5.0,6.0,,,,,,,,,,,,,,,3.0,,,,9.0,,,,,,,,,,37.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,13.0,,,,,
ota_boun-ud-train,114,0,97,,10.0,,2.0,,,,,,,,,,,,,3.0,,,,,,5.0,,,,,,4.0,16.0,,,16.0,,,10.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,
ota_boun-ud-test,400,0,335,,42.0,,7.0,,,,,,,,,,,,,15.0,,,,,,18.0,,,,,,11.0,56.0,1.0,,37.0,,,20.0,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,115.0,,1.0,,,,,
ru_syntagrus-ud-train,69630,0,60548,,5413.0,2137.0,4430.0,,,,,,,,,,2108.0,,86.0,,,,,,,1980.0,,,,,,1.0,,,,8802.0,,,,,,,3476.0,,,,,71.0,,,,,,,,,1.0,,,,,,23.0,1.0,15.0,2.0,,,,,4.0,,,114.0,,,83.0,,2.0,,27.0,726.0,,,,,,,,39.0,3843.0,,,,,,,,,,21124.0,,6040.0,,,,,
ru_syntagrus-ud-dev,8906,0,7184,,739.0,229.0,543.0,,,,,,,,,,281.0,,7.0,,,,,,,207.0,,,,,,,,,,1153.0,,,,,,,366.0,,,,,10.0,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,4.0,,,14.0,,1.0,,2.0,88.0,,,,,,,,5.0,361.0,,,,,,,,,,2504.0,,660.0,,,,,
ru_syntagrus-ud-test,8800,0,8086,,686.0,261.0,695.0,,,,,,,,,,283.0,,14.0,,,,,,,259.0,,,,,,,,,,1319.0,,,,,,,457.0,,,,,16.0,,,,,,,,,,,,,,,10.0,,1.0,,,,,,1.0,,,16.0,,,13.0,,2.0,,1.0,90.0,,,,,,,,8.0,550.0,,,,,,,,,,2682.0,,722.0,,,,,
grc_ptnk-ud-train,727,0,1909,,2.0,104.0,269.0,,,,,,,,,,,,4.0,,,,,,,148.0,,,,,,,,,,616.0,,,,,,,7.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,36.0,,,,,,,,1.0,97.0,,,,,,,,,,557.0,,56.0,,,,,
grc_ptnk-ud-dev,439,0,960,,,58.0,90.0,,,,,,,,,,,,1.0,,,,,,,66.0,,,,,,,,,,313.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,32.0,,,,,,,,,30.0,,,,,,,,,,333.0,,30.0,,,,,
grc_ptnk-ud-test,410,0,1191,,,55.0,167.0,,,,,,,,,,,,1.0,,,,,,,93.0,,,,,,,,,,412.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,29.0,,,,,,,,1.0,54.0,,,,,,,,,,348.0,,28.0,,,,,
th_pud-ud-test,1000,0,289,,,,,,,,,,,,,,,,,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
sjo_xdt-ud-test,810,0,383,,60.0,73.0,169.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,13.0,,,,12.0,23.0,,,,,,,2.0,,19.0,,,,,,,,,,4.0,,1.0,,,,,
zh_pud-ud-test,1000,0,357,,,,,,,,,,,,,,,,,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ltg_cairo-ud-test,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ru_poetry-ud-test,728,0,528,,40.0,8.0,33.0,,,,,,,,,,34.0,,,,,,,,,11.0,,,,,,,,,,146.0,,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,1.0,,,,,,3.0,,,,37.0,,2.0,,,,,,,,180.0,,21.0,,,,,
ru_poetry-ud-dev,789,0,538,,25.0,6.0,35.0,,,,,,,,,,23.0,,,,,,,,,7.0,,,,,,,,,,155.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,37.0,,3.0,,,,,,,,203.0,,32.0,,,,,
ru_poetry-ud-train,3569,0,2441,,177.0,26.0,221.0,,,,,,,,,,163.0,,1.0,,,,,,,39.0,,,,,,,,,,574.0,,,,,,,32.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,4.0,,,5.0,,,,5.0,1.0,1.0,,,,1.0,,,,123.0,,1.0,,,,,,,,957.0,,106.0,,,,,
myu_tudet-ud-test,158,0,78,,,,7.0,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,59.0,,2.0,,,,,
cs_fictree-ud-train,10160,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
la_udante-ud-train,926,0,1060,,160.0,87.0,97.0,48.0,,48.0,,41.0,7.0,,,,,,,1.0,,36.0,,,,59.0,,,3.0,21.0,,,,,,151.0,13.0,,62.0,,1.0,,31.0,,,,,5.0,3.0,1.0,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,8.0,,,8.0,,,,3.0,18.0,1.0,3.0,,,,1.0,,3.0,,,,,,,,,,,113.0,,23.0,,,,,
la_udante-ud-test,419,0,406,,48.0,44.0,40.0,13.0,,29.0,,12.0,3.0,,,,,,,,,19.0,,,,39.0,,,2.0,,,,,,,48.0,2.0,,23.0,,,,6.0,,,,,12.0,7.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,5.0,,,,,,,,1.0,1.0,,,,,,,,,,30.0,,17.0,,,,,
la_udante-ud-dev,376,0,466,,86.0,47.0,45.0,22.0,,14.0,,35.0,1.0,,,,,,,,,3.0,,,,10.0,,,3.0,2.0,,,,,,67.0,3.0,,14.0,,,,7.0,,,,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,3.0,,,,10.0,6.0,,3.0,,,,,,,,,,,,,,,,,57.0,1.0,11.0,,,,1.0,
hyw_armtdp-ud-test,680,0,493,,101.0,38.0,22.0,,,,,,3.0,,,,,,1.0,4.0,2.0,,,,,6.0,,,,,,,,,2.0,109.0,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,179.0,,9.0,,,,,
hyw_armtdp-ud-dev,694,0,690,,106.0,45.0,42.0,,,,,,6.0,,,,,,3.0,4.0,,,,,,20.0,,,,,,,,,,171.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,38.0,,,,,,,,,,240.0,,8.0,,,,,
hyw_armtdp-ud-train,5282,0,4003,,832.0,248.0,169.0,,,,,,49.0,,,,5.0,,9.0,43.0,7.0,,,,,106.0,,,,,,,,2.0,18.0,738.0,,,12.0,,,,48.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,6.0,122.0,,,,,,,,,,1534.0,,50.0,,,,,
pcm_nsc-ud-dev,990,0,82,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,
pcm_nsc-ud-train,7279,0,727,,,,1.0,,,,,,,,,,,,,706.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,12.0,4.0,,,,,,,
pcm_nsc-ud-test,972,0,79,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
el_gdt-ud-test,456,0,482,,26.0,62.0,64.0,,,,,,,,,,6.0,,,,,,,,,41.0,,,,,,,,,,54.0,,,2.0,,,,21.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,149.0,,50.0,,,,,
el_gdt-ud-train,1662,0,2044,,108.0,270.0,262.0,,,,,,,,,,34.0,,5.0,1.0,,,,,,245.0,,,,,,,,,,202.0,,,4.0,,,,63.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,11.0,,,,,,,,,,625.0,,192.0,,,,,
el_gdt-ud-dev,403,0,457,,20.0,66.0,53.0,,,,,,,,,,13.0,,1.0,2.0,,,,,,31.0,,,,,,,,,,43.0,,,5.0,,,,12.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,7.0,,,,,,,,,,164.0,,37.0,,,,,
sme_giella-ud-train,2257,0,303,,29.0,17.0,12.0,,,,,,,,,,,,,3.0,,,,,,20.0,,,,,,,,,,4.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,191.0,,,,,,,
sme_giella-ud-test,865,0,205,,28.0,27.0,19.0,,,,,,,,,,,,,2.0,,,,,,10.0,,,,,,,,,,17.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,79.0,,,,,,,
