Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cleft,advcl:cmp,advmod,advmod:emph,amod,appos,appos:trans,aux,aux:pass,case,cc,cc:preconj,ccomp,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:nn,compound:prt,conj,conj:expl,cop,csubj,csubj:cop,csubj:outer,csubj:pass,dep,det,det:poss,discourse,discourse:emo,dislocated,fixed,flat,flat:foreign,flat:name,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:lmod,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:agent,obl,obl:agent,obl:arg,obl:cmpr,obl:lmod,obl:mod,obl:npmod,obl:smod,obl:tmod,orphan,parataxis,parataxis:insert,parataxis:obj,parataxis:restart,punct,reparandum,root,vocative,xcomp,xcomp:pred
fr_gsd-ud-test,416,0,9,,,,,,,,,1.0,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
fr_gsd-ud-train,14450,0,1772,,3.0,,,,1.0,,2.0,179.0,,,,,,,2.0,,,,,,,95.0,,,,,,,,,,,,,4.0,,971.0,202.0,,,,,126.0,,,,,,44.0,,,8.0,,34.0,1.0,,9.0,20.0,,,34.0,,,,2.0,5.0,,,,,,6.0,,24.0,
fr_gsd-ud-dev,1476,0,133,,,,,,,,,15.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,75.0,19.0,,,,,6.0,,,,,,2.0,,,1.0,,1.0,,,1.0,6.0,,,1.0,,,,,,,,,,,,,1.0,
sv_lines-ud-dev,1032,0,21,,,,,,,,3.0,3.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
sv_lines-ud-train,3176,0,31,,,,,,1.0,,9.0,4.0,,,,1.0,,,,,,7.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
sv_lines-ud-test,1035,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
nds_lsdc-ud-train,500,0,7,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
nds_lsdc-ud-test,500,0,27,,,,,,,,,,,,,,,,1.0,,,,,,,7.0,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,1.0,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,
en_gum-ud-train,9521,0,150,,,,,,2.0,,,16.0,,,,4.0,,,,,,8.0,,,,2.0,,,,,,,2.0,1.0,,,,,,70.0,,,,,4.0,,10.0,,,,,1.0,5.0,,,,,4.0,,2.0,,,,,,,,,,2.0,,,,8.0,,7.0,1.0,1.0,
en_gum-ud-test,1285,0,8,,,,,,,,,1.0,,,,,,,,,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_isdt-ud-test,482,0,11,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
it_isdt-ud-train,13121,0,209,,,,,,,,,6.0,,,,,,,,,,10.0,,,,4.0,,,,,,,,,,,,,,,121.0,2.0,,,,,28.0,,,,,,6.0,,,,,3.0,,14.0,,,,,,,,,,,,,,,,7.0,,8.0,
it_isdt-ud-dev,564,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-train,16045,0,555,,,,,,1.0,,,80.0,,,,,,,,,,13.0,,,,21.0,,,,,,,,,,1.0,,,1.0,6.0,194.0,5.0,,1.0,16.0,,40.0,,,,,,37.0,,,,,15.0,,27.0,,,,,,,,,3.0,34.0,,,,,,58.0,,2.0,
ru_taiga-ud-dev,946,0,22,,,,,,,,,2.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,6.0,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,4.0,,,
ru_taiga-ud-test,881,0,55,,,,,,1.0,,,7.0,,,,2.0,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,8.0,1.0,,,,,7.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,4.0,,,,,,17.0,,,
tpn_tudet-ud-test,581,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_pud-ud-test,1000,0,13,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,2.0,7.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ja_bccwj-ud-train,40801,0,145,1.0,,,,,,,,,,,,,,,,,,114.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,13.0,,,
ja_bccwj-ud-test,7881,0,16,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,
ja_bccwj-ud-dev,8427,0,57,,,1.0,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,4.0,,,
fr_rhapsodie-ud-train,1288,0,16,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,
ga_idt-ud-train,4005,0,633,,,,,,,,2.0,37.0,,,,,,,,,,,,,,34.0,,,,,,,,,,,,1.0,,22.0,191.0,82.0,,,2.0,,118.0,,,,,,58.0,,,,,13.0,,47.0,,,,,,,,,,12.0,,,,,,13.0,,,1.0
ga_idt-ud-test,454,0,73,,,,,,,,,12.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,29.0,,,,1.0,,14.0,,,,,,2.0,,,,,1.0,,5.0,,,,,,,,,,,,,,,,5.0,,,1.0
ga_idt-ud-dev,451,0,81,,,,,,,,,9.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,36.0,5.0,,,,,16.0,,,,,,2.0,,,,,2.0,,6.0,,,,,,,,,,,,,,,,2.0,1.0,,1.0
en_ewt-ud-test,2077,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,
en_ewt-ud-dev,2001,0,26,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,16.0,,,,,,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,
en_ewt-ud-train,12544,0,24,,,,,,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,15.0,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,
ceb_gja-ud-test,188,0,4,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
tl_trg-ud-test,128,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,82,,,,,,,,,13.0,,,,,,,,,,1.0,1.0,,,6.0,,,,,,,,,,,,,,35.0,,,,,,,13.0,,,,,1.0,5.0,,,1.0,,1.0,,1.0,,,,,,,,,,3.0,,,,1.0,,,,,
hy_armtdp-ud-dev,249,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,6,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_edt-ud-dev,3128,0,84,,,,,,1.0,,1.0,7.0,,,,,,,,,,2.0,,,,7.0,,,,,,,,,,,,,,37.0,4.0,,,,,,5.0,,,,,,2.0,1.0,,,,1.0,,4.0,,,,,,,,,,7.0,,,,,,4.0,,1.0,
et_edt-ud-train,24615,0,816,,,,,,1.0,,1.0,87.0,,,,,1.0,,11.0,,,1.0,,,,37.0,,,1.0,,,,,,,3.0,,,,283.0,254.0,,,,,,28.0,,,,,,9.0,10.0,,,,15.0,,15.0,,,,,,,,,1.0,39.0,,,,,,18.0,,1.0,
et_edt-ud-test,3214,0,133,,,1.0,,,,,1.0,11.0,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,1.0,,,,42.0,37.0,,,,,,10.0,,,,,,1.0,1.0,,,,8.0,,6.0,,,,,,,,,,2.0,,,,,,7.0,,,
id_csui-ud-test,374,0,117,,2.0,1.0,,,,,5.0,5.0,,,,,,,,,,,,,,9.0,,,,,,,1.0,,,1.0,,,,,34.0,,,,,,35.0,,,,,,2.0,,,1.0,,11.0,,7.0,,,,,,,,,,,,,,,,2.0,,1.0,
id_csui-ud-train,656,0,259,,2.0,4.0,,,,,9.0,22.0,,,,,,,,,,,,,,9.0,,,,,,,1.0,,,,,,,,100.0,,,,,,70.0,,,,,,10.0,,,2.0,,13.0,,16.0,,,,,,,,,,,,,,,,,,1.0,
ru_syntagrus-ud-train,69630,0,2638,,,3.0,,,,,2.0,248.0,,,,1.0,,,1.0,,,16.0,,,,52.0,,,2.0,,,,,,,,,,4.0,20.0,1759.0,1.0,,,1.0,,99.0,,,,,,195.0,,,17.0,,18.0,,42.0,,,,,,,,,4.0,77.0,,,,,,68.0,5.0,3.0,
ru_syntagrus-ud-dev,8906,0,440,1.0,,,,,,,,30.0,,,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,3.0,348.0,,,,,,9.0,,,,,,18.0,,,1.0,,1.0,,2.0,,,,,,,,,,3.0,,,,,,18.0,,1.0,
ru_syntagrus-ud-test,8800,0,329,,,,,,,,,45.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,2.0,230.0,,,,,,9.0,,,,,,19.0,,,1.0,,2.0,,3.0,,,,,,,,,,9.0,,,,,,3.0,,,
sv_pud-ud-test,1000,0,41,,,,,,,,13.0,,,,,1.0,,,1.0,,,12.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,,,1.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,
sjo_xdt-ud-test,810,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_pud-ud-test,1000,0,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-train,7018,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nl_lassysmall-ud-test,1761,0,59,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,13.0,,,,,,1.0,,,1.0,,3.0,,,,2.0,,,,,,,,5.0,,,,,,3.0,,,
nl_lassysmall-ud-dev,1542,0,151,1.0,1.0,,,,,,1.0,10.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,98.0,,,,,,,,13.0,,,,,,6.0,,,1.0,,5.0,,2.0,,1.0,,,,,,,,2.0,,,,,,1.0,,4.0,
nl_lassysmall-ud-train,13817,0,2639,2.0,2.0,11.0,,,,,,146.0,,,,3.0,,,1.0,,,,,,,102.0,,,1.0,,,,,,,,,,1744.0,,,,,1.0,,,193.0,,,,,,90.0,,,22.0,,55.0,,75.0,5.0,20.0,,,,,,,1.0,43.0,,,,,,109.0,,13.0,
is_icepahc-ud-dev,4865,0,321,1.0,2.0,3.0,,,7.0,,35.0,22.0,,3.0,,,,,4.0,,,,,,,21.0,,,,,,,14.0,,,3.0,,,,2.0,24.0,8.0,,1.0,,,,,,,,13.0,48.0,,,,,13.0,,61.0,,,,,,,,,,,,,,,,13.0,9.0,14.0,
is_icepahc-ud-train,34007,0,3647,3.0,12.0,29.0,,,78.0,,33.0,214.0,,20.0,,17.0,1.0,,31.0,,,,,,1.0,126.0,,2.0,,,,,316.0,3.0,,13.0,,,,,671.0,245.0,,40.0,,,1.0,,,,,212.0,584.0,,,,27.0,133.0,,506.0,,,,,,,,,,1.0,,,,1.0,,135.0,32.0,160.0,
is_icepahc-ud-test,5157,0,719,1.0,14.0,5.0,,,10.0,,11.0,39.0,,1.0,,1.0,9.0,,11.0,,,,,,,66.0,,,,,,,81.0,1.0,,1.0,,,,,82.0,24.0,,8.0,,,3.0,,,,,32.0,75.0,,,,17.0,25.0,,150.0,,,,,,,,,,2.0,,,,,,18.0,2.0,30.0,
de_lit-ud-test,1920,0,60,,2.0,1.0,,,2.0,,3.0,3.0,,1.0,,9.0,1.0,,1.0,,,,,,,1.0,,2.0,,,,,,11.0,,,,,,,,,,,,2.0,3.0,,,,,,7.0,,,,,1.0,,5.0,,,,,,,,,,1.0,,,,1.0,,,,3.0,
ru_poetry-ud-test,728,0,5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-dev,789,0,17,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,
ru_poetry-ud-train,3569,0,33,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,6.0,,,
fro_profiterole-ud-train,15503,0,12,,,,,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,1.0,,,
fo_farpahc-ud-train,1020,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_modern-ud-train,2703,0,57,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,17.0,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,
is_modern-ud-test,438,0,90,,,,,,1.0,,,7.0,,,,,,,,,,,,,,1.0,,,,,,,6.0,,,,,,,,,23.0,,1.0,,,,,,,,4.0,14.0,,,,,,,32.0,,,,,,,,,,,,,,,,1.0,,,
ja_bccwjluw-ud-dev,8427,0,57,,,1.0,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,4.0,,,
ja_bccwjluw-ud-test,7881,0,16,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,
ja_bccwjluw-ud-train,40801,0,145,,,1.0,,,,,,,,,,,,,,,,114.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,13.0,,,
da_ddt-ud-train,4383,0,96,,,,,,9.0,,2.0,3.0,,,,,3.0,,,,,,,,,9.0,,,,,,,35.0,,,,,,3.0,2.0,,,,,1.0,,6.0,,,,,1.0,4.0,,,,,12.0,,2.0,,,,,,,,,,,,,,,,4.0,,,
da_ddt-ud-test,565,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da_ddt-ud-dev,564,0,10,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-train,926,0,22,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,6.0,,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,
la_udante-ud-test,419,0,507,,,,,10.0,,,,2.0,,,,,,,,12.0,,,,,,40.0,4.0,,,,,,,,,,,,,2.0,365.0,6.0,,,,,5.0,,,,,,,,,,,21.0,,4.0,,,,,,,,,36.0,,,,,,,,,,
la_udante-ud-dev,376,0,35,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,16.0,,,,,,2.0,,,2.0,,4.0,,5.0,,,,,,,,,,,,,,,,,,,
lij_glt-ud-test,296,0,22,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,15.0,,,,,,,1.0,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
it_partut-ud-dev,156,0,11,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,6.0,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
it_partut-ud-test,153,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_partut-ud-train,1781,0,107,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,12.0,57.0,,,,,,14.0,,,,,,7.0,,,,,2.0,,11.0,,,,,,,,,,,,,,,,,,3.0,
hyw_armtdp-ud-test,680,0,220,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,21.0,,6.0,,,,,3.0,,,,,4.0,1.0,,,,,1.0,,2.0,,,,,,,,,,4.0,,,,172.0,,,,2.0,
hyw_armtdp-ud-dev,694,0,213,,,,,,,,2.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,202.0,,,,,
hyw_armtdp-ud-train,5282,0,2044,1.0,,,,,,,3.0,19.0,,,,,,,,,,5.0,2.0,,,11.0,,,,,,,2.0,,,1.0,,1.0,2.0,116.0,,13.0,,,,,30.0,,,,,24.0,12.0,,,,,7.0,,14.0,1.0,,,,,,,,2.0,22.0,,,,1739.0,,9.0,3.0,5.0,
ro_rrt-ud-test,729,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_rrt-ud-train,8043,0,95,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_rrt-ud-dev,752,0,22,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-test,456,0,127,,,,,,,,,6.0,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,55.0,,,,,,,30.0,,,,,,7.0,,,,,2.0,,11.0,2.0,,,,,,,,,2.0,,,,,,,,,
el_gdt-ud-train,1662,0,686,1.0,,,,,,,1.0,25.0,,,,,,,1.0,,,,,,,40.0,,,,,,,,,,,,,,298.0,,,,,,,154.0,,,,,,79.0,,,11.0,,21.0,,48.0,4.0,,,,,,,,,1.0,,,,,,2.0,,,
el_gdt-ud-dev,403,0,161,,,,,,,,,5.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,56.0,,,,,,,41.0,,,,,,24.0,,,3.0,,12.0,,18.0,,,,,,,,,,,,,,,,1.0,,,
ha_southernautogramm-ud-test,1918,0,72,,,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,9.0,,1.0,,,16.0,,,,,,1.0,,,,,,3.0,,,,,13.0,,,,12.0,,,,,,,,,,,,,,9.0,,2.0,
ca_ancora-ud-dev,1709,0,3,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
ca_ancora-ud-train,13123,0,25,,,,,,1.0,,,3.0,,,,6.0,,,,,,,,,,1.0,,1.0,1.0,,,,,4.0,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,
gd_arcosg-ud-test,545,0,82,,,,,,,,4.0,3.0,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,5.0,,,,3.0,4.0,2.0,,,,,18.0,,,,,,11.0,,,,,8.0,,12.0,,,,,,,,,,1.0,,,,,,3.0,,,4.0
gd_arcosg-ud-train,3541,0,429,,1.0,2.0,,,10.0,,5.0,15.0,,,,,8.0,,5.0,,,,,,,20.0,,,,,,,,,,1.0,,,,11.0,79.0,11.0,,,,,36.0,,,,,,47.0,,,1.0,,41.0,,61.0,,,,,,,1.0,,,9.0,,,,,2.0,28.0,2.0,1.0,32.0
gd_arcosg-ud-dev,655,0,114,1.0,,,,,,,1.0,4.0,,,,,5.0,,1.0,,,,,,,3.0,,,,,,,,2.0,,5.0,,,,4.0,18.0,1.0,,,,,6.0,,,,,,10.0,,,,2.0,15.0,,9.0,,,,,,,,,,2.0,,,,,,16.0,2.0,,7.0
cy_ccg-ud-test,953,0,12,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy_ccg-ud-dev,409,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
cy_ccg-ud-train,1189,0,13,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,2.0,,,,,4.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
nhi_itml-ud-test,909,0,932,3.0,,8.0,,,95.0,,9.0,14.0,,,,155.0,17.0,,3.0,,,,,,,42.0,,1.0,,,,,1.0,12.0,,27.0,,3.0,17.0,7.0,,,,3.0,,88.0,109.0,,,,,,101.0,,,,6.0,107.0,,69.0,,,,,,,,,,11.0,,,,,2.0,22.0,,,
sl_sst-ud-train,4558,0,137,,,2.0,,,4.0,,2.0,5.0,,,,,1.0,,1.0,,,,,,,4.0,,,,,,,,,,,,,5.0,,68.0,,,,,,16.0,,,,,,3.0,,,,,10.0,,3.0,,,,,,,,,,6.0,,,1.0,,,4.0,,2.0,
sl_sst-ud-test,1041,0,21,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,12.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,
sl_sst-ud-dev,505,0,3,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
de_gsd-ud-train,13814,0,2510,2.0,,1.0,,,10.0,,99.0,253.0,,2.0,,26.0,45.0,,2.0,,,27.0,,,,128.0,,10.0,,,,,5.0,66.0,,,,,,1372.0,,,,,,2.0,215.0,,,,,3.0,83.0,,,11.0,,22.0,,89.0,3.0,3.0,,,,,,,,6.0,,,,,,11.0,,14.0,
de_gsd-ud-dev,799,0,13,,,,,,1.0,,1.0,2.0,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
de_gsd-ud-test,977,0,19,,,,,,1.0,,,2.0,,,,,,,,,,5.0,,,,1.0,,,,,,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,3.0,,,
xnr_kdtb-ud-test,288,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aln_gps-ud-test,966,0,49,,,,,,2.0,,,,,4.0,,6.0,2.0,,,,,,,,,3.0,,,,,,,,,,2.0,,,2.0,,,,,,,,6.0,,,,,,4.0,,1.0,,1.0,5.0,,7.0,,,,,,,,,,,,,,,,2.0,,2.0,
it_twittiro-ud-train,1138,0,1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,867,,,1.0,,,,1.0,1.0,24.0,,,,8.0,4.0,,,,,,,,,44.0,,,,,,,38.0,,,,,,1.0,,402.0,,,,,,240.0,,,,,,23.0,,,,,8.0,,37.0,,1.0,,,,,,,,,,,,,,34.0,,,
cs_pdt-ud-dev,9270,0,928,,,,,,,,,27.0,,,,6.0,3.0,,,,,,,,,33.0,,,,,,,15.0,,,,,,,,425.0,,,,,,313.0,,,,,,34.0,,,,,12.0,,39.0,,1.0,,,,,,,,,,,,,,19.0,,1.0,
cs_pdt-ud-train,68491,0,6606,,1.0,5.0,,,,1.0,,215.0,,,,77.0,25.0,,,,,,,,,318.0,,,,,,,163.0,,,,,,9.0,,3051.0,,,2.0,,2.0,1981.0,,,,,,244.0,,,3.0,,67.0,,211.0,,19.0,,,,,,,18.0,1.0,,,,,,187.0,,6.0,
ur_udtb-ud-train,4043,0,2,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur_udtb-ud-dev,552,0,6,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_postwita-ud-train,5368,0,3,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-test,2412,0,187,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,2.0,,,1.0,,,,1.0,10.0,83.0,,2.0,,,31.0,,,,,,20.0,,,3.0,,2.0,,7.0,,,,,,,,,,8.0,,,,,,5.0,,,
lv_lvtb-ud-train,14358,0,896,2.0,,,,,,,3.0,2.0,,,,,,,,,,,,,,52.0,,,,,,,16.0,,,1.0,,,,4.0,104.0,322.0,,29.0,,,166.0,,,,,,75.0,,,6.0,,10.0,,39.0,,,,,,,,,,52.0,,,,,,11.0,,2.0,
