Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:ccomp,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:cond,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:quote,advcl:relcl,advcl:svc,advcl:tcl,advmod,amod,appos,aux,aux:aspect,aux:caus,aux:pass,aux:pot,aux:tense,case,ccomp,ccomp:cleft,ccomp:obj,ccomp:quote,ccomp:relcl,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,conj:svc,cop,cop:locat,cop:outer,csubj,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,dep:aux,dep:infl,discourse,dislocated,dislocated:csubj,dislocated:nsubj,fixed,flat,flat:foreign,flat:name,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:poss,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:arg,obl:lmod,orphan,parataxis,parataxis:appos,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:parenth,parataxis:rel,parataxis:reporting,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
pt_gsd-ud-train,9616,0,153,,4.0,,,,17.0,11.0,,,,,,,,,,,,,,,,,,12.0,,,33.0,,,,7.0,,,,,,,,,,,14.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,34.0,,,,
lt_alksnis-ud-test,684,0,138,,3.0,,,,3.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,31.0,,,15.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,33.0,,,,
lt_alksnis-ud-dev,617,0,103,,7.0,,,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,17.0,,,23.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,24.0,,,,
lt_alksnis-ud-train,2341,0,166,,8.0,,,,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,38.0,,,17.0,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,41.0,,,,
vi_tuecl-ud-test,100,0,15,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,467,,10.0,,,,,21.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,18.0,,,,,,,,,,,16.0,,,344.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,50.0,,,,
cu_proiel-ud-test,2096,0,52,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
cu_proiel-ud-dev,2205,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,
it_old-ud-train,1748,0,227,,,,,,11.0,25.0,,,,,,,,,,,,,,,,,,14.0,,,10.0,,,,5.0,,,,,26.0,,,,,,19.0,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,30.0,,,,
it_old-ud-dev,316,0,25,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,4.0,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,
it_old-ud-test,338,0,32,,,,,,2.0,1.0,,,3.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,3.0,,,,,,6.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,2.0,,,,
la_llct-ud-dev,850,0,223,,1.0,,,,25.0,59.0,,,,,,,,,,,,3.0,,,,,,15.0,,,50.0,,,,1.0,,,,2.0,,,,,,,43.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,
la_llct-ud-test,884,0,220,,,,,,17.0,46.0,,,,,,,,,,,,1.0,,,,,,12.0,,,80.0,,,,,,,,2.0,,,,,,,39.0,,,12.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,9.0,,,,
la_llct-ud-train,7289,0,1868,,11.0,,,,132.0,412.0,,,7.0,,,,,,,,,16.0,,,,,,48.0,,,340.0,,,,7.0,,,,23.0,,,,,,,573.0,,,175.0,,,3.0,,,,1.0,7.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,100.0,,,,
bor_bdt-ud-test,881,0,179,,3.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,6.0,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,1.0,,,51.0,,,1.0,1.0,,,,9.0,,,,,,,,,,,,57.0,,,,
es_pud-ud-test,1000,0,43,,,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,4.0,,,,,,,,,,,1.0,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,25.0,,2.0,,
hsb_ufal-ud-test,623,0,5,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
hsb_ufal-ud-train,23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
it_valico-ud-test,398,0,4,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,
sr_set-ud-test,520,0,21,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
sr_set-ud-train,3328,0,104,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,7.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,
sr_set-ud-dev,536,0,19,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,
ar_pud-ud-test,1000,0,71,,,,,,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,28.0,,2.0,,
fa_perdt-ud-test,1455,0,273,,,,,,,,,,,,,,,,,,,,,,,,,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_perdt-ud-train,26196,0,4180,,,,,,,,,,,,,,,,,,,,,,,,,4179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
fa_perdt-ud-dev,1456,0,160,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gv_cadhan-ud-test,1164,0,71,,1.0,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,50.0,,,,
gv_cadhan-ud-train,1172,0,84,,4.0,,,,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,40.0,,,,
quc_iu-ud-test,1435,0,9,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-test,205,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,
tr_framenet-ud-train,2288,0,97,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,90.0,,,,
tr_framenet-ud-dev,205,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,,,,
bho_bhtb-ud-test,357,0,7,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,
fr_pud-ud-test,1000,0,33,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,18.0,,,,
it_pud-ud-test,1000,0,48,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,6.0,,,,,,,,,,,1.0,,,6.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,24.0,,,,
kfm_aha-ud-test,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_fqb-ud-test,2289,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
bm_crb-ud-test,1026,0,10,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,7,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,5.0,,,,
ky_ktmu-ud-test,701,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,
la_proiel-ud-test,1260,0,255,,14.0,,,,,33.0,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,13.0,,,,,,,,,,,57.0,,,22.0,,,,,,,1.0,,,,,,,3.0,,,1.0,,,,,,,,,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,100.0,,2.0,,
la_proiel-ud-dev,1233,0,210,,19.0,,,,,31.0,,,,,,,,,,,,,,,,,,2.0,,,3.0,,,,18.0,,,,,,,,,,,32.0,,,23.0,,,1.0,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,4.0,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,68.0,,,,
la_proiel-ud-train,16196,0,3097,,157.0,,,,,429.0,,,1.0,,,,,,,,,,,,,,,21.0,,,36.0,,,,195.0,,,,,,,,,,,518.0,,,270.0,,,2.0,,,,7.0,,,,,,,26.0,,,1.0,,,,,,,,,,,39.0,,17.0,19.0,3.0,,,7.0,28.0,,,,,,,,,,,,1309.0,1.0,11.0,,
kpv_ikdp-ud-test,214,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
pt_cintil-ud-test,3840,0,311,,,,,,,21.0,,,,,,,,,,,,,,,,35.0,,,,,,,,,29.0,,,,,,,,,,,11.0,,,85.0,,,2.0,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,102.0,,9.0,,
pt_cintil-ud-dev,3840,0,190,,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,7.0,,,,,,,,,,,8.0,,,70.0,,,1.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,79.0,,1.0,,
pt_cintil-ud-train,30720,0,1481,,,,,,,28.0,,,,,,,,,,,,,,,,84.0,,,,,,,,,29.0,,,,,,,,,,,48.0,,,495.0,,,,,,,1.0,,,94.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,8.0,,,,,,,,,,,,675.0,,15.0,,
kpv_lattice-ud-test,643,0,55,,1.0,,,,1.0,3.0,,,,,,,,,,,,,,1.0,,,,,3.0,,,5.0,2.0,,5.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,16.0,,,,
tt_nmctt-ud-test,148,0,23,,,,,,,2.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,16.0,,,,
mpu_tudet-ud-test,37,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abq_atb-ud-test,98,0,13,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,
tr_gb-ud-test,2880,0,291,,44.0,,,,,30.0,,,,,,,,,,,,,,,,,,17.0,,,,,,,17.0,,,,,,,4.0,,,,5.0,,,33.0,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,131.0,,2.0,,
br_keb-ud-test,884,0,163,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,35.0,,,26.0,,,,3.0,,,,,,,,,,,9.0,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,51.0,,,,
fr_gsd-ud-test,416,0,36,,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,3.0,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,12.0,,,,
fr_gsd-ud-train,14450,0,737,,1.0,,,,118.0,14.0,,10.0,,,,,,,,,,,,,,,1.0,,,6.0,111.0,,16.0,,32.0,,,,,,,,,,,64.0,,,76.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,2.0,,,,,,,,,265.0,,,,
fr_gsd-ud-dev,1476,0,82,,,,,,11.0,4.0,,1.0,,,,,,,,,,,,,,,,,,1.0,17.0,,1.0,,1.0,,,,,,,,,,,4.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,33.0,,,,
grc_proiel-ud-test,1047,0,130,,7.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,39.0,,,9.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,5.0,,
grc_proiel-ud-train,15016,0,1918,,89.0,,,,,156.0,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,151.0,,,,,,,,,,,452.0,,,152.0,,,,,,,6.0,,,,,,,2.0,,,,,,,,,,,2.0,,,7.0,,5.0,9.0,,,,5.0,18.0,,,,,,,,,,,,792.0,,68.0,,
grc_proiel-ud-dev,1019,0,116,,6.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,16.0,,,,,,,,,,,32.0,,,8.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,36.0,,3.0,,
it_isdt-ud-test,482,0,25,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,7.0,,,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,
it_isdt-ud-train,13121,0,600,,1.0,,,,58.0,45.0,,,,,,,,,,,,,,,,,,92.0,,,49.0,,,,30.0,,,,,,,,,,,49.0,,,58.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,210.0,,,,
it_isdt-ud-dev,564,0,17,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,1.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
ru_taiga-ud-train,16045,0,1317,,26.0,,,,33.0,91.0,,,,,,,,,,,,,,,,,1.0,141.0,,,19.0,,,,73.0,,,,,,,,,,,289.0,,,102.0,,,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,111.0,,,,,,,,,,,,409.0,,13.0,,
ru_taiga-ud-dev,946,0,113,,2.0,,,,,5.0,,,,,,,,,,,,,,,,,,13.0,,,,,,,3.0,,,,,,,,,,,29.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,14.0,,,,,,,,,,,,39.0,,1.0,,
ru_taiga-ud-test,881,0,79,,,,,,3.0,6.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,2.0,,,,,,,,,,,17.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,31.0,,,,
tpn_tudet-ud-test,581,0,52,,,,,,,2.0,,,,,,,,,,,,,,,8.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,4.0,,,4.0,7.0,,,,7.0,,,,,,,,,,,,11.0,,2.0,,
fr_rhapsodie-ud-train,1288,0,37,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,13.0,,,,
fr_rhapsodie-ud-dev,1081,0,27,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,
fr_rhapsodie-ud-test,840,0,20,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,
fr_parisstories-ud-dev,692,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_parisstories-ud-train,1387,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_parisstories-ud-test,697,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
ga_idt-ud-train,4005,0,1031,,6.0,,,,157.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,130.0,,,,,,,20.0,16.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,,,,,493.0,,1.0,,
ga_idt-ud-test,454,0,81,,,,,,25.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,2.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,28.0,,,,
ga_idt-ud-dev,451,0,70,,1.0,,,,19.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,9.0,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,20.0,,,,
cs_cltt-ud-dev,316,0,8,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,9,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,2.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soj_aha-ud-test,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mk_mtb-ud-test,155,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
ota_boun-ud-train,114,0,14,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
ota_boun-ud-test,400,0,59,,6.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,2.0,19.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,16.0,,,,
ru_syntagrus-ud-train,69630,0,6814,,269.0,,,,308.0,573.0,,,,,,,,,,,,,,,,,29.0,228.0,,,67.0,,,,624.0,,,,,,,,,,,1159.0,,,158.0,,,38.0,,,,,,,,,,,,,,11.0,,2.0,1.0,,,,,,,,5.0,,,,,,,4.0,591.0,,,,,,,,,,,,2701.0,,46.0,,
ru_syntagrus-ud-dev,8906,0,583,,24.0,,,,27.0,49.0,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,57.0,,,,,,,,,,,114.0,,,6.0,,,3.0,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,235.0,,4.0,,
ru_syntagrus-ud-test,8800,0,738,,31.0,,,,29.0,65.0,,,,,,,,,,,,,,,,,1.0,14.0,,,5.0,,,,73.0,,,,,,,,,,,127.0,,,18.0,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,2.0,65.0,,,,,,,,,,,,293.0,,8.0,,
grc_ptnk-ud-train,727,0,257,,,,,,3.0,14.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,42.0,,,,,,,,,,,107.0,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,29.0,,1.0,,
grc_ptnk-ud-dev,439,0,168,,,,,,6.0,5.0,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,24.0,,,,,,,,,,,48.0,,,31.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,35.0,,,,
grc_ptnk-ud-test,410,0,129,,,,,,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,55.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,13.0,,1.0,,
ht_autogramm-ud-test,144,0,8,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sjo_xdt-ud-test,810,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,
pt_bosque-ud-dev,1172,0,118,,,,,,22.0,11.0,,,,,,,,,,,,,,,,,,12.0,,,15.0,,,,8.0,,,,,,,,,,,7.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,27.0,,,,
pt_bosque-ud-test,1167,0,94,,1.0,,,,13.0,13.0,,,,,,,,,,,,,,,,,1.0,6.0,,,8.0,,,,11.0,,,,,,,,,,,5.0,,,10.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,24.0,,,,
pt_bosque-ud-train,7018,0,749,,9.0,,,,90.0,85.0,,,,,,,,,,,,,,,,,,50.0,,,86.0,,,,54.0,,,,,,,,,,,53.0,,,94.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,202.0,,,,
orv_birchbark-ud-train,1045,0,19,,,,,,,6.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,
orv_birchbark-ud-dev,1062,0,31,,,,,,,5.0,,,,,,,,,,,,,,,,,,8.0,,,1.0,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,7.0,,,,
