Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cleft,advcl:cmp,advcl:cond,advcl:quote,advcl:relcl,advmod,amod,appos,aux,aux:aspect,aux:caus,aux:cnd,aux:pass,aux:tense,case,cc,ccomp,ccomp:obj,ccomp:obl,ccomp:quote,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:redup,compound:svc,conj,cop,cop:own,csubj,csubj:cleft,csubj:cop,csubj:pass,dep,dep:infl,discourse,fixed,flat,flat:name,mark,nmod,nmod:poss,nsubj,obj,obl,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:parenth,reparandum,root,xcomp,xcomp:obj
pt_bosque-ud-dev,1172,0,38,,,6.0,1.0,,,,,,,,,5.0,,,,4.0,,,,6.0,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,1.0,,,,,7.0,2.0,
pt_bosque-ud-test,1167,0,50,,2.0,4.0,1.0,,,,,,,,,6.0,,,,7.0,,,,6.0,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,,
pt_bosque-ud-train,7018,0,248,,1.0,26.0,6.0,,,,,,,,,32.0,,,,16.0,,,,30.0,,,,,,,,,,16.0,49.0,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,64.0,2.0,
orv_birchbark-ud-train,1045,0,10,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,2.0,,
orv_birchbark-ud-dev,1062,0,37,,,,,,,,,,1.0,,,7.0,,,,,,,,4.0,,,,,,,,,,2.0,1.0,,,,,,,,,12.0,,,1.0,,,,,,,,,,,,8.0,1.0,
orv_birchbark-ud-test,1007,0,31,,,,,,,,,,,,,8.0,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,8.0,,,2.0,,,,,,,,,,,1.0,7.0,,
ru_poetry-ud-test,728,0,27,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,14.0,,,,,,,,,,,,,,
ru_poetry-ud-dev,789,0,27,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,12.0,,,,,,,,,,,,,,
ru_poetry-ud-train,3569,0,124,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,51.0,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,130,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-train,10160,0,1018,,,,1.0,,,,,,,,,1009.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,2.0,,
cs_fictree-ud-test,1291,0,128,,,,1.0,,,,,,,,,124.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,
lij_glt-ud-test,296,0,24,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,3.0,3.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,4.0,,
lij_glt-ud-train,20,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_partut-ud-dev,156,0,6,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
it_partut-ud-test,153,0,6,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
it_partut-ud-train,1781,0,178,,,5.0,2.0,,,,,,,,,138.0,,,,2.0,,,,1.0,,,,,,,,,,1.0,12.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,15.0,,
hyw_armtdp-ud-train,5282,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
pcm_nsc-ud-dev,990,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
pcm_nsc-ud-train,7279,0,32,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,
pcm_nsc-ud-test,972,0,7,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,52,,1.0,,3.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,,
sme_giella-ud-test,865,0,22,,,1.0,3.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
ca_ancora-ud-dev,1709,0,80,,9.0,1.0,2.0,,,,,,,,,38.0,,,,,,,,6.0,,,,,,,,,,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,
ca_ancora-ud-test,1846,0,68,,7.0,,5.0,,,,,,,,,34.0,,,,,,,,5.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,
ca_ancora-ud-train,13123,0,542,,39.0,6.0,17.0,,,,,,,,,275.0,,,,,,,,47.0,,,,,,,,,,27.0,50.0,,4.0,,,,,,,,,,,,,,,,,5.0,,,,,65.0,7.0,
gd_arcosg-ud-test,545,0,77,,2.0,6.0,11.0,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,10.0,,,,2.0,3.0,,,,,,,,,,,,,,,3.0,,,,,27.0,,
gd_arcosg-ud-train,3541,0,603,,8.0,94.0,96.0,,,,,,,,,,,,,4.0,,,,90.0,,,,,,,,,,103.0,,,,39.0,9.0,,,,,,,,,,,,,,,15.0,,,,3.0,140.0,2.0,
gd_arcosg-ud-dev,655,0,82,,2.0,15.0,11.0,,,,,,,,,,,,,1.0,,,,14.0,,,,,,,,,,14.0,,,,4.0,,,,,,,,,,,,,,1.0,,1.0,,,,,19.0,,
cy_ccg-ud-test,953,0,48,,2.0,9.0,3.0,,,,,,,,1.0,,,,,,,,,10.0,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,3.0,,,,,14.0,,
cy_ccg-ud-dev,409,0,25,,3.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,5.0,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,7.0,,
cy_ccg-ud-train,1189,0,90,,9.0,8.0,4.0,,,,,,,,1.0,,,,,,,,,18.0,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,2.0,,,,,34.0,,
nhi_itml-ud-test,909,0,19,,,1.0,6.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,
sl_sst-ud-train,4558,0,330,,2.0,,1.0,,,,,,,,,304.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,11.0,,
sl_sst-ud-test,1041,0,58,,2.0,,1.0,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,
sl_sst-ud-dev,505,0,40,,,,1.0,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_twittiro-ud-test,142,0,8,,,,1.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
it_twittiro-ud-train,1138,0,69,,,2.0,,,,,,,,,,34.0,,,,,,,,3.0,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,9.0,,,,,16.0,,
it_twittiro-ud-dev,144,0,8,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,1.0,,
kk_ktb-ud-test,1047,0,33,,,,20.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,4.0,6.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
kk_ktb-ud-train,31,0,8,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,1063,,,,,,,,,,,,,1062.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-dev,9270,0,1008,,,,,,,,,,,,,1008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-train,68491,0,6835,,,,2.0,,,,,,,,,6822.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,5.0,,,,,,,,,,,,2.0,,,,,,1.0,,
it_markit-ud-test,340,0,21,,,3.0,1.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
it_markit-ud-train,611,0,44,,,4.0,3.0,,,,,,,,,27.0,,,,,,,,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,3.0,,
it_markit-ud-dev,341,0,29,,,3.0,,,,,,,,,,16.0,,,,,,,,1.0,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
ta_mwtt-ud-test,534,0,1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,4,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,71,,,,14.0,,,11.0,,,,,,7.0,,,,,,,,2.0,,,,,,,,1.0,,,15.0,,,,,,,,3.0,1.0,,,6.0,,,1.0,,,,7.0,,,,,2.0,1.0,
ug_udt-ud-dev,900,0,67,,,,26.0,,,,,,,,,12.0,,,,,,1.0,,,,,,,,,,,,,20.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,4.0,,,,,,1.0,
ug_udt-ud-train,1656,0,121,,,,46.0,,,,,,,,,12.0,,,,,,,,4.0,,,,,,3.0,,,,,34.0,,4.0,,,,,,2.0,,1.0,,,,,1.0,,,,9.0,,,,,3.0,2.0,
azz_itml-ud-test,1260,0,6,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
it_postwita-ud-train,5368,0,266,,,5.0,6.0,,,,,,,,,130.0,,,,1.0,,,,8.0,,,,,,,,,,8.0,35.0,,,,,,,,,,,,,,,,,,,27.0,,1.0,,,45.0,,
it_postwita-ud-dev,670,0,39,,,1.0,,,,,,,,,,11.0,,,,,,,,1.0,,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,5.0,,,,,14.0,,
it_postwita-ud-test,674,0,31,,,2.0,1.0,,,,,,,,,14.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,5.0,,,,,6.0,,
lv_lvtb-ud-test,2412,0,165,2.0,18.0,,64.0,,,,,,,,,20.0,,,,7.0,,,,14.0,,,,,,,,,,6.0,19.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,12.0,,
lv_lvtb-ud-train,14358,0,1497,8.0,124.0,,560.0,,,,,,,,,121.0,,,,33.0,,,,123.0,,,,,,,,,,157.0,142.0,,13.0,,,2.0,22.0,,,,,,,,,,,,2.0,8.0,,,,,182.0,,
lv_lvtb-ud-dev,2080,0,188,1.0,16.0,,69.0,,,,,,,,,12.0,,,,4.0,,,,18.0,,,,,,,,,,24.0,15.0,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,24.0,,
ta_ttb-ud-train,400,0,14,,,,8.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,3,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,6,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,21,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_vit-ud-train,8277,0,431,,,17.0,1.0,,,,,,,,,259.0,,,,28.0,,,,10.0,,,,,,,,,,18.0,27.0,,,,,,,,,,,,,,,,,,,8.0,,,,,63.0,,
it_vit-ud-test,1067,0,69,,,1.0,,,,,,,,,,39.0,,,,,,,,2.0,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,4.0,,,,,16.0,,
it_vit-ud-dev,743,0,20,,,1.0,,,,,,,,,,8.0,,,,,,,,1.0,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,5.0,,
qtd_sagt-ud-test,805,0,21,,2.0,,11.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,2.0,1.0,
qtd_sagt-ud-dev,801,0,20,,,,6.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,6.0,,
qtd_sagt-ud-train,578,0,28,,,,16.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,5.0,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,
ga_cadhan-ud-test,193,0,38,,2.0,3.0,10.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,7.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,8.0,,
krl_kkpp-ud-test,228,0,20,,1.0,1.0,,,,,,,,,,8.0,,,,,,,,1.0,,,,,,,,,,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-dev,603,0,30,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,1980,,,,,,,,,,,,,1980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-test,628,0,56,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yrl_complin-ud-test,1470,0,14,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,127,,,,3.0,,,,,,,,,91.0,,,,,,,,1.0,,,,,,,,,,2.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,
eu_bdt-ud-test,1799,0,41,,,,2.0,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
eu_bdt-ud-dev,1798,0,32,,,,4.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
fi_ftb-ud-dev,1875,0,190,,13.0,,19.0,,,,,,,,,55.0,,,,,,,,15.0,,,,,,,,,,10.0,18.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,56.0,,
fi_ftb-ud-train,14981,0,1228,,52.0,,126.0,,,,,,,,,437.0,,,,,,,,88.0,,,,,,,,,,78.0,95.0,,3.0,,7.0,,1.0,,,,,,,,,,,,,,,,,,341.0,,
fi_ftb-ud-test,1867,0,152,,6.0,,12.0,,,,,,,,,47.0,,,,,,,,11.0,,,,,,,,,,3.0,16.0,,3.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,51.0,,
it_parlamint-ud-test,375,0,43,,3.0,,2.0,,,,,,,,,26.0,,,,,,,,1.0,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,4.0,,
it_parlamint-ud-train,326,0,36,,1.0,,1.0,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
pl_lfg-ud-test,1727,0,37,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,269,,,,,,,,,,,,,,,,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-dev,1745,0,40,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_partut-ud-dev,107,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
fr_partut-ud-test,110,0,6,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
fr_partut-ud-train,803,0,111,,1.0,17.0,2.0,,,,,,,,,6.0,,,,1.0,,,,5.0,,,,,,,,,,4.0,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,66.0,,
tr_tourism-ud-train,15473,0,70,,1.0,,55.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,,1.0,,4.0,,,,,2.0,,
tr_tourism-ud-test,2191,0,12,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
ab_abnc-ud-test,263,0,24,,,,1.0,,,14.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0
cs_poetry-ud-test,297,0,22,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_gsd-ud-train,3850,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,100,,,,41.0,,,,,,,,,2.0,,,,,,,,2.0,,,,,,6.0,2.0,,,2.0,33.0,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,7.0,,
tr_imst-ud-dev,1100,0,27,,,,7.0,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,1.0,,,3.0,6.0,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,2.0,,
tr_imst-ud-test,1100,0,22,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
fr_sequoia-ud-test,456,0,23,,,3.0,,,,,,,,,,,,,,,4.0,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,11.0,,
fr_sequoia-ud-train,2231,0,102,,,8.0,,,,,,,,,,,,,,3.0,25.0,,,4.0,,,,,,,,,,6.0,11.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,41.0,,
fr_sequoia-ud-dev,412,0,21,,,2.0,,,,,,,,,,,,,,,5.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,10.0,,
bg_btb-ud-train,8907,0,110,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,
bg_btb-ud-test,1116,0,11,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
bg_btb-ud-dev,1115,0,17,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
bxr_bdt-ud-test,908,0,9,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,2.0,,
es_coser-ud-test,539,0,2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
tr_boun-ud-dev,979,0,62,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,1.0,33.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,5.0,,
tr_boun-ud-test,979,0,55,,1.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,22.0,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,1.0,,
tr_boun-ud-train,7803,0,300,,1.0,,37.0,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,1.0,,,7.0,245.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,
tr_penn-ud-dev,622,0,7,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
tr_penn-ud-test,924,0,10,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-train,14850,0,187,,2.0,,149.0,,,,,,,2.0,,6.0,,,,,,,,2.0,,,,,,7.0,,,,4.0,,,,,,,,,,1.0,,,,,,2.0,,,,3.0,,,,,9.0,,
