Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,advcl:quote,advcl:tcl,advmod,amod,appos,appos:trans,aux,case,cc,ccomp,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,cop,csubj,csubj:cop,dep,dep:infl,det,det:poss,discourse,dislocated,expl,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:att,nmod:cau,nmod:comp,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:lo,obj:poss,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:inst,obl:lmod,obl:tmod,orphan,parataxis,parataxis:obj,parataxis:rep,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:lo
sme_giella-ud-train,2257,0,80,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,15.0,,3.0,,,,,25.0,,,32.0,,,,,,,,,,,,,,,,,
sme_giella-ud-test,865,0,21,,,,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,8.0,,1.0,,,,,5.0,,,2.0,,,,,,,,,,,,,,,,,
ca_ancora-ud-dev,1709,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-test,1846,0,22,,,,,,,,,,,,,,,2.0,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,147,,,,,,,,,2.0,,,,,,7.0,,,,,,,,,,,134.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhi_itml-ud-test,909,0,107,,,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,28.0,,,,,16.0,,,29.0,,,,,,,,,1.0,,,,2.0,,,,
sl_sst-ud-train,4558,0,147,1.0,,,,,,,,,,,,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,,3.0,,,,,,,,,,,,2.0,4.0,,,,
sl_sst-ud-test,1041,0,26,,,1.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_sst-ud-dev,505,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
de_gsd-ud-train,13814,0,89,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,84.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
de_gsd-ud-dev,799,0,31,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_gsd-ud-test,977,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,1183,3.0,,22.0,,,,,18.0,19.0,,5.0,,,18.0,1.0,,,,,54.0,15.0,31.0,,,,,,,,,,,2.0,2.0,,,52.0,,,,,,,,,,122.0,,349.0,,,,,151.0,,,263.0,,,,,,,,7.0,6.0,,,,42.0,,1.0,,
cs_pdt-ud-test,10146,0,525,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-dev,9270,0,514,,,,,,,,2.0,1.0,,,,,,,,,,,3.0,,,,,,507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
cs_pdt-ud-train,68491,0,3542,,,5.0,,,,,5.0,,,,,,1.0,,,,,,16.0,,,,8.0,,3484.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,11.0,,3.0,,,,,,2.0,,,,,2.0,,,,
gl_pud-ud-test,1000,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,658,,,2.0,,,,3.0,29.0,4.0,,1.0,3.0,,1.0,4.0,1.0,,,,20.0,3.0,14.0,,1.0,,,,,,,6.0,1.0,,,,,33.0,,5.0,2.0,,,,,,2.0,59.0,10.0,138.0,,,,,140.0,,,161.0,,,,,,,,,2.0,,,,11.0,1.0,1.0,,
ug_udt-ud-dev,900,0,591,,,5.0,,,,,31.0,4.0,,5.0,3.0,,6.0,13.0,2.0,,,,37.0,,6.0,,2.0,,2.0,,,,,1.0,,,,,,30.0,,1.0,,,,,,,,27.0,6.0,135.0,,,,,107.0,,,151.0,,,,,,,,1.0,4.0,,,,12.0,,,,
ug_udt-ud-train,1656,0,1174,1.0,,4.0,,,,5.0,59.0,9.0,,1.0,2.0,,8.0,13.0,,,,1.0,56.0,1.0,3.0,,,,,,,,,,,,,,,67.0,,4.0,,,,,,,,81.0,2.0,286.0,,,,,220.0,,,304.0,,,,,,,4.0,,7.0,,,,31.0,1.0,4.0,,
azz_itml-ud-test,1260,0,20,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,3.0,,,,,,,,,,,,6.0,,,,,4.0,,,2.0,,,,,,,,,,,,,2.0,,,,
la_ittb-ud-dev,2101,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-test,2101,0,41,,,1.0,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-train,22775,0,436,,,,,,,,,,,,,,,,,,,,,,,,,,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-test,805,0,42,3.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,8.0,,,,,5.0,,,9.0,,,,,,,,,1.0,,,,4.0,,3.0,,
qtd_sagt-ud-dev,801,0,44,5.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,7.0,,,,,6.0,,,7.0,,,,,,,,1.0,,,,,2.0,,1.0,,
qtd_sagt-ud-train,578,0,31,2.0,,2.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,5.0,,,8.0,,,,,,,,,,,,,2.0,,,,
pl_pud-ud-test,1000,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-dev,603,0,61,,,,,,,,1.0,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,2161,,,2.0,,,,,5.0,1.0,,,,,,,,,,,4.0,,,,,,2140.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,2.0,,,,,,,,,,,3.0,,,,
cs_cac-ud-test,628,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
fi_ftb-ud-dev,1875,0,28,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,7.0,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,,
fi_ftb-ud-train,14981,0,198,5.0,,8.0,,,,15.0,1.0,,,,8.0,,1.0,,,,2.0,,3.0,,,,1.0,,,,,,,,,,,,,68.0,,,,,,,,,,,,20.0,12.0,1.0,,,46.0,,,,,,,,,,,,,,,,4.0,,3.0,,
fi_ftb-ud-test,1867,0,30,1.0,,,,,,3.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,5.0,,,,,8.0,,,,,,,,,,,,,,,,2.0,,,,
pl_lfg-ud-test,1727,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,134,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,
pl_lfg-ud-dev,1745,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_partut-ud-test,110,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_partut-ud-train,803,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-train,15473,0,640,,,11.0,,,,,3.0,1.0,,,1.0,,8.0,19.0,,,,,12.0,,1.0,,,,,,,,,,1.0,,,,,84.0,,,,,,,,,,,,192.0,,,,,172.0,,,97.0,,,,,,,,,4.0,,,,34.0,,,,
tr_tourism-ud-dev,2166,0,107,1.0,,4.0,,,,,,,,,,,3.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,57.0,,,,,24.0,,,12.0,,,,,,,,,,,,,1.0,,,,
tr_tourism-ud-test,2191,0,50,,,3.0,,,,,,,,,,,4.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,13.0,,,,,16.0,,,2.0,,,,,,,,,,,,,8.0,,,,
ab_abnc-ud-test,263,0,51,,1.0,,,1.0,,1.0,,,,,7.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,15.0,,,,,12.0,1.0,1.0,2.0,,,,,,,,,,,,,3.0,1.0,,,1.0
cs_poetry-ud-test,297,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,614,55.0,,9.0,,,,,6.0,,,,3.0,,14.0,27.0,8.0,,,,50.0,,1.0,,,,1.0,,,,,,3.0,,11.0,,,32.0,,,,,,,,,,48.0,,113.0,,,,,133.0,,,87.0,,,,,,,,,,,,,13.0,,,,
tr_imst-ud-dev,1100,0,183,16.0,,3.0,,,,,4.0,,,,,1.0,2.0,10.0,7.0,,,,13.0,,,,,,,,,1.0,,,,,6.0,,,12.0,,,,,,,,,,12.0,,31.0,,,,,31.0,,,31.0,,,,,,,,,,,,,3.0,,,,
tr_imst-ud-test,1100,0,159,8.0,,1.0,,,,,4.0,,,,,,4.0,2.0,5.0,,,,16.0,,1.0,,,,,,,,,,,,4.0,,,8.0,,,,,,,,,,19.0,,29.0,,,,,26.0,,,25.0,,,,,,,,,,,,,7.0,,,,
fr_sequoia-ud-train,2231,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
es_coser-ud-test,539,0,1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,199,29.0,,5.0,,,,,2.0,,,,,,9.0,2.0,2.0,,,1.0,11.0,,3.0,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,16.0,,39.0,,,,,37.0,,,37.0,,,,,,,,,,,,,3.0,,,,
tr_boun-ud-test,979,0,255,23.0,,8.0,,,,,6.0,,,,,,8.0,5.0,3.0,,,2.0,20.0,,4.0,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,31.0,,43.0,,,,,50.0,,,40.0,,,,,,,,,1.0,,,,7.0,,,,
tr_boun-ud-train,7803,0,1563,165.0,,55.0,,,,,20.0,,,1.0,,,68.0,34.0,29.0,,,5.0,134.0,6.0,26.0,,,,,,1.0,,,,,,9.0,,,24.0,,,,,,,,,20.0,117.0,,251.0,,,,2.0,292.0,,,259.0,,,,,,,2.0,,3.0,,,,40.0,,,,
tr_penn-ud-dev,622,0,22,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,6.0,,,,,4.0,,,3.0,,,,,,,,,,,,,2.0,,,,
tr_penn-ud-test,924,0,62,,,,,,,,,,,,,,4.0,,,,,,3.0,,2.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,11.0,,,,,13.0,,,7.0,,,,,,,,,3.0,,,,3.0,,,,
tr_penn-ud-train,14850,0,936,12.0,,14.0,,,,,6.0,1.0,,,,,57.0,11.0,,,,,38.0,,15.0,,,,,,,,,,1.0,,,,,152.0,,,,,,,,,,,,242.0,,,,,224.0,,,122.0,,,,,,,,,1.0,,,,36.0,,4.0,,
