Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmp,advcl:pred,advmod,advmod:tmod,amod,amod:att,amod:flat,appos,ccomp,compound,compound:nn,compound:redup,conj,conj:expl,csubj,csubj:cop,csubj:relcl,dep,det,discourse,dislocated,fixed,flat,flat:frac,flat:name,flat:range,flat:sibl,flat:title,iobj,list,nmod,nmod:arg,nmod:att,nmod:npmod,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:float,obl:inst,obl:lmod,obl:mod,obl:npmod,obl:pmod,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp,xcomp:pred
id_gsd-ud-train,4482,0,288,,,13.0,,,,4.0,,263.0,,,1.0,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
id_gsd-ud-test,557,0,49,,,1.0,,,,1.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
id_gsd-ud-dev,559,0,37,,,3.0,,,,,,33.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_valico-ud-test,398,0,2,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,94,,,,,,,,,69.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,8.0,,,,,,1.0,,,,,,10.0,,,,,,,,,,,1.0,,,,,,
sr_set-ud-train,3328,0,514,,,,,,,,,425.0,,,2.0,,,,,17.0,,,,,,,,,,12.0,,,,,,,,27.0,,,,,,1.0,,,,,,27.0,,,,,,,,,,,,2.0,,1.0,,,
sr_set-ud-dev,536,0,77,,,,,,,,,61.0,,,1.0,,,,,3.0,,,,,,,,,,5.0,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,
ar_pud-ud-test,1000,0,7,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,20,,,,2.0,,,,3.0,7.0,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,
myv_jr-ud-train,1217,0,26,,,,,,,,5.0,13.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
quc_iu-ud-test,1435,0,11,,,,,,,,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,,,
tr_framenet-ud-train,2288,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_pud-ud-test,1000,0,55,,,1.0,,,,1.0,,51.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bho_bhtb-ud-test,357,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_fqb-ud-test,2289,0,132,,,,,,,1.0,,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
bm_crb-ud-test,1026,0,4,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,7,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,
pt_cintil-ud-test,3840,0,155,,,,,,,,,139.0,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,8.0,,,,,,4.0,,,,,,,,,,,,,,1.0,,,
pt_cintil-ud-dev,3840,0,92,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,4.0,,,
pt_cintil-ud-train,30720,0,915,,,,,,,,,816.0,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,55.0,,,,,8.0,8.0,,,,,,,,,,,,,,24.0,,,
kpv_lattice-ud-test,643,0,13,,,,,,,1.0,1.0,2.0,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,6,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,11,,,,,,,,,10.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
br_keb-ud-test,884,0,17,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
fr_gsd-ud-test,416,0,5,,,,,,,,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_gsd-ud-train,14450,0,190,,,,,,,,,179.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,
fr_gsd-ud-dev,1476,0,21,,,,,,,,,20.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv_lines-ud-dev,1032,0,42,,,,,,,,,32.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,1.0,
sv_lines-ud-train,3176,0,88,,,,,,,,,66.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,4.0,,,,,1.0,13.0,,,,,,,,,,,,,,,,1.0,
sv_lines-ud-test,1035,0,35,,,,,,,,,27.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,,,,,,,,,,,,,,,
nds_lsdc-ud-train,500,0,7,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
nds_lsdc-ud-test,500,0,7,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,
zh_gsd-ud-dev,500,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,5.0,,,,,,,,,,,,,,,,,
zh_gsd-ud-test,500,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,1.0,,,,,,,,,,,,,,,,,
zh_gsd-ud-train,3997,0,335,,,,,,,,,2.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,305.0,4.0,17.0,,,,,,,,,,,,,,3.0,,,
en_gum-ud-train,9521,0,430,,,1.0,1.0,,,77.0,,296.0,,,4.0,3.0,1.0,,,6.0,,,,,,,,,,,,,,,,,,2.0,,,,,,7.0,,,,,1.0,12.0,,,,,,,,3.0,,,,1.0,3.0,5.0,,7.0,
en_gum-ud-test,1285,0,77,,,,1.0,,,12.0,,54.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,
en_gum-ud-dev,1341,0,40,,,,,,,7.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,
fo_oft-ud-test,1208,0,39,,,,,,,,,37.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
it_isdt-ud-test,482,0,38,,,,,,,,,30.0,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,
it_isdt-ud-train,13121,0,973,,,1.0,,,,,,849.0,,,,,,,,19.0,,,,,,,,,,,,7.0,,,,,,,,,,,,27.0,,,2.0,1.0,6.0,16.0,12.0,,,,,,,,,,,,,30.0,,3.0,
it_isdt-ud-dev,564,0,45,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,
ru_taiga-ud-train,16045,0,631,,4.0,,2.0,,,,,394.0,,,2.0,,1.0,,,14.0,,,,,,,,,9.0,,,1.0,,,,2.0,18.0,53.0,,,,,,13.0,,,2.0,,4.0,84.0,,,,,,,,,,,4.0,10.0,,14.0,,,
ru_taiga-ud-dev,946,0,37,,,,,,,,,18.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,6.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,7.0,,,
ru_taiga-ud-test,881,0,48,,,,,,,,,24.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,1.0,,5.0,,,
fi_pud-ud-test,1000,0,86,,,,,,,,,48.0,,,,,,,,1.0,,,,,,,,,,6.0,,9.0,,,,,,,,,,,,,,,,1.0,,18.0,,,,,,,,,,,,,,2.0,,1.0,
fr_rhapsodie-ud-dev,1081,0,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_lines-ud-train,3176,0,41,,,,,,,1.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,
en_lines-ud-dev,1032,0,28,,,,,,,1.0,,24.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
en_lines-ud-test,1035,0,18,,,,,,,,,13.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,
ga_idt-ud-train,4005,0,159,,,,,,,,,152.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,
ga_idt-ud-test,454,0,24,,,,,,,,,23.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga_idt-ud-dev,451,0,19,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,
en_ewt-ud-test,2077,0,27,,,,,,,2.0,,11.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,4.0,,,,,,,,,,,,,,1.0,,1.0,
en_ewt-ud-dev,2001,0,38,,,,1.0,,,3.0,,24.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,1.0,,,,,,,,,,,,,,,,,
en_ewt-ud-train,12544,0,342,,1.0,,,,,63.0,,197.0,,,8.0,1.0,3.0,,,7.0,,,,,,,,,,,,,,,,,,7.0,,,1.0,,3.0,2.0,,,1.0,21.0,,19.0,,,,,,,,,,2.0,,1.0,,4.0,,1.0,
cs_cltt-ud-dev,316,0,29,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,9,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
cs_cltt-ud-test,338,0,15,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
hy_armtdp-ud-train,1974,0,145,,,,,,,1.0,,123.0,,,,,,,,10.0,,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
hy_armtdp-ud-dev,249,0,34,,,,,,,,,33.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,24,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_gc-ud-test,540,0,7,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_gc-ud-train,3960,0,58,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_gc-ud-dev,500,0,7,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,5,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_edt-ud-dev,3128,0,293,,,,,,,,,245.0,,,,,,,,17.0,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,15.0,,2.0,
et_edt-ud-train,24615,0,2163,,1.0,,4.0,,,,,1766.0,,,2.0,2.0,,,,70.0,,,1.0,,,,,,,15.0,,,,,,,,38.0,,,,,,11.0,12.0,,,5.0,8.0,54.0,,,,,,,,,,,1.0,152.0,,17.0,,4.0,
et_edt-ud-test,3214,0,221,,,,1.0,,,,,186.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,1.0,,,,2.0,11.0,,,,,,,,,,,1.0,,,5.0,,1.0,
id_csui-ud-test,374,0,14,,,1.0,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_csui-ud-train,656,0,53,,,,3.0,,,,,45.0,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
sv_pud-ud-test,1000,0,47,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
sjo_xdt-ud-test,810,0,55,,,,,,,,,8.0,,,,,,,,1.0,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,15.0,,6.0,,,,,,,,,,,,,,,,,
zh_pud-ud-test,1000,0,46,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-dev,1172,0,75,,,,,,,,,63.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,3.0,,2.0,,,,,,,,,,,,,,,,,
pt_bosque-ud-test,1167,0,83,,,,1.0,,,,,70.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,
pt_bosque-ud-train,7018,0,644,,1.0,,,,,,,541.0,,,3.0,1.0,1.0,,,21.0,,1.0,,,,,,,,,,2.0,,,,,,14.0,,,,,,21.0,,,4.0,,5.0,10.0,1.0,,,,,,,,,,,1.0,,14.0,,3.0,
is_icepahc-ud-dev,4865,0,5,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
is_icepahc-ud-train,34007,0,68,,,,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,47.0,4.0,10.0,,,,,,,,,,,,,,,,1.0,
is_icepahc-ud-test,5157,0,7,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,
de_lit-ud-test,1920,0,37,,,,,,,,,27.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,1.0,
ru_poetry-ud-test,728,0,26,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,6.0,1.0,,
ru_poetry-ud-dev,789,0,15,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,
ru_poetry-ud-train,3569,0,62,,,,,,,,,25.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,,,2.0,,,,,1.0,,,,,,1.0,,2.0,,22.0,,,
fro_profiterole-ud-dev,2085,0,2,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
fro_profiterole-ud-train,15503,0,77,,2.0,,1.0,,,1.0,,8.0,,,1.0,1.0,,,,14.0,,,,,,9.0,,1.0,,,,,,,,,,,,,,,,30.0,,,,,5.0,3.0,,,,,,,,,,,,,,1.0,,,
fro_profiterole-ud-test,2177,0,4,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
is_modern-ud-dev,394,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
is_modern-ud-train,2703,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,4,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
da_ddt-ud-train,4383,0,117,,,,1.0,,,,,105.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,4.0,,,
da_ddt-ud-test,565,0,19,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
da_ddt-ud-dev,564,0,13,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
cs_fictree-ud-dev,1309,0,28,,,,,,,,,18.0,,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,1.0,
cs_fictree-ud-train,10160,0,326,,,,1.0,,,,,207.0,,,1.0,,,,,16.0,,,,,38.0,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,34.0,,5.0,,,,,,,,,2.0,,,11.0,,7.0,
cs_fictree-ud-test,1291,0,23,,,,,,,,,17.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,
la_udante-ud-train,926,0,190,,,3.0,,,6.0,19.0,,63.0,,,,,,,,11.0,3.0,1.0,,,,,,,,3.0,,,,,,,,3.0,,,,,,6.0,,,4.0,,1.0,60.0,,,,,,,,,,,1.0,,,5.0,,1.0,
la_udante-ud-test,419,0,78,,,,,,1.0,11.0,1.0,27.0,,,,,,,,6.0,5.0,,,,,,4.0,,,,,,,,,,,1.0,,,,,,2.0,,1.0,1.0,,1.0,12.0,,,,,,,,,,1.0,4.0,,,,,,
la_udante-ud-dev,376,0,71,,,,1.0,1.0,1.0,2.0,,31.0,,,,,,,,3.0,2.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,1.0,,2.0,,,,18.0,,,,,,,,,,,5.0,,,1.0,,,
lij_glt-ud-test,296,0,9,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_partut-ud-dev,156,0,17,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,
it_partut-ud-test,153,0,23,,,,,,,,,17.0,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
it_partut-ud-train,1781,0,177,,,,,,,,,146.0,,,1.0,,,,,,,,,,,,,,,11.0,,,,,,,,7.0,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,2.0,,,
hyw_armtdp-ud-test,680,0,27,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,3.0,,,
hyw_armtdp-ud-dev,694,0,30,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,208,,,,,,,,,169.0,,,2.0,,,,,1.0,,,,,1.0,,,,,2.0,1.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,14.0,,,
pcm_nsc-ud-dev,990,0,11,,,,3.0,,,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pcm_nsc-ud-train,7279,0,91,,,1.0,19.0,,,4.0,,57.0,,,1.0,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,2.0,
pcm_nsc-ud-test,972,0,6,,,,3.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_rrt-ud-test,729,0,50,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,42.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,
ro_rrt-ud-train,8043,0,627,,,,1.0,,,,,,,,,,,,,41.0,,,,,,,,,13.0,1.0,,,,,,,,,,,,,,11.0,,,,542.0,3.0,1.0,,,,,,,,,,,,10.0,,4.0,,,
ro_rrt-ud-dev,752,0,57,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,50.0,,,,,,,,,,,,,,,,1.0,,1.0,
el_gdt-ud-test,456,0,26,,,,,,,,,23.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
el_gdt-ud-train,1662,0,103,,,,,,,,,78.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,2.0,,,,,,4.0,,,3.0,,1.0,6.0,,,,,,,,,,,1.0,,,2.0,,2.0,
el_gdt-ud-dev,403,0,53,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,
ca_ancora-ud-dev,1709,0,172,,1.0,,,,,,,157.0,,,1.0,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,4.0,,,,,,,,,,,,,,,,,
ca_ancora-ud-test,1846,0,163,,1.0,,,,,,,152.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,1280,,2.0,,2.0,,,,,1163.0,,,13.0,2.0,,,,17.0,,,,,1.0,,,,,,,,,,,,,,,,,,,35.0,,,,,5.0,19.0,,4.0,,,,,,,,,,,,15.0,,2.0,
gd_arcosg-ud-test,545,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,
gd_arcosg-ud-train,3541,0,79,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,
gd_arcosg-ud-dev,655,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,
cy_ccg-ud-test,953,0,47,,,,,,,9.0,,37.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy_ccg-ud-dev,409,0,21,,,,,,,1.0,,19.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy_ccg-ud-train,1189,0,39,,,,,,,3.0,,32.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
sl_sst-ud-train,4558,0,159,,,,,,,1.0,,105.0,,,2.0,,,,,11.0,,,,,,,2.0,,1.0,4.0,,,,,,,,3.0,,,,,,1.0,,,,1.0,5.0,8.0,,,,,,,,,,,1.0,1.0,2.0,11.0,,,
sl_sst-ud-test,1041,0,30,,,,,,,,,23.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,3.0,,,
sl_sst-ud-dev,505,0,25,,1.0,,,,,1.0,,20.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
de_gsd-ud-train,13814,0,726,,,,2.0,,,1.0,,674.0,,,2.0,,1.0,,,10.0,,,,,9.0,,,,,,,,,,,,,6.0,,,,,,4.0,,,2.0,,2.0,7.0,,,,,,,,,,,,,,5.0,,1.0,
de_gsd-ud-dev,799,0,36,,,,,,,,,32.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
de_gsd-ud-test,977,0,53,,,,,,,,,49.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
ka_glc-ud-test,151,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
xnr_kdtb-ud-test,288,0,3,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aln_gps-ud-test,966,0,19,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,2.0,,,,7.0,3.0,1.0,,,,,,,,,,,,,,,,,
it_twittiro-ud-test,142,0,2,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_twittiro-ud-train,1138,0,45,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
