Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmpr,advcl:cond,advcl:relcl,advcl:tcl,advmod,advmod:emph,amod,amod:flat,appos,aux,aux:caus,aux:ex,aux:pass,case,cc,cc:preconj,ccomp,ccomp:cleft,ccomp:obj,ccomp:pmod,clf,compound,compound:lvc,compound:redup,compound:svc,conj,cop,cop:emph,cop:own,csubj,csubj:pass,dep,det,det:numgov,discourse,dislocated,fixed,flat,flat:foreign,flat:name,iobj,list,mark,nmod,nmod:arg,nmod:comp,nmod:flat,nmod:npmod,nmod:part,nmod:poss,nmod:pred,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:pmod,obl:tmod,orphan,parataxis,parataxis:insert,parataxis:obj,parataxis:restart,reparandum,root,vocative,xcomp,xcomp:pred
ta_ttb-ud-dev,80,0,227,,7.0,25.0,40.0,,,,,,,3.0,,,52.0,,,,1.0,,,17.0,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,4.0,
ta_ttb-ud-test,120,0,399,,6.0,43.0,58.0,,,,,1.0,,2.0,,,129.0,,,,2.0,,,32.0,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,26.0,3.0,,,,,,,,2.0,,,,3.0,1.0,,,,,,,3.0,,,,,75.0,,7.0,
sga_dipwbg-ud-test,34,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,
it_vit-ud-train,8277,0,18,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,4.0,,,,,1.0,,,
it_vit-ud-test,1067,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-train,578,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,625,,239.0,13.0,8.0,,,,,,,,,,,,,,,,,10.0,,1.0,,,,,,,57.0,,,,2.0,,1.0,,,,,2.0,,,,6.0,,,20.0,38.0,,,,,,,20.0,1.0,,,26.0,50.0,1.0,30.0,2.0,,,1.0,,1.0,2.0,,,84.0,,8.0,2.0
cs_cac-ud-dev,603,0,6606,10.0,33.0,76.0,40.0,,,,,197.0,11.0,1470.0,,46.0,38.0,,,50.0,9.0,7.0,,21.0,,,,,,,,,905.0,129.0,,,28.0,3.0,35.0,,,,,36.0,29.0,2.0,,1.0,,1.0,1382.0,,,,,,,,340.0,93.0,,,318.0,458.0,,157.0,,,,10.0,10.0,,,,,577.0,1.0,83.0,
cs_cac-ud-train,23478,0,264313,655.0,1480.0,4562.0,2949.0,,,,,8027.0,301.0,56435.0,,1962.0,1429.0,,,2297.0,222.0,317.0,,1614.0,,,,,,,,,27152.0,8410.0,,,2170.0,151.0,1793.0,,,,,1316.0,1474.0,118.0,,68.0,,7.0,47877.0,,,,,,,,18204.0,2902.0,,,12608.0,21963.0,,8357.0,,,,916.0,616.0,,,,,21091.0,48.0,4822.0,
cs_cac-ud-test,628,0,6090,16.0,41.0,91.0,83.0,,,,,165.0,7.0,1270.0,,19.0,28.0,,,38.0,7.0,8.0,,45.0,,,,,,,,,736.0,186.0,,,63.0,2.0,42.0,,,,,21.0,13.0,,,1.0,,,928.0,,,,,,,,369.0,54.0,,,378.0,567.0,,203.0,,,,24.0,7.0,,,,,554.0,8.0,116.0,
yrl_complin-ud-test,1470,0,18,,,,,,,,,10.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,5.0,,,
eu_bdt-ud-train,5396,0,156,,1.0,,7.0,,,,,2.0,,,,,6.0,,,,,15.0,,12.0,,,,,1.0,,,,19.0,4.0,,,1.0,,,,,10.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,,73.0,,,
eu_bdt-ud-test,1799,0,35,,,,2.0,,,,,,,,,,1.0,,,,,2.0,,2.0,,,,,,,,,6.0,3.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,13.0,,,
eu_bdt-ud-dev,1798,0,54,,,,3.0,,,,,,,,,,,,,,,9.0,,3.0,,,,,,,,,5.0,,,,1.0,,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,26.0,,,
it_parlamint-ud-test,375,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-test,1727,0,154,,59.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,9.0,,,,10.0,26.0,,,,,,,,,,,,32.0,,3.0,
pl_lfg-ud-train,13774,0,1437,,602.0,1.0,40.0,,,,,,,,,,,,,,,,,15.0,,2.0,,,,,,,61.0,,,,1.0,,,,,,,,,,,8.0,,,42.0,,,,,,24.0,,66.0,2.0,,,53.0,273.0,,,,,,,,,,,,210.0,,37.0,
pl_lfg-ud-dev,1745,0,147,,49.0,,5.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,4.0,,,,7.0,31.0,,,,,,,,,,,,28.0,,6.0,
tr_tourism-ud-train,15473,0,4787,,10.0,,88.0,,,,,,,1.0,,,,,,,1.0,,,17.0,,,,,22.0,,,,90.0,,,,,,,,,3.0,,1.0,,,,,,,21.0,,,,,,,,,,,,1.0,11.0,,,,,,,504.0,,,,,4014.0,,3.0,
tr_tourism-ud-dev,2166,0,704,,,,8.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,6.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,600.0,,,
tr_tourism-ud-test,2191,0,673,,,,13.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,,,,1.0,,,,,1.0,,,,,,,,,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,89.0,,,,,560.0,,,
cs_poetry-ud-test,297,0,3028,,6.0,73.0,108.0,,,,,88.0,1.0,432.0,,47.0,36.0,,,3.0,,,,35.0,,,,,,,,,413.0,36.0,,,10.0,,13.0,,1.0,,,3.0,14.0,1.0,,,,,263.0,,,,,,,,289.0,11.0,,1.0,184.0,429.0,6.0,59.0,,,,21.0,77.0,,,,,279.0,18.0,71.0,
tr_imst-ud-train,3435,0,6145,,831.0,,565.0,,,,,,,6.0,,1.0,,,,,2.0,,,218.0,,,,,571.0,284.0,22.0,,611.0,1.0,,,32.0,,1.0,,,8.0,4.0,,7.0,,,5.0,,,246.0,,,,,,151.0,,153.0,,,,352.0,15.0,,,,,,1.0,31.0,,,,,2006.0,,21.0,
tr_imst-ud-dev,1100,0,1809,,259.0,,123.0,,,,,,,2.0,,,1.0,,,,,,,51.0,,,,,171.0,89.0,6.0,,181.0,,,,3.0,,,,,1.0,,,5.0,,,,,,62.0,,,,,,40.0,,38.0,,,,99.0,,,,,,,,10.0,,,,,660.0,,8.0,
tr_imst-ud-test,1100,0,1687,,174.0,,160.0,,,,,,,3.0,,,,,,,,,,69.0,,,,,135.0,69.0,1.0,,164.0,,,,7.0,,,,,3.0,2.0,,,,,,,,49.0,,,,,,26.0,,38.0,,,,91.0,2.0,,,,,,,16.0,,,,,674.0,,4.0,
lv_cairo-ud-test,20,0,34,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,7.0,
tr_boun-ud-dev,979,0,1956,,283.0,,208.0,,,,,,,2.0,,3.0,25.0,,,,,,,116.0,,,,,109.0,113.0,3.0,,206.0,57.0,,,31.0,,1.0,,,5.0,2.0,1.0,1.0,,,,,,38.0,,,,,,76.0,,31.0,,,,60.0,54.0,,,,,,1.0,6.0,,,,,504.0,,20.0,
tr_boun-ud-test,979,0,1945,,296.0,,218.0,,,,,,,10.0,,,4.0,,,,2.0,,,118.0,,,,,130.0,100.0,7.0,,210.0,27.0,,,53.0,,,,,7.0,2.0,,,,,1.0,,,30.0,,,,,,71.0,,43.0,,,,39.0,43.0,,,,,,1.0,9.0,,,,,512.0,,12.0,
tr_boun-ud-train,7803,0,16235,,2245.0,,1492.0,,,,,,,64.0,,5.0,311.0,,,,3.0,,,884.0,,,,,923.0,814.0,61.0,,1546.0,1787.0,,,346.0,,,,,41.0,3.0,2.0,3.0,,,1.0,,,229.0,,,,,5.0,554.0,,287.0,,,,348.0,365.0,,,,,1.0,2.0,69.0,,,,,3740.0,,104.0,
tr_penn-ud-dev,622,0,486,,2.0,,7.0,,,,,,,1.0,,,,,,,1.0,,,10.0,,,,,1.0,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,10.0,,,,,422.0,,2.0,
tr_penn-ud-test,924,0,643,,,,12.0,,,,,,,1.0,,,,,,,3.0,,,4.0,,,,,2.0,,,,20.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,37.0,,,,,559.0,,1.0,
tr_penn-ud-train,14850,0,11921,,81.0,,227.0,,,,,,,19.0,,22.0,,,,,38.0,,,284.0,,,,,37.0,,,,570.0,,,,2.0,,,,,24.0,,,2.0,,,,19.0,,30.0,,,,,,,,11.0,,,,14.0,17.0,,,,,,,323.0,,,,,10181.0,,20.0,
