Treebank,Number of Sentences,Failures,Total,_,acl,acl:crel,acl:relcl,advcl,advcl:ccomp,advcl:cleft,advcl:cmp,advcl:cond,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:quote,advcl:relcl,advcl:tcl,advmod,amod,appos,aux,aux:aspect,aux:caus,aux:cnd,aux:nec,aux:neg,aux:pass,aux:tense,case,cc,ccomp,ccomp:pmod,ccomp:rel,ccomp:relcl,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:svc,conj,conj:expl,cop,cop:outer,csubj,csubj:caus,csubj:cleft,csubj:pass,csubj:relcl,csubj:reported,dep,discourse,dislocated,dislocated:ccomp,dislocated:csubj,expl:pv,fixed,flat,flat:foreign,flat:name,iobj,mark,mark:prt,nmod,nmod:poss,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:lmod,obl:pmod,orphan,parataxis,parataxis:discourse,punct,reparandum,root,vocative,xcomp
sv_lines-ud-dev,1032,0,8,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv_lines-ud-train,3176,0,13,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,2.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
sv_lines-ud-test,1035,0,10,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,7.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
grc_proiel-ud-test,1047,0,145,,9.0,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,18.0,,7.0,,,,,,,,,,4.0,,,,,,,,,,,,,2.0,,,6.0,,,,,3.0,4.0,,,,17.0,,
grc_proiel-ud-train,15016,0,1845,,83.0,,,899.0,,,5.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,177.0,,,,,,,,,239.0,,62.0,,5.0,,,10.0,,,,,48.0,,,,,,,,,,,,,33.0,6.0,,29.0,1.0,,,,30.0,4.0,,,,211.0,,
grc_proiel-ud-dev,1019,0,109,,2.0,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,16.0,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,5.0,1.0,,2.0,,,,,,,,,,12.0,,
nds_lsdc-ud-train,500,0,51,,1.0,,,3.0,,,,,,,,,,,,,,,21.0,,,,,,,,,,5.0,,,,,,,,,2.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,
nds_lsdc-ud-test,500,0,19,,2.0,,,1.0,,,,,,,,,,,,,,,6.0,,,,,,1.0,,,,4.0,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
en_gum-ud-train,9521,0,10,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,2.0,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_gum-ud-test,1285,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_gum-ud-dev,1341,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_isdt-ud-test,482,0,30,,,,2.0,5.0,,,,,,,,,,,,,,,6.0,,,,,,5.0,,,,2.0,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
it_isdt-ud-train,13121,0,1019,,16.0,,126.0,144.0,,,,,,,,,,,,,,,256.0,,,,,,141.0,,,,119.0,,,,,,,,,42.0,,128.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,34.0,,
it_isdt-ud-dev,564,0,43,,2.0,,6.0,4.0,,,,,,,,,,,,,,,5.0,,,,,,3.0,,,,6.0,,,,,,,,,1.0,,12.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
tpn_tudet-ud-test,581,0,15,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,5.0,,
fr_rhapsodie-ud-train,1288,0,15,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,,4.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
fr_rhapsodie-ud-dev,1081,0,17,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,9.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
fr_rhapsodie-ud-test,840,0,26,,3.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,5.0,,,,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_lines-ud-train,3176,0,14,,,,,1.0,,,,,,,,,,,,,,,6.0,,,,,,2.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
en_lines-ud-dev,1032,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_parisstories-ud-dev,692,0,10,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
fr_parisstories-ud-train,1387,0,34,,3.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,15.0,,,,,,,,,2.0,,6.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
fr_parisstories-ud-test,697,0,4,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga_idt-ud-train,4005,0,9,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,,2.0,,
ga_idt-ud-test,454,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
ga_idt-ud-dev,451,0,3,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,
en_ewt-ud-test,2077,0,6,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_ewt-ud-dev,2001,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_ewt-ud-train,12544,0,42,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,7.0,,,,25.0,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_art-ud-test,50,0,54,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,9.0,,
hy_armtdp-ud-train,1974,0,331,,9.0,,4.0,81.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,23.0,,,,,,,1.0,5.0,80.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,74.0,,16.0
hy_armtdp-ud-dev,249,0,39,,2.0,,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,9.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,9.0,,
hy_armtdp-ud-test,277,0,54,,,,,11.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,4.0,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,11.0,,1.0
is_gc-ud-test,540,0,150,,,,4.0,10.0,,,,,,,,,,,,,,,58.0,,,,,,,,,,27.0,,,,,,,,,11.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,6.0,,7.0
is_gc-ud-train,3960,0,1444,,,,46.0,66.0,,,,,,,,,,,,,,,442.0,,,,,,,,,,157.0,,,,,,,,,56.0,,259.0,,,,,,,,18.0,,,,,,,,,,,,,,,36.0,,,110.0,78.0,,,,,,,,,61.0,,115.0
is_gc-ud-dev,500,0,223,,,,6.0,14.0,,,,,,,,,,,,,,,65.0,,,,,,,,,,35.0,,,,,,,,,7.0,,34.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,13.0,10.0,,,,,,,,,10.0,,27.0
grc_ptnk-ud-train,727,0,124,,,,5.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,28.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,7.0,,
grc_ptnk-ud-dev,439,0,64,,,,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,15.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,8.0,,
grc_ptnk-ud-test,410,0,87,,,,7.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,21.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,6.0,,
sjo_xdt-ud-test,810,0,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
pt_bosque-ud-dev,1172,0,130,,1.0,,15.0,30.0,,,,,,,,,,,,,,,12.0,,,,,,12.0,,,,21.0,,,,,,,,,4.0,,15.0,,8.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,2.0,,,,7.0,,
pt_bosque-ud-test,1167,0,101,,6.0,,17.0,22.0,,,,,,,,,,,,,,,2.0,,,,,,6.0,,,,12.0,,,,,,,,,5.0,,10.0,,6.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,3.0,,,,7.0,,1.0
pt_bosque-ud-train,7018,0,744,,27.0,,95.0,165.0,,,,,,,,,,,,,,,35.0,,,,,,54.0,,,,132.0,,,,,,,,,44.0,,71.0,,26.0,,,,,,,,,,,,13.0,,,,,,,1.0,,,,,,1.0,,,,,18.0,,,,61.0,,1.0
is_icepahc-ud-dev,4865,0,2299,,4.0,,57.0,256.0,,,,,,,,,,,,1.0,17.0,1.0,842.0,,,,,,,,,1.0,274.0,,,,,,,,,125.0,,527.0,,,,,,,,3.0,,,,,,,,,,2.0,,,,,2.0,,1.0,3.0,114.0,,,,,3.0,,,,57.0,,9.0
is_icepahc-ud-train,34007,0,9816,,7.0,,255.0,1105.0,,,,,,,,,,,,12.0,74.0,8.0,3322.0,,,,,,,,1.0,,1490.0,,,,,,,,,530.0,,2013.0,,,,,,,,23.0,,,,,,,,1.0,6.0,2.0,,,,4.0,21.0,,2.0,34.0,445.0,,,,,4.0,,,,403.0,,54.0
is_icepahc-ud-test,5157,0,2101,,,,57.0,251.0,,,,,,,,,,,,8.0,11.0,2.0,765.0,,,,,,,,,,281.0,,,,,,,,,109.0,,453.0,,,,,,,,7.0,,,,,,,,,,2.0,,,,2.0,7.0,,1.0,1.0,74.0,,,,,,,,,59.0,,11.0
de_lit-ud-test,1920,0,4,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fo_farpahc-ud-test,301,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fo_farpahc-ud-train,1020,0,12,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
fo_farpahc-ud-dev,300,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_modern-ud-dev,394,0,158,,,,2.0,7.0,,,,,,,,,,,,1.0,,,47.0,,,,,,,,,,33.0,,,,,,,,,14.0,,37.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,6.0,,2.0
is_modern-ud-train,2703,0,1309,,1.0,,16.0,54.0,,,,,,,,,,,,,9.0,,350.0,,,,,,,,,,297.0,,,,,,,,,69.0,,394.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,1.0,55.0,,,,,1.0,,,,41.0,,13.0
is_modern-ud-test,438,0,195,,2.0,,2.0,15.0,,,,,,,,,,,,,1.0,,47.0,,,,,,,,,,50.0,,,,,,,,,9.0,,52.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,6.0,,1.0
la_udante-ud-train,926,0,826,,2.0,,42.0,245.0,,,19.0,,,,,,,2.0,,,,,5.0,,,,,,35.0,,,,31.0,,,2.0,7.0,,,,,123.0,17.0,194.0,2.0,31.0,,2.0,10.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,52.0,,1.0
la_udante-ud-test,419,0,351,,3.0,,7.0,113.0,,,9.0,,,,,2.0,,1.0,,,,,1.0,,,,,,29.0,,,,14.0,,,,,,,,,48.0,5.0,51.0,1.0,11.0,,,9.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,45.0,,
la_udante-ud-dev,376,0,259,,,,8.0,98.0,,,9.0,,,,,,,,,,,,,,,,,,6.0,,,,14.0,,,,1.0,,,,,46.0,2.0,28.0,1.0,7.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,37.0,,
lij_glt-ud-test,296,0,30,,,,3.0,3.0,,,,,,,,,,,,,,,13.0,,,,,,,,,,7.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
lij_glt-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qaf_arabizi-ud-train,1003,0,142,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,109.0,,,,24.0,3.0,
qaf_arabizi-ud-test,145,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,3.0,,
qaf_arabizi-ud-dev,139,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,9.0,,,,5.0,,
it_partut-ud-dev,156,0,14,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_partut-ud-test,153,0,23,,,,5.0,,,,,,,,,,,,,,,,4.0,,,,,,7.0,,,,1.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_partut-ud-train,1781,0,237,,6.0,,21.0,24.0,,,,,,,,,,,,,,,63.0,,,,,,43.0,,,,31.0,,,,,,,,,6.0,,37.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,
hyw_armtdp-ud-test,680,0,617,,7.0,,63.0,55.0,,,,,,,,,,3.0,,,,2.0,7.0,,3.0,,,,,,,,19.0,,,,,,,,,171.0,,9.0,,25.0,,,,,,,7.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,24.0,,,,218.0,,2.0
hyw_armtdp-ud-dev,694,0,534,,7.0,,77.0,44.0,,,,,,,,,,12.0,,,,1.0,3.0,,,,,,,,,,26.0,,,,,,,,1.0,138.0,,9.0,,10.0,,,2.0,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,11.0,,,,179.0,,5.0
hyw_armtdp-ud-train,5282,0,3999,,81.0,,327.0,318.0,,,,,,,,,,57.0,,,,11.0,31.0,,4.0,,,,,,,,170.0,,,,,,,1.0,3.0,1001.0,,26.0,,79.0,,,8.0,,,,37.0,2.0,,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,243.0,,,,1562.0,,34.0
ro_rrt-ud-test,729,0,328,,5.0,,,21.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,59.0,15.0,,,,,,,,15.0,,3.0,,11.0,,,1.0,,,,,,,,,,,,,,182.0,,,,,,,,,,,,,1.0,,,,3.0,,6.0
ro_rrt-ud-train,8043,0,3620,,90.0,,,242.0,,,,,,,,,,,1.0,,,2.0,8.0,,,,,,97.0,,1.0,,532.0,82.0,,,,,,,,127.0,,86.0,,201.0,,,8.0,,,,,,,,1.0,17.0,,,,,1994.0,,1.0,,2.0,,,3.0,,,,,,2.0,,,,43.0,,80.0
ro_rrt-ud-dev,752,0,390,,4.0,,,35.0,,,,,,,,,,,,,,1.0,,,,,,,8.0,,,,56.0,7.0,,,,,,,,17.0,,7.0,,26.0,,,,,,,,,,,,1.0,,,,,214.0,,,,,,,,,,,,,1.0,,,,3.0,,10.0
ca_ancora-ud-dev,1709,0,303,,50.0,,3.0,45.0,,,,,,,,,,,,,,,48.0,,,,,,,,,,75.0,,,,,,,,,16.0,,33.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,8.0
ca_ancora-ud-test,1846,0,252,,34.0,,2.0,43.0,,,,,,,,,,,,,,,46.0,,,,,,,,,,54.0,,,,,,,,,16.0,,20.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,11.0
ca_ancora-ud-train,13123,0,2070,,395.0,,33.0,352.0,,,,,,,,,,,,,,,313.0,,,,,,,,,,453.0,,,,,,1.0,,,145.0,,172.0,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,35.0,,61.0
cy_ccg-ud-test,953,0,5,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
cy_ccg-ud-dev,409,0,3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
cy_ccg-ud-train,1189,0,4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
nhi_itml-ud-test,909,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
de_gsd-ud-train,13814,0,526,,13.0,,,17.0,,,,,,,,,,,,,,,315.0,,,,,,20.0,,,,34.0,,,,,,,,,17.0,,67.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,2.0,,2.0,,,,,,,,,2.0,,,,34.0,,
de_gsd-ud-dev,799,0,82,,1.0,,,3.0,,,,,,,,,,,,,,,53.0,,,,,,1.0,,,,7.0,,,,,,,,,3.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,
de_gsd-ud-test,977,0,161,,5.0,,,3.0,,,,,,,,,,,,,,,83.0,,,,,,15.0,,,,13.0,,,,,,1.0,,,3.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,19.0,,
ka_glc-ud-test,151,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
xnr_kdtb-ud-test,288,0,16,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0
aln_gps-ud-test,966,0,19,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,7.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,4.0
it_twittiro-ud-test,142,0,16,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,6.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,
it_twittiro-ud-train,1138,0,95,,2.0,,2.0,11.0,,,,,,,,,,,,,,,19.0,,,,,,1.0,,,,25.0,,,,,,,,,,,20.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,6.0,,
it_twittiro-ud-dev,144,0,11,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,
it_markit-ud-test,340,0,52,,1.0,,4.0,5.0,,,,,,,,,,,,,,,13.0,,,,,,3.0,,,,11.0,,,,,,,,,3.0,,8.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
it_markit-ud-train,611,0,69,,2.0,,12.0,9.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,14.0,,,,,,,,,7.0,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0
it_markit-ud-dev,341,0,50,,3.0,,4.0,5.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,7.0,,,,,,,,,3.0,,11.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
gl_pud-ud-test,1000,0,104,,10.0,,,22.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,41.0,,,,,,,,,5.0,,10.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0
en_pronouns-ud-test,285,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur_udtb-ud-train,4043,0,381,,17.0,,7.0,12.0,,,,,,,,,,,,,,,163.0,,,,,,,,,,81.0,,,,,,23.0,,,25.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,2.0,,,1.0,,,,,,,,,,48.0,,
ur_udtb-ud-dev,552,0,31,,,,,1.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,11.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
ur_udtb-ud-test,535,0,39,,3.0,,,2.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,9.0,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,,
it_postwita-ud-train,5368,0,344,,6.0,,15.0,31.0,,,,,,,,,,,,,,,61.0,,,,,,8.0,,,,90.0,,,,,,,,,13.0,,84.0,,8.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,13.0,,,,12.0,,1.0
it_postwita-ud-dev,670,0,44,,1.0,,1.0,5.0,,,,,,,,,,,,,,,11.0,,,,,,,,,,9.0,,,,,,,,,1.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,,1.0
it_postwita-ud-test,674,0,55,,2.0,,1.0,12.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,13.0,,,,,,,,,1.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
sga_dipwbg-ud-test,34,0,29,,1.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,9.0,,
xum_ikuvina-ud-test,133,0,16,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,
la_ittb-ud-dev,2101,0,701,,10.0,,53.0,155.0,,,7.0,,,,,,,5.0,,,,,8.0,,,,,,20.0,,,,8.0,,,1.0,,,,,,26.0,4.0,214.0,,83.0,,,15.0,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,86.0,,
la_ittb-ud-test,2101,0,610,,12.0,,19.0,159.0,,,4.0,,,,,,,5.0,,,,,18.0,,,,,,20.0,,,,18.0,,,1.0,,,,,,27.0,2.0,180.0,,63.0,,,25.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,48.0,,
la_ittb-ud-train,22775,0,9081,,273.0,,430.0,2422.0,,,98.0,,,,,,,86.0,,,,,78.0,,,,,,388.0,,,,230.0,,,27.0,,,,,,565.0,67.0,2309.0,2.0,1096.0,,,291.0,81.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,626.0,,6.0
it_vit-ud-train,8277,0,190,,6.0,,11.0,14.0,,,,,,,,,,,,,,,53.0,,,,,,27.0,,,,44.0,,,,,,,,,5.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
it_vit-ud-test,1067,0,48,,,,1.0,2.0,,,,,,,,,,,,,,,16.0,,,,,,5.0,,,,12.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_vit-ud-dev,743,0,43,,,,5.0,1.0,,,,,,,,,,,,,,,27.0,,,,,,3.0,,,,2.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-test,805,0,28,,,,,1.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,
qtd_sagt-ud-dev,801,0,48,,,,,3.0,,,,,,,,,,,,,,,31.0,,,,,,,,,,2.0,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,4.0,,
qtd_sagt-ud-train,578,0,27,,,,,1.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,
