Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:quote,advcl:relcl,advcl:tcl,advmod,advmod:mmod,advmod:tmod,amod,appos,appos:trans,aux,aux:q,case,cc,ccomp,ccomp:obj,ccomp:obl,clf,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,cop,csubj,csubj:cop,csubj:outer,dep,dep:comp,dep:der,dep:infl,dep:repeat,det,det:poss,discourse,dislocated,dislocated:obj,expl,expl:poss,expl:pv,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:att,nmod:cau,nmod:comp,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:caus,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:lo,obl,obl:agent,obl:arg,obl:cmp,obl:cmpr,obl:inst,obl:lmod,obl:pmod,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:rep,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:ds
fr_rhapsodie-ud-dev,1081,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,
fr_rhapsodie-ud-test,840,0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
fr_parisstories-ud-dev,692,0,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,
fr_parisstories-ud-train,1387,0,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,9.0,,,,
fr_parisstories-ud-test,697,0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
ro_art-ud-test,50,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,158,,,1.0,,,,,,,,6.0,,,,,,,,,,,6.0,,,,14.0,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,15.0,,48.0,1.0,,,2.0,,35.0,,20.0,,,,,,,,,,1.0,,,,,1.0,3.0,1.0,
hy_armtdp-ud-dev,249,0,24,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,3.0,,3.0,,,,,,6.0,,4.0,,,,,,,,,,1.0,,,,,2.0,,,
hy_armtdp-ud-test,277,0,38,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,9.0,,,,1.0,,10.0,,5.0,,,,,,,,,,,,,,,,,,
mk_mtb-ud-test,155,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,248,12.0,,3.0,,,,,,,6.0,,,,,3.0,,5.0,,,,,8.0,,,,24.0,,2.0,,,,,,,,,,,,,,,,,1.0,,4.0,,,3.0,,,,,,,,,,23.0,,26.0,,,,5.0,,46.0,,68.0,,,,,,,,,,,,,,,7.0,2.0,,
ota_boun-ud-test,400,0,923,36.0,,6.0,,,,,,,37.0,,,3.0,,2.0,,23.0,,,,5.0,38.0,,,2.0,82.0,,5.0,,,,,,,,,,1.0,1.0,,,,,,6.0,,2.0,,,25.0,,,,,,,,,,110.0,,100.0,,,,3.0,,168.0,,246.0,2.0,,,,,,,,,1.0,,,,,17.0,1.0,1.0,
de_lit-ud-test,1920,0,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-train,34,0,21,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,6.0,,2.0,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,58,,,,,,,,,,,1.0,,,,5.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,10.0,,3.0,,,,14.0,,5.0,,,,,,11.0,,5.0,,,,,,,,1.0,,
da_ddt-ud-train,4383,0,486,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,477.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,1.0,,
da_ddt-ud-test,565,0,62,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da_ddt-ud-dev,564,0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
cs_fictree-ud-train,10160,0,868,,1.0,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,
cs_fictree-ud-test,1291,0,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
la_udante-ud-train,926,0,36,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-test,419,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-dev,376,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,104,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,12.0,,51.0,1.0,,,,,12.0,,15.0,,,,,,,,,,,,,,,2.0,,,
hyw_armtdp-ud-dev,694,0,48,,,,,,,,,,,,,,,3.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,3.0,,13.0,,,,,,9.0,,9.0,,,,,,,,,,,,,,,3.0,,,
hyw_armtdp-ud-train,5282,0,566,2.0,1.0,2.0,,1.0,,,,,,6.0,,,,,,1.0,,,,,17.0,,,,33.0,,1.0,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,12.0,,,,52.0,,152.0,,,,6.0,,113.0,,131.0,1.0,,,,,,,,,7.0,,,,,19.0,3.0,1.0,
ro_rrt-ud-test,729,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
ro_rrt-ud-train,8043,0,659,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,624.0,,,,,,1.0,1.0,2.0,2.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,1.0,,16.0,1.0,,,,,,1.0,,,,,,,,1.0,,,
ro_rrt-ud-dev,752,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,227,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,25.0,,19.0,,,,,,80.0,,92.0,,,,,,,,,,,,,,,,3.0,,
sme_giella-ud-test,865,0,42,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,,3.0,,,,,,11.0,,5.0,,,,,,,,,,,,,,,,,,
ca_ancora-ud-dev,1709,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-test,1846,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,36,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,33.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhi_itml-ud-test,909,0,376,2.0,,,,,,,,,,11.0,,,,2.0,,2.0,,,,,,,,,11.0,,2.0,,,,,,,,,,,,,,,,1.0,,,9.0,,,30.0,,,,,,,,,,,,69.0,,,,,,55.0,,164.0,,,,,,,,,,8.0,,,,1.0,8.0,1.0,,
sl_sst-ud-train,4558,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,11.0,,,,,,,,,2.0,1.0,,,,2.0,3.0,,,
sl_sst-ud-test,1041,0,23,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,
sl_sst-ud-dev,505,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
de_gsd-ud-train,13814,0,1476,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,10.0,1459.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,
de_gsd-ud-dev,799,0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
de_gsd-ud-test,977,0,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,69,,,5.0,,,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,,17.0,,,,,,12.0,,8.0,,,,,,,,,1.0,1.0,,,,,6.0,3.0,,
kk_ktb-ud-train,31,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,567,,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,
cs_pdt-ud-dev,9270,0,517,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
cs_pdt-ud-train,68491,0,3746,1.0,,,,,,,,,7.0,2.0,,,,,,1.0,,,,,,,,,12.0,,,,,3.0,,,,,3698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,1.0,,,,,,,,,,,,,1.0,,,
gl_pud-ud-test,1000,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gn_oldtudet-ud-test,59,0,7,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,
ota_dudu-ud-test,85,0,99,1.0,,,,,,,,,2.0,,,,,,,1.0,,,,,1.0,,,,4.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,7.0,,,,,,,,,,18.0,,15.0,,,,,,10.0,,32.0,,,,,,,,,,,,,,,4.0,1.0,,
ug_udt-ud-test,900,0,87,,,,,,,1.0,,,2.0,,,,,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,7.0,,24.0,,,,,,13.0,,20.0,,,,,,,,,,,,,,,3.0,1.0,1.0,
ug_udt-ud-dev,900,0,84,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,5.0,,1.0,,,,,,,,12.0,,31.0,,,,,,11.0,,13.0,,,,,,,,,,,,,,,1.0,,,
ug_udt-ud-train,1656,0,105,,,,,,,,,,3.0,1.0,,,,,,2.0,,,,8.0,,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,,,,,,,,7.0,,33.0,,,,,,19.0,,17.0,,,,,,,,,,,,,,,3.0,3.0,,
azz_itml-ud-test,1260,0,435,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,8.0,,,,,,,,,,,20.0,,,,,,,,,,,,118.0,,,,,,86.0,,174.0,,,,,,,,,,1.0,,,,3.0,17.0,,,
xum_ikuvina-ud-test,133,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-test,2101,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-train,22775,0,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
qtd_sagt-ud-test,805,0,380,16.0,,16.0,,,,,,,,2.0,1.0,,,4.0,,9.0,,,,6.0,,,,,24.0,,10.0,,,,,,,,,,,7.0,,,,,1.0,,,,,1.0,34.0,,,,,,,,,,,,48.0,,,,,1.0,57.0,,95.0,,,,,,,,,,10.0,3.0,,1.0,4.0,22.0,1.0,7.0,
qtd_sagt-ud-dev,801,0,385,15.0,,24.0,,,,,,,1.0,2.0,,,,6.0,,22.0,,,,13.0,,,,,22.0,,5.0,,,,,,,,,,,2.0,,,,,,,,,,4.0,29.0,,,,,,,,,,,,66.0,,,,1.0,1.0,54.0,,70.0,,,,,,,,,,3.0,6.0,,,4.0,20.0,2.0,13.0,
qtd_sagt-ud-train,578,0,205,13.0,,8.0,,,,,,,,1.0,,,,2.0,,7.0,,,,4.0,,,,,13.0,,4.0,,,,,,,,1.0,,,4.0,,,,,,,,,,1.0,14.0,,,,,,,,,,,,42.0,,,,,,23.0,,45.0,,,,,,,,,,4.0,3.0,,,3.0,8.0,,5.0,
krl_kkpp-ud-test,228,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-dev,603,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,1623,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,3.0,,,,,1.0,,,,,1610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,
cs_cac-ud-test,628,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yrl_complin-ud-test,1470,0,137,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,6.0,,,2.0,,,,,,,,,,5.0,,40.0,,,,,,46.0,,33.0,,,,,,,,,,1.0,,,,,2.0,,,
fi_ftb-ud-dev,1875,0,81,2.0,,5.0,,,,5.0,,,,,,,,3.0,,1.0,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,7.0,,1.0,,,,21.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0,
fi_ftb-ud-train,14981,0,611,11.0,,64.0,,,,62.0,,,3.0,,,1.0,,12.0,,6.0,,,,,,,3.0,,22.0,5.0,,,,,,,,,,,,,,,,,,,,,,,144.0,,,,,,,,,,,,55.0,,17.0,,,,151.0,,,,,,,,,,,,,,,,,31.0,4.0,20.0,
fi_ftb-ud-test,1867,0,99,1.0,,5.0,,,,11.0,,,,,,,,2.0,,,,,,,,,1.0,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,9.0,,4.0,,,,27.0,,,,,,,,,,,,,,,,,3.0,1.0,3.0,
pl_lfg-ud-test,1727,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,202,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,1.0,,,
pl_lfg-ud-dev,1745,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
fr_partut-ud-dev,107,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_partut-ud-test,110,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_partut-ud-train,803,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-train,15473,0,4894,15.0,,79.0,,,,,,,64.0,1.0,,18.0,,49.0,,87.0,,,,74.0,,,,,208.0,,29.0,,,14.0,,,,,,,4.0,,,,,,2.0,2.0,,,7.0,,400.0,,,,,,,,,,,,2435.0,,,,,,673.0,,294.0,,,,,,,,,1.0,32.0,,,,,397.0,4.0,5.0,
tr_tourism-ud-dev,2166,0,681,,,25.0,,,,,,,10.0,1.0,,,,16.0,,12.0,,,,6.0,,,,,26.0,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,22.0,,,,,,,,,,,,363.0,,,,,,112.0,,25.0,,,,,,,,,,2.0,,,,,55.0,,1.0,
tr_tourism-ud-test,2191,0,512,,,22.0,,,,,,,9.0,,,2.0,,2.0,,8.0,,,,7.0,,,,,9.0,,12.0,,,,,,,,,,,,,,,,,1.0,,,,,24.0,,,,,,,,,,,,211.0,,,,,1.0,69.0,,38.0,,,,,,,,,,6.0,,,,,91.0,,,
ab_abnc-ud-test,263,0,107,,,,1.0,,,1.0,,,,,,,,35.0,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,16.0,,,,,,11.0,10.0,7.0,,,,,,,,,,,,,,,11.0,7.0,,
cs_poetry-ud-test,297,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,4421,264.0,,78.0,,,,21.0,,,145.0,8.0,,,,14.0,,86.0,,,,209.0,45.0,,,17.0,263.0,,15.0,,,,,,,,,,11.0,2.0,,,,,,108.0,,68.0,,,327.0,,,,,,,,,,317.0,,758.0,,,1.0,,1.0,794.0,,698.0,,,,,,,,,1.0,8.0,,,,,154.0,7.0,1.0,
tr_imst-ud-dev,1100,0,1330,83.0,,12.0,,,,4.0,,,58.0,1.0,,,,7.0,,25.0,,,,82.0,18.0,,,2.0,82.0,,4.0,,,,,,,,,,2.0,,,,,,,44.0,,11.0,,,107.0,,,,,,,,,,116.0,,198.0,,,,,,216.0,,207.0,,,,,,,,,,1.0,,,,,47.0,2.0,1.0,
tr_imst-ud-test,1100,0,1071,58.0,,10.0,,,,1.0,,,45.0,1.0,,,,2.0,1.0,26.0,,,,46.0,12.0,,,4.0,64.0,,6.0,,,,,,,,,,2.0,,,,,,,20.0,,20.0,,,70.0,,,,,,,,,,67.0,,148.0,,,,,,200.0,,211.0,,,,,,,,,,2.0,,,,,55.0,,,
bxr_bdt-ud-train,19,0,2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-test,908,0,106,,,4.0,,,,4.0,,,1.0,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,33.0,,,,,,,,,,,,18.0,,,,1.0,,14.0,,9.0,,,,,,,,,,2.0,,,,,10.0,,2.0,
es_coser-ud-test,539,0,30,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
tr_boun-ud-dev,979,0,1570,60.0,,51.0,,,,3.0,,,38.0,1.0,,,,1.0,,53.0,,,,29.0,24.0,,,5.0,122.0,2.0,20.0,,,,,2.0,,,,,1.0,,,,,,,8.0,,9.0,,,27.0,,,,,,,,,,150.0,,218.0,,,,,,256.0,,417.0,,,,,,,,4.0,2.0,5.0,,,,,56.0,6.0,,
tr_boun-ud-test,979,0,1570,71.0,,43.0,,,,,,,40.0,3.0,,,,1.0,,62.0,,,,31.0,17.0,,,7.0,96.0,1.0,33.0,,,,,,,,,,3.0,1.0,,,,,,4.0,,8.0,,,23.0,,,,,,,,,,128.0,,234.0,,,,,,267.0,,419.0,,,,,,,,,,2.0,,,,,74.0,2.0,,
tr_boun-ud-train,7803,0,12872,669.0,,291.0,,,,,,,216.0,20.0,,20.0,1.0,21.0,,445.0,,,,242.0,146.0,,,45.0,940.0,47.0,226.0,,1.0,,,,,,1.0,,10.0,3.0,,,,,,66.0,,67.0,4.0,,361.0,,,,,,,,,30.0,1112.0,,1761.0,,,8.0,,1.0,2193.0,,3280.0,,,,,,,,63.0,10.0,16.0,,,,,518.0,23.0,15.0,
tr_penn-ud-dev,622,0,825,3.0,,19.0,,,,,,,4.0,4.0,,,,14.0,,58.0,,,,10.0,,,,,31.0,,6.0,,,,,,,,,,1.0,,,,,,,2.0,,,1.0,,189.0,,,,,,,,,,,,170.0,,,,,,138.0,,141.0,,,,,,,,,1.0,1.0,,,,,30.0,,2.0,
tr_penn-ud-test,924,0,1190,4.0,,30.0,,,,,,,12.0,,,1.0,,15.0,,63.0,,,,24.0,,,,,32.0,,11.0,,,,,,,,,,6.0,,,,,,,23.0,,1.0,,,306.0,,,,,,,,,,,,191.0,,,,,4.0,226.0,,185.0,,,,,,,,,,3.0,,,,,48.0,,5.0,
tr_penn-ud-train,14850,0,19350,81.0,,211.0,,,,,,,289.0,94.0,,7.0,,217.0,,1763.0,,,1.0,425.0,,,,,658.0,,174.0,,,,,,,,,,23.0,,,,,,12.0,174.0,,6.0,33.0,,3873.0,,,,,,,,,,,,3785.0,,,1.0,,37.0,3531.0,,3094.0,,,,,,,,,,43.0,,,,,779.0,1.0,38.0,
