Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:cmp,advcl:pred,advcl:relcl,advmod,advmod:emph,amod,appos,aux,aux:part,case,cc,ccomp,ccomp:relcl,compound,compound:lvc,compound:prt,compound:redup,compound:smixut,conj,conj:expl,cop,csubj,csubj:pass,csubj:relcl,dep,dep:infl,det,det:poss,discourse,dislocated,dislocated:obj,expl,expl:comp,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:repeat,flat:sibl,iobj,nmod,nmod:arg,nmod:att,nmod:cau,nmod:comp,nmod:gobj,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:pass,obj,obj:agent,obj:appl,obj:caus,obl,obl:agent,obl:arg,obl:cmp,obl:cmpr,obl:dat,obl:depict,obl:float,obl:lmod,obl:mod,obl:npmod,obl:pmod,obl:subj,orphan,parataxis,reparandum,root,xcomp,xcomp:pred
hy_bsut-ud-dev,479,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,27.0,,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,,
mdf_jr-ud-test,454,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
vep_vwt-ud-test,103,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.0,,,,,,,,,,,,,,,,,39.0,,,,,,,,4.0,,,7.0,,,,26.0,,7.0,,,,,,,,,,,,,,,1.0,
bor_bdt-ud-test,881,0,183,,1.0,,8.0,,,,,,,,1.0,,,17.0,,5.0,,,,,,,15.0,,,,,,4.0,,,,,1.0,,,,,,,,,1.0,,,,,15.0,,,,,,,,10.0,,,11.0,,,,46.0,,,,,,,,,,,,,,11.0,,25.0,12.0,
es_pud-ud-test,1000,0,314,,,,,,,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,,,,,120.0,,2.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,96.0,,74.0,,,,,,,3.0,,,,,,,,,,,14.0,,,,2.0,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,5.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,148,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,33.0,,,,,,,,,,,,,,,,,10.0,,,,,2.0,,,2.0,,,60.0,,,,34.0,,,,,,,,,,,,,,,,3.0,1.0,
fi_tdt-ud-test,1555,0,17,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,7.0,,,,2.0,,,,,,,,,,,,,,,,,,
fi_tdt-ud-dev,1364,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,8.0,,,,7.0,,,,,,,,,,,,,,,,,,
id_gsd-ud-train,4482,0,47,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,37.0,,,,2.0,,,,,,,,,,,,,,,,,,
id_gsd-ud-test,557,0,4,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,
id_gsd-ud-dev,559,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,1361,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,263.0,,,,,1076.0,,,,,,,,,,,,3.0,,,,,,,,,,,4.0,,,,13.0,,,,,,,,,,,,,,,,,,
sr_set-ud-dev,536,0,236,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,41.0,,,,,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
gv_cadhan-ud-test,1164,0,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
gv_cadhan-ud-train,1172,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,58,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,26.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,18.0,,,1.0,,,,5.0,2.0,,,,,,,,,,,,,,,1.0,,
myv_jr-ud-train,1217,0,50,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,15.0,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,
quc_iu-ud-test,1435,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,22.0,,,,6.0,,,,,,,,,,,,,,,,,,
tr_framenet-ud-test,205,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,30,,,,4.0,,,,,,,5.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,2.0,,,5.0,,,,3.0,,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,2,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_pud-ud-test,1000,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,,,2.0,,,,,,,,,,,,,,,,,,
af_afribooms-ud-train,1315,0,21,,,,,,,,,,,6.0,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,,,,4.0,,,,,,,,,,,,,,,,,,
af_afribooms-ud-dev,194,0,4,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
af_afribooms-ud-test,425,0,12,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,3.0,,,,,,,,,,,,,,,,,,
it_pud-ud-test,1000,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
fr_fqb-ud-test,2289,0,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
la_proiel-ud-test,1260,0,155,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,3.0,,,,,,1.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,1.0,23.0,,,,21.0,3.0,13.0,,,,,,,,,,,,,,,,
la_proiel-ud-dev,1233,0,143,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,1.0,22.0,,,,20.0,2.0,13.0,,,,,,,,,,,1.0,,,,1.0,
la_proiel-ud-train,16196,0,1768,,2.0,,2.0,,3.0,,,,,,2.0,,,,,8.0,,,,,,,12.0,,,,,,2.0,,807.0,,,,,,,,,,,,,,,,,18.0,,,,,,,,196.0,,18.0,286.0,,,,278.0,31.0,98.0,,,,,,,,,,,1.0,,,1.0,3.0,
kpv_ikdp-ud-test,214,0,11,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,5.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,47,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,3.0,,,,,,,7.0,6.0,,,5.0,,,,8.0,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
mpu_tudet-ud-test,37,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,86,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,13.0,,,12.0,,,,38.0,,,,,,,,,,,,,,,,,,
br_keb-ud-test,884,0,25,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_gsd-ud-test,416,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,29.0,,,,,,4.0,1.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,
fr_gsd-ud-train,14450,0,2193,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,,,,,,,,,621.0,,884.0,,,,,,67.0,36.0,,,,,,,,1.0,,4.0,519.0,4.0,,,,1.0,6.0,,,,,,,45.0,,,,,,,,,
fr_gsd-ud-dev,1476,0,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,104.0,,,,,,6.0,3.0,,,,,,,,,,,70.0,,,,,,,,,,,,,3.0,,,,,,,,,
grc_proiel-ud-test,1047,0,46,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,4.0,,,5.0,,,,17.0,,3.0,,,,,,,,,,,,,,,1.0,
grc_proiel-ud-train,15016,0,565,,,,,,11.0,,,,,,1.0,,,,,4.0,,,,,,,3.0,,,,,,,,137.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,15.0,,,153.0,,,,183.0,2.0,39.0,,,,,,,,,,,4.0,,,2.0,5.0,
grc_proiel-ud-dev,1019,0,42,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,5.0,,,,16.0,,5.0,,,,,,,,,,,,,,,2.0,
nds_lsdc-ud-train,500,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,7.0,,,,,,,,,3.0,,,26.0,,,,10.0,,1.0,,,,,,,,,,,,,,,,
nds_lsdc-ud-test,500,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,6.0,1.0,,,,,,,,3.0,,,21.0,,,,3.0,,,,,,,,,,,,,,,,,,
en_gum-ud-train,9521,0,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,,,,,,21.0,,,,,52.0,,,,14.0,,,,,,,,,,,,,,,,,,
en_gum-ud-test,1285,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,10.0,,,,5.0,,,,,,,,,,,,,,,,,,
en_gum-ud-dev,1341,0,23,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,3.0,,,,,11.0,,,,6.0,,,,,,,,,,,,,,,,,,
fo_oft-ud-test,1208,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,12.0,,,,5.0,,,,,,,,,,,,,,,,,,
ru_taiga-ud-train,16045,0,603,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,344.0,,,,,,,,,,,12.0,,,,,43.0,13.0,,,,,,,,2.0,,,88.0,,,,95.0,,,,,,,,,,,,,,,,3.0,1.0,
ru_taiga-ud-dev,946,0,35,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,19.0,,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,,,2.0,,,,6.0,,,,,,,,,,,,,,1.0,,1.0,,
ru_taiga-ud-test,881,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,4.0,,,,5.0,,,,,,,,,,,,,1.0,,,,,
tpn_tudet-ud-test,581,0,119,,,,18.0,,,,,,,,3.0,,,,,,,,,,,,7.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,1.0,,,12.0,,,,20.0,,,,,,,,,,,,,,14.0,,30.0,3.0,
fi_pud-ud-test,1000,0,4,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,
fr_rhapsodie-ud-train,1288,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
fr_rhapsodie-ud-dev,1081,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
fr_rhapsodie-ud-test,840,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
en_lines-ud-train,3176,0,122,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,28.0,,,,,,,,1.0,,1.0,52.0,,,,33.0,,,,,,,,,,,,,,,,,,
en_lines-ud-dev,1032,0,37,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,,,,,,,,,,,19.0,,,,6.0,,,,,,,,,,,,,,,,,,
en_lines-ud-test,1035,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,25.0,,,,7.0,,,,,,,,,,,,,,,,,1.0,
fr_parisstories-ud-dev,692,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,7.0,,,,,,13.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,
fr_parisstories-ud-train,1387,0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,19.0,2.0,,,,,,,,,,,24.0,,,,,,,,,,,,,1.0,,,,,,,,,
fr_parisstories-ud-test,697,0,21,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,6.0,,,,,,8.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,
ga_idt-ud-train,4005,0,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga_idt-ud-test,454,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga_idt-ud-dev,451,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_ewt-ud-test,2077,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
en_ewt-ud-dev,2001,0,18,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,4.0,,1.0,,,3.0,,,,6.0,,,,,,,,,,,,,,,,,,
en_ewt-ud-train,12544,0,139,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,10.0,,,,,,25.0,1.0,1.0,,1.0,54.0,,,,12.0,,,,,,,,,,17.0,,,,,,2.0,,
ro_art-ud-test,50,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,107.0,,35.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,122.0,,32.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,119.0,,46.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,
tl_trg-ud-test,128,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,192,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,3.0,150.0,,,,,,,,,,,3.0,,,,1.0,1.0,,,,,,2.0,,,,,7.0,,,,19.0,,,,,,,,,,,,,,,,,1.0,
hy_armtdp-ud-dev,249,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,
mk_mtb-ud-test,155,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,31.0,,,,,5.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,24,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,4.0,,,5.0,,,,9.0,,,,,,,,,,,,,,,,,,
et_edt-ud-dev,3128,0,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,36.0,,,,45.0,,,,,,,,,,,,,,1.0,,,,
et_edt-ud-train,24615,0,926,,,,2.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,285.0,,,,,,,,1.0,2.0,,266.0,,,,360.0,,,,,,,,,,,,,,,,1.0,3.0,
et_edt-ud-test,3214,0,109,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,36.0,,,,47.0,,,,,,,,,,,,,,2.0,,,,
id_csui-ud-test,374,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
id_csui-ud-train,656,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-train,69630,0,3749,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,13.0,,,,,,,,2513.0,,,,,,,,,,,111.0,,,,,160.0,120.0,,,,,,,,4.0,,,309.0,,,,503.0,,,,,,,,,,,,,7.0,4.0,,2.0,,
ru_syntagrus-ud-dev,8906,0,569,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,367.0,,,,,,,,,,,25.0,,,,,26.0,22.0,,,,,,,,1.0,,,45.0,,,,78.0,,,,,,,,,,,,,,2.0,,1.0,,
ru_syntagrus-ud-test,8800,0,492,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,330.0,,,,,,,,,,,13.0,,,,,26.0,13.0,,,,,,,,1.0,,,28.0,,,,76.0,,,,,,,,,,,,,,,,1.0,,
grc_ptnk-ud-train,727,0,24,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,,,,,,,,,,2.0,,,,8.0,,,,,,,,,,,,,2.0,,,,,
grc_ptnk-ud-dev,439,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,
grc_ptnk-ud-test,410,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,,,,,,,,1.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,
sjo_xdt-ud-test,810,0,24,,,,,,,,,,,3.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,10.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
pt_bosque-ud-train,7018,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-dev,1062,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-test,1007,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
nl_lassysmall-ud-test,1761,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,13.0,,,,2.0,,,,,,,,,,,,,,,,,,
nl_lassysmall-ud-dev,1542,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,1.0,,,,,1.0,,,,,,,,,,,,18.0,,,,1.0,,,,,,,,,,,,,,,,,,
nl_lassysmall-ud-train,13817,0,612,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.0,,,,,,5.0,12.0,,,,,,,,,,,152.0,,,,27.0,,7.0,,,,,,,,,,,,,,,,
de_lit-ud-test,1920,0,344,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,17.0,,,,,,,,,,,249.0,,,,55.0,,20.0,,,,,,,,,,,1.0,,,,,
ltg_cairo-ud-test,20,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
ru_poetry-ud-test,728,0,39,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,20.0,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,4.0,,,,7.0,,,,,,,,,,,,,,,,,,
ru_poetry-ud-dev,789,0,34,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,1.0,,,,,5.0,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.0,
ru_poetry-ud-train,3569,0,157,,14.0,,,,,,,,,14.0,,,,,,,,,,,,,2.0,,,,,,,,81.0,,,,,,,,,,,4.0,,,,,13.0,,,,,,,,,,,,15.0,,,,12.0,,,,,,1.0,,,,,,,,1.0,,,,
myu_tudet-ud-test,158,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,
koi_uh-ud-test,94,0,7,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,
da_ddt-ud-train,4383,0,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.0,,,,,,,,,,,,,,,,34.0,8.0,,,,,,,1.0,,,,213.0,,,,26.0,,,,,,,,,,,,,,,,,,
da_ddt-ud-test,565,0,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,
da_ddt-ud-dev,564,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,29.0,,,,4.0,,,,,,,,,,,,,,,,,,
