Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:pred,advcl:relcl,advcl:svc,advmod,advmod:emph,amod,amod:flat,appos,aux,aux:caus,aux:clitic,aux:ex,aux:pass,aux:q,case,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,cop,cop:locat,cop:outer,csubj,csubj:caus,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,dep:comp,dep:conj,discourse,discourse:q,dislocated,dislocated:ccomp,dislocated:csubj,dislocated:mod,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:arg,nmod:flat,nmod:poss,nmod:pred,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:lmod,obl:tmod,orphan,orphan:missing,parataxis,parataxis:conj,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:rel,parataxis:reporting,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:obj,xcomp:pred,xcomp:relcl,xcomp:subj
la_proiel-ud-test,1260,0,397,,40.0,,,72.0,,,,,,,,,,,,,10.0,,,,15.0,,,,33.0,,,,,,,,,50.0,,42.0,,,,,,,,4.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,1.0,2.0,,,,,,,,1.0,,3.0,,,,,,,,,,,118.0,,,,,,,
la_proiel-ud-dev,1233,0,416,,54.0,,,65.0,,,2.0,,,,,,,,,,3.0,,,,14.0,,,,31.0,,,,,,,,,58.0,,68.0,,,,,,,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,2.0,,3.0,,,,,,,,,,,106.0,,,,,,,
la_proiel-ud-train,16196,0,4210,,385.0,,,824.0,,,2.0,,,,,,,,,,94.0,,,,192.0,,,,353.0,,,,,,,,,519.0,,614.0,,,11.0,,,,,34.0,,,,,,,,15.0,,,,,,,2.0,,,,,,,,,,,,,,,,37.0,4.0,28.0,,,,,,,,19.0,,14.0,,,,,,,,,,,1062.0,,1.0,,,,,
mpu_tudet-ud-test,37,0,31,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,21.0,,1.0,,,,,
tr_gb-ud-test,2880,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
grc_proiel-ud-test,1047,0,290,,13.0,,,19.0,,,1.0,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,51.0,,37.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,3.0,,,,,,,,,,,155.0,,,,,,,
grc_proiel-ud-train,15016,0,3449,,169.0,,,187.0,,,5.0,,,,,,,,,,12.0,,,,27.0,,,,38.0,,,,,,,,,416.0,,537.0,,,,,,,,6.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,23.0,2.0,,,,,,,5.0,,14.0,,,,,,,,,,,1993.0,,,,,,,
grc_proiel-ud-dev,1019,0,405,,25.0,,,19.0,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,54.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,,,6.0,,,,,,,,,,,241.0,,,,,,,
ru_taiga-ud-train,16045,0,13189,,389.0,,348.0,783.0,,,,,,,,,,100.0,,13.0,19.0,,,,132.0,,4.0,,429.0,,,,,,,,,2760.0,,596.0,,,534.0,,,,,,,,4.0,,,1.0,,1.0,,,,,,,29.0,8.0,,,,,,,4.0,5.0,,7.0,,,,,6.0,,6.0,4.0,,,,,,,2.0,,1032.0,,,,,,,,,,1.0,5117.0,7.0,848.0,,,,,
ru_taiga-ud-dev,946,0,858,,29.0,,20.0,50.0,,,,,,,,,,2.0,,1.0,3.0,,,,1.0,,2.0,,15.0,,,,,,,,,206.0,,36.0,,,16.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,1.0,,2.0,2.0,,,,,,,,,131.0,,,,,,,,,,,301.0,,37.0,,,,,
ru_taiga-ud-test,881,0,656,,19.0,,22.0,39.0,,,,,,,,,,4.0,,,,,,,2.0,,1.0,,31.0,,,,,,,,,123.0,,43.0,,,25.0,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,249.0,,29.0,,,,,
ga_idt-ud-train,4005,0,89,,,,22.0,11.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,10.0,,,,,,,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,31.0,,,,,,,
ga_idt-ud-test,454,0,16,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,5.0,,,,,,,
ga_idt-ud-dev,451,0,20,,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,
ceb_gja-ud-test,188,0,58,,1.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,43.0,,,,,,,
cs_cltt-ud-dev,316,0,103,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,82,,,,,1.0,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,103,,1.0,,1.0,1.0,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
tl_trg-ud-test,128,0,25,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,
hy_armtdp-ud-train,1974,0,4433,,36.0,,104.0,91.0,,,,,,,,,,,,3.0,2006.0,1.0,,,,,,,82.0,,,,,,,,16.0,527.0,,834.0,,,19.0,,,,,3.0,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,97.0,,,,,,,,,,,595.0,,12.0,,,,,
hy_armtdp-ud-dev,249,0,641,,12.0,,12.0,8.0,,,,,,,,,,,,2.0,272.0,,,2.0,,,,,12.0,,,,,,,,,95.0,,110.0,,,1.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,94.0,,,,,,,
hy_armtdp-ud-test,277,0,532,,4.0,,6.0,6.0,,,,,,,,,,,,2.0,236.0,,,,,,,,8.0,,,,,,,,,76.0,,111.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,67.0,,3.0,,,,,
mk_mtb-ud-test,155,0,166,,3.0,,4.0,13.0,,,,,,,,,,,,,5.0,,,,4.0,,,,8.0,,,,,,,,,26.0,,20.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,69.0,,10.0,,,,,
ota_boun-ud-train,114,0,40,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,14.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,2.0,,,,,
ota_boun-ud-test,400,0,128,,12.0,,,3.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,4.0,12.0,,,23.0,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,40.0,,,,,,,
ru_syntagrus-ud-train,69630,0,85324,1.0,5657.0,,4504.0,6091.0,,,,,,,,1.0,,1452.0,,109.0,785.0,,,,2536.0,,,,3044.0,,,,,,,,,11839.0,,5397.0,,,2996.0,,,,,93.0,,,2.0,,,,,2.0,,,,,,,595.0,11.0,11.0,2.0,,,,,6.0,,,65.0,,,,,88.0,5.0,11.0,477.0,,,,,,,39.0,,5573.0,,,,,,,,,,,28146.0,,5786.0,,,,,
ru_syntagrus-ud-dev,8906,0,11079,,718.0,,516.0,757.0,,,,,,,,1.0,,219.0,,13.0,55.0,,,,326.0,,,,412.0,,,,,,,,,1649.0,,799.0,,,360.0,,,,,8.0,,,,,,,,,,,,,,,65.0,2.0,2.0,,,,,,2.0,,,8.0,,,,,11.0,,,57.0,,,,,,,13.0,,655.0,,,,,,,,,,,3739.0,,692.0,,,,,
ru_syntagrus-ud-test,8800,0,11281,,685.0,,633.0,886.0,,,,,,,,,,226.0,,17.0,92.0,,,,471.0,,,,381.0,,,,,,,,,1694.0,,711.0,,,390.0,,,,,17.0,,,1.0,,,,,,,,,,,,86.0,,,,,,,,,,,1.0,,,,,4.0,1.0,1.0,56.0,,,,,,,4.0,,668.0,,,,,,,,,,,3530.0,,726.0,,,,,
grc_ptnk-ud-train,727,0,658,,,,35.0,109.0,,,,,,,,,,,,,5.0,,,,,,,,105.0,,,,,,,,,187.0,,61.0,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,,2.0,14.0,,,,,,,,,33.0,,,,,,,,,,,73.0,,25.0,,,,,
grc_ptnk-ud-dev,439,0,372,,,,47.0,34.0,,,,,,,,,,,,2.0,5.0,,,,,,,,41.0,,,,,,,,,93.0,,39.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,3.0,7.0,,,,,,,,,25.0,,,,,,,,,,,51.0,,18.0,,,,,
grc_ptnk-ud-test,410,0,336,,,,22.0,65.0,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,88.0,,36.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,9.0,,,,,,,,,22.0,,,,,,,,,,,32.0,,12.0,,,,,
sjo_xdt-ud-test,810,0,1725,,216.0,,176.0,1004.0,,,,,,,,,,,,3.0,4.0,,,,,,,,6.0,,,,,2.0,,,,72.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,24.0,1.0,109.0,58.0,,,,,1.0,1.0,,,13.0,,,,,,,,,,,19.0,,7.0,,,,,
ru_poetry-ud-test,728,0,647,,15.0,,20.0,65.0,,,,,,,,,,11.0,,,,,,,,,,,13.0,,,,,,,,,194.0,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,37.0,,15.0,,,,,,,,,243.0,,19.0,,,,,
ru_poetry-ud-dev,789,0,669,,21.0,,19.0,62.0,,,,,,,,,,18.0,,1.0,,,,,,,,,7.0,,,,,,,,,209.0,,,,,7.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,36.0,,14.0,,,,,,,,,246.0,,25.0,,,,,
ru_poetry-ud-train,3569,0,3126,,72.0,,75.0,317.0,,,,,,,,,,76.0,,1.0,,,,,,,,,50.0,,,,,,,,,854.0,,,,,67.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,3.0,,5.0,1.0,,,,,,,,,152.0,,31.0,,,,,,,,,1329.0,,86.0,,,,,
myu_tudet-ud-test,158,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,13.0,,1.0,,,,,
cs_fictree-ud-dev,1309,0,26,,,,,1.0,,,,,,,,,,18.0,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
cs_fictree-ud-train,10160,0,258,,,,,1.0,,,,,,,,,,184.0,,,,,,,,,,,,,,,,,,,,28.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,1.0,,34.0,,,,,
cs_fictree-ud-test,1291,0,29,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,7.0,,,,,
la_udante-ud-train,926,0,4409,,132.0,,317.0,412.0,42.0,,169.0,,76.0,24.0,,,,,,,38.0,,,,252.0,,,,166.0,,,10.0,61.0,,,,,558.0,62.0,905.0,,18.0,158.0,,4.0,,2.0,39.0,24.0,7.0,,,,2.0,,,2.0,4.0,,,1.0,1.0,9.0,5.0,,,,,,,,,,23.0,,,,,22.0,2.0,8.0,52.0,5.0,9.0,,,1.0,,5.0,,,,,,,,,6.0,,,,520.0,,256.0,,,,,
la_udante-ud-test,419,0,1994,,42.0,,139.0,201.0,7.0,,67.0,,74.0,24.0,,,,,,,9.0,,,,145.0,,,,73.0,,,8.0,3.0,,,,,276.0,7.0,313.0,,4.0,66.0,,5.0,,,24.0,12.0,1.0,,,,,,,,2.0,,,,,7.0,,,,,,,,,,,5.0,,,,,6.0,,5.0,14.0,,7.0,,,,,11.0,,,,,,,,,,,,,294.0,,143.0,,,,,
la_udante-ud-dev,376,0,1503,,65.0,,113.0,142.0,15.0,,54.0,,66.0,5.0,,,,,,,5.0,,,,67.0,,,,65.0,,,5.0,10.0,,,,,245.0,17.0,174.0,,7.0,47.0,,1.0,,,12.0,16.0,1.0,,,,,,,,2.0,,,,,8.0,,,,,,,,,,,17.0,,,,,6.0,,13.0,15.0,,1.0,,,,,4.0,,,,,,,,,2.0,,,,231.0,,72.0,,,,,
hyw_armtdp-ud-test,680,0,1091,,2.0,,12.0,4.0,,,,,,2.0,,,,,,,726.0,,,2.0,,,,,7.0,,,,,,,,,30.0,,221.0,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,75.0,,,,,,,
hyw_armtdp-ud-dev,694,0,983,,2.0,,6.0,8.0,,,,,,,,,,,,1.0,664.0,,,,,,,,9.0,,,,,,,,,23.0,,196.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,59.0,,2.0,,,,,
hyw_armtdp-ud-train,5282,0,7325,,21.0,,61.0,51.0,,,,,,3.0,,,,,,5.0,4644.0,3.0,,9.0,,,,,61.0,,,,,,,1.0,,226.0,,1637.0,,,18.0,,,,,,,,1.0,,,2.0,,2.0,,,,,,,19.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,39.0,,,,,,,,,,,512.0,,6.0,,,,,
pcm_nsc-ud-dev,990,0,285,,,,2.0,,,,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,7.0,1.0,,,,,,,
pcm_nsc-ud-train,7279,0,2498,,1.0,,6.0,1.0,,8.0,,,,,,,,,,,2407.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,54.0,15.0,,1.0,,,,,
pcm_nsc-ud-test,972,0,347,,,,4.0,,,,,,,,,,,,,,321.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,8.0,,,,,,,
el_gdt-ud-test,456,0,676,,13.0,,93.0,72.0,,,,,,,,,,,,,69.0,,,,,,,,42.0,,,,,,,,,39.0,,114.0,,,12.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,198.0,,18.0,,,,,
el_gdt-ud-train,1662,0,2734,,61.0,,365.0,253.0,,,,,,,,,,,,5.0,353.0,,,,,,,,185.0,,,,,,,,,215.0,,378.0,,,35.0,,,,,12.0,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,30.0,,,,,,,,,,,752.0,,78.0,,,,,
el_gdt-ud-dev,403,0,538,,10.0,,104.0,44.0,,,,,,,,,,,,,41.0,,,,,,,,25.0,,,,,,,,,27.0,,96.0,,,10.0,,,,,3.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,163.0,,11.0,,,,,
nhi_itml-ud-test,909,0,173,,8.0,,1.0,23.0,,,,,,,,,,,,,2.0,,,,,,,,8.0,,,,,,,,,23.0,,17.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,79.0,,,,,,,
sl_sst-ud-train,4558,0,3241,,317.0,,,236.0,,,,,,,,,,,,,,,,,,,,,174.0,,,,,,,,,377.0,,2.0,,,56.0,,,,,,,,,,,3.0,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,515.0,,288.0,,,,,,68.0,,31.0,1029.0,,136.0,,,,,
sl_sst-ud-test,1041,0,608,,57.0,,,33.0,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,51.0,,1.0,,,12.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,60.0,,,,,,7.0,,5.0,238.0,,18.0,,,,,
sl_sst-ud-dev,505,0,480,,73.0,,,36.0,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,75.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,8.0,,,,,,6.0,,1.0,135.0,,24.0,,,,,
ka_glc-ud-test,151,0,102,,3.0,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,14.0,,,,,,,,,18.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,57.0,,,,,,,
xnr_kdtb-ud-test,288,0,27,,,,,,,,,,,,,,,,,,7.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,
kk_ktb-ud-test,1047,0,114,,11.0,,14.0,12.0,,,,,,,,,,,,,9.0,,,,,,,,7.0,,,,,2.0,,,,4.0,,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,22.0,,19.0,,,,,
kk_ktb-ud-train,31,0,9,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,
cs_pdt-ud-test,10146,0,15244,104.0,374.0,,1025.0,525.0,,,,,,,,,,490.0,,73.0,1469.0,,,,674.0,,5.0,,589.0,,,,,,,,,1411.0,,3055.0,,,272.0,,,,,22.0,,,40.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,,6.0,1.0,,1.0,,,,,4.0,,110.0,,,,,,,,,,,4257.0,,730.0,,,,,
cs_pdt-ud-dev,9270,0,13810,105.0,341.0,,958.0,478.0,,,,,,,,,,396.0,,76.0,1335.0,,,,665.0,,3.0,,569.0,,,,,,,,,1263.0,,2661.0,,,274.0,,,,,22.0,,,29.0,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,5.0,,3.0,1.0,,3.0,,,,,4.0,,79.0,,,,,,,,,,,3806.0,,713.0,,,,,
cs_pdt-ud-train,68491,0,99036,758.0,2463.0,,6730.0,3341.0,,,,,,,,2.0,,3366.0,,343.0,9251.0,,,,4645.0,,20.0,,4169.0,,,,,,,,,8775.0,,19074.0,,,1944.0,,,,,194.0,,,254.0,,,,,,,,,,,,36.0,,,,,,,,2.0,,,1.0,,,,,61.0,2.0,34.0,21.0,,27.0,,,,,46.0,,694.0,,,,,,,,,,,28083.0,,4700.0,,,,,
ota_dudu-ud-test,85,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azz_itml-ud-test,1260,0,38,,,,2.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,15.0,,,,,,,
ur_udtb-ud-train,4043,0,1340,,36.0,,53.0,531.0,,,,,,,,,,18.0,,,309.0,,,,,,,,,,,,,25.0,,,,82.0,,9.0,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,183.0,,,,,,,
ur_udtb-ud-dev,552,0,134,,2.0,,2.0,51.0,,,,,,,,,,,,,42.0,,,,,,,,,,,,,2.0,,,,10.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,
ur_udtb-ud-test,535,0,155,,2.0,,3.0,81.0,,,,,,,,,,,,,32.0,,,,,,,,,,,,,1.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,13.0,,1.0,,,,,
lv_lvtb-ud-test,2412,0,70,,1.0,,,1.0,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
lv_lvtb-ud-train,14358,0,598,,3.0,,,3.0,,,,,,,,,,482.0,,,,,,,,,,,3.0,,,,,,,,,53.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,6.0,,,2.0,,,,,5.0,1.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,18.0,,6.0,,,,,
lv_lvtb-ud-dev,2080,0,81,,,,,,,,,,,,,,,57.0,,,,,,,,,,,1.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
sga_dipwbg-ud-test,34,0,3,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
ru_pud-ud-test,1000,0,1272,,120.0,,100.0,80.0,,,,,,,,,,9.0,,1.0,5.0,,,,117.0,,,,62.0,,,,,,,,,137.0,,81.0,,,11.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,1.0,,46.0,,,,,,,,,,,424.0,,71.0,,,,,
la_ittb-ud-dev,2101,0,5082,,163.0,,421.0,382.0,15.0,,70.0,,,29.0,,,,,,,52.0,,,,223.0,,,,82.0,,,13.0,,,,,,208.0,8.0,1378.0,,4.0,326.0,,,,,89.0,56.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,28.0,,1.0,,,1.0,,2.0,,7.0,,,,,,,,,,,1184.0,,335.0,,,,,
la_ittb-ud-test,2101,0,4969,,207.0,,309.0,415.0,3.0,,87.0,,,43.0,,,,,,,61.0,,,,252.0,,,,84.0,,,22.0,,,,,,290.0,5.0,1252.0,,3.0,262.0,,,,,69.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,19.0,,,,,,,,,8.0,,,,,,,,,,,1189.0,,312.0,,,,,
la_ittb-ud-train,22775,0,58625,,2877.0,,4667.0,5730.0,227.0,,860.0,,8.0,508.0,,,,,,,385.0,,,,3031.0,,,,1097.0,,,159.0,1.0,,,,,3419.0,145.0,13704.0,,39.0,3039.0,,5.0,,,966.0,772.0,1.0,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,19.0,,,,,4.0,,,167.0,,1.0,,,,,30.0,,81.0,,,,,,,,,,,13156.0,,3522.0,,,,,
qtd_sagt-ud-test,805,0,67,,2.0,,,9.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,4.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,11.0,,,,,,,1.0,1.0,15.0,,4.0,,,,,
qtd_sagt-ud-dev,801,0,54,,,,,9.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,6.0,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,8.0,,,,,,,,,15.0,,2.0,,,,,
qtd_sagt-ud-train,578,0,52,,,,,16.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,4.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,11.0,,,,,,,,1.0,8.0,,3.0,,,,,
ga_cadhan-ud-test,193,0,11,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
