Treebank,Number of Sentences,Failures,Total,_,acl,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:fin,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:cmp,advmod:deg,advmod:lmod,advmod:tmod,amod,appos,aux,case,case:loc,ccomp,ccomp:relcl,ccomp:reported,clf,compound,compound:lvc,compound:nn,compound:prt,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:cleft,csubj:pass,csubj:relcl,csubj:reported,dep,dep:comp,dep:infl,det,discourse,dislocated,dislocated:advcl,dislocated:nsubj,dislocated:obj,expl,fixed,flat,flat:foreign,flat:name,flat:redup,iobj,list,mark,nmod,nmod:appos,nmod:comp,nmod:npmod,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cau,obl:cmp,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:mod,obl:path,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,reparandum,root,vocative,xcomp,xcomp:result
ta_mwtt-ud-test,534,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,28,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,2.0,,,,,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,145,,,,,6.0,,,,,,,,,,,1.0,,,,,1.0,,2.0,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,8.0,,,1.0,,,,,1.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
ug_udt-ud-dev,900,0,128,,,,,6.0,,,,,,,,,,,,,,,,4.0,,2.0,1.0,,,,,,6.0,,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,4.0,,,,2.0,,1.0,,,,75.0,,,,,,,,,,,,,,,,,,,,,2.0,,,
ug_udt-ud-train,1656,0,263,,2.0,,,8.0,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,10.0,,,,,,9.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,61.0,,,,,,,,,,,1.0,162.0,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,
xum_ikuvina-ud-test,133,0,95,,1.0,,,,,,,,,,,,,,,,,,,35.0,,,,,1.0,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,2352,,46.0,,43.0,56.0,75.0,,,10.0,,,,,12.0,,,,,,,164.0,,,,,7.0,,,,,,,,,,141.0,5.0,,16.0,,12.0,6.0,,,,,269.0,,,1.0,,,,,,,,,,,,88.0,,,,,,,,16.0,35.0,4.0,,962.0,80.0,165.0,,,,,,,,,,,,,1.0,20.0,,,,,93.0,,25.0,
la_ittb-ud-test,2101,0,2138,,26.0,,47.0,64.0,77.0,,,6.0,,,,,16.0,,,,,,,151.0,,,,,10.0,2.0,,,,,,,,,109.0,2.0,,21.0,,3.0,3.0,,,,,211.0,,,,,,,,1.0,,,,,,,141.0,,,,,,,,4.0,20.0,,,848.0,94.0,107.0,,,,,,,,,,,,,,22.0,,,,,124.0,,29.0,
la_ittb-ud-train,22775,0,30232,,784.0,,453.0,765.0,761.0,,,132.0,,,,63.0,87.0,,,,,,,2604.0,5.0,,,,94.0,13.0,,,,,,,,,1865.0,98.0,,170.0,1.0,63.0,55.0,,,,,2753.0,,,,,,,,20.0,,,,,,,1279.0,,,,,,,,269.0,255.0,41.0,,12573.0,1365.0,2338.0,,,1.0,,,,3.0,,,,,,,296.0,,3.0,,,887.0,,136.0,
qtd_sagt-ud-test,805,0,103,,2.0,,,8.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
qtd_sagt-ud-dev,801,0,127,,,,,8.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,3.0,,1.0,,,4.0,,1.0,
qtd_sagt-ud-train,578,0,69,,,,,4.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
krl_kkpp-ud-test,228,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,532,,,,,21.0,,,,,,,,,,,46.0,,,,,12.0,6.0,2.0,56.0,,,,,,8.0,,,,,,13.0,,1.0,,,,,,,,,27.0,,,,,,,,2.0,,,,,,,30.0,,,,,,,,1.0,,,3.0,303.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
eu_bdt-ud-test,1799,0,187,,,,,9.0,,,,,,,,,,,18.0,,,,,5.0,,,18.0,,,,,,3.0,,,,,,9.0,,,,,,,,,,,12.0,,,,,,,,3.0,,,,,,,10.0,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,163,,,,,4.0,,,,,,,,,,,11.0,,,,,5.0,,,21.0,,1.0,,,,2.0,,,,,,2.0,,1.0,,,,,,,,,9.0,,,,,,,,5.0,,,,,,,11.0,,,,,,,,2.0,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,94,,1.0,,,3.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,6.0,,,,,,2.0,1.0,1.0,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
fi_ftb-ud-train,14981,0,640,,4.0,,,11.0,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,1.0,,,19.0,,,,,,,,1.0,,,32.0,,,,,,13.0,6.0,9.0,,,,,,1.0,501.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
fi_ftb-ud-test,1867,0,101,,2.0,,,2.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,5.0,,,,,,3.0,2.0,2.0,,,,,,,70.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
eme_tudet-ud-test,913,0,25,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-train,15473,0,1104,,6.0,,,46.0,,,,,,,,,,,,,,,,6.0,1.0,,32.0,,2.0,,,,9.0,,,,,,55.0,,,,,,,,1.0,,,,,,,,,,,5.0,,,,,,,136.0,,,,,,,,5.0,,1.0,421.0,276.0,,,,,,,,,,,,,,,,,,2.0,,,100.0,,,
tr_tourism-ud-dev,2166,0,181,,,,,19.0,,,,,,,,,,,,,,,,2.0,,,13.0,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,9.0,,,,,,,,1.0,,1.0,103.0,11.0,,,,,,,,,,,,,,,,,,,,,15.0,,,
tr_tourism-ud-test,2191,0,138,,,,,17.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,52.0,33.0,,,,,,,,,,,,,,,,,,,,,21.0,,,
aqz_tudet-ud-test,343,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,666,,8.0,,,35.0,,,,,,,,,,,4.0,,,,,44.0,1.0,,10.0,,2.0,,,,31.0,2.0,,,,,36.0,,,1.0,,,,,,,,,,,,,,,,10.0,,,,2.0,,,99.0,,,,,,32.0,,4.0,,2.0,49.0,277.0,,,,,,,,,,,,,,,,,,,,,17.0,,,
tr_imst-ud-dev,1100,0,206,,5.0,,,7.0,,,,,,,,,,,4.0,,,,,12.0,,,2.0,,,,,,11.0,2.0,,,,,10.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,39.0,,,,,,6.0,,,,,12.0,88.0,,,,,,,,,,,,,,,,,,,,,6.0,,,
tr_imst-ud-test,1100,0,183,,2.0,,,8.0,,,,,,,,,,,1.0,,,,,10.0,,,2.0,,1.0,,,,4.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,28.0,,,,,,9.0,,1.0,,,14.0,85.0,,,,,,,,,,,,,,,,,,,,,5.0,,,
gu_gujtb-ud-test,187,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-test,908,0,82,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,62.0,,,,,,,,1.0,,,5.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,,2.0,
bej_nsc-ud-test,380,0,41,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,26.0,,,,,,,,,4.0,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,211,,2.0,,,14.0,,,,,,,,,,,1.0,,,,,5.0,,,1.0,,3.0,,,,6.0,4.0,,,,,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,7.0,,,,,,12.0,,,,,9.0,137.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,
tr_boun-ud-test,979,0,248,,2.0,,,17.0,,,,,,,,,,,,,,,,10.0,1.0,,1.0,,3.0,,,,6.0,2.0,,,1.0,,9.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,6.0,,,,,,14.0,,,,,11.0,160.0,,,,,,,,,,,,,,,,,,,,,3.0,,,
tr_boun-ud-train,7803,0,1840,,16.0,,,118.0,,,,,,,,,,,1.0,,,,,28.0,1.0,,4.0,,23.0,,,,36.0,12.0,,,6.0,,88.0,,4.0,1.0,,,,,,,,,,,,,,,,25.0,,,,1.0,,,67.0,,,,,117.0,4.0,,3.0,,1.0,85.0,1154.0,,,,,,,,,,,,,,,19.0,,,1.0,,,25.0,,,
tr_penn-ud-dev,622,0,100,,,,,5.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,35.0,,,,,,,,,,,4.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,129,,,,,3.0,,,,,,,,,,,,,,,,,,,12.0,,1.0,,,,5.0,,,,,,2.0,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,24.0,,,,,,,,,,2.0,1.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-train,14850,0,2519,,2.0,,,43.0,,,,,,,,,,,,,,,,37.0,2.0,,77.0,,50.0,,,,94.0,,,,,,64.0,,,,,,,,,,,,5.0,,,,,,9.0,34.0,,,,,2.0,,783.0,,,,,,,,5.0,,15.0,161.0,1113.0,,,,,,,,,,,,,,,,,,2.0,,,10.0,,11.0,
